Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2013-04-05,Danny DeKeyser,away,Detroit Red Wings,Colorado Avalanche,D,16.6,0,0,0,0.0,0,0,0,0,0,0,0,0.08,0.55,20122013,0.5862,0.5862,0.5862,0.5862,-0.5862,0.5862,-0.5062000000000001,0.0362,0.0,0.0,-1.2082000000000002,0.6276625,-0.5805375000000002,1990-03-07,23.095890410958905,1,0.0,-0.0545700412892342,-0.0545700412892342,-0.054602526151941,0.326515068462634,0.3574070780884583,1.022109646285371,0.3337342011331865
2013-04-07,Danny DeKeyser,home,Detroit Red Wings,St Louis Blues,D,15.533333333333,0,0,0,0.03,1,0,0,0,0,0,1,0.09,0.45,20122013,0.552066666666656,0.552066666666656,0.552066666666656,0.552066666666656,-0.552066666666656,-0.4479333333333439,-0.4620666666666561,0.102066666666656,0.065,0.0,-1.158066666666656,0.2335958333333181,-0.8594708333333381,1990-03-07,23.101369863013694,2,-0.0547976920864799,-0.1244102690578244,-0.1244102690578244,-0.1216768501852576,0.3295615363389118,0.3606960068223673,1.0218890758467372,0.3367753338040014
2013-04-11,Danny DeKeyser,home,Detroit Red Wings,San Jose Sharks,D,16.816666666667,0,0,0,0.04,0,0,0,0,0,0,0,0.29,0.78,20122013,0.5931333333333441,0.5931333333333441,0.5931333333333441,0.5931333333333441,-0.5931333333333441,0.5931333333333441,-0.3031333333333441,-0.1868666666666559,0.02,0.0,-0.8791333333333441,0.1086291666666821,-0.750504166666662,1990-03-07,23.112328767123287,3,-0.124443243990279,-0.1749351358827989,-0.1749351358827989,-0.1645276480206055,0.3325987570760061,0.3639820742620336,1.021451736888367,0.3397335781021987
2013-04-12,Danny DeKeyser,away,Detroit Red Wings,Chicago Blackhawks,D,19.816666666667,0,0,0,0.07,1,0,0,0,0,0,0,0.4,0.69,20122013,0.689133333333344,0.689133333333344,0.689133333333344,0.689133333333344,-0.689133333333344,0.689133333333344,-0.289133333333344,-0.0008666666666559,0.085,0.0,-0.799133333333344,0.4536291666666823,-0.2605041666666617,1990-03-07,23.115068493150684,4,-0.1746648611286952,-0.1813989985466556,-0.1813989985466556,-0.1673799850713113,0.3356257090980159,0.3672649695360926,1.0213431920785867,0.3427890330738067
2013-04-14,Danny DeKeyser,away,Detroit Red Wings,Nashville Predators,D,18.733333333333,0,1,0,0.03,1,0,0,0,0,1,0,0.66,0.64,20122013,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.3455333333333439,0.6544666666666561,0.0055333333333439,0.014466666666656,0.765,0.0,0.0515333333333439,0.5187958333333182,1.3353291666666622,1990-03-07,23.12054794520548,5,-0.1810506709806537,-0.0735448123242786,-0.0735448123242786,-0.0713707799717376,0.3386415355251536,0.3705444343403201,1.0211270478236654,0.3457960314412729
2013-04-17,Danny DeKeyser,away,Detroit Red Wings,Calgary Flames,D,16.95,0,0,0,0.05,1,0,0,0,0,0,0,1.08,0.15,20122013,0.5974,0.5974,0.5974,0.5974,-0.5974,0.5974,0.4826,0.4474,0.075,0.0,0.3806,1.5637625000000002,2.0193625,1990-03-07,23.12876712328767,6,-0.075680534831253,0.0672484630069985,0.0672484630069985,0.0665049413578889,0.3416455365693195,0.3738202601798429,1.0208051894163346,0.3487535366708895
2013-04-20,Danny DeKeyser,away,Detroit Red Wings,Vancouver Canucks,D,19.35,0,0,0,0.12,1,1,0,0,0,1,0,0.96,0.24,20122013,0.6742000000000001,0.6742000000000001,0.6742000000000001,0.6742000000000001,0.3257999999999998,0.6742000000000001,0.2857999999999998,0.4342000000000001,0.11,-0.15,0.5117999999999996,1.4671625,1.9389625,1990-03-07,23.136986301369863,7,0.0611714888975004,0.1868893835693101,0.1868893835693101,0.1773201618712783,0.3446371600030641,0.3770922850686476,1.0204861519239206,0.3516974492215154
2013-04-22,Danny DeKeyser,home,Detroit Red Wings,Phoenix Coyotes,D,18.55,0,0,0,0.0,2,0,0,0,0,0,0,0.92,0.32,20122013,0.6486000000000001,0.6486000000000001,0.6486000000000001,0.6486000000000001,-0.6486000000000001,0.6486000000000001,0.2714,0.3286,0.1,0.0,0.0734000000000001,1.2463625,1.4197625000000005,1990-03-07,23.14246575342466,8,0.1769314730244671,0.2620636710420541,0.2620636710420541,0.2483284533297785,0.3476159903393071,0.3803603898801108,1.020275022655387,0.3546639124188113
2013-04-24,Danny DeKeyser,home,Detroit Red Wings,Los Angeles Kings,D,19.216666666667,0,0,0,0.05,2,0,0,0,0,0,0,0.77,0.8,20122013,0.669933333333344,0.669933333333344,0.669933333333344,0.669933333333344,-0.669933333333344,0.669933333333344,0.1000666666666559,-0.130066666666656,0.125,0.0,-0.187933333333344,0.173029166666682,0.1100958333333379,1990-03-07,23.14794520547945,9,0.2493591432862306,0.2531932618087916,0.2531932618087916,0.2311403544150253,0.3505817372553504,0.383624494509618,1.0200651399724896,0.3576162088851776
2013-04-25,Danny DeKeyser,home,Detroit Red Wings,Nashville Predators,D,17.716666666667,0,0,0,0.0,0,0,0,0,0,2,0,0.56,0.46,20122013,0.621933333333344,0.621933333333344,0.621933333333344,0.621933333333344,1.378066666666656,0.621933333333344,-0.0619333333333439,0.1619333333333439,0.0,0.0,0.324066666666656,0.886029166666682,1.210095833333338,1990-03-07,23.15068493150685,10,0.241662588803205,0.3068326673607087,0.3068326673607087,0.2929098991451291,0.3535342236964595,0.3868845539796317,1.01996066521296,0.3605910019769883
2013-04-27,Danny DeKeyser,away,Detroit Red Wings,Dallas Stars,D,19.25,0,0,0,0.07,0,0,0,0,0,0,0,0.99,0.41,20122013,0.671,0.671,0.671,0.671,-0.671,0.671,0.3189999999999999,0.261,0.035,0.0,0.1629999999999999,1.0715625000000002,1.2695625,1990-03-07,23.156164383561645,11,0.2924730015691335,0.3588084574956657,0.3588084574956657,0.348561279706941,0.3564733740044007,0.3901405545896615,1.0197526470891471,0.3635146667577872
2013-10-02,Danny DeKeyser,home,Detroit Red Wings,Buffalo Sabres,D,16.966666666667,0,0,0,0.09,0,0,0,0,0,0,0,0.46,0.21,20132014,0.597933333333344,0.597933333333344,0.597933333333344,0.597933333333344,-0.597933333333344,0.597933333333344,-0.1379333333333439,0.387933333333344,0.045,0.0,-0.6119333333333439,1.426529166666682,0.8595958333333381,1990-03-07,23.58904109589041,12,0.3413589465231375,0.3849165992831477,0.3849165992831477,0.4709937308946447,0.3593992023364133,0.3933925101889192,1.007023584954005,0.3619234731664248
2013-10-04,Danny DeKeyser,away,Detroit Red Wings,Carolina Hurricanes,D,20.216666666667,0,0,0,0.22,2,0,0,0,0,0,0,1.1,1.36,20132014,0.7019333333333441,0.7019333333333441,0.7019333333333441,0.7019333333333441,-0.7019333333333441,0.7019333333333441,0.398066666666656,-0.658066666666656,0.21,0.0,0.3080666666666563,-1.068970833333318,-0.5509041666666616,1990-03-07,23.594520547945205,13,0.374192296301557,0.3376896950520573,0.3376896950520573,0.4012767278762863,0.3623118015708606,0.3966404586281955,1.0069067832396374,0.3648142106494731
