Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2013-10-25,Darren Archibald,away,Vancouver Canucks,St Louis Blues,R,8.0166666666667,0,0,0,0.05,0,0,0,0,0,0,0,0.1,0.24,20132014,0.3115333333333344,0.3115333333333344,0.3115333333333344,0.3115333333333344,-0.3115333333333344,0.3115333333333344,-0.2115333333333343,0.0715333333333343,0.025,0.0,-0.5322083333333341,0.5249512500000011,0.017742916666667,1990-02-09,23.72328767123288,1,0.0,0.001667819383057,0.001667819383057,0.0018853564412935,0.0085098665263586,0.0123091254102488,1.0044598801719833,0.0085478195113457
2013-10-28,Darren Archibald,home,Vancouver Canucks,Washington Capitals,R,4.8666666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.08,0.02,20132014,0.2107333333333344,0.2107333333333344,0.2107333333333344,0.2107333333333344,-0.2107333333333344,0.2107333333333344,-0.1307333333333344,0.1907333333333344,0.0,0.0,-0.481708333333334,0.7912212500000011,0.3095129166666671,1990-02-09,23.731506849315068,2,0.0016747770543954,0.0283791506728802,0.0283791506728802,0.0345263872178188,0.0564733957643582,0.0667721328539129,1.0043227930300636,0.0567175185659524
2013-10-30,Darren Archibald,home,Vancouver Canucks,Detroit Red Wings,R,4.8833333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.13,0.13,20132014,0.2112666666666656,0.2112666666666656,0.2112666666666656,0.2112666666666656,-0.2112666666666656,0.2112666666666656,-0.0812666666666656,0.0812666666666656,0.05,0.0,-0.450791666666666,0.6047912499999988,0.2039995833333327,1990-02-09,23.736986301369864,3,0.0283650723456565,0.0425514641322544,0.0425514641322544,0.0502903038649499,0.0996901368096921,0.1145806569341762,1.0042326549141134,0.1001120907571482
2013-11-02,Darren Archibald,home,Vancouver Canucks,Toronto Maple Leafs,R,9.9833333333333,0,0,1,0.03,0,0,1,0,0,2,0,0.72,0.49,20132014,0.3744666666666656,0.3744666666666656,0.3744666666666656,0.3744666666666656,1.6255333333333344,0.3744666666666656,0.3455333333333343,-0.1155333333333343,0.5650000000000001,0.15,1.065958333333334,0.1672112499999989,1.948169583333333,1990-02-09,23.745205479452054,4,0.0424273430477471,0.1865013686647185,0.1865013686647185,0.2238106046793063,0.1426737422065714,0.1608008544349574,1.0040993232496516,0.1432586079951136
2013-11-05,Darren Archibald,away,Vancouver Canucks,Phoenix Coyotes,R,9.8,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0.14,20132014,0.3686,0.3686,0.3686,0.3686,-0.3686,0.3686,-0.3286,0.2286,0.005,0.0,-0.605375,0.75594125,0.15556625,1990-02-09,23.753424657534246,5,0.1844512509866262,0.184301579588601,0.184301579588601,0.217105950308842,0.1884462395380602,0.2094183625934512,1.0039682368774203,0.1891940388552064
2013-11-07,Darren Archibald,away,Vancouver Canucks,San Jose Sharks,R,10.716666666667,0,1,0,0.0,2,0,1,0,0,2,1,0.34,0.21,20132014,0.397933333333344,0.397933333333344,0.397933333333344,0.397933333333344,1.602066666666656,-0.602066666666656,-0.0579333333333439,0.187933333333344,0.7999999999999999,0.15,0.8137916666666599,0.2307912500000113,1.9945829166666715,1990-02-09,23.75890410958904,6,0.1824372151428233,0.3060821463712042,0.3060821463712042,0.3096217870257768,0.2269580221524532,0.2495349138049783,1.0038820904078245,0.2278390937132301
2013-11-09,Darren Archibald,away,Vancouver Canucks,Los Angeles Kings,R,14.233333333333,0,0,0,0.14,2,0,0,0,1,0,0,0.16,0.41,20132014,0.5104666666666561,0.5104666666666561,0.5104666666666561,0.5104666666666561,-0.5104666666666561,0.5104666666666561,-0.350466666666656,0.1004666666666561,0.17,-0.01,-0.61904166666666,0.4485612499999887,-0.0104804166666713,1990-02-09,23.76438356164384,7,0.300977201662436,0.2858473050926388,0.2858473050926388,0.3255461658467953,0.2524972402906247,0.2782886597823664,1.0037969374477778,0.2534559565177447
2013-11-10,Darren Archibald,away,Vancouver Canucks,Anaheim Ducks,R,6.1666666666667,0,0,0,0.06,0,0,0,0,0,0,0,0.25,0.02,20132014,0.2523333333333344,0.2523333333333344,0.2523333333333344,0.2523333333333344,-0.2523333333333344,0.2523333333333344,-0.0023333333333344,0.2323333333333344,0.03,0.0,-0.401458333333334,0.8356812500000012,0.4642229166666671,1990-02-09,23.767123287671232,8,0.281785740399329,0.2967237361899555,0.2967237361899555,0.317240418632202,0.2653721649600956,0.2959541052463273,1.0037547329879208,0.2663685665819473
2014-01-07,Darren Archibald,home,Vancouver Canucks,Pittsburgh Penguins,R,4.9333333333333,0,0,0,0.0,0,0,1,0,0,0,1,0.04,0.1,20132014,0.2128666666666656,0.2128666666666656,0.2128666666666656,0.2128666666666656,-0.2128666666666656,-0.7871333333333344,-0.1728666666666655,0.1128666666666655,0.0,0.15,-0.5080416666666661,0.2200012499999988,-0.1380404166666671,1990-02-09,23.926027397260277,9,0.2923937716793438,0.2713464194238716,0.2713464194238716,0.2870675010512213,0.2716222910360866,0.3045990310430234,1.0017238765249703,0.2720905343272624
2014-01-10,Darren Archibald,home,Vancouver Canucks,St Louis Blues,R,5.9,0,0,0,0.0,0,0,0,0,0,1,0,0.1,0.64,20132014,0.2438,0.2438,0.2438,0.2438,0.7562,0.2438,-0.1438,-0.3962,0.0,0.0,0.135125,-0.2274387499999999,-0.0923137499999998,1990-02-09,23.934246575342467,10,0.2661411416627333,0.2509613604938617,0.2509613604938617,0.2557633181090287,0.2723817216245476,0.3031054409640724,1.0016407463144512,0.272828630930427
2014-01-13,Darren Archibald,away,Vancouver Canucks,Los Angeles Kings,R,5.8166666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.12,0.08,20132014,0.2411333333333344,0.2411333333333344,0.2411333333333344,0.2411333333333344,-0.2411333333333344,0.2411333333333344,-0.1211333333333344,0.1611333333333344,0.01,0.0,-0.475708333333334,0.7217112500000011,0.2560029166666671,1990-02-09,23.942465753424656,11,0.2454238894105742,0.2512335436720571,0.2512335436720571,0.2580388062009761,0.2659991771203386,0.2905581649373231,1.0015597337129196,0.2664140650045021
2014-03-04,Darren Archibald,away,Vancouver Canucks,Phoenix Coyotes,R,6.8666666666667,0,0,0,0.0,1,0,0,0,0,0,1,0.1,0.55,20132014,0.2747333333333344,0.2747333333333344,0.2747333333333344,0.2747333333333344,-0.2747333333333344,-0.7252666666666656,-0.1747333333333344,-0.2752666666666656,0.05,0.0,-0.509208333333334,-0.478878749999999,-0.938087083333333,1990-02-09,24.07945205479452,12,0.2460050442573725,0.1892292818659475,0.1892292818659475,0.1951464488964917,0.2538055187096864,0.2704402359018231,1.000516690103103,0.2539366575093166
