Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-04,David Koci,away,Chicago Blackhawks,Minnesota Wild,L,6.5333333333333,0,0,0,0.0,2,1,1,0,0,0,0,0.0,0.09,20072008,0.2640666666666656,0.2640666666666656,0.2640666666666656,0.2640666666666656,-0.2640666666666656,0.2640666666666656,-0.2640666666666656,0.1740666666666656,0.1,0.0,-0.565041666666666,0.7292212499999988,0.2641795833333328,1981-05-12,26.413698630136988,10,0.0,0.2607043960962879,0.2607043960962879,0.3097168225623901,0.2882258721532246,0.3220445652145539,1,0.2882258721532246
2007-10-13,David Koci,home,Chicago Blackhawks,Dallas Stars,L,3.9666666666667,0,0,0,0.0,0,1,1,0,0,0,0,0.14,0.0,20072008,0.1819333333333344,0.1819333333333344,0.1819333333333344,0.1819333333333344,-0.1819333333333344,0.1819333333333344,-0.0419333333333343,0.1819333333333344,0.0,0.0,-0.426208333333334,0.7944412500000011,0.3682329166666671,1981-05-12,26.438356164383563,11,0.2641795833333328,0.3141402893173504,0.3141402893173504,0.3792512335288387,0.2725552908824563,0.2931004071603105,1,0.2725552908824563
2007-10-17,David Koci,home,Chicago Blackhawks,St Louis Blues,L,3.8,0,0,0,0.0,0,0,0,0,0,0,0,0.14,0.0,20072008,0.1766,0.1766,0.1766,0.1766,-0.1766,0.1766,-0.0365999999999999,0.1766,0.0,0.0,-0.422875,0.78874125,0.3658662499999999,1981-05-12,26.44931506849315,12,0.3166530711144384,0.3313353131017743,0.3313353131017743,0.3693070178182266,0.2570259955571969,0.2658642399794284,1,0.2570259955571969
2007-10-20,David Koci,away,Chicago Blackhawks,Toronto Maple Leafs,L,4.1166666666667,0,0,0,0.0,0,1,1,0,0,0,0,0.03,0.02,20072008,0.1867333333333344,0.1867333333333344,0.1867333333333344,0.1867333333333344,-0.1867333333333344,0.1867333333333344,-0.1567333333333344,0.1667333333333344,0.0,0.0,-0.497958333333334,0.7655712500000011,0.2676129166666671,1981-05-12,26.457534246575342,13,0.3332349520287114,0.3154009219894786,0.3154009219894786,0.3740308323409601,0.2416517594561669,0.2409796849508318,1,0.2416517594561669
2007-10-23,David Koci,home,Chicago Blackhawks,Columbus Blue Jackets,L,4.75,0,0,0,0.0,0,1,0,0,0,0,0,0.08,0.1,20072008,0.207,0.207,0.207,0.207,-0.207,0.207,-0.127,0.1069999999999999,0.0,-0.15,-0.479375,0.6512312499999999,0.0218562499999999,1981-05-12,26.46575342465753,14,0.3166257486969116,0.2564905342850921,0.2564905342850921,0.2937812094236334,0.2264261819327159,0.2186137794762268,1,0.2264261819327159
2007-10-25,David Koci,away,Chicago Blackhawks,Boston Bruins,L,1.6666666666667,0,0,0,0.0,0,1,1,0,0,0,0,0.03,0.17,20072008,0.1083333333333344,0.1083333333333344,0.1083333333333344,0.1083333333333344,-0.1083333333333344,0.1083333333333344,-0.0783333333333344,-0.0616666666666656,0.0,0.0,-0.448958333333334,0.4267812500000011,-0.0221770833333329,1981-05-12,26.471232876712328,15,0.2568152062786824,0.2097174140748776,0.2097174140748776,0.255335239346832,0.2112294443300759,0.1985484886317645,1,0.2112294443300759
2007-11-22,David Koci,away,Chicago Blackhawks,Calgary Flames,L,4.8166666666667,0,0,0,0.03,0,1,0,0,0,0,0,0.07,0.07,20072008,0.2091333333333344,0.2091333333333344,0.2091333333333344,0.2091333333333344,-0.2091333333333344,0.2091333333333344,-0.1391333333333343,0.1391333333333343,0.015,-0.15,-0.486958333333334,0.7045112500000011,0.082552916666667,1981-05-12,26.54794520547945,16,0.2096052784678826,0.191346592840622,0.191346592840622,0.2126525081320341,0.1950602558235899,0.1797072500234995,1,0.1950602558235899
2007-11-24,David Koci,away,Chicago Blackhawks,Edmonton Oilers,L,1.3,0,0,0,0.0,0,1,1,0,0,0,0,0.05,0.0,20072008,0.0966,0.0966,0.0966,0.0966,-0.0966,0.0966,-0.0466,0.0966,0.0,0.0,-0.429125,0.70324125,0.27411625,1981-05-12,26.553424657534247,17,0.1903610230260361,0.2018585516637505,0.2018585516637505,0.2404972378458785,0.1775771765193265,0.1615683254282038,1,0.1775771765193265
2007-11-28,David Koci,home,Chicago Blackhawks,Tampa Bay Lightning,L,5.1333333333333,0,0,0,0.0,0,1,1,0,0,0,0,0.02,0.23,20072008,0.2192666666666655,0.2192666666666655,0.2192666666666655,0.2192666666666655,-0.2192666666666655,0.2192666666666655,-0.1992666666666656,-0.0107333333333344,0.0,0.0,-0.524541666666666,0.4433412499999988,-0.0812004166666672,1981-05-12,26.56438356164384,18,0.2014149877828255,0.1697347616367702,0.1697347616367702,0.1912451631028865,0.1594479231469971,0.1443787855100701,1,0.1594479231469971
2007-11-30,David Koci,home,Chicago Blackhawks,Phoenix Coyotes,L,8.7166666666667,0,0,0,0.0,0,1,1,0,0,0,1,0.13,0.19,20072008,0.3339333333333344,0.3339333333333344,0.3339333333333344,0.3339333333333344,-0.3339333333333344,-0.6660666666666656,-0.2039333333333344,0.1439333333333344,0.0,0.0,-0.527458333333334,0.1963912500000011,-0.3310670833333329,1981-05-12,26.56986301369863,19,0.1682415023913465,0.1182833706010516,0.1182833706010516,0.1331952118811596,0.1415412546814919,0.1284788018717554,1,0.1415412546814919
