,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-10-04,Dominik Kahun,away,Chicago Blackhawks,Ottawa Senators,C,13.233333333333,0,0,0,0.29,0,0,0,0,0,2,0,0.55,0.76,20182019,0.478466666666656,0.478466666666656,0.478466666666656,0.478466666666656,1.521533333333344,0.478466666666656,0.07153333333334405,-0.281533333333344,0.145,0.0,0.89470833333334,-0.1806387500000115,0.8590695833333284,1995-07-02,23.273972602739725,1,0.0,0.08075182504631473,0.08075182504631473,0.09593316815502191,0.2789463332029505,0.3316421335273984,1.015575521266217,0.28329106774788626
1,2018-10-06,Dominik Kahun,away,Chicago Blackhawks,St Louis Blues,C,11.35,0,0,0,0.0,0,0,0,0,0,2,1,0.64,0.23,20182019,0.4182,0.4182,0.4182,0.4182,1.5817999999999999,-0.5818,0.2218,0.1882,0.0,0.0,0.988625,0.21845124999999999,1.20707625,1995-07-02,23.279452054794522,2,0.08108869884953232,0.1784815765357152,0.1784815765357152,0.2253277913555209,0.2795127939195518,0.33140331002296974,1.015394732965734,0.28381581874244954
2,2018-10-07,Dominik Kahun,home,Chicago Blackhawks,Toronto Maple Leafs,C,15.183333333333,0,2,0,0.17,1,0,0,0,0,2,3,0.78,0.85,20182019,0.5408666666666561,0.5408666666666561,0.5408666666666561,0.5408666666666561,1.459133333333344,-2.459133333333344,0.23913333333334397,-0.3091333333333439,1.535,0.0,0.9994583333333399,-1.5794487500000112,0.9550095833333287,1995-07-02,23.28219178082192,3,0.17854444878939982,0.24114625715175975,0.24114625715175975,0.2874961907367417,0.2801272726811105,0.33123326719030716,1.0153047811857856,0.28441455929366577
3,2018-10-11,Dominik Kahun,away,Chicago Blackhawks,Minnesota Wild,C,13.9,1,0,0,0.49,0,0,0,0,1,1,0,0.62,0.86,20182019,0.4998,0.4998,0.4998,0.4998,0.5002,0.4998,0.12019999999999997,-0.36019999999999996,0.995,-0.01,0.30012499999999986,-0.32783874999999996,0.9572862499999999,1995-07-02,23.293150684931508,4,0.24050401567270258,0.29524328874673794,0.29524328874673794,0.3671988331773374,0.280791856218375,0.33113367376667396,1.014947915782486,0.28498910923753523
4,2018-10-13,Dominik Kahun,home,Chicago Blackhawks,St Louis Blues,C,14.9,0,0,1,0.2,1,0,0,0,0,1,0,0.99,0.37,20182019,0.5318,0.5318,0.5318,0.5318,0.46819999999999995,0.5318,0.45819999999999994,0.16180000000000005,0.7000000000000001,0.0,0.5113749999999999,0.53936125,1.7507362499999999,1995-07-02,23.2986301369863,5,0.2938499302927466,0.3987430538917267,0.3987430538917267,0.5088262785174201,0.2815051495397195,0.3311017616973475,1.0147712436812593,0.2856633307011
5,2018-10-18,Dominik Kahun,home,Chicago Blackhawks,Arizona Coyotes,C,16.033333333333,0,0,0,0.32,0,0,0,0,0,0,1,1.05,0.81,20182019,0.5680666666666561,0.5680666666666561,0.5680666666666561,0.5680666666666561,-0.5680666666666561,-0.43193333333334394,0.481933333333344,-0.241933333333344,0.16,0.0,-0.09879166666666006,-0.6073787500000113,-0.5461704166666713,1995-07-02,23.312328767123287,6,0.39512593318684824,0.33517718948810127,0.33517718948810127,0.38927132883302457,0.282263460019085,0.33113190618280613,1.0143346783433844,0.2863096159265493
6,2018-10-20,Dominik Kahun,away,Chicago Blackhawks,Columbus Blue Jackets,C,15.333333333333,0,1,0,0.33,1,0,0,0,0,1,0,0.52,0.79,20182019,0.545666666666656,0.545666666666656,0.545666666666656,0.545666666666656,0.454333333333344,0.545666666666656,-0.025666666666655957,-0.24433333333334406,0.915,0.0,0.20895833333334002,-0.15981875000001156,0.9641395833333285,1995-07-02,23.317808219178083,7,0.33339625169485854,0.37538078806751374,0.37538078806751374,0.43798615128453844,0.28306177615033273,0.33121691942533127,1.0141620916200946,0.2870705229583205
7,2018-10-21,Dominik Kahun,home,Chicago Blackhawks,Tampa Bay Lightning,C,15.216666666667,0,0,0,0.03,1,0,0,0,0,0,0,0.22,1.04,20182019,0.541933333333344,0.541933333333344,0.541933333333344,0.541933333333344,-0.541933333333344,0.541933333333344,-0.32193333333334406,-0.498066666666656,0.065,0.0,-0.60120833333334,-0.5888087499999887,-1.1250170833333288,1995-07-02,23.32054794520548,8,0.37235365908925033,0.28389421138335014,0.28389421138335014,0.33135554777627113,0.28382517468747565,0.33127248598591613,1.014076234033635,0.2878203642710139
8,2018-10-23,Dominik Kahun,home,Chicago Blackhawks,Anaheim Ducks,C,13.55,0,0,1,0.0,0,0,0,0,0,0,0,0.81,0.29,20182019,0.48860000000000003,0.48860000000000003,0.48860000000000003,0.48860000000000003,-0.48860000000000003,0.48860000000000003,0.3214,0.19860000000000005,0.55,0.0,-0.19912499999999997,0.6291912500000001,0.9800662500000001,1995-07-02,23.326027397260273,9,0.28509285135991386,0.32452998650782633,0.32452998650782633,0.39585520363296756,0.28430095840715447,0.3310184909544171,1.013905388867522,0.28825427378921514
9,2018-10-25,Dominik Kahun,home,Chicago Blackhawks,New York Rangers,C,13.85,0,1,0,0.14,2,0,0,0,1,1,0,0.37,0.27,20182019,0.4982,0.4982,0.4982,0.4982,0.5018,0.4982,-0.12819999999999998,0.22819999999999996,0.87,-0.01,0.14487499999999998,0.67345125,1.67832625,1995-07-02,23.33150684931507,10,0.3235011804153482,0.40041736415007984,0.40041736415007984,0.4664186918278531,0.28438704984938457,0.33034171122647343,1.0137357016601034,0.2882933055221127
