Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2013-04-14,Filip Forsberg,home,Nashville Predators,Detroit Red Wings,L,18.616666666667,0,0,0,0.26,0,0,0,0,0,0,1,0.52,1.22,20122013,0.650733333333344,0.650733333333344,0.650733333333344,0.650733333333344,-0.650733333333344,-0.3492666666666559,-0.130733333333344,-0.5692666666666559,0.13,0.0,-0.48170833333334,-1.2160287499999884,-1.5677370833333284,1994-08-13,18.68219178082192,1,0.0,-0.1473659795761054,-0.1473659795761054,-0.1414586668368572,0.7998295055404832,0.1902567394527528,3.1410597013566623,2.512312227809237
2013-04-15,Filip Forsberg,home,Nashville Predators,Vancouver Canucks,L,13.166666666667,0,0,0,0.28,0,0,0,0,0,0,2,0.87,0.94,20122013,0.476333333333344,0.476333333333344,0.476333333333344,0.476333333333344,-0.476333333333344,-1.523666666666656,0.393666666666656,-0.4636666666666559,0.14,0.0,-0.15395833333334,-1.3639187499999883,-1.3778770833333285,1994-08-13,18.684931506849317,2,-0.1479807488147723,-0.2541358779382813,-0.2541358779382813,-0.2420128445571591,0.8009136805096082,0.2037131611914635,3.133216247402783,2.509435756539866
2013-04-19,Filip Forsberg,away,Nashville Predators,Chicago Blackhawks,L,14.616666666667,0,0,0,0.06,0,0,0,0,0,0,0,0.56,0.64,20122013,0.522733333333344,0.522733333333344,0.522733333333344,0.522733333333344,-0.522733333333344,0.522733333333344,0.037266666666656,-0.1172666666666559,0.03,0.0,-0.37670833333334,0.0706712500000114,-0.2760370833333286,1994-08-13,18.695890410958903,3,-0.254244510773766,-0.2559032733563126,-0.2559032733563126,-0.236798938484342,0.8019960245938909,0.2170621083563096,3.102287323052332,2.4880221002359937
2013-04-23,Filip Forsberg,home,Nashville Predators,Calgary Flames,L,15.866666666667,0,0,1,0.27,0,0,0,0,1,1,0,0.5,0.31,20122013,0.5627333333333441,0.5627333333333441,0.5627333333333441,0.5627333333333441,0.4372666666666559,0.5627333333333441,-0.062733333333344,0.2527333333333441,0.685,-0.01,0.1857916666666598,0.6744212500000115,1.5352129166666717,1994-08-13,18.70684931506849,4,-0.2559898750797584,-0.1206028152202124,-0.1206028152202124,-0.1199179005891507,0.8030761022607422,0.2302919176481407,3.072052457603005,2.467091913592356
2013-04-27,Filip Forsberg,away,Nashville Predators,Columbus Blue Jackets,L,15.116666666667,0,0,0,0.29,0,0,0,0,0,0,1,0.68,0.68,20122013,0.538733333333344,0.538733333333344,0.538733333333344,0.538733333333344,-0.538733333333344,-0.4612666666666559,0.141266666666656,-0.141266666666656,0.145,0.0,-0.31170833333334,-0.4177287499999885,-0.5844370833333286,1994-08-13,18.71780821917808,5,-0.1222283403494252,-0.1535859618886572,-0.1535859618886572,-0.1521881676221704,0.804153526499314,0.2433925320890796,3.0424888064503084,2.4466281030417045
2013-10-08,Filip Forsberg,home,Nashville Predators,Minnesota Wild,L,15.633333333333,1,0,0,0.43,0,1,1,0,0,0,0,0.27,0.48,20132014,0.555266666666656,0.555266666666656,0.555266666666656,0.555266666666656,-0.555266666666656,0.555266666666656,-0.285266666666656,0.075266666666656,0.965,0.0,-0.57829166666666,0.3774412499999886,0.7641495833333286,1994-08-13,19.167123287671235,6,-0.1545751173679771,-0.0918484006794875,-0.0918484006794875,-0.2449460179528122,0.8052279577240508,0.2563554439244594,2.220288194505483,1.78783812842047
2013-10-10,Filip Forsberg,home,Nashville Predators,Toronto Maple Leafs,L,13.85,0,0,0,0.1,0,0,0,0,0,0,2,0.44,0.52,20132014,0.4982,0.4982,0.4982,0.4982,-0.4982,-1.5018,-0.0581999999999999,-0.0218,0.05,0.0,-0.4363749999999999,-0.6265487500000001,-1.01292375,1994-08-13,19.172602739726027,7,-0.0743295641137697,-0.1507240090908011,-0.1507240090908011,-0.1852455807668146,0.8062991020813635,0.2691736203983154,2.2134553006625173,1.784707021421422
2013-10-12,Filip Forsberg,home,Nashville Predators,New York Islanders,L,12.25,0,0,0,0.05,0,0,0,0,0,0,1,0.05,0.25,20132014,0.447,0.447,0.447,0.447,-0.447,-0.5529999999999999,-0.397,0.197,0.025,0.0,-0.6481250000000001,0.21523125,-0.40789375,1994-08-13,19.17808219178082,8,-0.1499903128071571,-0.1664049025864507,-0.1664049025864507,-0.1988458108958972,0.8073667093019596,0.2818414170823951,2.206675120477952,1.7815960305187892
2013-10-15,Filip Forsberg,home,Nashville Predators,Florida Panthers,L,15.433333333333,0,0,1,0.0,0,0,0,0,0,0,2,0.22,0.39,20132014,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.5488666666666561,-0.5488666666666561,-1.451133333333344,-0.3288666666666561,0.158866666666656,0.55,0.0,-0.6055416666666601,-0.3513987500000114,-0.4069404166666714,1994-08-13,19.186301369863013,9,-0.1692972999292024,-0.1804450342168973,-0.1804450342168973,-0.2348343385303048,0.8084305702242063,0.2943544828043625,2.1966023990828893,1.7758005300464397
2013-10-17,Filip Forsberg,home,Nashville Predators,Los Angeles Kings,L,14.1,0,0,0,0.26,0,0,0,0,0,0,0,0.51,0.02,20132014,0.5062,0.5062,0.5062,0.5062,-0.5062,0.5062,0.0038,0.4861999999999999,0.13,0.0,-0.397625,1.10700125,0.8393762499999999,1994-08-13,19.19178082191781,10,-0.1859369109941411,-0.1232787049766755,-0.1232787049766755,-0.1510522462628893,0.8094905140967055,0.3067096596035461,2.189951438987652,1.772744916192934
