,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2010-11-29,Jared Spurgeon,away,Minnesota Wild,Calgary Flames,D,14.7,0,0,0,0.03,0,0,0,0,0,0,0,0.64,0.24,20102011,0.5254,0.5254,0.5254,0.5254,-0.5254,0.5254,0.11460000000000004,0.2854,0.015,0.0,-0.25139999999999996,1.2532625,1.0168625,1989-11-29,21.013698630136986,1,0.0,0.0955842277380426,0.0955842277380426,0.10641074814594173,0.23057703953020764,0.2345560008779855,1.243487892709428,0.2867197569925964
1,2010-12-01,Jared Spurgeon,home,Minnesota Wild,Phoenix Coyotes,D,12.766666666667,0,0,0,0.03,1,0,0,0,0,0,0,0.3,0.14,20102011,0.463533333333344,0.463533333333344,0.463533333333344,0.463533333333344,-0.463533333333344,0.463533333333344,-0.16353333333334402,0.323533333333344,0.065,0.0,-0.733533333333344,1.394329166666682,0.7257958333333379,1989-11-29,21.019178082191782,2,0.09598297813541455,0.1502668948595488,0.1502668948595488,0.17125869089035164,0.23250909520296012,0.2348173787929717,1.2423472210368405,0.2888570282911877
2,2010-12-03,Jared Spurgeon,home,Minnesota Wild,Calgary Flames,D,10.266666666667,0,0,0,0.0,1,0,0,0,0,0,1,0.17,0.28,20102011,0.383533333333344,0.383533333333344,0.383533333333344,0.383533333333344,-0.383533333333344,-0.6164666666666561,-0.21353333333334398,0.10353333333334397,0.05,0.0,-0.8615333333333439,0.38232916666668204,-0.42920416666666183,1989-11-29,21.024657534246575,3,0.15049413508592385,0.1035044230891721,0.1035044230891721,0.11514990473688484,0.23443901435691697,0.23509843597581298,1.2412112034969065,0.29098833115657746
3,2010-12-04,Jared Spurgeon,away,Minnesota Wild,Dallas Stars,D,10.7,0,0,0,0.0,0,0,0,0,0,1,0,0.74,0.36,20102011,0.3974,0.3974,0.3974,0.3974,0.6026,0.3974,0.3426,0.03739999999999999,0.0,0.0,0.4366000000000001,0.7932625,1.2298625,1989-11-29,21.027397260273972,4,0.10415465903620993,0.18858922366225836,0.18858922366225836,0.21085146097689514,0.2363664292116996,0.2354021103998238,1.2406449330998022,0.29324681275638814
4,2010-12-09,Jared Spurgeon,away,Minnesota Wild,Phoenix Coyotes,D,11.7,0,0,0,0.0,0,0,0,0,0,0,0,0.35,0.43,20102011,0.4294,0.4294,0.4294,0.4294,-0.4294,0.4294,-0.07940000000000003,-0.0005999999999999894,0.0,0.0,-0.6194000000000001,0.6782625000000001,0.05886250000000004,1989-11-29,21.041095890410958,5,0.1876272200268204,0.17936438658677606,0.17936438658677606,0.20191626298326093,0.2382910014055461,0.23573109537006223,1.237830854934179,0.2949639539929488
5,2010-12-11,Jared Spurgeon,away,Minnesota Wild,Los Angeles Kings,D,10.016666666667,0,0,0,0.0,0,0,0,0,0,1,0,0.54,0.43,20102011,0.375533333333344,0.375533333333344,0.375533333333344,0.375533333333344,0.6244666666666561,0.375533333333344,0.16446666666665605,-0.054466666666656005,0.0,0.0,0.13846666666665608,0.6008291666666821,0.7392958333333381,1989-11-29,21.046575342465754,6,0.17865899408692815,0.21703188475270263,0.21703188475270263,0.2370914030354433,0.24021242160019515,0.23608784341876657,1.236713233918852,0.29707388074465607
6,2010-12-12,Jared Spurgeon,away,Minnesota Wild,Anaheim Ducks,D,16.1,0,0,0,0.0,1,1,0,0,0,0,0,0.28,0.71,20102011,0.5702000000000002,0.5702000000000002,0.5702000000000002,0.5702000000000002,-0.5702000000000002,0.5702000000000002,-0.2902000000000001,-0.1397999999999998,0.05,-0.15,-0.8722000000000001,0.23666250000000044,-0.7355374999999996,1989-11-29,21.04931506849315,7,0.2152943112684208,0.15614316145478882,0.15614316145478882,0.18155796844413336,0.24213040887914078,0.23647457184986054,1.2361561290752785,0.2993109889714531
7,2010-12-16,Jared Spurgeon,home,Minnesota Wild,Ottawa Senators,D,11.35,0,0,0,0.0,0,0,0,0,0,0,0,0.3,0.26,20102011,0.4182,0.4182,0.4182,0.4182,-0.4182,0.4182,-0.11820000000000003,0.1582,0.0,0.0,-0.6882,1.0531625,0.36496249999999997,1989-11-29,21.06027397260274,8,0.15686787733306476,0.16887589508038123,0.16887589508038123,0.19078455666602015,0.24404470997348823,0.23689326965098703,1.2339390183142658,0.30113628984947577
8,2010-12-18,Jared Spurgeon,away,Minnesota Wild,Calgary Flames,D,12.566666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.47,0.22,20102011,0.457133333333344,0.457133333333344,0.457133333333344,0.457133333333344,-0.457133333333344,0.457133333333344,0.01286666666665598,0.237133333333344,0.0,0.0,-0.455133333333344,1.2011291666666821,0.7459958333333381,1989-11-29,21.065753424657533,9,0.16900150913578932,0.20256256264217987,0.20256256264217987,0.22115187911061834,0.2459550983469218,0.23734570551460657,1.2328372108920127,0.30322259745068975
9,2010-12-20,Jared Spurgeon,home,Minnesota Wild,Calgary Flames,D,14.466666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.24,0.16,20102011,0.517933333333344,0.517933333333344,0.517933333333344,0.517933333333344,-0.517933333333344,0.517933333333344,-0.277933333333344,0.357933333333344,0.0,0.0,-0.883933333333344,1.426529166666682,0.5425958333333379,1989-11-29,21.07123287671233,10,0.2009062756562695,0.22162321003775431,0.22162321003775431,0.2415945444170779,0.24786137316849283,0.23783343673330162,1.2317398739685739,0.30530073654823703
10,2010-12-23,Jared Spurgeon,away,Minnesota Wild,Colorado Avalanche,D,13.333333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.66,0.93,20102011,0.481666666666656,0.481666666666656,0.481666666666656,0.481666666666656,-0.481666666666656,0.481666666666656,0.17833333333334406,-0.4483333333333441,0.05,0.0,-0.17566666666665598,-0.39660416666668197,-0.5222708333333379,1989-11-29,21.07945205479452,11,0.21887481135355485,0.18146191102107886,0.18146191102107886,0.19512669797985197,0.24976335819912351,0.2383578187580225,1.2301022050191779,0.3072344576537366
11,2010-12-26,Jared Spurgeon,home,Minnesota Wild,Detroit Red Wings,D,8.0166666666667,0,0,0,0.0,0,0,0,0,0,0,1,0.13,0.3,20102011,0.3115333333333344,0.3115333333333344,0.3115333333333344,0.3115333333333344,-0.3115333333333344,-0.6884666666666657,-0.18153333333333438,0.011533333333334395,0.0,0.0,-0.8535333333333344,0.2328291666666683,-0.6207041666666661,1989-11-29,21.087671232876712,12,0.18164520273501072,0.139641636182185,0.139641636182185,0.1478609885365053,0.2516609006149551,0.23892001523114043,1.228474477565125,0.30915899340652586
12,2010-12-31,Jared Spurgeon,home,Minnesota Wild,Nashville Predators,D,12.9,0,0,0,0.05,0,0,0,0,0,0,1,0.64,0.39,20102011,0.4678,0.4678,0.4678,0.4678,-0.4678,-0.5322,0.17220000000000002,0.07779999999999998,0.025,0.0,-0.19379999999999997,0.25046250000000003,0.08166250000000005,1989-11-29,21.101369863013698,13,0.14305915141868444,0.13671567513119434,0.13671567513119434,0.15133261406483547,0.25355386978798666,0.2395210083284829,1.225783502566804,0.31080215059808564
13,2011-01-02,Jared Spurgeon,home,Minnesota Wild,Phoenix Coyotes,D,14.916666666667,0,0,0,0.17,2,0,0,0,0,0,2,0.49,0.96,20102011,0.532333333333344,0.532333333333344,0.532333333333344,0.532333333333344,-0.532333333333344,-1.467666666666656,-0.04233333333334399,-0.427666666666656,0.185,0.0,-0.49833333333334406,-1.5427708333333177,-1.8561041666666618,1989-11-29,21.106849315068494,14,0.14021622426956304,0.03914902613278641,0.03914902613278641,0.042634332936713176,0.2554421560418956,0.24016160926574218,1.2247147197780608,0.3128437685563538
14,2011-01-04,Jared Spurgeon,away,Minnesota Wild,New Jersey Devils,D,15.6,0,0,0,0.0,1,0,0,0,0,0,0,0.16,0.12,20102011,0.5542,0.5542,0.5542,0.5542,-0.5542,0.5542,-0.3942,0.43420000000000003,0.05,0.0,-1.0482,1.5706625,0.5724625000000001,1989-11-29,21.112328767123287,15,0.051546053109027115,0.06453175463198504,0.06453175463198504,0.0722351809353373,0.2573256693985225,0.24084246884457006,1.2236502538077205,0.3148766206707437
15,2011-01-14,Jared Spurgeon,home,Minnesota Wild,Colorado Avalanche,D,12.983333333333,0,0,0,0.04,1,0,0,0,0,0,0,0.73,0.06,20102011,0.470466666666656,0.470466666666656,0.470466666666656,0.470466666666656,-0.470466666666656,0.470466666666656,0.259533333333344,0.410466666666656,0.07,0.0,-0.052466666666656,1.588295833333318,1.605829166666662,1989-11-29,21.13972602739726,16,0.07378061863451818,0.13597842183640554,0.13597842183640554,0.14466019300796437,0.2592043383282616,0.24156408793217082,1.2183919833268886,0.3158124878627045
16,2011-01-16,Jared Spurgeon,home,Minnesota Wild,Vancouver Canucks,D,15.15,0,0,0,0.07,0,0,0,0,0,1,0,0.54,0.15,20102011,0.5398000000000001,0.5398000000000001,0.5398000000000001,0.5398000000000001,0.46019999999999994,0.5398000000000001,0.00019999999999997797,0.38980000000000004,0.035,0.0,-0.025800000000000045,1.4809625,1.4901624999999998,1989-11-29,21.145205479452056,17,0.1376550310784862,0.1972231599730324,0.1972231599730324,0.2037311354058643,0.26107810851553104,0.24232682778519718,1.2173530043132443,0.3178242197618009
17,2011-01-18,Jared Spurgeon,away,Minnesota Wild,Edmonton Oilers,D,16.783333333333,0,0,0,0.0,4,0,0,0,0,1,0,0.62,0.26,20102011,0.5920666666666561,0.5920666666666561,0.5920666666666561,0.5920666666666561,0.4079333333333439,0.5920666666666561,0.027933333333343913,0.3320666666666561,0.2,0.0,0.04993333333334393,1.3030958333333182,1.5530291666666622,1989-11-29,21.15068493150685,18,0.1919858124307392,0.25714488072402764,0.25714488072402764,0.2902039580789851,0.2629469416486157,0.2431309201442176,1.2163182053178236,0.31982715215985474
18,2011-01-19,Jared Spurgeon,away,Minnesota Wild,Calgary Flames,D,17.633333333333,0,0,0,0.0,2,0,0,0,0,1,0,0.17,0.53,20102011,0.619266666666656,0.619266666666656,0.619266666666656,0.619266666666656,0.380733333333344,0.619266666666656,-0.44926666666665593,0.08926666666665595,0.1,0.0,-0.6972666666666559,0.7211958333333179,0.12392916666666198,1989-11-29,21.153424657534245,19,0.24474126561762388,0.2513826934490141,0.2513826934490141,0.26162812612539754,0.2648108142414714,0.2439764770389585,1.2158023673716964,0.32195761486040747
19,2011-01-22,Jared Spurgeon,away,Minnesota Wild,San Jose Sharks,D,16.283333333333,0,0,0,0.04,1,0,0,0,0,0,1,0.65,1.16,20102011,0.5760666666666561,0.5760666666666561,0.5760666666666561,0.5760666666666561,-0.5760666666666561,-0.42393333333334393,0.07393333333334395,-0.5839333333333439,0.07,0.0,-0.28606666666665603,-1.3649041666666812,-1.5809708333333372,1989-11-29,21.161643835616438,20,0.24022491036066904,0.17370615506553275,0.17370615506553275,0.1791541760402688,0.2666697164935542,0.24486350025697162,1.2142610713385655,0.32380665564301464
20,2011-01-25,Jared Spurgeon,away,Minnesota Wild,Chicago Blackhawks,D,12.683333333333,0,1,0,0.01,0,0,0,0,0,2,0,0.45,0.19,20102011,0.460866666666656,0.460866666666656,0.460866666666656,0.460866666666656,1.5391333333333441,0.460866666666656,-0.010866666666655977,0.270866666666656,0.705,0.0,0.30913333333334414,1.275495833333318,2.2896291666666624,1989-11-29,21.16986301369863,21,0.17423283070569495,0.2617280135625125,0.2617280135625125,0.2723435317361737,0.26852365119238686,0.24579189043939456,1.2127290526695078,0.32564643312990066
21,2011-02-01,Jared Spurgeon,home,Minnesota Wild,Los Angeles Kings,D,19.183333333333,0,0,0,0.01,2,0,0,0,0,0,0,0.51,0.28,20102011,0.6688666666666561,0.6688666666666561,0.6688666666666561,0.6688666666666561,-0.6688666666666561,0.6688666666666561,-0.15886666666665605,0.38886666666665604,0.10500000000000001,0.0,-0.602866666666656,1.367495833333318,0.869629166666662,1989-11-29,21.18904109589041,22,0.24861483453419303,0.2865740153241416,0.2865740153241416,0.297506504744347,0.27037263266238243,0.2467614557771421,1.209190068687002,0.32693190226011176
22,2011-02-03,Jared Spurgeon,away,Minnesota Wild,Colorado Avalanche,D,15.783333333333,0,0,0,0.09,0,0,0,0,0,1,0,0.51,0.41,20102011,0.560066666666656,0.560066666666656,0.560066666666656,0.560066666666656,0.43993333333334395,0.560066666666656,-0.050066666666656046,0.15006666666665608,0.045,0.0,-0.09406666666665608,0.9120958333333182,0.8630291666666622,1989-11-29,21.194520547945206,23,0.26998328932443433,0.30974845536502,0.30974845536502,0.3219092825497201,0.272216685762407,0.24777192028926337,1.2081880345090024,0.3288889425318372
23,2011-02-09,Jared Spurgeon,home,Minnesota Wild,Colorado Avalanche,D,10.616666666667,0,0,1,0.0,0,0,1,0,0,1,0,0.52,0.33,20102011,0.394733333333344,0.394733333333344,0.394733333333344,0.394733333333344,0.605266666666656,0.394733333333344,0.12526666666665603,0.06473333333334397,0.55,0.15,0.08726666666665606,0.858429166666682,1.6456958333333382,1989-11-29,21.21095890410959,24,0.2897835096353124,0.3626304542403367,0.3626304542403367,0.3773313941359626,0.27405584493366725,0.2488229316724395,1.2052059380253441,0.3302937316646087
24,2011-02-11,Jared Spurgeon,away,Minnesota Wild,St Louis Blues,D,14.883333333333,0,0,0,0.06,1,0,0,0,0,0,0,0.25,0.36,20102011,0.531266666666656,0.531266666666656,0.531266666666656,0.531266666666656,-0.531266666666656,0.531266666666656,-0.281266666666656,0.17126666666665602,0.08,0.0,-0.881266666666656,0.9856958333333181,0.1844291666666621,1989-11-29,21.216438356164385,25,0.3340792429224499,0.3556781536643946,0.3556781536643946,0.3740276180333161,0.27589015329874056,0.2499140687167574,1.2042198483467637,0.33223239856577474
25,2011-02-12,Jared Spurgeon,home,Minnesota Wild,St Louis Blues,D,15.766666666667,0,1,0,0.0,1,0,0,0,0,1,0,0.2,0.27,20102011,0.5595333333333441,0.5595333333333441,0.5595333333333441,0.5595333333333441,0.4404666666666559,0.5595333333333441,-0.3595333333333441,0.2895333333333441,0.75,0.0,-0.5895333333333441,1.2333291666666821,1.393795833333338,1989-11-29,21.21917808219178,26,0.32932751593940424,0.3956321242670794,0.3956321242670794,0.4147537021173491,0.27771966181191654,0.25104484828809137,1.203728282763955,0.33429901160264464
26,2011-02-15,Jared Spurgeon,home,Minnesota Wild,Vancouver Canucks,D,12.1,0,0,1,0.05,1,0,0,0,0,0,1,0.12,0.46,20102011,0.4422,0.4422,0.4422,0.4422,-0.4422,-0.5578000000000001,-0.3222,-0.017800000000000038,0.6250000000000001,0.0,-1.0002,0.052662500000000056,-0.3225374999999998,1989-11-29,21.22739726027397,27,0.3621472604646092,0.36834193077011823,0.36834193077011823,0.37243229619254525,0.27954442846047645,0.2522147318817447,1.2022594767358252,0.3360849382853077
27,2011-02-16,Jared Spurgeon,away,Minnesota Wild,Chicago Blackhawks,D,15.833333333333,0,1,0,0.0,0,0,0,0,0,0,0,0.82,0.53,20102011,0.5616666666666561,0.5616666666666561,0.5616666666666561,0.5616666666666561,-0.5616666666666561,0.5616666666666561,0.25833333333334385,0.031666666666656074,0.7,0.0,0.0003333333333437327,0.6383958333333182,1.3387291666666619,1989-11-29,21.23013698630137,28,0.34155437267367567,0.4047784947914193,0.4047784947914193,0.41182313733251386,0.28136451751608904,0.2534231317555474,1.2017718310330328,0.33813595140303615
28,2011-02-18,Jared Spurgeon,home,Minnesota Wild,Anaheim Ducks,D,11.35,0,0,0,0.0,1,0,1,0,0,0,0,0.11,0.4,20102011,0.4182,0.4182,0.4182,0.4182,-0.4182,0.4182,-0.30820000000000003,0.018199999999999994,0.05,0.15,-0.9922000000000001,0.7311625,-0.06103749999999997,1989-11-29,21.235616438356164,29,0.3707241475759938,0.3874825738139894,0.3874825738139894,0.41546144744459057,0.28317999883513784,0.2546694166534568,1.2007994610790702,0.34004238998960523
29,2011-02-20,Jared Spurgeon,home,Minnesota Wild,Detroit Red Wings,D,10.25,0,0,0,0.05,1,0,0,0,0,0,0,0.14,0.07,20102011,0.383,0.383,0.383,0.383,-0.383,0.383,-0.243,0.313,0.07500000000000001,0.0,-0.909,1.4395625,0.6055625,1989-11-29,21.24109589041096,30,0.35840744360807736,0.39549539322908533,0.39549539322908533,0.39676950030332025,0.2849894710909894,0.2559516985446501,1.1998309720313876,0.3419391941178128
30,2011-02-22,Jared Spurgeon,home,Minnesota Wild,Edmonton Oilers,D,11.766666666667,1,0,0,0.26,0,0,0,0,0,0,0,0.2,0.23,20102011,0.431533333333344,0.431533333333344,0.431533333333344,0.431533333333344,-0.431533333333344,0.431533333333344,-0.23153333333334397,0.20153333333334397,0.88,0.0,-0.8615333333333439,1.141329166666682,1.1597958333333382,1989-11-29,21.246575342465754,31,0.36528788169539167,0.4233026532292061,0.4233026532292061,0.4564623568576788,0.2867861287820415,0.2572636462194301,1.1988663467494718,0.3438182385113497
31,2011-02-24,Jared Spurgeon,away,Minnesota Wild,Los Angeles Kings,D,13.166666666667,0,0,0,0.11,0,0,1,0,0,1,0,0.47,0.21,20102011,0.476333333333344,0.476333333333344,0.476333333333344,0.476333333333344,0.5236666666666561,0.476333333333344,-0.006333333333344016,0.26633333333334397,0.055,0.15,-0.07433333333334402,1.2517291666666819,1.382395833333338,1989-11-29,21.252054794520546,32,0.38688683517423555,0.45787631073493995,0.45787631073493995,0.45959797811445563,0.2885629921521524,0.258598883650642,1.1979055682004034,0.3456712150756327
