Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-03-29,Jesse Winchester,away,Ottawa Senators,Boston Bruins,C,14.0,0,0,0,0.01,0,1,0,0,0,0,0,0.31,0.35,20072008,0.503,0.503,0.503,0.503,-0.503,0.503,-0.193,0.153,0.005,-0.15,-0.520625,0.54258125,-0.12304375,1983-10-04,24.5013698630137,1,0.0,-0.0115660099784806,-0.0115660099784806,-0.0114917928730822,0.0131438187951423,0.0177121194444679,1,0.0131438187951423
2008-10-04,Jesse Winchester,home,Ottawa Senators,Pittsburgh Penguins,C,13.33333333,0,0,0,0.15,0,0,0,0,0,0,1,0.45,0.37,20082009,0.48166666656,0.48166666656,0.48166666656,0.48166666656,-0.48166666656,-0.51833333344,-0.03166666656,0.11166666656,0.075,0.0,-0.4197916666,0.048281249886,-0.2965104167139999,1983-10-04,25.019178082191782,2,-0.01161426010493,-0.0362902771981159,-0.0362902771981159,-0.0437579656158052,0.0209125586450616,0.0264527610889486,1,0.0209125586450616
2008-10-05,Jesse Winchester,away,Ottawa Senators,Pittsburgh Penguins,C,12.46666667,0,1,0,0.03,0,0,1,0,0,1,0,0.28,0.56,20082009,0.45393333344,0.45393333344,0.45393333344,0.45393333344,0.54606666656,0.45393333344,-0.17393333344,-0.10606666656,0.715,0.15,0.1162916666,0.1331412501139999,1.114432916714,1983-10-04,25.02191780821918,3,-0.0455870266587519,0.056571410716215,0.056571410716215,0.0692913778515589,0.0285462945050315,0.035018467160847,1,0.0285462945050315
2008-10-11,Jesse Winchester,home,Ottawa Senators,Detroit Red Wings,C,16.33333333,0,0,0,0.17,0,0,0,0,0,0,0,0.24,0.43,20082009,0.57766666656,0.57766666656,0.57766666656,0.57766666656,-0.57766666656,0.57766666656,-0.33766666656,0.14766666656,0.085,0.0,-0.6110416666,0.4863812498859999,-0.0396604167140001,1983-10-04,25.03835616438356,4,0.0782141200948508,0.0493020831253482,0.0493020831253482,0.0607214123466399,0.0360254825135331,0.0433845091223921,1,0.0360254825135331
2008-10-17,Jesse Winchester,home,Ottawa Senators,Phoenix Coyotes,C,18.21666667,0,0,0,0.2,0,0,1,0,0,0,1,0.24,0.43,20082009,0.63793333344,0.63793333344,0.63793333344,0.63793333344,-0.63793333344,-0.36206666656,-0.39793333344,0.20793333344,0.1,0.15,-0.6487083334,0.1132912501139999,-0.285417083286,1983-10-04,25.054794520547944,5,0.0667291107118792,0.0255002812373672,0.0255002812373672,0.0316124551081442,0.0433379017972367,0.0515355041636074,1,0.0433379017972367
2008-10-18,Jesse Winchester,home,Ottawa Senators,Boston Bruins,C,14.23333333,0,0,0,0.09,1,0,1,0,0,0,1,0.2,0.62,20082009,0.5104666665600001,0.5104666665600001,0.5104666665600001,0.5104666665600001,-0.5104666665600001,-0.4895333334399999,-0.31046666656,-0.1095333334399999,0.095,0.15,-0.5940416666000001,-0.3459387501139999,-0.694980416714,1983-10-04,25.057534246575344,6,0.035136517357105,-0.0229676259079733,-0.0229676259079733,-0.0283915357044673,0.0504775483304439,0.0594639929315046,1,0.0504775483304439
2008-10-22,Jesse Winchester,home,Ottawa Senators,Florida Panthers,C,14.71666667,0,0,0,0.16,0,0,1,0,0,0,1,0.46,0.09,20082009,0.52593333344,0.52593333344,0.52593333344,0.52593333344,-0.52593333344,-0.4740666665599999,-0.06593333344,0.43593333344,0.08,0.15,-0.4412083334,0.5715912501140001,0.3603829167140001,1983-10-04,25.068493150684933,7,-0.0250781896269299,0.0015363372567405,0.0015363372567405,0.0018120508254841,0.0574434829045727,0.0671689604961103,1,0.0574434829045727
2008-10-24,Jesse Winchester,home,Ottawa Senators,Anaheim Ducks,C,9.966666667,0,0,0,0.0,0,0,0,0,1,0,1,0.12,0.37,20082009,0.373933333344,0.373933333344,0.373933333344,0.373933333344,-0.373933333344,-0.626066666656,-0.253933333344,0.003933333344,0.0,-0.01,-0.55870833334,-0.0668587499885999,-0.6355670833286,1983-10-04,25.07397260273973,8,0.0044975613991108,-0.0373109658847286,-0.0373109658847286,-0.0441838727875429,0.0642387360838784,0.0746544318275832,1,0.0642387360838784
2008-10-25,Jesse Winchester,away,Ottawa Senators,Toronto Maple Leafs,C,12.88333333,0,0,0,0.0,0,0,0,0,0,0,1,0.05,0.41,20082009,0.46726666656,0.46726666656,0.46726666656,0.46726666656,-0.46726666656,-0.53273333344,-0.41726666656,0.05726666656,0.0,0.0,-0.6607916666,-0.035108750114,-0.695900416714,1983-10-04,25.076712328767123,9,-0.041275753649581,-0.0757530338488907,-0.0757530338488907,-0.0904106347416284,0.0708693278309099,0.081928215191051,1,0.0708693278309099
2008-10-27,Jesse Winchester,away,Ottawa Senators,Buffalo Sabres,C,5.966666667,0,1,0,0.0,0,0,0,0,0,1,0,0.13,0.17,20082009,0.245933333344,0.245933333344,0.245933333344,0.245933333344,0.754066666656,0.245933333344,-0.115933333344,0.0759333333439999,0.7,0.0,0.15254166666,0.5738412500114,1.4263829166714,1983-10-04,25.08219178082192,10,-0.0850437553996332,0.0084495608998114,0.0084495608998114,0.009729843036995,0.0773434270392011,0.0890008253759219,1,0.0773434270392011
