Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-03,Joel Lundqvist,away,Dallas Stars,Colorado Avalanche,C,13.0,0,0,0,0.08,0,0,0,1,2,1,0,0.23,0.32,20072008,0.471,0.471,0.471,0.471,0.5289999999999999,0.471,-0.241,0.151,0.04,-0.01,0.0743749999999999,0.55938125,0.66375625,1982-03-02,25.605479452054794,37,0.0,0.6550247756771026,0.6550247756771026,0.7789405286703251,0.641850386019944,0.4972846876299208,1,0.641850386019944
2007-10-05,Joel Lundqvist,home,Dallas Stars,Boston Bruins,C,14.733333333333,1,0,0,0.13,0,0,0,1,0,1,0,0.19,0.46,20072008,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.4735333333333439,0.5264666666666561,-0.3364666666666561,0.066466666666656,0.815,0.01,0.0147083333333398,0.3806612499999886,1.2203695833333286,1982-03-02,25.610958904109587,38,0.66375625,0.9359707481014834,0.9359707481014834,1.1103862716777049,0.6051425905538367,0.471770239628656,1,0.6051425905538367
2007-10-06,Joel Lundqvist,away,Dallas Stars,Nashville Predators,C,14.933333333333,0,0,0,0.0,0,0,0,4,0,0,0,0.56,0.33,20072008,0.532866666666656,0.532866666666656,0.532866666666656,0.532866666666656,-0.532866666666656,0.532866666666656,0.027133333333344,0.202866666666656,0.0,0.04,-0.38304166666666,0.6085012499999887,0.2654595833333286,1982-03-02,25.613698630136987,39,0.9425940810331928,0.7130757979884058,0.7130757979884058,0.7667729368463192,0.5698767059143562,0.4475701991492987,1,0.5698767059143562
2007-10-10,Joel Lundqvist,home,Dallas Stars,Los Angeles Kings,C,13.783333333333,1,1,0,0.17,1,0,0,5,6,2,0,0.28,0.47,20072008,0.496066666666656,0.496066666666656,0.496066666666656,0.496066666666656,1.503933333333344,0.496066666666656,-0.2160666666666559,0.026066666666656,1.585,-0.01,0.7149583333333399,0.3311712499999886,2.621129583333329,1982-03-02,25.624657534246577,40,0.7163081126320905,1.1902027891232163,1.1902027891232163,1.5400266351718177,0.5363442762996663,0.4263074651560496,1,0.5363442762996663
2007-10-12,Joel Lundqvist,home,Dallas Stars,Calgary Flames,C,13.55,0,0,0,0.13,0,1,0,3,3,0,0,0.2,0.28,20072008,0.4886,0.4886,0.4886,0.4886,-0.4886,0.4886,-0.2886,0.2086,0.065,-0.15,-0.5803750000000001,0.64619125,-0.01918375,1982-03-02,25.63013698630137,41,1.1961571733404317,0.9474955056922012,0.9474955056922012,1.1818531380901565,0.504095953315597,0.4086004633662682,1,0.504095953315597
2007-10-17,Joel Lundqvist,away,Dallas Stars,Columbus Blue Jackets,C,9.2833333333333,0,0,0,0.0,0,0,0,3,2,0,0,0.11,0.25,20072008,0.3520666666666656,0.3520666666666656,0.3520666666666656,0.3520666666666656,-0.3520666666666656,0.3520666666666656,-0.2420666666666656,0.1020666666666655,0.0,0.01,-0.5512916666666661,0.5512712499999988,0.0099795833333327,1982-03-02,25.64383561643836,42,0.950856887638357,0.7901376278367077,0.7901376278367077,0.8839919438204747,0.4721331444812295,0.3946972703666523,1,0.4721331444812295
2007-10-20,Joel Lundqvist,home,Dallas Stars,Anaheim Ducks,C,10.533333333333,0,1,0,0.0,0,0,0,2,3,0,0,0.19,0.06,20072008,0.3920666666666559,0.3920666666666559,0.3920666666666559,0.3920666666666559,-0.3920666666666559,0.3920666666666559,-0.2020666666666559,0.3320666666666559,0.7,-0.01,-0.5262916666666599,0.9170212499999886,1.0807295833333286,1982-03-02,25.65205479452055,43,0.791587208398897,0.8321179995233456,0.8321179995233456,1.000451164453816,0.4406783078925579,0.3835567283133265,1,0.4406783078925579
2007-10-25,Joel Lundqvist,away,Dallas Stars,Los Angeles Kings,C,12.45,0,0,0,0.13,0,0,0,0,4,0,1,0.15,0.51,20072008,0.4533999999999999,0.4533999999999999,0.4533999999999999,0.4533999999999999,-0.4533999999999999,-0.5466,-0.3034,-0.0566,0.065,-0.04,-0.5896250000000001,-0.21992875,-0.78455375,1982-03-02,25.66575342465753,44,0.8336521115156723,0.6267965394044424,0.6267965394044424,0.7740301470048421,0.4102256223448336,0.3735452200808276,1,0.4102256223448336
2007-10-27,Joel Lundqvist,away,Dallas Stars,Phoenix Coyotes,C,16.283333333333,0,0,0,0.16,1,0,0,3,0,0,0,0.17,0.22,20072008,0.5760666666666561,0.5760666666666561,0.5760666666666561,0.5760666666666561,-0.5760666666666561,0.5760666666666561,-0.406066666666656,0.3560666666666561,0.13,0.03,-0.6537916666666601,0.8416712499999887,0.3478795833333286,1982-03-02,25.671232876712327,45,0.6264140016254153,0.5951428179744469,0.5951428179744469,0.6981295139858356,0.3809988617981724,0.3634148400521748,1,0.3809988617981724
2007-10-29,Joel Lundqvist,home,Dallas Stars,San Jose Sharks,C,12.383333333333,0,0,0,0.0,0,0,0,0,2,0,2,0.13,0.69,20072008,0.451266666666656,0.451266666666656,0.451266666666656,0.451266666666656,-0.451266666666656,-1.548733333333344,-0.321266666666656,-0.2387333333333439,0.0,-0.02,-0.6007916666666601,-0.9657087500000112,-1.5865004166666714,1982-03-02,25.676712328767124,46,0.5946855252008315,0.3710051070348013,0.3710051070348013,0.4462136850559656,0.3524031777376819,0.3520320285948914,1,0.3524031777376819
