Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2017-03-16,John Hayden,away,Chicago Blackhawks,Ottawa Senators,L,8.7333333333333,0,0,0,0.01,0,0,1,0,0,0,0,0.01,0.07,20162017,0.3344666666666656,0.3344666666666656,0.3344666666666656,0.3344666666666656,-0.3344666666666656,0.3344666666666656,-0.3244666666666656,0.2644666666666656,0.005,0.15,-0.6027916666666661,0.8384612499999988,0.3906695833333328,1995-02-14,22.0986301369863,1,0.0,0.0367226153227791,0.0367226153227791,0.0368204209270891,0.5064762495725912,0.5452895455582575,1.0871272296622083,0.5506041220875563
2017-03-18,John Hayden,away,Chicago Blackhawks,Toronto Maple Leafs,L,15.483333333333,1,0,0,0.32,0,0,0,0,0,1,0,0.5,0.26,20162017,0.550466666666656,0.550466666666656,0.550466666666656,0.550466666666656,0.449533333333344,0.550466666666656,-0.050466666666656,0.290466666666656,0.91,0.0,0.1934583333333399,0.7463112499999885,1.8497695833333283,1995-02-14,22.10410958904109,2,0.0368758117004558,0.1940384167887448,0.1940384167887448,0.1901000986780603,0.5019073086767467,0.5418530696124466,1.0866097143040467,0.5453773572883528
2017-03-19,John Hayden,home,Chicago Blackhawks,Colorado Avalanche,L,17.166666666667,0,2,0,0.02,1,0,0,0,0,3,0,0.77,0.44,20162017,0.604333333333344,0.604333333333344,0.604333333333344,0.604333333333344,2.395666666666656,0.604333333333344,0.1656666666666559,0.164333333333344,1.46,0.0,1.57854166666666,0.4978812500000114,3.5364229166666714,1995-02-14,22.10684931506849,3,0.1937842268026285,0.4637639841184199,0.4637639841184199,0.4916465130814851,0.497325043889078,0.5383422533568799,1.0863517485101029,0.5402699310067636
2017-03-21,John Hayden,home,Chicago Blackhawks,Vancouver Canucks,L,13.0,0,0,0,0.36,0,0,1,0,0,1,0,0.84,0.02,20162017,0.471,0.471,0.471,0.471,0.5289999999999999,0.471,0.3689999999999999,0.451,0.18,0.15,0.4556249999999998,1.06938125,1.85500625,1995-02-14,22.112328767123287,4,0.4605166739626619,0.5688580684668331,0.5688580684668331,0.5816553922023232,0.4927265206437994,0.5347405087204083,1.0858373963287855,0.5350208822780048
2017-03-23,John Hayden,home,Chicago Blackhawks,Dallas Stars,L,13.216666666667,0,0,0,0.19,0,0,0,0,0,0,0,0.33,0.38,20162017,0.477933333333344,0.477933333333344,0.477933333333344,0.477933333333344,-0.477933333333344,0.477933333333344,-0.147933333333344,0.097933333333344,0.095,0.0,-0.49245833333334,0.4647912500000114,0.0673329166666714,1995-02-14,22.117808219178084,5,0.5639343109063062,0.5331947318465542,0.5331947318465542,0.5307232070613174,0.4881099458800859,0.531037573033331,1.0853251442308818,0.5297579974128321
2017-03-25,John Hayden,away,Chicago Blackhawks,Florida Panthers,L,14.333333333333,0,0,0,0.24,0,0,0,0,0,0,1,0.45,0.82,20162017,0.5136666666666561,0.5136666666666561,0.5136666666666561,0.5136666666666561,-0.5136666666666561,-0.4863333333333439,-0.063666666666656,-0.3063333333333439,0.12,0.0,-0.43979166666666,-0.6825187500000113,-1.0023104166666714,1995-02-14,22.12328767123288,6,0.529526207912436,0.4298988057087035,0.4298988057087035,0.431189937728704,0.4834744790171527,0.5272284863749582,1.0848149852972089,0.524480359846568
2017-03-27,John Hayden,away,Chicago Blackhawks,Tampa Bay Lightning,L,9.35,0,0,0,0.0,0,0,0,0,0,0,1,0.1,0.11,20162017,0.3542,0.3542,0.3542,0.3542,-0.3542,-0.6457999999999999,-0.2542,0.2442,0.0,0.0,-0.558875,0.35405125,-0.2048237499999999,1995-02-14,22.12876712328767,7,0.4299120578698734,0.3893270146306969,0.3893270146306969,0.3834670647974308,0.4788200311979581,0.5233124921543022,1.08430691264401,0.5191878697403665
2017-03-29,John Hayden,away,Chicago Blackhawks,Pittsburgh Penguins,L,10.583333333333,0,0,0,0.52,0,1,0,0,0,0,0,1.01,0.3,20162017,0.393666666666656,0.393666666666656,0.393666666666656,0.393666666666656,-0.393666666666656,0.393666666666656,0.6163333333333441,0.093666666666656,0.26,-0.15,-0.0147916666666599,0.5107312499999885,0.6059395833333285,1995-02-14,22.134246575342463,8,0.3910168218716162,0.4025349395118917,0.4025349395118917,0.3782020804087232,0.4741470771725874,0.5192919996993671,1.083800919422866,0.5138810381813149
2017-03-31,John Hayden,home,Chicago Blackhawks,Columbus Blue Jackets,L,9.1333333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.11,0.14,20162017,0.3472666666666656,0.3472666666666656,0.3472666666666656,0.3472666666666656,-0.3472666666666656,0.3472666666666656,-0.2372666666666656,0.2072666666666656,0.05,0.0,-0.5482916666666661,0.7331412499999989,0.2348495833333327,1995-02-14,22.13972602739726,9,0.4034711009585126,0.3927470939114283,0.3927470939114283,0.3730020110858676,0.469456492075307,0.5151716796896941,1.0832969988203804,0.5085608089419238
2017-04-02,John Hayden,home,Chicago Blackhawks,Boston Bruins,L,7.5666666666667,0,1,0,0.0,0,0,0,0,0,1,1,0.44,0.25,20162017,0.2971333333333344,0.2971333333333344,0.2971333333333344,0.2971333333333344,0.7028666666666656,-0.7028666666666656,0.1428666666666656,0.0471333333333344,0.7,0.0,0.3142916666666659,0.055061250000001,1.0693529166666669,1995-02-14,22.145205479452056,10,0.394201697904026,0.430674397281232,0.430674397281232,0.4095685465996168,0.4647537061524974,0.51097685105085,1.082795144058038,0.5032330562049004
2017-04-06,John Hayden,away,Chicago Blackhawks,Anaheim Ducks,L,9.2666666666667,0,0,0,0.26,0,1,1,0,0,0,0,0.65,0.13,20162017,0.3515333333333343,0.3515333333333343,0.3515333333333343,0.3515333333333343,-0.3515333333333343,0.3515333333333343,0.2984666666666656,0.2215333333333343,0.13,0.0,-0.2134583333333339,0.7547012500000011,0.6712429166666671,1995-02-14,22.156164383561645,11,0.4295094652854073,0.4436621934964756,0.4436621934964756,0.4208338975814545,0.4600563600328505,0.5067872134816247,1.0817976051125997,0.4976878685003575
2017-04-08,John Hayden,away,Chicago Blackhawks,Los Angeles Kings,L,12.383333333333,0,0,0,0.0,0,0,1,0,0,0,0,0.02,0.5,20162017,0.451266666666656,0.451266666666656,0.451266666666656,0.451266666666656,-0.451266666666656,0.451266666666656,-0.431266666666656,-0.0487333333333439,0.0,0.15,-0.66954166666666,0.2322912499999886,-0.2872504166666714,1995-02-14,22.16164383561644,12,0.4416103782124196,0.4055566601281913,0.4055566601281913,0.3815766569592921,0.4553747745681692,0.5026494431286984,1.0813019075447488,0.4923976123883213
2017-10-05,John Hayden,home,Chicago Blackhawks,Pittsburgh Penguins,R,14.31666667,0,1,0,0.51,0,0,2,0,0,1,0,0.95,0.41,20172018,0.51313333344,0.51313333344,0.51313333344,0.51313333344,0.48686666656,0.51313333344,0.4368666665599999,0.10313333344,0.955,0.3,0.4980416665999999,0.451411250114,2.204452916714,1995-02-14,22.654794520547945,13,0.4067372512748518,0.4963393231365492,0.4963393231365492,0.6013454344341312,0.4507105133335324,0.4985711622946637,1.0443175478330982,0.4706848980670715
2017-10-07,John Hayden,home,Chicago Blackhawks,Columbus Blue Jackets,R,14.58333333,0,0,0,0.18,0,0,0,0,0,0,0,0.2,0.43,20172018,0.52166666656,0.52166666656,0.52166666656,0.52166666656,-0.52166666656,0.52166666656,-0.32166666656,0.09166666656,0.09,0.0,-0.6010416666,0.426531249886,-0.084510416714,1995-02-14,22.660273972602734,14,0.5203465068209433,0.4679014475693892,0.4679014475693892,0.4406590536098513,0.4460597291345712,0.494536107827335,1.0439839427062074,0.4656791947043726
2017-10-09,John Hayden,away,Chicago Blackhawks,Toronto Maple Leafs,R,9.783333333,0,1,0,0.0,1,0,0,0,0,1,0,0.11,0.24,20172018,0.368066666656,0.368066666656,0.368066666656,0.368066666656,0.631933333344,0.368066666656,-0.258066666656,0.128066666656,0.75,0.0,0.0637083333399999,0.5853712499886,1.3990795833286,1995-02-14,22.66575342465753,15,0.4842644830758447,0.5122203012315243,0.5122203012315243,0.5597122900986957,0.4414157543237934,0.4905157563507821,1.0436518915049344,0.4606843869401044
2017-10-10,John Hayden,away,Chicago Blackhawks,Montreal Canadiens,R,12.7,0,0,0,0.05,0,1,0,1,0,0,0,0.18,0.26,20172018,0.4614,0.4614,0.4614,0.4614,-0.4614,0.4614,-0.2814,0.2013999999999999,0.025,-0.1399999999999999,-0.575875,0.65112125,-0.03975375,1995-02-14,22.66849315068493,16,0.5359503507833999,0.4866336065184294,0.4866336065184294,0.6005840108813221,0.436771066378986,0.4864780866611635,1.0434864473016592,0.4557646883399652
2017-10-12,John Hayden,home,Chicago Blackhawks,Minnesota Wild,R,8.533333333,0,0,0,0.03,0,1,1,0,0,0,0,0.13,0.53,20172018,0.328066666656,0.328066666656,0.328066666656,0.328066666656,-0.328066666656,0.328066666656,-0.1980666666559999,-0.201933333344,0.015,0.0,-0.52379166666,0.0496212499885998,-0.4591704166714001,1995-02-14,22.673972602739727,17,0.5051075824164472,0.4438583880951099,0.4438583880951099,0.5359309107575256,0.432118483607961,0.4823928123869118,1.0431567190511966,0.4507672996018589
2017-10-14,John Hayden,home,Chicago Blackhawks,Nashville Predators,R,9.716666667,0,1,0,0.0,0,0,0,0,0,1,0,0.33,0.33,20172018,0.365933333344,0.365933333344,0.365933333344,0.365933333344,0.634066666656,0.365933333344,-0.035933333344,0.035933333344,0.7,0.0,0.20254166666,0.4300912500114,1.3326329166714,1995-02-14,22.67945205479452,18,0.4558963150358786,0.4831390070398674,0.4831390070398674,0.5968656903168452,0.4274518872505454,0.4782344745350825,1.0428285341717274,0.4457590250104248
2017-10-18,John Hayden,away,Chicago Blackhawks,St Louis Blues,R,10.41666667,0,0,0,0.0,1,0,0,0,1,0,2,0.04,0.27,20172018,0.38833333344,0.38833333344,0.38833333344,0.38833333344,-0.38833333344,-1.61166666656,-0.34833333344,0.1183333334399999,0.05,-0.01,-0.6177083334,-0.318968749886,-0.8966770832859999,1995-02-14,22.69041095890411,19,0.4986222571336762,0.4234556673243224,0.4234556673243224,0.5122705950999652,0.4227665554208412,0.4739838220290732,1.0421767777960709,0.4405974864884363
2017-10-19,John Hayden,home,Chicago Blackhawks,Edmonton Oilers,R,8.366666667,0,0,0,0.03,0,0,1,1,0,0,0,0.26,0.25,20172018,0.322733333344,0.322733333344,0.322733333344,0.322733333344,-0.322733333344,0.322733333344,-0.062733333344,0.072733333344,0.015,0.16,-0.43920833334,0.5199212500114,0.2557129166713999,1995-02-14,22.693150684931503,20,0.433311326127391,0.4163447708629158,0.4163447708629158,0.4609961618519912,0.4180592115003614,0.469627946953988,1.0420147967899631,0.4356238843177213
2017-10-21,John Hayden,away,Chicago Blackhawks,Arizona Coyotes,R,11.13333333,0,0,0,0.03,2,0,0,0,0,1,0,0.63,0.19,20172018,0.41126666656,0.41126666656,0.41126666656,0.41126666656,0.58873333344,0.41126666656,0.21873333344,0.22126666656,0.115,0.0,0.3617083334000001,0.716541249886,1.1932495832860002,1995-02-14,22.698630136986303,21,0.4253555532469799,0.448663813233451,0.448663813233451,0.5591302828134,0.4133278976813799,0.4651596694952128,1.0416919808618677,0.430560356481188
2017-10-24,John Hayden,away,Chicago Blackhawks,Vegas Golden Knights,R,12.03333333,1,0,0,0.2,0,0,0,0,1,0,1,0.32,0.47,20172018,0.44006666656,0.44006666656,0.44006666656,0.44006666656,-0.44006666656,-0.5599333334400001,-0.1200666665599999,-0.0299333334399999,0.85,-0.01,-0.4750416666,-0.166178750114,0.1987795832859998,1995-02-14,22.70684931506849,22,0.4584000747014116,0.4384506001382391,0.4384506001382391,0.5284672327125627,0.4085717597953887,0.4605765526435946,1.0412106144651636,0.4254092530696699
2017-10-27,John Hayden,home,Chicago Blackhawks,Nashville Predators,R,11.41666667,0,0,0,0.16,0,1,1,0,0,0,0,0.24,0.25,20172018,0.42033333344,0.42033333344,0.42033333344,0.42033333344,-0.42033333344,0.42033333344,-0.18033333344,0.17033333344,0.08,0.0,-0.5127083334,0.6242312501139999,0.1915229167139999,1995-02-14,22.715068493150685,23,0.4476298938930202,0.4285237033438901,0.4285237033438901,0.5037672484122959,0.4038036528150254,0.4558896353192226,1.040732664783945,0.4202516516436724
2017-10-28,John Hayden,away,Chicago Blackhawks,Colorado Avalanche,R,13.38333333,0,0,1,0.16,0,0,0,3,1,1,1,0.67,0.36,20172018,0.48326666656,0.48326666656,0.48326666656,0.48326666656,0.5167333334399999,-0.5167333334399999,0.18673333344,0.12326666656,0.63,0.02,0.3417083333999999,0.066991249886,1.058699583286,1995-02-14,22.71780821917808,24,0.4373724296831001,0.4534685183298144,0.4534685183298144,0.5475694326809492,0.3990732020057917,0.4511381293597504,1.0405741051185626,0.4152652400539761
