Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2016-12-01,John Quenneville,away,New Jersey Devils,Chicago Blackhawks,C,9.05,0,0,0,0.0,0,1,0,0,0,0,0,0.2,0.5,20162017,0.3446,0.3446,0.3446,0.3446,-0.3446,0.3446,-0.1446,-0.1553999999999999,0.0,-0.15,-0.490375,0.11829125,-0.52208375,1996-04-16,20.64109589041096,1,0.0,-0.0490754374935955,-0.0490754374935955,-0.0545028150806839,-0.0751863978242407,-0.0739578774018762,1.3333472217483655,-0.0563892110006062
2016-12-03,John Quenneville,away,New Jersey Devils,Nashville Predators,C,8.35,0,0,0,0.0,1,0,0,0,0,0,1,0.07,0.49,20162017,0.3222,0.3222,0.3222,0.3222,-0.3222,-0.6778,-0.2522,-0.1678,0.05,0.0,-0.557625,-0.3261487499999999,-0.8337737499999999,1996-04-16,20.646575342465752,2,-0.0492801663559283,-0.1171627215623541,-0.1171627215623541,-0.1275160604946467,-0.0536625524761624,-0.0512843420096888,1.3318286573768718,-0.040292384593867
2017-03-16,John Quenneville,home,New Jersey Devils,Philadelphia Flyers,C,15.2,0,0,0,0.23,0,0,1,0,0,0,0,0.28,0.24,20162017,0.5414,0.5414,0.5414,0.5414,-0.5414,0.5414,-0.2613999999999999,0.3014,0.115,0.15,-0.563375,0.77062125,0.4722462500000001,1996-04-16,20.92876712328767,3,-0.1171791501758929,-0.0695982749076791,-0.0695982749076791,-0.059022244424014,-0.0248217481411865,-0.0225179145716944,1.261780497508425,-0.0196720017389718
2017-03-17,John Quenneville,away,New Jersey Devils,Pittsburgh Penguins,C,12.283333333333,0,0,1,0.13,0,0,0,0,0,1,0,0.22,0.39,20162017,0.4480666666666559,0.4480666666666559,0.4480666666666559,0.4480666666666559,0.551933333333344,0.4480666666666559,-0.2280666666666559,0.0580666666666559,0.615,0.0,0.08245833333334,0.4158712499999885,1.1133295833333283,1996-04-16,20.931506849315067,4,-0.0609998983342983,0.0197597924547236,0.0197597924547236,0.0187522234895206,0.0106692507357152,0.0118090766526997,1.26117199017347,0.0134557601840218
2017-03-19,John Quenneville,home,New Jersey Devils,Columbus Blue Jackets,C,17.483333333333,0,0,0,0.23,1,0,0,0,0,0,0,0.6,0.65,20162017,0.6144666666666561,0.6144666666666561,0.6144666666666561,0.6144666666666561,-0.6144666666666561,0.6144666666666561,-0.014466666666656,-0.0355333333333439,0.165,0.0,-0.4090416666666601,0.1517112499999886,-0.0923304166666714,1996-04-16,20.936986301369863,5,0.0413661530068181,0.0117890838165123,0.0117890838165123,0.0113528731055143,0.0457401358274428,0.0455028065665342,1.2599587446056355,0.0576306841152361
2017-03-21,John Quenneville,home,New Jersey Devils,New York Rangers,C,15.55,1,1,0,0.12,1,0,0,0,0,0,0,0.08,0.31,20162017,0.5526000000000001,0.5526000000000001,0.5526000000000001,0.5526000000000001,-0.5526000000000001,0.5526000000000001,-0.4726000000000001,0.2426000000000001,1.56,0.0,-0.6953750000000001,0.6635912500000001,1.52821625,1996-04-16,20.942465753424656,6,0.0306086004147196,0.1138016030862714,0.1138016030862714,0.1113627947513648,0.0795468214080497,0.0776062117825628,1.2587505039548144,0.1001296015353862
2017-03-23,John Quenneville,away,New Jersey Devils,Toronto Maple Leafs,C,15.816666666667,0,0,0,0.18,2,0,0,0,0,0,0,0.05,0.3,20162017,0.561133333333344,0.561133333333344,0.561133333333344,0.561133333333344,-0.561133333333344,0.561133333333344,-0.511133333333344,0.261133333333344,0.19,0.0,-0.71945833333334,0.6897112500000114,0.1602529166666714,1996-04-16,20.947945205479453,7,0.1425306540436572,0.116770794858224,0.116770794858224,0.1139863117281704,0.1100614661620892,0.1069283240597944,1.2575472437057524,0.1384074934103493
2017-03-25,John Quenneville,home,New Jersey Devils,Carolina Hurricanes,C,15.6,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,20162017,0.5542,0.5542,0.5542,0.5542,-0.5542,0.5542,-0.5542,0.5542,0.0,0.0,-0.746375,1.19230125,0.4459262499999998,1996-04-16,20.95342465753425,8,0.1437673932148001,0.1368410084741121,0.1368410084741121,0.1346374483919826,0.1381957952522817,0.1319657381460422,1.2563489395104137,0.1736221408100024
2017-03-26,John Quenneville,home,New Jersey Devils,Dallas Stars,C,12.866666666667,0,0,0,0.06,0,0,0,0,0,0,0,0.28,0.38,20162017,0.466733333333344,0.466733333333344,0.466733333333344,0.466733333333344,-0.466733333333344,0.466733333333344,-0.1867333333333439,0.0867333333333439,0.03,0.0,-0.51670833333334,0.4528212500000114,-0.0338870833333285,1996-04-16,20.95616438356164,9,0.1635483547937314,0.1268755574630319,0.1268755574630319,0.125250320744138,0.1598122947865222,0.1516667089468975,1.2557516383696004,0.2006845510097808
2017-03-28,John Quenneville,home,New Jersey Devils,Winnipeg Jets,C,14.1,0,0,0,0.45,1,0,0,0,0,1,0,1.06,0.6,20162017,0.5062,0.5062,0.5062,0.5062,0.4938,0.5062,0.5538000000000001,-0.0938,0.275,0.0,0.571125,0.12100125,0.96712625,1996-04-16,20.96164383561644,10,0.1513955725748867,0.1739760136677454,0.1739760136677454,0.1733380598529198,0.1704124086451825,0.1683257759940305,1.2545607229649964,0.2137927145921066
