,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2008-11-21,Jon Kalinski,away,Philadelphia Flyers,Buffalo Sabres,L,6.616666667,0,0,0,0.0,0,0,1,2,4,0,0,0.04,0.12,20082009,0.266733333344,0.266733333344,0.266733333344,0.266733333344,-0.266733333344,0.266733333344,-0.226733333344,0.14673333334400002,0.0,0.13,-0.54170833334,0.6810712500114,0.2693629166714,1987-05-25,21.50958904109589,1,0.0,0.025319889730718248,0.025319889730718248,0.029682141912865338,0.023851316101859393,0.027896948183252415,1.1567972094243264,0.02759113590772845
1,2008-11-22,Jon Kalinski,home,Philadelphia Flyers,Phoenix Coyotes,L,7.15,0,0,0,0.07,1,0,2,1,1,0,1,0.28,0.53,20082009,0.2838,0.2838,0.2838,0.2838,-0.2838,-0.7162,-0.00379999999999997,-0.24620000000000003,0.085,0.3,-0.40237500000000004,-0.4351887499999999,-0.45256374999999993,1987-05-25,21.512328767123286,2,0.02542551715828097,-0.01614547168471383,-0.01614547168471383,-0.01885633127228133,-0.01028606184969951,-0.012199946940447721,1.156399692506999,-0.008894901923918709
2,2008-11-24,Jon Kalinski,home,Philadelphia Flyers,Dallas Stars,L,8.016666667,0,0,0,0.0,1,0,0,5,3,0,1,0.0,0.17,20082009,0.311533333344,0.311533333344,0.311533333344,0.311533333344,-0.311533333344,-0.688466666656,-0.311533333344,0.141533333344,0.05,0.02,-0.5947083333400001,0.20645125001139997,-0.31825708332860003,1987-05-25,21.517808219178082,3,-0.015873034824268283,-0.04052543929481549,-0.04052543929481549,-0.047784865901877166,-0.038565491377840974,-0.04524612258758751,1.1556070080068603,-0.033372496973998994
3,2008-11-26,Jon Kalinski,away,Philadelphia Flyers,Carolina Hurricanes,L,6.15,0,0,0,0.05,0,0,0,1,1,0,0,0.1,0.04,20082009,0.2518,0.2518,0.2518,0.2518,-0.2518,0.2518,-0.15180000000000002,0.21180000000000002,0.025,0.0,-0.49487500000000006,0.8011112499999999,0.3312362499999999,1987-05-25,21.523287671232875,4,-0.040006031270526994,-0.01244265652548908,-0.01244265652548908,-0.014165426562678248,-0.05834329146777548,-0.07020823869702576,1.1548174454497688,-0.05052165751189566
4,2008-11-28,Jon Kalinski,home,Philadelphia Flyers,Carolina Hurricanes,L,6.4,0,0,0,0.0,0,0,0,2,1,0,1,0.1,0.45,20082009,0.25980000000000003,0.25980000000000003,0.25980000000000003,0.25980000000000003,-0.25980000000000003,-0.7402,-0.15980000000000003,-0.19019999999999998,0.0,0.01,-0.49987500000000007,-0.32483874999999995,-0.81471375,1987-05-25,21.528767123287672,5,-0.01247022252511918,-0.06949196694312759,-0.06949196694312759,-0.07894094003316164,-0.07096316050437622,-0.08491236053716607,1.1540309922966105,-0.0614915552338452
5,2008-11-29,Jon Kalinski,away,Philadelphia Flyers,Toronto Maple Leafs,L,7.6,0,0,0,0.0,1,0,0,3,3,0,0,0.12,0.36,20082009,0.2982,0.2982,0.2982,0.2982,-0.2982,0.2982,-0.17820000000000003,-0.061799999999999966,0.05,0.0,-0.511375,0.30670125000000004,-0.15467375,1987-05-25,21.53150684931507,6,-0.06806267730137051,-0.07522228388765416,-0.07522228388765416,-0.08571205732680963,-0.07519723878904458,-0.08572184646211234,1.153638927848073,-0.06518264681767706
6,2008-12-21,Jon Kalinski,away,Philadelphia Flyers,New Jersey Devils,L,9.15,0,0,0,0.45,2,0,0,1,4,0,1,0.53,0.31,20082009,0.3478,0.3478,0.3478,0.3478,-0.3478,-0.6522,0.18220000000000003,0.0378,0.325,-0.03,-0.28612499999999996,0.007211250000000002,0.01608625000000008,1987-05-25,21.59178082191781,7,-0.07368557423934972,-0.06938579560279613,-0.06938579560279613,-0.07265743509826439,-0.05678989326535709,-0.07483981657106449,1.1452062983477171,-0.049589225406193205
7,2008-12-23,Jon Kalinski,home,Philadelphia Flyers,Ottawa Senators,L,7.85,0,0,1,0.0,1,0,0,3,4,1,0,0.07,0.1,20082009,0.30619999999999997,0.30619999999999997,0.30619999999999997,0.30619999999999997,0.6938,0.30619999999999997,-0.23619999999999997,0.20619999999999997,0.6000000000000001,-0.01,0.07737499999999997,0.7572512499999999,1.42462625,1987-05-25,21.5972602739726,8,-0.06799297386472423,0.021711406134428082,0.021711406134428082,0.023716093677471975,-0.01344438510637765,-0.028424334603676944,1.1444576839945764,-0.011747385066656044
8,2008-12-27,Jon Kalinski,away,Philadelphia Flyers,Columbus Blue Jackets,L,9.116666667,0,0,0,0.0,0,0,0,0,2,0,1,0.02,0.5,20082009,0.346733333344,0.346733333344,0.346733333344,0.346733333344,-0.346733333344,-0.653266666656,-0.326733333344,-0.15326666665599997,0.0,-0.02,-0.60420833334,-0.3169287499886001,-0.9411370833286001,1987-05-25,21.60821917808219,9,0.021332821572966114,-0.03449035510623865,-0.03449035510623865,-0.03741678929027477,0.02905601160114109,0.032508073167743665,1.1429692849988786,0.03321012880467535
9,2008-12-30,Jon Kalinski,away,Philadelphia Flyers,Vancouver Canucks,L,9.4,1,0,0,0.2,0,0,0,2,0,1,0,0.2,0.06,20082009,0.3558,0.3558,0.3558,0.3558,0.6442,0.3558,-0.1558,0.2958,0.85,0.02,0.127625,0.87826125,1.87588625,1987-05-25,21.616438356164384,10,-0.03340661025424635,0.07259626847230355,0.07259626847230355,0.07917030437099035,0.05990441917493004,0.07033245533753502,1.141860666521409,0.0684025000066635
