,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-12-27,Julian Melchiori,home,Winnipeg Jets,Minnesota Wild,D,8.6833333333333,0,0,0,0.0,1,0,0,0,0,0,1,0.02,0.3,20132014,0.3328666666666656,0.3328666666666656,0.3328666666666656,0.3328666666666656,-0.3328666666666656,-0.6671333333333345,-0.31286666666666557,0.0328666666666656,0.05,0.0,-1.0508666666666655,0.26349583333333193,-0.7373708333333335,1991-12-06,22.073972602739726,1,0.0,-0.06931224394716454,-0.06931224394716454,-0.07498905895033793,-0.09886621064825392,-0.08312172536616867,1.0894823553543833,-0.0907460411473071
1,2016-03-14,Julian Melchiori,away,Winnipeg Jets,Vancouver Canucks,D,16.5,0,0,0,0.01,0,0,1,0,0,2,2,0.3,0.69,20152016,0.5830000000000001,0.5830000000000001,0.5830000000000001,0.5830000000000001,1.4169999999999998,-1.4169999999999998,-0.2830000000000001,-0.10699999999999987,0.005,0.15,-0.05300000000000005,-0.8489374999999997,-0.7469374999999997,1991-12-06,24.28767123287671,2,-0.06960139504950351,-0.1281089337905088,-0.1281089337905088,-0.10870992551685206,-0.12010943250390893,-0.11558471332667156,1.0,-0.12010943250390893
2,2016-03-22,Julian Melchiori,home,Winnipeg Jets,Vancouver Canucks,D,16.583333333333,0,0,0,0.03,1,0,0,0,0,0,0,0.4,0.63,20152016,0.5856666666666561,0.5856666666666561,0.5856666666666561,0.5856666666666561,-0.5856666666666561,0.5856666666666561,-0.1856666666666561,-0.04433333333334388,0.065,0.0,-0.6956666666666561,0.4428958333333183,-0.18777083333333777,1991-12-06,24.30958904109589,3,-0.27696653362701673,-0.1329235622998091,-0.1329235622998091,-0.13634730523442043,-0.13789030769282845,-0.1406383204383586,1.0,-0.13789030769282845
3,2016-03-24,Julian Melchiori,home,Winnipeg Jets,Los Angeles Kings,D,14.933333333333,0,0,0,0.02,0,0,0,0,0,0,0,0.38,1.19,20152016,0.532866666666656,0.532866666666656,0.532866666666656,0.532866666666656,-0.532866666666656,0.532866666666656,-0.15286666666665605,-0.6571333333333439,0.01,0.0,-0.6748666666666561,-0.9210041666666817,-1.5858708333333378,1991-12-06,24.315068493150687,4,-0.25581456994193214,-0.24267882692946452,-0.24267882692946452,-0.2312641510494844,-0.14685381569779588,-0.15402479913786496,1.0,-0.14685381569779588
4,2016-03-26,Julian Melchiori,away,Winnipeg Jets,Buffalo Sabres,D,13.883333333333,0,0,0,0.01,1,0,0,0,0,1,0,0.31,0.02,20152016,0.49926666666665603,0.49926666666665603,0.49926666666665603,0.49926666666665603,0.5007333333333439,0.49926666666665603,-0.18926666666665604,0.479266666666656,0.055,0.0,-0.35326666666665607,1.721695833333318,1.423429166666662,1991-12-06,24.32054794520548,5,-0.511553626434068,-0.12420227593679917,-0.12420227593679917,-0.12538995843072032,-0.13898165795943193,-0.14844679289691887,1.0,-0.13898165795943193
5,2016-03-28,Julian Melchiori,away,Winnipeg Jets,Philadelphia Flyers,D,14.416666666667,0,0,0,0.0,2,0,0,0,0,0,0,0.27,0.32,20152016,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.5163333333333441,-0.5163333333333441,0.5163333333333441,-0.24633333333334406,0.19633333333334407,0.1,0.0,-0.834333333333344,1.056229166666682,0.32189583333333804,1991-12-06,24.326027397260273,6,-0.19850124176934203,-0.09419253133254261,-0.09419253133254261,-0.09259115533207271,-0.10953693638364467,-0.11762690285124995,1.0,-0.10953693638364467
6,2016-03-30,Julian Melchiori,home,Winnipeg Jets,Ottawa Senators,D,13.1,0,0,0,0.01,2,0,0,0,0,0,0,0.28,0.27,20152016,0.4742,0.4742,0.4742,0.4742,-0.4742,0.4742,-0.19419999999999998,0.2042,0.10500000000000001,0.0,-0.7762,1.1106625,0.4394625000000001,1991-12-06,24.33150684931507,7,-0.12579439955762195,-0.06008102821323712,-0.06008102821323712,-0.0599845837773457,-0.05937344228941625,-0.0619309063176861,1.0,-0.05937344228941625
7,2016-04-01,Julian Melchiori,home,Winnipeg Jets,Chicago Blackhawks,D,12.133333333333,0,0,0,0.06,0,0,0,0,0,1,0,0.68,0.47,20152016,0.44326666666665604,0.44326666666665604,0.44326666666665604,0.44326666666665604,0.556733333333344,0.44326666666665604,0.236733333333344,-0.026733333333343934,0.03,0.0,0.29473333333334417,0.6061958333333182,0.9309291666666624,1991-12-06,24.336986301369862,8,-0.05626882973635206,0.00034569720194860265,0.00034569720194860265,0.00033741758892171794,-0.026329098824349157,-0.02577043632536366,1.0,-0.026329098824349157
8,2016-04-03,Julian Melchiori,home,Winnipeg Jets,Minnesota Wild,D,12.3,0,0,0,0.0,0,0,0,0,0,0,1,0.53,0.55,20152016,0.4486,0.4486,0.4486,0.4486,-0.4486,-0.5514,0.08140000000000003,-0.10140000000000005,0.0,0.0,-0.3506,-0.14513749999999992,-0.49573749999999994,1991-12-06,24.34246575342466,9,0.05222368479441803,-0.028610830963972225,-0.028610830963972225,-0.0276371145458326,-0.022132273253934086,-0.01962308267464753,1.0,-0.022132273253934086
9,2016-04-05,Julian Melchiori,away,Winnipeg Jets,Anaheim Ducks,D,11.75,0,0,0,0.03,1,0,0,0,0,0,0,0.14,0.47,20152016,0.431,0.431,0.431,0.431,-0.431,0.431,-0.291,-0.03899999999999998,0.065,0.0,-0.957,0.5885625000000002,-0.3034374999999997,1991-12-06,24.34794520547945,10,-0.0022209382857737736,-0.04401630650096406,-0.04401630650096406,-0.04180467978943047,-0.02987827418425873,-0.024969574778186242,1.0,-0.02987827418425873
10,2016-04-07,Julian Melchiori,away,Winnipeg Jets,San Jose Sharks,D,11.633333333333,0,0,0,0.02,0,0,1,0,0,0,0,0.41,0.32,20152016,0.427266666666656,0.427266666666656,0.427266666666656,0.427266666666656,-0.427266666666656,0.427266666666656,-0.01726666666665605,0.10726666666665602,0.01,0.15,-0.5212666666666561,0.9281958333333181,0.566929166666662,1991-12-06,24.353424657534248,11,-0.029539155910954205,-0.011032625492337786,-0.011032625492337786,-0.01028684642605055,-0.03270931806092764,-0.028405556044781767,1.0,-0.03270931806092764
11,2016-04-09,Julian Melchiori,away,Winnipeg Jets,Los Angeles Kings,D,12.316666666667,0,0,0,0.0,2,0,0,0,0,1,1,0.34,0.7,20152016,0.449133333333344,0.449133333333344,0.449133333333344,0.449133333333344,0.550866666666656,-0.550866666666656,-0.10913333333334396,-0.25086666666665597,0.1,0.0,-0.255133333333344,-0.48937083333331777,-0.6445041666666618,1991-12-06,24.35890410958904,12,0.02023203821141122,-0.044058148125869404,-0.044058148125869404,-0.0411273638615929,-0.02419190661484014,-0.024672664940338974,1.0,-0.02419190661484014
12,2016-11-01,Julian Melchiori,home,Winnipeg Jets,Washington Capitals,D,12.9,0,0,0,0.0,0,0,0,0,0,0,0,1.16,0.25,20162017,0.4678,0.4678,0.4678,0.4678,-0.4678,0.4678,0.6921999999999999,0.2178,0.0,0.0,0.6381999999999997,1.1474625,1.7856624999999997,1991-12-06,24.923287671232877,13,-0.03114436980573228,0.04828009116398575,0.04828009116398575,0.05160880057024352,-0.012574589399565276,-0.020116914158657136,1.0,-0.012574589399565276
