Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2021-01-14,K'Andre Miller,home,New York Rangers,New York Islanders,D,13.983333333333,0,0,0,0.02,0,0,0,0,0,0,1,0.33,1.28,20202021,0.5024666666666561,0.5024666666666561,0.5024666666666561,0.5024666666666561,-0.5024666666666561,-0.4975333333333439,-0.172466666666656,-0.777533333333344,0.01,0.0,-0.724466666666656,-1.7467041666666814,-2.461170833333337,2000-01-21,20.997260273972604,1,0.0,-0.2313480076564548,-0.2313480076564548,-0.2470624598853241,0.1274026684514108,0.1623873905727077,1.2469380562378798,0.1588632357583213
2021-01-16,K'Andre Miller,home,New York Rangers,New York Islanders,D,14.116666666667,0,0,0,0.01,0,0,0,0,0,3,0,0.66,0.08,20202021,0.506733333333344,0.506733333333344,0.506733333333344,0.506733333333344,2.493266666666656,0.506733333333344,0.153266666666656,0.426733333333344,0.005,0.0,0.999266666666656,1.594429166666682,2.598695833333338,2000-01-21,21.0027397260274,2,-0.2323131261929255,0.0142113313372048,0.0142113313372048,0.0120926003746107,0.1257233827262305,0.1630336530452959,1.2457832877879578,0.1566240890845072
2021-01-19,K'Andre Miller,home,New York Rangers,New Jersey Devils,D,15.166666666667,0,0,0,0.02,0,0,0,0,0,1,0,0.63,0.54,20202021,0.540333333333344,0.540333333333344,0.540333333333344,0.540333333333344,0.459666666666656,0.540333333333344,0.089666666666656,0.0003333333333439,0.01,0.0,0.117666666666656,0.584729166666682,0.712395833333338,2000-01-21,21.01095890410959,3,0.0127145394817256,0.0705538050737158,0.0705538050737158,0.0712578153122447,0.1242791056663056,0.1636322085252418,1.2440599808072672,0.1546106618099684
2021-01-22,K'Andre Miller,away,New York Rangers,Pittsburgh Penguins,D,21.283333333333,0,0,1,0.05,1,0,0,0,0,1,0,1.3,0.86,20202021,0.7360666666666561,0.7360666666666561,0.7360666666666561,0.7360666666666561,0.2639333333333439,0.7360666666666561,0.563933333333344,-0.1239333333333438,0.6250000000000001,0.0,0.9939333333333438,0.1300958333333182,1.749029166666662,2000-01-21,21.019178082191782,4,0.0687434160844578,0.1973454038871729,0.1973454038871729,0.2238257246320446,0.1231362984763384,0.1641738107190352,1.2423472210368405,0.152978038220842
2021-01-24,K'Andre Miller,away,New York Rangers,Pittsburgh Penguins,D,21.65,0,0,0,0.02,0,0,0,0,0,1,1,1.14,1.23,20202021,0.7478,0.7478,0.7478,0.7478,0.2522,-0.2522,0.3921999999999999,-0.4821999999999999,0.01,0.0,0.7262,-1.2790374999999996,-0.5428374999999996,2000-01-21,21.024657534246572,5,0.1939829877377084,0.1447111701560158,0.1447111701560158,0.1614870619705113,0.1223333296818265,0.1646538240414931,1.2412112034969065,0.1518414993621637
2021-01-26,K'Andre Miller,away,New York Rangers,Buffalo Sabres,D,17.683333333333,1,0,0,0.11,1,1,1,0,0,2,0,0.52,0.56,20202021,0.620866666666656,0.620866666666656,0.620866666666656,0.620866666666656,1.379133333333344,0.620866666666656,-0.100866666666656,0.0608666666666559,0.8550000000000001,0.0,0.2611333333333441,0.654495833333318,1.770629166666662,2000-01-21,21.03013698630137,6,0.1426918605504926,0.2540893154760666,0.2540893154760666,0.2637872759537417,0.1218859996391486,0.1650712229529856,1.2400798179420998,0.1511483682422063
2021-01-28,K'Andre Miller,away,New York Rangers,Buffalo Sabres,D,20.2,0,0,0,0.07,2,0,0,0,0,0,1,1.08,0.36,20202021,0.7014,0.7014,0.7014,0.7014,-0.7014,-0.2986,0.3786,0.3414,0.135,0.0,0.2766000000000002,0.6552625000000001,1.0668625000000005,2000-01-21,21.035616438356165,7,0.2490184452346235,0.3060421940050043,0.3060421940050043,0.3172995289751634,0.1217931379508723,0.1654276191210215,1.23895304237241,0.1508959788043159
2021-01-30,K'Andre Miller,home,New York Rangers,Pittsburgh Penguins,D,20.816666666667,0,1,1,0.01,2,0,0,0,0,1,1,0.42,0.93,20202021,0.7211333333333441,0.7211333333333441,0.7211333333333441,0.7211333333333441,0.2788666666666559,-0.2788666666666559,-0.3011333333333441,-0.208866666666656,1.355,0.0,-0.3991333333333441,-0.6273708333333177,0.3284958333333382,2000-01-21,21.04109589041096,8,0.2993398920864414,0.3074113019165826,0.3074113019165826,0.3368979813900806,0.1220415761841059,0.1657264201245455,1.237830854934179,0.1510668285854865
2021-02-01,K'Andre Miller,home,New York Rangers,Pittsburgh Penguins,D,21.983333333333,0,0,0,0.12,3,1,0,0,0,0,1,0.32,0.77,20202021,0.7584666666666561,0.7584666666666561,0.7584666666666561,0.7584666666666561,-0.7584666666666561,-0.2415333333333439,-0.438466666666656,-0.0115333333333439,0.21,-0.15,-0.996466666666656,-0.2057041666666819,-1.142170833333338,2000-01-21,21.046575342465754,9,0.3010359440524999,0.2227987486897645,0.2227987486897645,0.2401465655193379,0.1226785658140645,0.1660187566894131,1.236713233918852,0.1517182058604384
2021-02-04,K'Andre Miller,home,New York Rangers,Washington Capitals,D,22.583333333333,0,0,0,0.0,2,0,1,0,0,0,1,0.81,0.93,20202021,0.7776666666666561,0.7776666666666561,0.7776666666666561,0.7776666666666561,-0.7776666666666561,-0.2223333333333439,0.0323333333333439,-0.1523333333333439,0.1,0.15,-0.2316666666666559,-0.5461041666666819,-0.5277708333333379,2000-01-21,21.054794520547944,10,0.2214106693173907,0.1807253888691014,0.1807253888691014,0.1943746068376602,0.1239353974288894,0.1664821589859778,1.235045317305396,0.1530658322429331
2021-02-08,K'Andre Miller,home,New York Rangers,New York Islanders,D,19.966666666667,0,0,0,0.06,5,0,0,0,0,0,0,0.86,1.04,20202021,0.6939333333333441,0.6939333333333441,0.6939333333333441,0.6939333333333441,-0.6939333333333441,0.6939333333333441,0.1660666666666559,-0.346066666666656,0.28,0.0,-0.0679333333333441,-0.3444708333333179,-0.1324041666666621,2000-01-21,21.065753424657533,11,0.1820246364723514,0.1638201725645838,0.1638201725645838,0.1735623880910375,0.125913697785646,0.1672042390974574,1.2328372108920127,0.1552310919911556
2021-02-10,K'Andre Miller,home,New York Rangers,Boston Bruins,D,22.666666666667,0,0,0,0.2,1,0,0,0,0,0,1,0.49,0.6,20202021,0.780333333333344,0.780333333333344,0.780333333333344,0.780333333333344,-0.780333333333344,-0.219666666666656,-0.290333333333344,0.180333333333344,0.15,0.0,-0.746333333333344,0.2167291666666821,-0.3796041666666617,2000-01-21,21.07123287671233,12,0.166205783959919,0.1354891874320493,0.1354891874320493,0.1371111020295409,0.1285662008171003,0.1681738887127015,1.231739873968574,0.1583601159910735
2021-02-12,K'Andre Miller,home,New York Rangers,Boston Bruins,D,22.333333333333,0,0,0,0.01,2,0,0,0,0,0,1,0.41,0.79,20202021,0.7696666666666562,0.7696666666666562,0.7696666666666562,0.7696666666666562,-0.7696666666666562,-0.2303333333333438,-0.3596666666666562,-0.0203333333333438,0.105,0.0,-0.8636666666666561,-0.2356041666666817,-0.994270833333338,2000-01-21,21.076712328767123,13,0.13996632439144,0.078474991716218,0.078474991716218,0.0798378490428987,0.1317574461643405,0.1693242048168808,1.2306469866126872,0.162146904085929
2021-02-20,K'Andre Miller,away,New York Rangers,Washington Capitals,D,20.416666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.08,0.46,20202021,0.708333333333344,0.708333333333344,0.708333333333344,0.708333333333344,-0.708333333333344,0.708333333333344,-0.6283333333333441,0.248333333333344,0.01,0.0,-1.330333333333344,1.010229166666682,-0.3101041666666619,2000-01-21,21.0986301369863,14,0.0877499407758239,0.0594505091418996,0.0594505091418996,0.0627195571370567,0.1353112274875868,0.1705651994727278,1.226319519030656,0.1659347994120251
2021-02-26,K'Andre Miller,home,New York Rangers,Boston Bruins,D,21.216666666667,0,0,0,0.01,4,1,0,0,0,0,0,0.79,0.34,20202021,0.733933333333344,0.733933333333344,0.733933333333344,0.733933333333344,-0.733933333333344,0.733933333333344,0.056066666666656,0.3939333333333439,0.205,-0.15,-0.2199333333333439,1.323029166666682,1.158095833333338,2000-01-21,21.115068493150684,15,0.0699828245837633,0.1117398611784256,0.1117398611784256,0.1136084818168159,0.1390486834047197,0.1718060250842381,1.2231196333974814,0.1700731746703832
2021-02-28,K'Andre Miller,home,New York Rangers,Boston Bruins,D,20.483333333333,0,0,1,0.01,1,0,0,0,0,1,1,0.38,0.54,20202021,0.710466666666656,0.710466666666656,0.710466666666656,0.710466666666656,0.2895333333333439,-0.2895333333333439,-0.330466666666656,0.170466666666656,0.6050000000000001,0.0,-0.4524666666666559,0.254295833333318,0.4068291666666622,2000-01-21,21.12054794520548,16,0.1170104145745295,0.1254186925578734,0.1254186925578734,0.1278887347512301,0.1428120127330999,0.1729680116507883,1.222061605333739,0.1745250775415545
2021-03-02,K'Andre Miller,home,New York Rangers,Buffalo Sabres,D,20.85,0,0,0,0.02,0,0,0,0,0,2,2,0.38,0.98,20202021,0.7222000000000001,0.7222000000000001,0.7222000000000001,0.7222000000000001,1.2778,-1.2778,-0.3422,-0.2577999999999999,0.01,0.0,-0.0642,-1.3158375,-1.3700375,2000-01-21,21.126027397260277,17,0.1290612872587571,0.057784739105838,0.057784739105838,0.0605485490295925,0.1464754181274783,0.1739906568298908,1.2210078445154804,0.178847634562336
2021-03-04,K'Andre Miller,away,New York Rangers,New Jersey Devils,D,20.083333333333,0,0,0,0.03,1,0,0,0,0,2,0,0.5,1.54,20202021,0.6976666666666561,0.6976666666666561,0.6976666666666561,0.6976666666666561,1.302333333333344,0.6976666666666561,-0.1976666666666561,-0.8423333333333439,0.065,0.0,0.1523333333333439,-1.4891041666666822,-1.2717708333333382,2000-01-21,21.13150684931507,18,0.0689963828654575,-0.0009768074143144,-0.0009768074143144,-0.0009874909213904,0.1499477000269965,0.1748326354296776,1.219958331338316,0.182929945912953
2021-03-06,K'Andre Miller,away,New York Rangers,New Jersey Devils,D,20.95,0,0,1,0.0,0,1,0,0,0,3,1,0.9,0.84,20202021,0.7254,0.7254,0.7254,0.7254,2.2746,-0.2745999999999999,0.1745999999999999,-0.1145999999999999,0.55,-0.15,1.1645999999999996,-0.4142374999999998,1.1503624999999995,2000-01-21,21.136986301369863,19,0.0171550410902441,0.0488238692802445,0.0488238692802445,0.049559989019807,0.153169750296339,0.1754699032495379,1.2189130463246756,0.1867006069385005
2021-03-07,K'Andre Miller,away,New York Rangers,Pittsburgh Penguins,D,20.633333333333,0,0,0,0.02,0,0,0,0,0,1,2,0.42,0.46,20202021,0.7152666666666561,0.7152666666666561,0.7152666666666561,0.7152666666666561,0.2847333333333439,-1.284733333333344,-0.2952666666666561,0.255266666666656,0.01,0.0,-0.3932666666666561,-0.129804166666682,-0.5130708333333382,2000-01-21,21.13972602739726,20,0.0594952042601784,0.0250042106842954,0.0250042106842954,0.0256314107419388,0.1561508083946134,0.1759193394477514,1.2183919833268886,0.19025289313801
2021-03-09,K'Andre Miller,away,New York Rangers,Pittsburgh Penguins,D,21.033333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.82,0.23,20202021,0.7280666666666561,0.7280666666666561,0.7280666666666561,0.7280666666666561,-0.7280666666666561,0.7280666666666561,0.0919333333333438,0.4980666666666561,0.05,0.0,-0.1660666666666561,1.5675958333333182,1.451529166666662,2000-01-21,21.145205479452056,21,0.0388348920800897,0.0843472856116172,0.0843472856116172,0.0858621927931194,0.1590246005751814,0.176276010541697,1.2173530043132443,0.1935890752699108
2021-03-11,K'Andre Miller,away,New York Rangers,Boston Bruins,D,21.266666666667,0,0,0,0.04,0,0,3,0,0,0,0,0.53,0.48,20202021,0.735533333333344,0.735533333333344,0.735533333333344,0.735533333333344,-0.735533333333344,0.735533333333344,-0.205533333333344,0.255533333333344,0.02,0.4499999999999999,-0.637533333333344,1.003329166666682,0.8357958333333381,2000-01-21,21.15068493150685,22,0.0882164224033922,0.11506032480414,0.11506032480414,0.1148383400914462,0.1618474258420829,0.176582570541439,1.2163182053178236,0.1968579705355518
2021-03-13,K'Andre Miller,away,New York Rangers,Boston Bruins,D,23.6,1,0,0,0.05,2,0,1,0,0,2,0,0.36,0.13,20202021,0.8102000000000001,0.8102000000000001,0.8102000000000001,0.8102000000000001,1.1898,0.8102000000000001,-0.4502000000000001,0.6802000000000001,0.875,0.15,-0.1842000000000001,1.9156625000000005,2.7564625,2000-01-21,21.156164383561645,23,0.1135591669853536,0.2212490130140756,0.2212490130140756,0.2199291938474213,0.1645981401506829,0.1768290829555813,1.2152875672992276,0.2000340733257007
2021-03-15,K'Andre Miller,home,New York Rangers,Philadelphia Flyers,D,24.4,0,0,0,0.05,0,0,0,0,0,1,1,0.73,0.51,20202021,0.8358,0.8358,0.8358,0.8358,0.1642,-0.1642,-0.1058,0.3258,0.025,0.0,-0.0178,0.5034625,0.5106625,2000-01-21,21.16164383561644,24,0.2005357752297689,0.2327051256916321,0.2327051256916321,0.238125463701466,0.1672202533850129,0.17698009338369,1.2142610713385655,0.2030490440247921
2021-03-17,K'Andre Miller,home,New York Rangers,Philadelphia Flyers,D,20.65,0,0,0,0.0,1,0,0,0,0,3,0,0.73,0.53,20202021,0.7158,0.7158,0.7158,0.7158,2.2842,0.7158,0.0141999999999999,0.1857999999999999,0.05,0.0,0.9022,0.8599625,1.8121625,2000-01-21,21.167123287671235,25,0.2104532921925251,0.2943256816516456,0.2943256816516456,0.3014621342277282,0.1696540457306447,0.1769945349439524,1.2132386986382857,0.2058308536609676
2021-03-19,K'Andre Miller,away,New York Rangers,Washington Capitals,D,23.35,0,0,0,0.1,2,0,0,0,0,0,0,0.66,0.63,20202021,0.8022000000000001,0.8022000000000001,0.8022000000000001,0.8022000000000001,-0.8022000000000001,0.8022000000000001,-0.1422000000000001,0.1722000000000001,0.15,0.0,-0.4962000000000001,0.7541625000000003,0.4079625000000002,2000-01-21,21.172602739726027,26,0.2602709029694736,0.2986992148151697,0.2986992148151697,0.2947693705611154,0.171848759084844,0.1768362931022438,1.2122204305213324,0.2083185767223864
2021-03-20,K'Andre Miller,away,New York Rangers,Washington Capitals,D,18.733333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.18,1.43,20202021,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.6544666666666561,-0.6544666666666561,0.6544666666666561,-0.4744666666666561,-0.7755333333333438,0.05,0.0,-1.116466666666656,-1.2982041666666817,-2.3646708333333377,2000-01-21,21.175342465753424,27,0.2647424799067847,0.1974920883759801,0.1974920883759801,0.1938773724851549,0.1737646581041676,0.1764775767080392,1.211712829877723,0.210552865604136
2021-03-22,K'Andre Miller,home,New York Rangers,Buffalo Sabres,D,23.55,0,0,0,0.0,5,0,0,0,0,1,2,0.85,0.81,20202021,0.8086000000000001,0.8086000000000001,0.8086000000000001,0.8086000000000001,0.1913999999999999,-1.1913999999999998,0.0413999999999998,-0.0013999999999999,0.25,0.0,0.2013999999999998,-0.8006374999999999,-0.3492375000000001,2000-01-21,21.18082191780822,28,0.1873293720720055,0.1769632243181218,0.1769632243181218,0.1850255062804292,0.1753749805597153,0.1759001146896652,1.2107006838774783,0.2123266088986467
2021-03-25,K'Andre Miller,away,New York Rangers,Philadelphia Flyers,D,21.516666666667,1,0,0,0.04,2,0,0,0,0,2,0,0.46,0.71,20202021,0.743533333333344,0.743533333333344,0.743533333333344,0.743533333333344,1.256466666666656,0.743533333333344,-0.283533333333344,0.033533333333344,0.87,0.0,0.0424666666666558,0.4858291666666823,1.3982958333333382,2000-01-21,21.18904109589041,29,0.1719269788220578,0.2223117579212762,0.2223117579212762,0.2290848105888411,0.1766646045954361,0.1750942290022937,1.209190068687002,0.2136210853653174
2021-03-27,K'Andre Miller,away,New York Rangers,Philadelphia Flyers,D,19.733333333333,0,0,0,0.01,2,1,0,0,0,0,0,0.43,1.1,20202021,0.6864666666666561,0.6864666666666561,0.6864666666666561,0.6864666666666561,-0.6864666666666561,0.6864666666666561,-0.2564666666666561,-0.4135333333333439,0.105,-0.15,-0.7484666666666562,-0.4932041666666817,-1.286670833333338,2000-01-21,21.194520547945206,30,0.2063391023929138,0.1668678424004429,0.1668678424004429,0.1720071002651779,0.1776269745046358,0.1740568366004652,1.2081880345090024,0.2146067852025366
