Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2013-11-21,Kevan Miller,home,Boston Bruins,St Louis Blues,D,17.7,0,0,0,0.01,2,0,0,0,0,1,0,0.35,0.23,20132014,0.6214000000000001,0.6214000000000001,0.6214000000000001,0.6214000000000001,0.3785999999999999,0.6214000000000001,-0.2714000000000001,0.3914000000000001,0.105,0.0,-0.4114,1.4142625,1.1078625,1987-11-15,26.035616438356165,1,0.0,0.1041381519157577,0.1041381519157577,0.112009489099924,0.0964434469139945,0.1061529523105834,1,0.0964434469139945
2013-11-23,Kevan Miller,home,Boston Bruins,Carolina Hurricanes,D,14.45,0,0,0,0.06,1,0,0,0,0,0,0,0.19,0.2,20132014,0.5174,0.5174,0.5174,0.5174,-0.5174,0.5174,-0.3273999999999999,0.3173999999999999,0.08,0.0,-0.9634,1.3337625,0.4503625,1987-11-15,26.04109589041096,2,0.104572586868476,0.1341796024500867,0.1341796024500867,0.1565868163894724,0.1055442708738228,0.1160330098479564,1,0.1055442708738228
2013-11-25,Kevan Miller,home,Boston Bruins,Pittsburgh Penguins,D,20.216666666667,0,0,0,0.0,2,0,0,0,0,0,0,0.05,0.5,20132014,0.7019333333333441,0.7019333333333441,0.7019333333333441,0.7019333333333441,-0.7019333333333441,0.7019333333333441,-0.651933333333344,0.201933333333344,0.1,0.0,-1.371933333333344,0.909029166666682,-0.3629041666666617,1987-11-15,26.046575342465754,3,0.1345011729096293,0.0940656653371408,0.0940656653371408,0.1017801839028527,0.1146353552145565,0.1258992037986958,1,0.1146353552145565
2013-12-07,Kevan Miller,home,Boston Bruins,Pittsburgh Penguins,D,14.833333333333,0,0,0,0.0,1,0,1,0,0,0,0,0.04,0.19,20132014,0.5296666666666561,0.5296666666666561,0.5296666666666561,0.5296666666666561,-0.5296666666666561,0.5296666666666561,-0.4896666666666561,0.339666666666656,0.05,0.15,-1.2156666666666562,1.3743958333333182,0.3587291666666619,1987-11-15,26.07945205479452,4,0.094739968244012,0.114058278424586,0.114058278424586,0.1215117876955052,0.1237155077139884,0.1357512483839043,1,0.1237155077139884
2013-12-08,Kevan Miller,away,Boston Bruins,Toronto Maple Leafs,D,22.2,1,0,0,0.1,5,1,0,0,0,2,0,0.65,1.25,20132014,0.7654000000000001,0.7654000000000001,0.7654000000000001,0.7654000000000001,1.2346,0.7654000000000001,-0.1154,-0.4845999999999999,1.05,-0.15,0.3246,-0.7247374999999998,0.4998625000000003,1987-11-15,26.08219178082192,5,0.1146989857239482,0.1414927266754508,0.1414927266754508,0.1648984767902974,0.1327839023937763,0.1455891716357305,1,0.1327839023937763
2013-12-10,Kevan Miller,away,Boston Bruins,Calgary Flames,D,18.183333333333,0,0,0,0.0,2,0,0,0,0,0,0,0.38,0.55,20132014,0.636866666666656,0.636866666666656,0.636866666666656,0.636866666666656,-0.636866666666656,0.636866666666656,-0.256866666666656,0.0868666666666559,0.1,0.0,-0.778866666666656,0.700495833333318,0.0216291666666619,1987-11-15,26.087671232876712,6,0.1418206113963314,0.133429310246482,0.133429310246482,0.1555200903357037,0.1418400394736993,0.1554132619632384,1,0.1418400394736993
2013-12-12,Kevan Miller,away,Boston Bruins,Edmonton Oilers,D,18.416666666667,0,0,1,0.02,3,0,0,0,0,0,1,0.4,0.69,20132014,0.644333333333344,0.644333333333344,0.644333333333344,0.644333333333344,-0.644333333333344,-0.355666666666656,-0.2443333333333439,-0.0456666666666559,0.7100000000000001,0.0,-0.754333333333344,-0.1857708333333176,-0.2301041666666615,1987-11-15,26.09315068493151,7,0.133885736245059,0.1101920640788032,0.1101920640788032,0.1268874423546176,0.1508837005260291,0.1652240158583968,1,0.1508837005260291
2013-12-14,Kevan Miller,away,Boston Bruins,Vancouver Canucks,D,16.483333333333,0,0,0,0.0,0,0,0,0,0,0,1,1.05,0.42,20132014,0.582466666666656,0.582466666666656,0.582466666666656,0.582466666666656,-0.582466666666656,-0.4175333333333439,0.467533333333344,0.162466666666656,0.0,0.0,0.3475333333333439,0.3462958333333181,0.6938291666666621,1987-11-15,26.0986301369863,8,0.1112629554462616,0.1457792650202276,0.1457792650202276,0.1575620411571723,0.1599149027899198,0.175022089373292,1,0.1599149027899198
2013-12-17,Kevan Miller,home,Boston Bruins,Calgary Flames,D,18.183333333333,0,0,0,0.02,3,0,1,0,0,0,0,0.9,0.26,20132014,0.636866666666656,0.636866666666656,0.636866666666656,0.636866666666656,-0.636866666666656,0.636866666666656,0.263133333333344,0.376866666666656,0.16,0.15,0.0531333333333439,1.367495833333318,1.730629166666662,1987-11-15,26.10684931506849,9,0.1454747422666761,0.2382874392027527,0.2382874392027527,0.2750472098196201,0.168933855351573,0.184808254865999,1,0.168933855351573
2013-12-31,Kevan Miller,home,Boston Bruins,New York Islanders,D,16.116666666667,0,0,0,0.01,1,0,0,0,0,0,0,0.38,0.22,20132014,0.5707333333333441,0.5707333333333441,0.5707333333333441,0.5707333333333441,-0.5707333333333441,0.5707333333333441,-0.190733333333344,0.3507333333333441,0.055,0.0,-0.7127333333333441,1.364429166666682,0.7066958333333381,1987-11-15,26.145205479452056,10,0.233877698729666,0.2645441852544047,0.2645441852544047,0.2935708110186704,0.1779409188719912,0.1945833636626534,1,0.1779409188719912
