Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2014-12-06,Klas Dahlbeck,away,Chicago Blackhawks,Nashville Predators,D,12.4,0,0,0,0.03,1,0,0,0,0,0,0,0.53,0.69,20142015,0.4518,0.4518,0.4518,0.4518,-0.4518,0.4518,0.0781999999999999,-0.2381999999999999,0.065,0.0,-0.3538,0.1124625000000001,-0.1763374999999998,1991-07-06,23.435616438356163,1,0.0,-0.0165755780734928,-0.0165755780734928,-0.0170819991954975,-0.0419062021833936,-0.0426602093055268,1.0107284596952004,-0.0414613853814219
2014-12-09,Klas Dahlbeck,away,Chicago Blackhawks,New Jersey Devils,D,9.9,0,0,0,0.08,2,0,0,0,0,1,2,0.4,0.71,20142015,0.3718,0.3718,0.3718,0.3718,0.6282,-1.6282,0.0282,-0.3381999999999999,0.14,0.0,-0.0817999999999999,-1.1985374999999998,-1.1403374999999998,1991-07-06,23.44383561643836,2,-0.0166447267029255,-0.114082984403285,-0.114082984403285,-0.1271403066414725,-0.042568623510763,-0.0452536865033257,1.010508332245876,-0.0421259500316572
2014-12-11,Klas Dahlbeck,away,Chicago Blackhawks,Boston Bruins,D,9.5,1,0,0,0.15,2,1,1,0,0,2,1,0.45,0.32,20142015,0.359,0.359,0.359,0.359,1.641,-0.641,0.091,0.0389999999999999,0.925,0.0,0.411,0.2550625000000001,1.5910625,1991-07-06,23.44931506849315,3,-0.1140715496876607,0.0235197758946721,0.0235197758946721,0.0259194275664436,-0.0433522282125535,-0.0477398047686759,1.0103629655005246,-0.0429075784572895
2014-12-13,Klas Dahlbeck,away,Chicago Blackhawks,New York Islanders,D,9.7666666666667,0,0,0,0.13,1,0,0,0,0,0,1,0.65,0.89,20142015,0.3675333333333344,0.3675333333333344,0.3675333333333344,0.3675333333333344,-0.3675333333333344,-0.6324666666666656,0.2824666666666656,-0.5224666666666656,0.115,0.0,-0.0775333333333342,-1.0436708333333315,-1.0062041666666657,1991-07-06,23.454794520547942,4,0.0224509165134288,-0.0542653069259305,-0.0542653069259305,-0.0580003617599541,-0.0442960614198002,-0.0501181250017053,1.0102187040586628,-0.0438479917683527
2015-03-03,Klas Dahlbeck,home,Arizona Coyotes,Anaheim Ducks,D,16.3,0,0,0,0.01,0,0,0,0,0,1,2,0.3,0.84,20142015,0.5766000000000001,0.5766000000000001,0.5766000000000001,0.5766000000000001,0.4233999999999999,-1.4234,-0.2766000000000001,-0.2633999999999998,0.005,0.0,-0.4466000000000001,-1.2031374999999993,-1.6447374999999993,1991-07-06,23.673972602739727,5,-0.054073480240299,-0.1673634137770003,-0.1673634137770003,-0.1653547308262169,-0.0454177486343645,-0.0523952357052039,1.0053301057509998,-0.0451769507095748
2015-03-05,Klas Dahlbeck,home,Arizona Coyotes,Vancouver Canucks,D,18.85,0,0,0,0.06,2,0,0,0,0,1,0,1.02,0.55,20142015,0.6582000000000001,0.6582000000000001,0.6582000000000001,0.6582000000000001,0.3417999999999999,0.6582000000000001,0.3617999999999999,0.1082,0.13,0.0,0.6237999999999999,0.7311625000000002,1.4849625,1991-07-06,23.67945205479452,6,-0.1809330871436264,-0.0562087649564298,-0.0562087649564298,-0.0574398277380815,-0.0467193065779448,-0.0545818771077664,1.00522935253083,-0.0464762657997613
2015-03-07,Klas Dahlbeck,home,Arizona Coyotes,Montreal Canadiens,D,17.016666666667,0,0,0,0.05,4,0,0,0,0,0,0,0.5,0.37,20142015,0.599533333333344,0.599533333333344,0.599533333333344,0.599533333333344,-0.599533333333344,0.599533333333344,-0.099533333333344,0.229533333333344,0.225,0.0,-0.5495333333333441,1.060829166666682,0.7362958333333379,1991-07-06,23.684931506849317,7,-0.0574511278735384,-0.0055514648479265,-0.0055514648479265,-0.005535276693218,-0.0482189841906589,-0.0567137993406825,1.0051296189885428,-0.0479729014842697
2015-03-09,Klas Dahlbeck,home,Arizona Coyotes,Nashville Predators,D,22.65,0,0,0,0.04,6,1,1,0,0,0,0,0.62,0.63,20142015,0.7798,0.7798,0.7798,0.7798,-0.7798,0.7798,-0.1598,0.1498,0.32,0.0,-0.5378000000000001,0.7219625000000002,0.5041625000000002,1991-07-06,23.69041095890411,8,-0.002480998900807,0.0255282818118785,0.0255282818118785,0.0245665726449286,-0.0501913480957009,-0.0590530771103766,1.0050309032671054,-0.0499401042620096
2015-03-12,Klas Dahlbeck,home,Arizona Coyotes,Chicago Blackhawks,D,21.383333333333,0,0,0,0.09,3,0,0,0,0,0,0,0.46,0.63,20142015,0.7392666666666561,0.7392666666666561,0.7392666666666561,0.7392666666666561,-0.7392666666666561,0.7392666666666561,-0.279266666666656,0.109266666666656,0.195,0.0,-0.7532666666666561,0.6636958333333182,0.1054291666666621,1991-07-06,23.698630136986303,9,0.0304508773623504,0.0301921209336814,0.0301921209336814,0.0293698274988284,-0.0528291302288491,-0.0617878372462335,1.004884734056163,-0.0525723283859703
2015-03-14,Klas Dahlbeck,home,Arizona Coyotes,New Jersey Devils,D,21.75,0,0,0,0.03,3,0,0,0,0,0,2,0.66,0.75,20142015,0.7510000000000001,0.7510000000000001,0.7510000000000001,0.7510000000000001,-0.7510000000000001,-1.249,-0.091,0.0010000000000001,0.165,0.0,-0.445,-0.7454374999999998,-1.0254374999999998,1991-07-06,23.704109589041096,10,0.0350516877727426,-0.0289814532993414,-0.0289814532993414,-0.0294140983843218,-0.0560599328183921,-0.0648777771417962,1.0047885548139786,-0.0557927660997002
