Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2011-10-13,Lennart Petrell,away,Edmonton Oilers,Minnesota Wild,L,9.0,0,0,0,0.08,0,0,0,0,0,0,0,0.09,0.06,20112012,0.343,0.343,0.343,0.343,-0.343,0.343,-0.253,0.283,0.04,0.0,-0.558125,0.8645812500000001,0.3464562500000001,1984-04-13,27.51780821917808,1,0.0,0.0325665988285222,0.0325665988285222,0.0385006751764009,0.0063947885592026,0.0080313435099039,1,0.0063947885592026
2011-10-15,Lennart Petrell,home,Edmonton Oilers,Vancouver Canucks,L,9.65,0,0,0,0.0,0,0,0,0,0,0,0,0.15,0.32,20112012,0.3638,0.3638,0.3638,0.3638,-0.3638,0.3638,-0.2138,0.0438,0.0,0.0,-0.533625,0.44481125,-0.08881375,1984-04-13,27.523287671232875,2,0.0327024574793816,0.022034578867048,0.022034578867048,0.0268031432152067,0.0033837343180231,0.0044284778836345,1,0.0033837343180231
2011-10-17,Lennart Petrell,home,Edmonton Oilers,Nashville Predators,L,6.2166666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.06,20112012,0.2539333333333344,0.2539333333333344,0.2539333333333344,0.2539333333333344,-0.2539333333333344,0.2539333333333344,-0.2539333333333344,0.1939333333333344,0.0,0.0,-0.558708333333334,0.7693912500000011,0.210682916666667,1984-04-13,27.528767123287672,3,0.0221850648868509,0.0372582253208479,0.0372582253208479,0.0481089252030736,0.001116085272193,0.0017054579706736,1,0.001116085272193
2011-10-18,Lennart Petrell,away,Edmonton Oilers,Calgary Flames,L,16.383333333333,0,0,0,0.0,3,0,0,1,0,0,1,0.14,0.84,20112012,0.579266666666656,0.579266666666656,0.579266666666656,0.579266666666656,-0.579266666666656,-0.4207333333333439,-0.439266666666656,-0.2607333333333439,0.15,0.01,-0.67454166666666,-0.6464087500000114,-1.1609504166666715,1984-04-13,27.53150684931507,4,0.0372530608798793,-0.053254148531049,-0.053254148531049,-0.0650514592526065,-0.00021447092044,8.881941806378364e-05,1,-0.00021447092044
2011-10-20,Lennart Petrell,home,Edmonton Oilers,Minnesota Wild,L,11.833333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.07,0.18,20112012,0.433666666666656,0.433666666666656,0.433666666666656,0.433666666666656,-0.433666666666656,0.433666666666656,-0.363666666666656,0.253666666666656,0.05,0.0,-0.62729166666666,0.7574812499999886,0.1801895833333285,1984-04-13,27.53698630136986,5,-0.051595136866558,-0.0366540191826195,-0.0366540191826195,-0.0428470422003093,-0.0006252405061794,-0.0004693549587308,1,-0.0006252405061794
2011-10-22,Lennart Petrell,home,Edmonton Oilers,New York Rangers,L,9.45,0,0,0,0.0,0,0,0,0,0,0,0,0.16,0.4,20112012,0.3574,0.3574,0.3574,0.3574,-0.3574,0.3574,-0.1974,-0.0426,0.0,0.0,-0.523375,0.3019712499999999,-0.2214037500000001,1984-04-13,27.542465753424658,6,-0.0355375398952211,-0.0490824337450703,-0.0490824337450703,-0.0579701851570697,-0.0001556731972505,-7.96226452480723e-05,1,-0.0001556731972505
2011-10-25,Lennart Petrell,home,Edmonton Oilers,Vancouver Canucks,L,13.7,0,0,0,0.07,4,0,0,0,0,0,0,0.11,0.72,20112012,0.4934,0.4934,0.4934,0.4934,-0.4934,0.4934,-0.3834,-0.2265999999999999,0.235,0.0,-0.6396250000000001,-0.0966787499999999,-0.50130375,1984-04-13,27.55068493150685,7,-0.0476227914116618,-0.0779886520590394,-0.0779886520590394,-0.0919203919482444,0.0010162198236624,0.0010759313762608,1,0.0010162198236624
2011-10-27,Lennart Petrell,home,Edmonton Oilers,Washington Capitals,L,12.966666666667,0,0,0,0.0,3,0,0,0,0,0,0,0.11,0.41,20112012,0.469933333333344,0.469933333333344,0.469933333333344,0.469933333333344,-0.469933333333344,0.469933333333344,-0.359933333333344,0.059933333333344,0.15,0.0,-0.62495833333334,0.4052412500000114,-0.0697170833333286,1984-04-13,27.556164383561644,8,-0.0754700175914575,-0.0774842941677445,-0.0774842941677445,-0.0824173661688045,0.002621589965965,0.0027392891564845,1,0.002621589965965
2011-10-28,Lennart Petrell,away,Edmonton Oilers,Colorado Avalanche,L,12.0,0,1,0,0.04,0,0,0,0,0,1,0,0.17,0.57,20112012,0.439,0.439,0.439,0.439,0.5609999999999999,0.439,-0.269,-0.1309999999999999,0.72,0.0,0.0568749999999999,0.1001812500000001,0.8770562500000001,1984-04-13,27.55890410958904,9,-0.0751361214861564,-0.0217674702386027,-0.0217674702386027,-0.0253072784180332,0.0044281918177006,0.0046776559777116,1,0.0044281918177006
2011-10-30,Lennart Petrell,home,Edmonton Oilers,St Louis Blues,L,12.633333333333,0,0,0,0.14,1,0,0,0,0,0,0,0.65,0.23,20112012,0.459266666666656,0.459266666666656,0.459266666666656,0.459266666666656,-0.459266666666656,0.459266666666656,0.190733333333344,0.229266666666656,0.12,0.0,-0.28079166666666,0.6998412499999885,0.5390495833333285,1984-04-13,27.56438356164384,10,-0.0228088342709072,0.0096692656132502,0.0096692656132502,0.0107623241739887,0.006091139236861,0.0065241272737931,1,0.006091139236861
