Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2019-03-01,Libor Hajek,home,New York Rangers,Montreal Canadiens,D,17.583333333333,0,0,0,0.08,0,1,0,0,0,0,0,0.66,0.51,20182019,0.6176666666666562,0.6176666666666562,0.6176666666666562,0.6176666666666562,-0.6176666666666562,0.6176666666666562,0.0423333333333438,0.1076666666666561,0.04,-0.15,-0.3116666666666561,0.7648958333333182,0.3432291666666621,1998-02-04,21.08219178082192,1,0.0,0.0322632556840328,0.0322632556840328,0.031816295222196,0.221958665868306,0.2376779946597761,1.2295585280306118,0.2729111704886727
2019-03-03,Libor Hajek,home,New York Rangers,Washington Capitals,D,12.166666666667,0,0,0,0.01,0,0,0,0,0,1,1,0.39,0.54,20182019,0.444333333333344,0.444333333333344,0.444333333333344,0.444333333333344,0.555666666666656,-0.555666666666656,-0.054333333333344,-0.095666666666656,0.005,0.0,-0.170333333333344,-0.128270833333318,-0.293604166666662,1998-02-04,21.087671232876712,2,0.0323978488729821,0.0039881499513888,0.0039881499513888,0.0040769743847467,0.2049175219069067,0.2202646957415348,1.228474477565125,0.2517359456685273
2019-03-05,Libor Hajek,away,New York Rangers,Dallas Stars,D,17.033333333333,0,0,0,0.02,1,0,0,0,0,0,0,0.87,0.36,20182019,0.6000666666666561,0.6000666666666561,0.6000666666666561,0.6000666666666561,-0.6000666666666561,0.6000666666666561,0.2699333333333439,0.2400666666666561,0.06,0.0,0.0419333333333439,1.084595833333318,1.186529166666662,1998-02-04,21.09315068493151,3,0.0041819322104374,0.0994174898839391,0.0994174898839391,0.1005876001842089,0.1869086500596107,0.2016027729337688,1.2273948146943507,0.2294107079046872
2019-03-07,Libor Hajek,away,New York Rangers,Detroit Red Wings,D,21.733333333333,0,0,0,0.05,2,1,0,0,0,1,0,0.58,0.53,20182019,0.7504666666666561,0.7504666666666561,0.7504666666666561,0.7504666666666561,0.2495333333333439,0.7504666666666561,-0.1704666666666561,0.220466666666656,0.125,-0.15,-0.1724666666666561,0.909795833333318,0.7123291666666619,1998-02-04,21.0986301369863,4,0.0986954941578963,0.1457166809289397,0.1457166809289397,0.1529638140511668,0.167698219859525,0.1813904634194594,1.226319519030656,0.2056516003204299
2019-03-09,Libor Hajek,home,New York Rangers,New Jersey Devils,D,14.133333333333,1,0,0,0.15,0,1,0,0,0,1,1,0.98,0.15,20182019,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.4927333333333439,-0.4927333333333439,0.4727333333333439,0.3572666666666561,0.825,-0.15,0.7107333333333439,0.8591958333333182,2.2449291666666618,1998-02-04,21.10410958904109,5,0.1442776215615399,0.2949911913849726,0.2949911913849726,0.3024804216898869,0.1471771426457848,0.1595127403335314,1.225248570319645,0.1803285836104783
2019-10-03,Libor Hajek,home,New York Rangers,Winnipeg Jets,D,12.333333333333,0,0,1,0.0,0,0,0,0,0,1,0,0.21,0.41,20192020,0.449666666666656,0.449666666666656,0.449666666666656,0.449666666666656,0.550333333333344,0.449666666666656,-0.239666666666656,0.039666666666656,0.55,0.0,-0.463666666666656,0.7533958333333182,0.8397291666666622,1998-02-04,21.673972602739727,6,0.2900462018494522,0.3316366000400091,0.3316366000400091,0.4868935804066499,0.1240574810146965,0.1346040696127452,1.1342813700670922,0.1407160895324222
2019-10-05,Libor Hajek,away,New York Rangers,Ottawa Senators,D,14.733333333333,0,0,0,0.02,1,0,0,0,0,0,0,0.26,0.71,20192020,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.5264666666666561,-0.5264666666666561,0.5264666666666561,-0.2664666666666561,-0.1835333333333438,0.06,0.0,-0.860466666666656,0.1737958333333182,-0.6266708333333377,1998-02-04,21.67945205479452,7,0.3414708047547619,0.2703810977333167,0.2703810977333167,0.3667003603824504,0.0980520114063307,0.1063954368616735,1.1335757809216829,0.1111493854008731
2019-10-12,Libor Hajek,home,New York Rangers,Edmonton Oilers,D,15.416666666667,0,0,0,0.03,0,0,0,0,0,0,0,0.08,0.82,20192020,0.548333333333344,0.548333333333344,0.548333333333344,0.548333333333344,-0.548333333333344,0.548333333333344,-0.468333333333344,-0.2716666666666559,0.015,0.0,-1.170333333333344,-0.0477708333333177,-1.2031041666666618,1998-02-04,21.698630136986303,8,0.2583569670333951,0.1805355139691554,0.1805355139691554,0.2236344102719878,0.0704664066658607,0.076354284180094,1.1311280491156153,0.0797065291001426
2019-10-17,Libor Hajek,away,New York Rangers,New Jersey Devils,D,11.916666666667,0,0,0,0.04,0,0,0,0,0,0,1,0.35,0.49,20192020,0.436333333333344,0.436333333333344,0.436333333333344,0.436333333333344,-0.436333333333344,-0.563666666666656,-0.086333333333344,-0.0536666666666559,0.02,0.0,-0.6263333333333441,-0.0247708333333178,-0.6311041666666619,1998-02-04,21.71232876712329,9,0.1413820039930123,0.1331598572134548,0.1331598572134548,0.1674438957268201,0.0427762011619225,0.0461315385428225,1.1294002763799469,0.0483114534147595
2019-10-18,Libor Hajek,away,New York Rangers,Washington Capitals,D,16.566666666667,0,0,0,0.02,3,1,0,0,0,1,1,1.34,1.57,20192020,0.585133333333344,0.585133333333344,0.585133333333344,0.585133333333344,0.4148666666666559,-0.4148666666666559,0.754866666666656,-0.984866666666656,0.16,-0.15,1.2088666666666563,-2.2948708333333183,-1.076004166666662,1998-02-04,21.715068493150685,10,0.0836266143349668,0.0653798748142438,0.0653798748142438,0.0768048240125901,0.0159772400736449,0.0168443772490753,1.1290567656807615,0.0180392110020546
2019-10-20,Libor Hajek,home,New York Rangers,Vancouver Canucks,D,18.166666666667,0,0,0,0.0,2,1,0,0,0,1,0,0.22,1.26,20192020,0.636333333333344,0.636333333333344,0.636333333333344,0.636333333333344,0.363666666666656,0.636333333333344,-0.416333333333344,-0.623666666666656,0.1,-0.15,-0.634333333333344,-0.9332708333333176,-1.6176041666666616,1998-02-04,21.72054794520548,11,0.0028140386789013,-0.0254809486222598,-0.0254809486222598,-0.0294182714391388,-0.0096541484033496,-0.0113689731558566,1.1283717778607796,-0.0085558222854992
2019-10-22,Libor Hajek,home,New York Rangers,Arizona Coyotes,D,19.3,0,0,0,0.01,3,0,0,0,0,0,0,0.52,0.8,20192020,0.6726000000000001,0.6726000000000001,0.6726000000000001,0.6726000000000001,-0.6726000000000001,0.6726000000000001,-0.1526,-0.1273999999999999,0.155,0.0,-0.5906,0.1768625000000001,-0.2587374999999998,1998-02-04,21.726027397260275,12,-0.1031305274754819,-0.0376415888661207,-0.0376415888661207,-0.0410576485206894,-0.0343879599818899,-0.0393220006017304,1.1276894929803678,-0.0304941743236483
2019-10-24,Libor Hajek,home,New York Rangers,Buffalo Sabres,D,17.25,0,0,0,0.0,5,0,0,0,0,2,1,0.41,0.52,20192020,0.6070000000000001,0.6070000000000001,0.6070000000000001,0.6070000000000001,1.3929999999999998,-0.3929999999999999,-0.1970000000000001,0.087,0.25,0.0,0.0989999999999997,0.1515625000000002,0.5005625,1998-02-04,21.731506849315068,13,-0.1127141900770569,-0.0104807116057578,-0.0104807116057578,-0.0119232819347296,-0.058015125534847,-0.0667623999853347,1.1270099008913517,-0.0514770327119245
2019-10-27,Libor Hajek,home,New York Rangers,Boston Bruins,D,17.5,0,0,0,0.0,3,0,1,0,0,0,4,0.37,0.85,20192020,0.6150000000000001,0.6150000000000001,0.6150000000000001,0.6150000000000001,-0.6150000000000001,-3.385,-0.2450000000000001,-0.2349999999999998,0.15,0.15,-0.7730000000000001,-2.3209374999999994,-2.7939374999999997,1998-02-04,21.73972602739726,14,-0.0770063191698421,-0.1467562272241155,-0.1467562272241155,-0.1652617547011453,-0.0803000491165352,-0.0931018685751658,1.1259955396813963,-0.0713147133240477
2019-10-29,Libor Hajek,home,New York Rangers,Tampa Bay Lightning,D,21.716666666667,0,0,0,0.1,1,0,0,0,0,0,0,0.24,0.75,20192020,0.749933333333344,0.749933333333344,0.749933333333344,0.749933333333344,-0.749933333333344,0.749933333333344,-0.509933333333344,-6.666666665600118e-05,0.1,0.0,-1.115933333333344,0.4030291666666821,-0.6129041666666619,1998-02-04,21.745205479452054,15,-0.2273058663275685,-0.1689422532052949,-0.1689422532052949,-0.1911748097169189,-0.1011917090037383,-0.1179487820289937,1.125322635542181,-0.0899223971932139
2019-11-02,Libor Hajek,away,New York Rangers,Nashville Predators,D,20.483333333333,0,1,0,0.03,1,1,1,0,0,1,0,0.63,0.75,20192020,0.710466666666656,0.710466666666656,0.710466666666656,0.710466666666656,0.2895333333333439,0.710466666666656,-0.080466666666656,-0.0395333333333439,0.765,0.0,-0.052466666666656,0.3462958333333181,1.058829166666662,1998-02-04,21.756164383561643,16,-0.2475920726666212,-0.1120290479058124,-0.1120290479058124,-0.1246898307139532,-0.1207506803984459,-0.1411385525130581,1.1239847905116207,-0.1074308846683611
2019-11-04,Libor Hajek,home,New York Rangers,Ottawa Senators,D,14.5,0,0,0,0.06,1,1,0,0,0,0,1,0.66,1.16,20192020,0.519,0.519,0.519,0.519,-0.519,-0.481,0.141,-0.6409999999999999,0.08,-0.15,-0.2129999999999999,-1.446937499999999,-1.729937499999999,1998-02-04,21.76164383561644,17,-0.1818216256773277,-0.1852010642331032,-0.1852010642331032,-0.2192201160765162,-0.139071027331025,-0.1626633089459444,1.123319829880999,-0.1238035897094043
2019-11-06,Libor Hajek,home,New York Rangers,Detroit Red Wings,D,19.8,0,0,0,0.12,2,0,0,0,0,0,1,0.89,1.03,20192020,0.6886000000000001,0.6886000000000001,0.6886000000000001,0.6886000000000001,-0.6886000000000001,-0.3113999999999999,0.2013999999999999,-0.3413999999999999,0.16,0.0,-0.0146000000000001,-0.9041374999999998,-0.7587375,1998-02-04,21.767123287671232,18,-0.2562944159009076,-0.2105492998766049,-0.2105492998766049,-0.2557842068508026,-0.1560673040937639,-0.1823776700764937,1.1226574974381711,-0.1390159549550054
2019-11-07,Libor Hajek,away,New York Rangers,Carolina Hurricanes,D,20.9,0,0,0,0.1,4,0,0,0,0,1,0,0.61,1.59,20192020,0.7238,0.7238,0.7238,0.7238,0.2762,0.7238,-0.1138,-0.8662000000000001,0.25,0.0,-0.0978000000000001,-1.5665374999999997,-1.4143374999999998,1998-02-04,21.76986301369863,19,-0.2794394374472541,-0.2626186304180117,-0.2626186304180117,-0.290719694132673,-0.1713259561704329,-0.1997545724166819,1.122327313743276,-0.1526523983444837
2019-11-10,Libor Hajek,home,New York Rangers,Florida Panthers,D,18.8,0,0,0,0.0,2,0,0,0,0,1,1,1.09,0.47,20192020,0.6566000000000001,0.6566000000000001,0.6566000000000001,0.6566000000000001,0.3433999999999999,-0.3433999999999999,0.4334,0.1866000000000001,0.1,0.0,0.7374,0.3378625000000003,1.1752625000000003,1998-02-04,21.778082191780825,20,-0.329507554481088,-0.2016644383446472,-0.2016644383446472,-0.2317727978174145,-0.1844060203088645,-0.2142928321627445,1.1213406782345023,-0.1644513785045264
