Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-03,Loui Eriksson,away,Dallas Stars,Colorado Avalanche,L,13.233333333333,0,0,1,0.02,0,2,0,0,0,1,0,0.27,0.4,20072008,0.478466666666656,0.478466666666656,0.478466666666656,0.478466666666656,0.5215333333333441,0.478466666666656,-0.2084666666666559,0.0784666666666559,0.56,-0.3,0.09470833333334,0.4313612499999885,0.7860695833333287,1985-07-17,22.22739726027397,60,0.0,0.7757291211789072,0.7757291211789072,0.9224793842819936,0.2702533591237433,0.3459720201996387,1.0755107182158068,0.2906603843714115
2007-10-13,Loui Eriksson,away,Dallas Stars,Chicago Blackhawks,L,13.1,0,0,0,0.19,0,0,0,0,0,0,0,0.28,0.29,20072008,0.4742,0.4742,0.4742,0.4742,-0.4742,0.4742,-0.1941999999999999,0.1842,0.095,0.0,-0.521375,0.6138012500000001,0.18742625,1985-07-17,22.254794520547943,61,0.7860695833333287,0.4833742255734676,0.4833742255734676,0.6127934246012166,0.2746870371966708,0.3510476795685772,1.07318173595965,0.2947891114243362
2007-10-17,Loui Eriksson,away,Dallas Stars,Columbus Blue Jackets,L,16.516666666667,0,0,0,0.03,0,0,0,0,0,0,0,0.16,0.69,20072008,0.583533333333344,0.583533333333344,0.583533333333344,0.583533333333344,-0.583533333333344,0.583533333333344,-0.423533333333344,-0.1064666666666559,0.015,0.0,-0.66470833333334,0.0506512500000114,-0.5990570833333285,1985-07-17,22.265753424657536,62,0.483891636354226,0.1235465518865754,0.1235465518865754,0.1386426742893652,0.2791189861581588,0.3561092524119173,1.0722637041506542,0.2992891579967225
2007-10-29,Loui Eriksson,home,Dallas Stars,San Jose Sharks,L,12.366666666667,0,0,0,0.06,0,0,1,0,0,1,0,0.36,0.33,20072008,0.450733333333344,0.450733333333344,0.450733333333344,0.450733333333344,0.549266666666656,0.450733333333344,-0.0907333333333439,0.1207333333333439,0.03,0.15,0.1682916666666599,0.5207212500000113,0.8690129166666714,1985-07-17,22.2986301369863,63,0.1187742378445921,0.3099575044244961,0.3099575044244961,0.375173968395636,0.2835492728941953,0.3611554527159012,1.0695554756300871,0.3032716774349164
2007-10-31,Loui Eriksson,home,Dallas Stars,Chicago Blackhawks,L,12.9,0,0,0,0.01,0,0,0,0,0,0,3,0.03,0.39,20072008,0.4678,0.4678,0.4678,0.4678,-0.4678,-2.5322,-0.4377999999999999,0.0777999999999999,0.005,0.0,-0.673625,-0.8755387499999997,-1.5441637499999996,1985-07-17,22.304109589041097,64,0.3111988512638709,-0.0621391894409109,-0.0621391894409109,-0.0743488504318671,0.2879779653333223,0.3661850951574362,1.0691107308042167,0.3078803329730196
2007-11-16,Loui Eriksson,home,Dallas Stars,Colorado Avalanche,L,12.916666666667,0,0,0,0.23,0,0,1,0,0,0,1,0.63,0.68,20072008,0.468333333333344,0.468333333333344,0.468333333333344,0.468333333333344,-0.468333333333344,-0.5316666666666561,0.161666666666656,-0.211666666666656,0.115,0.15,-0.29895833333334,-0.4929687499999887,-0.5269270833333287,1985-07-17,22.34794520547945,65,-0.0686857326995533,-0.1401517702318735,-0.1401517702318735,-0.1565633770556299,0.2924051321353588,0.3711970934288228,1.0656198852812957,0.3115927233617432
2007-11-19,Loui Eriksson,home,Dallas Stars,Los Angeles Kings,L,11.933333333333,0,1,0,0.13,0,0,0,0,0,1,0,0.45,0.17,20072008,0.4368666666666559,0.4368666666666559,0.4368666666666559,0.4368666666666559,0.563133333333344,0.4368666666666559,0.013133333333344,0.2668666666666559,0.7649999999999999,0.0,0.23320833333334,0.7779012499999884,1.7761095833333282,1985-07-17,22.356164383561644,66,-0.1485586888148511,0.136680958099942,0.136680958099942,0.1635046181270748,0.2968308424026176,0.3761904580768676,1.064978492543899,0.3161184630824754
2007-11-21,Loui Eriksson,home,Dallas Stars,Anaheim Ducks,L,11.1,0,0,0,0.13,0,0,0,0,0,0,0,0.13,0.22,20072008,0.4102,0.4102,0.4102,0.4102,-0.4102,0.4102,-0.2802,0.1902,0.065,0.0,-0.575125,0.6644012499999999,0.15427625,1985-07-17,22.36164383561644,67,0.1385178775565105,0.1389156053158677,0.1389156053158677,0.1616806566892492,0.3012551654134957,0.3811642939307471,1.0645531782285065,0.3207021437986913
2007-11-23,Loui Eriksson,home,Dallas Stars,Toronto Maple Leafs,L,18.733333333333,0,0,0,0.39,0,1,0,0,0,1,0,1.05,0.24,20072008,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.3455333333333439,0.6544666666666561,0.3955333333333439,0.4144666666666561,0.195,-0.15,0.4722083333333399,0.8914612499999887,1.4086695833333285,1985-07-17,22.367123287671237,68,0.140570061604122,0.2830174170915051,0.2830174170915051,0.327200340193969,0.3056781703780997,0.3861177971876122,1.0641296821304893,0.3252812142786768
2007-11-25,Loui Eriksson,away,Dallas Stars,New York Rangers,L,12.816666666667,1,0,0,0.13,1,0,0,0,0,0,1,0.04,0.47,20072008,0.465133333333344,0.465133333333344,0.465133333333344,0.465133333333344,-0.465133333333344,-0.5348666666666559,-0.425133333333344,-0.0048666666666559,0.865,0.0,-0.66570833333334,-0.1393887499999885,0.0599029166666714,1985-07-17,22.372602739726027,69,0.287178368064067,0.2600950746073586,0.2600950746073586,0.2843846161626219,0.3100999262153853,0.3910502522194464,1.0637079987458702,0.3298557719258095
