Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-05,Marc-Andre Bergeron,away,New York Islanders,Buffalo Sabres,D,19.716666666667,0,0,1,0.05,0,0,0,0,0,1,3,0.48,0.42,20072008,0.685933333333344,0.685933333333344,0.685933333333344,0.685933333333344,0.3140666666666559,-2.314066666666656,-0.205933333333344,0.265933333333344,0.5750000000000001,0.0,-0.267933333333344,-0.654970833333318,-0.3479041666666619,1980-10-13,26.994520547945207,213,0.0,-0.3433276127011376,-0.3433276127011376,-0.4074690386232798,0.3119107310690733,0.4954616878851258,1,0.3119107310690733
2007-10-06,Marc-Andre Bergeron,home,New York Islanders,Buffalo Sabres,D,17.016666666667,0,0,0,0.06,0,0,0,0,0,0,0,0.41,0.66,20072008,0.599533333333344,0.599533333333344,0.599533333333344,0.599533333333344,-0.599533333333344,0.599533333333344,-0.189533333333344,-0.060466666666656,0.03,0.0,-0.6935333333333441,0.393829166666682,-0.2697041666666621,1980-10-13,26.997260273972604,214,-0.3479041666666619,-0.3067407185450896,-0.3067407185450896,-0.3884680493270943,0.3106931399546532,0.4871893556916966,1,0.3106931399546532
2007-10-08,Marc-Andre Bergeron,home,New York Islanders,Washington Capitals,D,21.916666666667,0,0,0,0.14,0,0,0,0,0,1,1,0.45,0.23,20072008,0.756333333333344,0.756333333333344,0.756333333333344,0.756333333333344,0.243666666666656,-0.243666666666656,-0.3063333333333439,0.526333333333344,0.07,0.0,-0.3863333333333439,1.0332291666666822,0.7168958333333382,1980-10-13,27.0027397260274,215,-0.3087668543271969,0.0335420838207111,0.0335420838207111,0.0353477435986292,0.3095828024955448,0.4791604188013278,1,0.3095828024955448
2007-10-10,Marc-Andre Bergeron,home,New York Islanders,New York Rangers,D,22.233333333333,1,0,1,0.15,1,0,0,0,0,0,1,0.18,0.7,20072008,0.7664666666666561,0.7664666666666561,0.7664666666666561,0.7664666666666561,-0.7664666666666561,-0.2335333333333439,-0.586466666666656,0.0664666666666561,1.425,0.0,-1.228466666666656,-0.0332041666666815,0.1633291666666625,1980-10-13,27.008219178082197,216,0.0342089893622759,0.0659965779246385,0.0659965779246385,0.0776150968912458,0.3085835957018409,0.471428443898907,1,0.3085835957018409
2007-10-11,Marc-Andre Bergeron,away,New York Islanders,Toronto Maple Leafs,D,16.75,0,0,0,0.02,1,0,0,0,0,0,0,0.11,0.84,20072008,0.5910000000000001,0.5910000000000001,0.5910000000000001,0.5910000000000001,-0.5910000000000001,0.5910000000000001,-0.4810000000000001,-0.2489999999999999,0.06,0.0,-1.165,-0.0324374999999996,-1.1374374999999997,1980-10-13,27.01095890410959,217,0.0666586841877196,-0.1755161282223572,-0.1755161282223572,-0.2202262598678793,0.3076962126433541,0.4640295158707347,1,0.3076962126433541
2007-10-27,Marc-Andre Bergeron,home,New York Islanders,Carolina Hurricanes,D,21.15,1,0,0,0.22,1,0,0,0,0,0,1,1.03,0.08,20072008,0.7318,0.7318,0.7318,0.7318,-0.7318,-0.2682,0.2982,0.6518,0.91,0.0,0.1662,1.3429625,2.4191625,1980-10-13,27.054794520547944,218,-0.1755410678022609,0.259989139386083,0.259989139386083,0.285730935905506,0.3069187615162648,0.4569846943575052,1,0.3069187615162648
2007-11-01,Marc-Andre Bergeron,home,New York Islanders,Tampa Bay Lightning,D,21.366666666667,0,0,0,0.02,1,0,0,0,0,1,0,0.77,0.67,20072008,0.7387333333333441,0.7387333333333441,0.7387333333333441,0.7387333333333441,0.2612666666666559,0.7387333333333441,0.0312666666666558,0.068733333333344,0.06,0.0,0.1432666666666558,0.5709291666666821,0.7741958333333381,1980-10-13,27.068493150684933,219,0.270132626527545,0.3342740179842246,0.3342740179842246,0.3981194151570377,0.3062473620878161,0.4503026549190083,1,0.3062473620878161
2007-11-03,Marc-Andre Bergeron,home,New York Islanders,Pittsburgh Penguins,D,19.3,0,1,0,0.13,1,0,0,0,0,2,1,1.06,0.36,20072008,0.6726000000000001,0.6726000000000001,0.6726000000000001,0.6726000000000001,1.3274,-0.3273999999999999,0.3873999999999999,0.3126000000000001,0.815,0.0,1.0734,0.6138625000000002,2.5022625,1980-10-13,27.07397260273973,220,0.344624504734961,0.609614117654851,0.609614117654851,0.7195548774679641,0.3056766912156248,0.4439822414988966,1,0.3056766912156248
2007-11-06,Marc-Andre Bergeron,home,New York Islanders,New York Rangers,D,17.366666666667,0,0,1,0.01,3,0,0,0,0,0,0,0.48,0.35,20072008,0.6107333333333441,0.6107333333333441,0.6107333333333441,0.6107333333333441,-0.6107333333333441,0.6107333333333441,-0.1307333333333441,0.2607333333333441,0.7050000000000001,0.0,-0.5927333333333442,1.1229291666666823,1.2351958333333382,1980-10-13,27.08219178082192,221,0.6233564499217055,0.6806101217656111,0.6806101217656111,0.7507129103966312,0.3052004539193408,0.4380147735082616,1,0.3052004539193408
2007-11-10,Marc-Andre Bergeron,home,New York Islanders,New Jersey Devils,D,19.583333333333,0,0,0,0.12,1,0,0,0,0,0,0,0.41,0.14,20072008,0.6816666666666561,0.6816666666666561,0.6816666666666561,0.6816666666666561,-0.6816666666666561,0.6816666666666561,-0.2716666666666561,0.5416666666666561,0.11,0.0,-0.7756666666666562,1.707895833333318,1.042229166666662,1980-10-13,27.09315068493151,222,0.6937094089731473,0.7177621472064873,0.7177621472064873,0.8074249928995355,0.3048117731467071,0.432386035159598,1,0.3048117731467071
2007-11-12,Marc-Andre Bergeron,away,New York Islanders,Philadelphia Flyers,D,19.016666666667,0,0,0,0.09,1,0,0,0,0,0,1,0.22,0.63,20072008,0.6635333333333441,0.6635333333333441,0.6635333333333441,0.6635333333333441,-0.6635333333333441,-0.3364666666666559,-0.4435333333333441,0.033533333333344,0.095,0.0,-1.061533333333344,-0.0201708333333177,-0.9867041666666618,1980-10-13,27.0986301369863,223,0.7298983059806121,0.5575437338840636,0.5575437338840636,0.6535926047097196,0.3044892169938301,0.4270647684158263,1,0.3044892169938301
2007-11-24,Marc-Andre Bergeron,home,New York Islanders,Boston Bruins,D,8.7666666666667,0,0,0,0.03,0,0,0,0,0,1,0,0.02,0.17,20072008,0.3355333333333344,0.3355333333333344,0.3355333333333344,0.3355333333333344,0.6644666666666657,0.3355333333333344,-0.3155333333333344,0.1655333333333344,0.015,0.0,-0.6535333333333344,1.1413291666666685,0.5027958333333339,1980-10-13,27.13150684931507,224,0.5678611298924573,0.5527933275208089,0.5527933275208089,0.6355213181171016,0.3041674801865879,0.421979910586765,1,0.3041674801865879
2007-11-26,Marc-Andre Bergeron,home,New York Islanders,Dallas Stars,D,8.6,0,1,0,0.0,1,0,0,0,0,0,0,0.18,0.09,20072008,0.3302,0.3302,0.3302,0.3302,-0.3302,0.3302,-0.1502,0.2402,0.75,0.0,-0.7922,1.3176625,1.2754625,1980-10-13,27.136986301369863,225,0.5621305288330811,0.6111116785500623,0.6111116785500623,0.6936220789173697,0.3037986155437913,0.4170802398251385,1,0.3037986155437913
2007-11-28,Marc-Andre Bergeron,home,New York Islanders,Ottawa Senators,D,21.316666666667,0,0,0,0.03,0,0,0,0,0,1,0,0.63,0.88,20072008,0.7371333333333441,0.7371333333333441,0.7371333333333441,0.7371333333333441,0.2628666666666559,0.7371333333333441,-0.107133333333344,-0.1428666666666559,0.015,0.0,-0.079133333333344,0.085629166666682,0.021495833333338,1980-10-13,27.14246575342466,226,0.6200743462354517,0.5665722486534999,0.5665722486534999,0.610710658404993,0.3033606862461701,0.412338736102701,1,0.3033606862461701
2007-11-29,Marc-Andre Bergeron,away,New York Islanders,New York Rangers,D,12.433333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.27,0.67,20072008,0.452866666666656,0.452866666666656,0.452866666666656,0.452866666666656,-0.452866666666656,0.452866666666656,-0.1828666666666559,-0.217133333333344,0.0,0.0,-0.7708666666666559,0.159995833333318,-0.6108708333333379,1980-10-13,27.145205479452056,227,0.5749457816725242,0.4828445455993423,0.4828445455993423,0.5217222099840116,0.3028503041504535,0.4077431181069641,1,0.3028503041504535
2007-12-01,Marc-Andre Bergeron,home,New York Islanders,Atlanta Thrashers,D,13.0,0,0,0,0.14,1,0,0,0,0,0,1,0.36,0.79,20072008,0.471,0.471,0.471,0.471,-0.471,-0.5289999999999999,-0.111,-0.319,0.12,0.0,-0.645,-0.6649375,-1.1899375,1980-10-13,27.15068493150685,228,0.4916637172604532,0.3703137795551775,0.3703137795551775,0.4381210717993629,0.3022765896101502,0.403289210784341,1,0.3022765896101502
2007-12-03,Marc-Andre Bergeron,home,New York Islanders,Boston Bruins,D,22.266666666667,0,1,0,0.09,0,0,0,0,0,0,0,0.63,0.9,20072008,0.7675333333333441,0.7675333333333441,0.7675333333333441,0.7675333333333441,-0.7675333333333441,0.7675333333333441,-0.137533333333344,-0.1324666666666559,0.745,0.0,-0.509533333333344,0.0833291666666822,0.3187958333333381,1980-10-13,27.156164383561645,229,0.3809177613530539,0.367020726027961,0.367020726027961,0.4171342163478636,0.3016566573890927,0.3989751477555154,1,0.3016566573890927
2007-12-05,Marc-Andre Bergeron,away,New York Islanders,Atlanta Thrashers,D,15.483333333333,0,0,0,0.04,1,0,0,0,0,2,1,0.48,0.51,20072008,0.550466666666656,0.550466666666656,0.550466666666656,0.550466666666656,1.449533333333344,-0.449533333333344,-0.070466666666656,0.0404666666666559,0.07,0.0,0.2675333333333438,0.093295833333318,0.4308291666666619,1980-10-13,27.16164383561644,230,0.3770655881315568,0.3709114378910344,0.3709114378910344,0.4341122431329442,0.3010114132805043,0.394798677760238,1,0.3010114132805043
2007-12-12,Marc-Andre Bergeron,away,New York Islanders,Buffalo Sabres,D,11.616666666667,0,0,1,0.18,0,0,1,0,0,0,2,0.06,0.34,20072008,0.4267333333333439,0.4267333333333439,0.4267333333333439,0.4267333333333439,-0.4267333333333439,-1.573266666666656,-0.3667333333333439,0.0867333333333439,0.64,0.15,-1.080733333333344,-0.2685708333333179,-0.5593041666666618,1980-10-13,27.18082191780822,231,0.3802161011494261,0.316614468137413,0.316614468137413,0.3436944210101837,0.300362039104954,0.3907571380300997,1,0.300362039104954
2007-12-13,Marc-Andre Bergeron,home,New York Islanders,Phoenix Coyotes,D,16.233333333333,1,0,0,0.07,1,0,0,0,0,0,0,0.63,0.22,20072008,0.574466666666656,0.574466666666656,0.574466666666656,0.574466666666656,-0.574466666666656,0.574466666666656,0.0555333333333439,0.354466666666656,0.8350000000000001,0.0,-0.316466666666656,1.369795833333318,1.888329166666662,1980-10-13,27.183561643835617,232,0.3275481349712759,0.4047173164681502,0.4047173164681502,0.4547359435648998,0.2997280923962981,0.3868467827167218,1,0.2997280923962981
