Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2021-12-09,Mason Shaw,away,Minnesota Wild,San Jose Sharks,C,10.633333333333,0,0,0,0.23,0,0,0,0,1,0,1,0.63,0.77,20212022,0.395266666666656,0.395266666666656,0.395266666666656,0.395266666666656,-0.395266666666656,-0.604733333333344,0.234733333333344,-0.374733333333344,0.115,-0.01,-0.25329166666666,-0.7240587500000114,-0.8723504166666715,1998-11-03,23.115068493150684,1,0.0,-0.0820002123139003,-0.0820002123139003,-0.0913178704516574,-0.1699129368096061,-0.1841694907773357,1.0213431920785867,-0.1663622356593064
2021-12-11,Mason Shaw,away,Minnesota Wild,Los Angeles Kings,C,7.1666666666667,0,0,0,0.01,1,0,0,1,1,0,1,0.23,0.45,20212022,0.2843333333333344,0.2843333333333344,0.2843333333333344,0.2843333333333344,-0.2843333333333344,-0.7156666666666656,-0.0543333333333343,-0.1656666666666656,0.055,0.0,-0.433958333333334,-0.2986187499999989,-0.677577083333333,1998-11-03,23.12054794520548,2,-0.0823422940361523,-0.1336776671466473,-0.1336776671466473,-0.1439539809622416,-0.1377393065419033,-0.1485040095040972,1.0211270478236654,-0.1348894898391615
2022-03-04,Mason Shaw,away,Minnesota Wild,Buffalo Sabres,C,9.1666666666667,0,0,0,0.12,0,1,1,0,0,0,0,0.29,0.35,20212022,0.3483333333333344,0.3483333333333344,0.3483333333333344,0.3483333333333344,-0.3483333333333344,0.3483333333333344,-0.0583333333333344,-0.0016666666666655,0.06,0.0,-0.436458333333334,0.3772812500000011,0.000822916666667,1998-11-03,23.34794520547945,3,-0.1338606724782456,-0.122823665676576,-0.122823665676576,-0.1286997995940564,-0.104830690224528,-0.1119842260520254,1.0132335633330387,-0.1034615255733207
2022-10-17,Mason Shaw,home,Minnesota Wild,Colorado Avalanche,C,5.7666666666667,0,0,0,0.08,0,0,1,0,1,0,0,0.16,0.11,20222023,0.2395333333333344,0.2395333333333344,0.2395333333333344,0.2395333333333344,-0.2395333333333344,0.2395333333333344,-0.0795333333333344,0.1295333333333344,0.04,0.1399999999999999,-0.449708333333334,0.6690012500000011,0.399292916666667,1998-11-03,23.96986301369863,4,-0.1214602272807996,-0.0833831128051349,-0.0833831128051349,-0.1002989547632221,-0.0690897875236893,-0.0723456529358309,1.0013049198145911,-0.0689997483848201
2022-10-27,Mason Shaw,away,Minnesota Wild,Ottawa Senators,C,8.2666666666667,0,0,0,0.04,1,0,0,0,0,0,0,0.49,0.62,20222023,0.3195333333333344,0.3195333333333344,0.3195333333333344,0.3195333333333344,-0.3195333333333344,0.3195333333333344,0.1704666666666656,-0.3004666666666656,0.07,0.0,-0.293458333333334,-0.1124987499999988,-0.3359570833333329,1998-11-03,23.997260273972604,5,-0.0567094738849471,-0.101343588964976,-0.101343588964976,-0.1080461199379663,-0.0280690578917231,-0.0269670217180575,1.0010733903808988,-0.0280389611405445
2022-10-29,Mason Shaw,away,Minnesota Wild,Detroit Red Wings,C,9.4166666666667,0,0,0,0.01,0,1,1,0,0,0,0,0.33,0.29,20222023,0.3563333333333344,0.3563333333333344,0.3563333333333344,0.3563333333333344,-0.3563333333333344,0.3563333333333344,-0.0263333333333343,0.0663333333333344,0.005,0.0,-0.416458333333334,0.4878312500000011,0.0763729166666671,1998-11-03,24.0027397260274,6,-0.088119536258524,-0.0893883108879354,-0.0893883108879354,-0.1064924971900653,0.0132013757275396,0.0186551834996818,1.001029862387581,0.0132149713278658
2022-10-30,Mason Shaw,away,Minnesota Wild,Chicago Blackhawks,C,14.9,1,0,1,0.18,0,0,1,0,0,2,0,0.66,0.15,20222023,0.5318,0.5318,0.5318,0.5318,1.4682,0.5318,0.1281999999999999,0.3818,1.39,0.15,0.930125,0.91336125,3.38348625,1998-11-03,24.005479452054796,7,-0.0714308347778107,0.1325996110114929,0.1325996110114929,0.1624476877726141,0.0529754861651787,0.0620481101981291,1.0010084444424543,0.0530289089997883
2022-11-01,Mason Shaw,home,Minnesota Wild,Montreal Canadiens,C,16.516666666667,1,0,0,0.25,0,1,1,0,1,1,0,0.52,0.21,20222023,0.583533333333344,0.583533333333344,0.583533333333344,0.583533333333344,0.416466666666656,0.583533333333344,-0.0635333333333439,0.373533333333344,0.875,-0.01,0.1852916666666599,0.8666512500000114,1.9169429166666716,1998-11-03,24.01095890410959,8,0.2473554405867645,0.2413997258178973,0.2413997258178973,0.283406841166371,0.0925222915787915,0.1037128464282855,1.0009662997507744,0.0926116958460851
2022-11-03,Mason Shaw,home,Minnesota Wild,Seattle Kraken,C,15.4,0,0,0,0.27,1,0,0,1,1,0,3,0.66,0.5,20222023,0.5478000000000001,0.5478000000000001,0.5478000000000001,0.5478000000000001,-0.5478000000000001,-2.4522,0.1121999999999999,0.0478,0.185,0.0,-0.329875,-0.9770387499999998,-1.1219137499999998,1998-11-03,24.016438356164382,9,0.3888886988263854,0.1618227006653403,0.1618227006653403,0.181276626725062,0.1290275405229006,0.1417446566456947,1.0009250754557792,0.1291469007337579
2022-11-08,Mason Shaw,away,Minnesota Wild,Los Angeles Kings,C,14.083333333333,0,0,0,0.02,0,0,1,0,1,0,0,0.23,0.59,20222023,0.505666666666656,0.505666666666656,0.505666666666656,0.505666666666656,-0.505666666666656,0.505666666666656,-0.275666666666656,-0.0843333333333439,0.01,0.1399999999999999,-0.57229166666666,0.1374312499999887,-0.2848604166666712,1998-11-03,24.03013698630137,10,0.2704082310496539,0.136783770269748,0.136783770269748,0.1554638384963415,0.1617113986626885,0.1761013397868388,1.000826032042261,0.1618449774595827
