Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2009-01-09,Matt Beleskey,home,Anaheim Ducks,Tampa Bay Lightning,L,13.88333333,0,0,0,0.11,0,0,0,0,1,1,0,0.46,0.18,20082009,0.4992666665599999,0.4992666665599999,0.4992666665599999,0.4992666665599999,0.50073333344,0.4992666665599999,-0.0392666665599999,0.3192666665599999,0.055,-0.01,0.2004583333999999,0.827591249886,1.073049583286,1988-06-07,20.605479452054794,1,0.0,0.1008657667511789,0.1008657667511789,0.1105158321606272,0.0630324318829653,0.071966457087538,1.3433809655456213,0.0846765692036265
2009-01-11,Matt Beleskey,home,Anaheim Ducks,New Jersey Devils,L,8.433333333,0,0,0,0.0,0,0,0,0,1,0,1,0.0,0.15,20082009,0.324866666656,0.324866666656,0.324866666656,0.324866666656,-0.324866666656,-0.6751333333439999,-0.324866666656,0.174866666656,0.0,-0.01,-0.60304166666,0.2547012499886,-0.3583404166714,1988-06-07,20.610958904109587,2,0.101286550237378,0.0610210246910659,0.0610210246910659,0.0643851241831761,0.0615763399620079,0.0702963505983461,1.341818693787761,0.0826242840560525
2009-10-24,Matt Beleskey,home,Anaheim Ducks,Columbus Blue Jackets,L,11.733333333333,0,0,0,0.08,0,0,0,0,0,0,1,0.24,0.16,20092010,0.430466666666656,0.430466666666656,0.430466666666656,0.430466666666656,-0.430466666666656,-0.569533333333344,-0.190466666666656,0.270466666666656,0.04,0.0,-0.5190416666666601,0.3505612499999885,-0.1284804166666715,1988-06-07,21.39452054794521,3,0.0615052127732875,0.0457285340210446,0.0457285340210446,0.0839721935564263,0.0601177546155738,0.0686250096637318,1.1742221682616647,0.0705916001757218
2009-10-26,Matt Beleskey,home,Anaheim Ducks,Toronto Maple Leafs,L,9.3,0,0,0,0.0,0,1,0,0,0,0,0,0.1,0.2,20092010,0.3526,0.3526,0.3526,0.3526,-0.3526,0.3526,-0.2526,0.1526,0.0,-0.15,-0.557875,0.63684125,-0.07103375,1988-06-07,21.4,4,0.0368116007338966,0.0369083409989146,0.0369083409989146,0.0440356347462797,0.0586564320471696,0.0669522611330547,1.173359184101906,0.0688250632491958
2009-10-30,Matt Beleskey,home,Anaheim Ducks,Vancouver Canucks,L,10.9,0,0,0,0.03,0,0,0,0,0,0,0,0.53,0.57,20092010,0.4038,0.4038,0.4038,0.4038,-0.4038,0.4038,0.1262,-0.1661999999999999,0.015,0.0,-0.321125,0.06256125,-0.2435637499999999,1988-06-07,21.410958904109588,5,0.0243646565104944,0.0169640359964939,0.0169640359964939,0.0195085913170866,0.0571921816359416,0.0652779632935815,1.171643432370562,0.0670088439966953
2009-11-29,Matt Beleskey,home,Anaheim Ducks,Phoenix Coyotes,L,13.216666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.35,0.84,20092010,0.477933333333344,0.477933333333344,0.477933333333344,0.477933333333344,-0.477933333333344,0.477933333333344,-0.127933333333344,-0.3620666666666559,0.0,0.0,-0.47995833333334,-0.3172087499999886,-0.7971670833333286,1988-06-07,21.493150684931507,6,-0.0035488863809366,-0.0378038871526055,-0.0378038871526055,-0.0406278059100696,0.0557248619404824,0.0636020039335865,1.1591988563276103,0.0645961962304212
2009-12-01,Matt Beleskey,home,Anaheim Ducks,Los Angeles Kings,L,7.4833333333333,0,1,0,0.08,0,0,1,0,0,1,1,0.58,0.21,20092010,0.2944666666666656,0.2944666666666656,0.2944666666666656,0.2944666666666656,0.7055333333333345,-0.7055333333333345,0.2855333333333343,0.0844666666666656,0.74,0.15,0.403458333333334,0.1202112499999988,1.4136695833333328,1988-06-07,21.4986301369863,7,-0.0824031442635272,0.054975041010853,0.054975041010853,0.0614223588489727,0.0542543762287686,0.0619242980328111,1.1583951452125223,0.0628480060299392
2009-12-03,Matt Beleskey,away,Anaheim Ducks,Dallas Stars,L,10.183333333333,0,0,0,0.02,0,0,0,0,0,0,1,0.1,0.4,20092010,0.380866666666656,0.380866666666656,0.380866666666656,0.380866666666656,-0.380866666666656,-0.619133333333344,-0.2808666666666559,-0.019133333333344,0.01,0.0,-0.57554166666666,-0.1104487500000114,-0.6759904166666714,1988-06-07,21.504109589041096,8,0.053282467182747,0.0104045116386317,0.0104045116386317,0.0118525966134568,0.052780667783767,0.0602447852382387,1.1575946005112343,0.0610986160378659
2009-12-04,Matt Beleskey,away,Anaheim Ducks,Minnesota Wild,L,15.05,0,0,0,0.01,2,0,0,0,0,0,0,0.23,0.22,20092010,0.5366000000000001,0.5366000000000001,0.5366000000000001,0.5366000000000001,-0.5366000000000001,0.5366000000000001,-0.3066000000000001,0.3166000000000001,0.105,0.0,-0.5916250000000001,0.7994912500000001,0.31286625,1988-06-07,21.506849315068493,9,-0.0075713305354854,0.0280592959477422,0.0280592959477422,0.0317370958073384,0.0513037151798906,0.0585634272514941,1.1571955115629993,0.0593684289326759
2009-12-06,Matt Beleskey,home,Anaheim Ducks,Ottawa Senators,L,11.6,0,0,0,0.04,0,0,0,0,0,0,0,0.29,0.34,20092010,0.4261999999999999,0.4261999999999999,0.4261999999999999,0.4261999999999999,-0.4261999999999999,0.4261999999999999,-0.1362,0.0861999999999999,0.02,0.0,-0.485125,0.4775012499999999,0.0123762499999998,1988-06-07,21.51232876712329,10,0.0171515679418902,0.0271801790063591,0.0271801790063591,0.0303949690689032,0.0498235276769745,0.0568802052253729,1.156399692506999,0.0576159120852673
2009-12-08,Matt Beleskey,home,Anaheim Ducks,Dallas Stars,L,10.75,0,0,0,0.11,1,0,0,0,0,0,0,0.41,0.08,20092010,0.399,0.399,0.399,0.399,-0.399,0.399,0.0109999999999999,0.319,0.105,0.0,-0.393125,0.89043125,0.6023062499999999,1988-06-07,21.51780821917808,11,0.0168083109296347,0.0582300446630182,0.0582300446630182,0.0657992328013909,0.0483401408366916,0.055195117241754,1.1556070080068603,0.0558622055189194
