,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2015-02-21,Matt Puempel,home,Ottawa Senators,Florida Panthers,L,8.6833333333333,0,0,0,0.08,0,0,0,0,0,0,0,0.11,0.14,20142015,0.3328666666666656,0.3328666666666656,0.3328666666666656,0.3328666666666656,-0.3328666666666656,0.3328666666666656,-0.2228666666666656,0.19286666666666558,0.04,0.0,-0.5392916666666661,0.7177512499999988,0.21845958333333276,1993-01-24,22.09041095890411,1,0.0,0.020535018810204104,0.020535018810204104,0.020824281163776943,-0.01404304105963425,-0.015975708527965007,1.08790747528378,-0.012908304592696295
1,2015-02-25,Matt Puempel,away,Ottawa Senators,Anaheim Ducks,L,9.15,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0.36,20142015,0.3478,0.3478,0.3478,0.3478,-0.3478,0.3478,-0.04780000000000001,-0.012199999999999989,0.05,0.0,-0.429875,0.35971125,-0.020163750000000036,1993-01-24,22.101369863013698,2,0.02062068510792271,0.017003637909972478,0.017003637909972478,0.017138264446553912,0.01699783043599322,0.0171432718781186,1.0868682077297587,0.018474401501262293
2,2015-02-28,Matt Puempel,away,Ottawa Senators,San Jose Sharks,L,10.433333333333,0,0,0,0.15,0,0,0,0,0,0,0,0.43,0.25,20142015,0.388866666666656,0.388866666666656,0.388866666666656,0.388866666666656,-0.388866666666656,0.388866666666656,0.04113333333334401,0.13886666666665598,0.075,0.0,-0.37429166666666003,0.5906012499999885,0.2913095833333285,1993-01-24,22.10958904109589,3,0.017078409462397526,0.03913972870201625,0.03913972870201625,0.04000863706687388,0.04790344214587711,0.05015145636312047,1.0860943094751607,0.05202765591890972
3,2015-03-03,Matt Puempel,away,Ottawa Senators,Minnesota Wild,L,6.4,0,0,0,0.11,0,1,0,0,0,0,1,0.11,0.19,20142015,0.25980000000000003,0.25980000000000003,0.25980000000000003,0.25980000000000003,-0.25980000000000003,-0.7402,-0.14980000000000004,0.06980000000000003,0.055,-0.15,-0.49362500000000004,0.11716125,-0.47146375000000007,1993-01-24,22.117808219178084,4,0.039108742539551766,0.0005688727301416813,0.0005688727301416813,0.000559646107231063,0.07869889178949946,0.08306979801281333,1.0853251442308818,0.08541388608224906
4,2015-03-06,Matt Puempel,home,Ottawa Senators,Buffalo Sabres,L,8.6666666666667,0,0,0,0.21,0,0,0,0,0,0,0,0.32,0.21,20142015,0.33233333333333437,0.33233333333333437,0.33233333333333437,0.33233333333333437,-0.33233333333333437,0.33233333333333437,-0.012333333333334362,0.12233333333333438,0.105,0.0,-0.407708333333334,0.5981812500000011,0.2954729166666671,1993-01-24,22.126027397260273,5,0.000940296316103583,0.021539430541329056,0.021539430541329056,0.02385864632502252,0.11129661314092404,0.11748394913222789,1.0845606886143984,0.12070793138857087
5,2015-03-08,Matt Puempel,home,Ottawa Senators,Calgary Flames,L,8.8833333333333,0,0,0,0.13,0,1,0,0,0,1,0,0.49,0.36,20142015,0.3392666666666656,0.3392666666666656,0.3392666666666656,0.3392666666666656,0.6607333333333344,0.3392666666666656,0.15073333333333438,-0.02073333333333438,0.065,-0.15,0.319208333333334,0.35059124999999886,0.5847995833333328,1993-01-24,22.13150684931507,6,0.021536336426949187,0.059430856171215934,0.059430856171215934,0.06113569066176098,0.14923326312374674,0.15641560852202527,1.0840536565310885,0.16177686456536372
6,2015-03-10,Matt Puempel,home,Ottawa Senators,Boston Bruins,L,10.516666666667,1,0,0,0.46,0,0,0,0,0,1,0,0.99,0.04,20142015,0.391533333333344,0.391533333333344,0.391533333333344,0.391533333333344,0.608466666666656,0.391533333333344,0.598466666666656,0.351533333333344,0.98,0.0,0.59904166666666,0.9504512500000114,2.5294929166666713,1993-01-24,22.136986301369863,7,0.05848140303669299,0.21731848906971382,0.21731848906971382,0.2157756554006253,0.1888552507342702,0.19698458323228696,1.0835487004687534,0.20463386150981908
7,2015-03-12,Matt Puempel,away,Ottawa Senators,Montreal Canadiens,L,7.2666666666667,0,0,0,0.29,0,1,0,0,0,2,0,0.59,0.23,20142015,0.2875333333333344,0.2875333333333344,0.2875333333333344,0.2875333333333344,1.7124666666666655,0.2875333333333344,0.30246666666666555,0.05753333333333441,0.145,-0.15,1.039041666666666,0.5163012500000012,1.5503429166666671,1993-01-24,22.14246575342466,8,0.21112716343787072,0.2985994904905903,0.2985994904905903,0.29638623968426053,0.225738359999392,0.23556534396277834,1.0830458136314975,0.24448498577338143
8,2015-03-13,Matt Puempel,away,Ottawa Senators,New York Islanders,L,6.4,1,0,0,0.24,0,0,0,0,0,1,0,0.24,0.21,20142015,0.25980000000000003,0.25980000000000003,0.25980000000000003,0.25980000000000003,0.7402,0.25980000000000003,-0.01980000000000004,0.04980000000000004,0.87,0.0,0.21262499999999995,0.5206612500000001,1.60328625,1993-01-24,22.145205479452056,9,0.28932402532032186,0.37475445625545334,0.37475445625545334,0.35574690830306704,0.2583676835423785,0.2700793481363066,1.082795144058038,0.27975927312121124
9,2015-03-15,Matt Puempel,home,Ottawa Senators,Philadelphia Flyers,L,8.3333333333333,0,0,0,0.01,0,0,0,0,0,0,0,0.16,0.07,20142015,0.3216666666666656,0.3216666666666656,0.3216666666666656,0.3216666666666656,-0.3216666666666656,0.3216666666666656,-0.1616666666666656,0.2516666666666656,0.005,0.0,-0.501041666666666,0.8247812499999989,0.32873958333333286,1993-01-24,22.15068493150685,10,0.361944489179091,0.3721750814021105,0.3721750814021105,0.377879147515544,0.2883548961094566,0.2979671212470135,1.0822953483919449,0.3120851627453074
