,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2011-10-06,Matt Read,away,Philadelphia Flyers,Boston Bruins,R,12.283333333333,0,0,0,0.04,2,0,1,1,2,0,0,0.42,0.31,20112012,0.44806666666665595,0.44806666666665595,0.44806666666665595,0.44806666666665595,-0.44806666666665595,0.44806666666665595,-0.02806666666665597,0.13806666666665596,0.12000000000000001,0.13999999999999999,-0.41754166666666004,0.5518712499999885,0.39432958333332846,1986-06-14,25.328767123287673,1,0.0,0.03706665227322309,0.03706665227322309,0.04394791317447696,0.7105802981680767,0.6845747585094275,1,0.7105802981680767
1,2011-10-08,Matt Read,away,Philadelphia Flyers,New Jersey Devils,R,15.9,1,0,0,0.22,0,0,0,3,2,1,0,0.2,0.36,20112012,0.5638000000000001,0.5638000000000001,0.5638000000000001,0.5638000000000001,0.4361999999999999,0.5638000000000001,-0.36380000000000007,0.2038000000000001,0.86,0.01,-0.0023750000000000715,0.59056125,1.4581862499999998,1986-06-14,25.334246575342465,2,0.03722128387587309,0.16037540954204077,0.16037540954204077,0.18970929049083063,0.7101901666126834,0.6766634448150116,1,0.7101901666126834
2,2011-10-12,Matt Read,home,Philadelphia Flyers,Vancouver Canucks,R,16.566666666667,0,0,1,0.3,2,0,0,2,0,0,0,0.26,0.26,20112012,0.585133333333344,0.585133333333344,0.585133333333344,0.585133333333344,-0.585133333333344,0.585133333333344,-0.32513333333334404,0.32513333333334404,0.8,0.02,-0.60320833333334,0.7833612500000114,1.0001529166666714,1986-06-14,25.345205479452055,3,0.16020772921482307,0.2281442328321691,0.2281442328321691,0.26070548626650425,0.7097894272721806,0.6689657667216077,1,0.7097894272721806
3,2011-10-15,Matt Read,home,Philadelphia Flyers,Los Angeles Kings,R,17.35,0,0,0,0.11,1,1,0,1,3,0,0,0.64,0.29,20112012,0.6102000000000001,0.6102000000000001,0.6102000000000001,0.6102000000000001,-0.6102000000000001,0.6102000000000001,0.029799999999999938,0.3202000000000001,0.10500000000000001,-0.16999999999999998,-0.381375,0.7591512500000002,0.3127762500000002,1986-06-14,25.353424657534248,4,0.22758680382808869,0.23453731372752012,0.23453731372752012,0.2862862649881107,0.7093765056818291,0.6615380015904944,1,0.7093765056818291
4,2011-10-18,Matt Read,away,Philadelphia Flyers,Ottawa Senators,R,16.166666666667,1,2,1,0.43,1,0,0,0,0,3,0,0.59,0.55,20112012,0.572333333333344,0.572333333333344,0.572333333333344,0.572333333333344,2.427666666666656,0.572333333333344,0.01766666666665595,0.022333333333343974,2.965,0.0,1.4860416666666603,0.27668125000001137,4.727722916666671,1986-06-14,25.361643835616437,5,0.23394669660024262,0.554046694423266,0.554046694423266,0.6886592531990371,0.708950132009783,0.6544271114157357,1,0.708950132009783
5,2011-10-20,Matt Read,home,Philadelphia Flyers,Washington Capitals,R,21.533333333333,0,0,0,0.22,1,0,1,1,2,0,0,0.48,0.24,20112012,0.7440666666666561,0.7440666666666561,0.7440666666666561,0.7440666666666561,-0.7440666666666561,0.7440666666666561,-0.2640666666666561,0.5040666666666561,0.16,0.13999999999999999,-0.5650416666666601,0.9872212499999887,0.7221795833333287,1986-06-14,25.367123287671234,6,0.5477947561067646,0.565357267032556,0.565357267032556,0.6141475303356299,0.7085093218713071,0.6476712184713871,1,0.7085093218713071
6,2011-10-22,Matt Read,home,Philadelphia Flyers,St Louis Blues,R,11.9,0,0,0,0.11,0,0,0,5,3,0,0,0.31,0.22,20112012,0.4358,0.4358,0.4358,0.4358,-0.4358,0.4358,-0.12580000000000002,0.21580000000000002,0.055,0.02,-0.4786250000000001,0.69176125,0.2881362499999999,1986-06-14,25.372602739726027,7,0.5592195129079486,0.5476371575385439,0.5476371575385439,0.6147984600367014,0.7080533526860859,0.6413002354343634,1,0.7080533526860859
7,2011-10-24,Matt Read,home,Philadelphia Flyers,Toronto Maple Leafs,R,12.066666666667,0,0,0,0.18,0,0,1,1,8,0,1,0.28,0.81,20112012,0.44113333333334404,0.44113333333334404,0.44113333333334404,0.44113333333334404,-0.44113333333334404,-0.558866666666656,-0.161133333333344,-0.368866666666656,0.09,0.07999999999999999,-0.50070833333334,-0.7430387499999885,-1.0737470833333285,1986-06-14,25.378082191780823,8,0.5424917756061689,0.44877345177460115,0.44877345177460115,0.543445596113957,0.7075817375252994,0.6353365900111646,1,0.7075817375252994
8,2011-10-26,Matt Read,away,Philadelphia Flyers,Montreal Canadiens,R,16.366666666667,0,0,0,0.44,0,0,0,4,6,0,1,0.43,0.87,20112012,0.5787333333333441,0.5787333333333441,0.5787333333333441,0.5787333333333441,-0.5787333333333441,-0.4212666666666559,-0.1487333333333441,-0.2912666666666559,0.22,-0.02,-0.4929583333333401,-0.6979787499999887,-0.9909370833333287,1986-06-14,25.383561643835616,9,0.4482167657946742,0.36473710687164185,0.36473710687164185,0.42371616227654224,0.707094197982354,0.6297959959255455,1,0.707094197982354
9,2011-10-27,Matt Read,home,Philadelphia Flyers,Winnipeg Jets,R,14.633333333333,1,0,0,0.33,0,0,0,0,2,3,2,0.85,0.47,20112012,0.523266666666656,0.523266666666656,0.523266666666656,0.523266666666656,2.476733333333344,-1.476733333333344,0.326733333333344,0.053266666666656026,0.915,-0.02,1.67920833333334,-0.5147587500000114,2.0594495833333286,1986-06-14,25.386301369863013,10,0.36861120021842725,0.45973462545286387,0.45973462545286387,0.5422494673540794,0.7065906372275229,0.6246882330681833,1,0.7065906372275229
10,2011-10-29,Matt Read,home,Philadelphia Flyers,Carolina Hurricanes,R,16.4,0,0,0,0.07,1,0,0,7,7,0,0,0.88,0.92,20112012,0.5798,0.5798,0.5798,0.5798,-0.5798,0.5798,0.3002,-0.34020000000000006,0.085,0.0,-0.21237499999999998,-0.34433875000000025,-0.4717137500000002,1986-06-14,25.39178082191781,11,0.45739667869529443,0.40944765641674,0.40944765641674,0.49862756061515917,0.7060711140831123,0.6200179092670681,1,0.7060711140831123
11,2011-11-09,Matt Read,away,Philadelphia Flyers,Tampa Bay Lightning,R,19.566666666667,0,0,0,0.31,2,0,1,7,2,0,0,0.05,0.55,20112012,0.681133333333344,0.681133333333344,0.681133333333344,0.681133333333344,-0.681133333333344,0.681133333333344,-0.631133333333344,0.13113333333334398,0.255,0.2,-0.79445833333334,0.39296125000001136,0.05350291666667134,1986-06-14,25.421917808219177,12,0.4108749383727473,0.39089076744093754,0.39089076744093754,0.44870989662052646,0.7055358186858733,0.6157851843308954,1,0.7055358186858733
12,2011-11-13,Matt Read,away,Philadelphia Flyers,Florida Panthers,R,16.783333333333,1,0,0,0.61,1,0,1,0,3,1,1,0.43,0.68,20112012,0.5920666666666561,0.5920666666666561,0.5920666666666561,0.5920666666666561,0.4079333333333439,-0.4079333333333439,-0.1620666666666561,-0.08793333333334397,1.105,0.12,0.12370833333333986,-0.3607287500000115,0.9879795833333284,1986-06-14,25.432876712328767,13,0.39349017027518285,0.42102330708060337,0.42102330708060337,0.4764178936071082,0.7049850500859655,0.6119864437303827,1,0.7049850500859655
13,2011-11-14,Matt Read,away,Philadelphia Flyers,Carolina Hurricanes,R,15.366666666667,1,1,0,0.19,1,0,0,3,2,2,0,0.46,0.55,20112012,0.5467333333333441,0.5467333333333441,0.5467333333333441,0.5467333333333441,1.4532666666666558,0.5467333333333441,-0.08673333333334404,-0.003266666666655982,1.595,0.01,0.7957916666666599,0.24932125000001137,2.6501129166666715,1986-06-14,25.435616438356163,14,0.4212696852884574,0.5301575092613054,0.5301575092613054,0.6400113757564836,0.7044191959624981,0.6086149146032798,1,0.7044191959624981
14,2011-11-17,Matt Read,home,Philadelphia Flyers,Phoenix Coyotes,R,18.933333333333,1,0,0,0.8,0,0,0,1,1,1,0,1.0,0.34,20112012,0.660866666666656,0.660866666666656,0.660866666666656,0.660866666666656,0.33913333333334394,0.660866666666656,0.33913333333334394,0.32086666666665603,1.15,0.0,0.4369583333333399,0.7283012499999886,2.3152595833333285,1986-06-14,25.443835616438356,15,0.5209519524282057,0.6151183503234388,0.6151183503234388,0.6927506803797692,0.7038387145084796,0.6056612208482944,1,0.7038387145084796
15,2011-11-19,Matt Read,away,Philadelphia Flyers,Winnipeg Jets,R,21.616666666667,2,0,0,0.44,1,0,0,1,7,2,1,0.47,0.37,20112012,0.7467333333333441,0.7467333333333441,0.7467333333333441,0.7467333333333441,1.2532666666666559,-0.25326666666665587,-0.27673333333334416,0.37673333333334413,1.77,-0.06,0.6770416666666598,0.33157125000001153,2.7186129166666713,1986-06-14,25.44931506849315,16,0.598186872511245,0.7126256030277925,0.7126256030277925,0.8270201360896324,0.7032441310227857,0.603113926564977,1,0.7032441310227857
16,2011-11-21,Matt Read,home,Philadelphia Flyers,Carolina Hurricanes,R,21.566666666667,1,0,0,0.32,0,0,0,1,3,0,0,0.46,0.36,20112012,0.7451333333333441,0.7451333333333441,0.7451333333333441,0.7451333333333441,-0.7451333333333441,0.7451333333333441,-0.28513333333334406,0.3851333333333441,0.91,-0.02,-0.5782083333333401,0.7843612500000114,1.0961529166666715,1986-06-14,25.454794520547946,17,0.6860135275172017,0.7299711251549693,0.7299711251549693,0.8637744531173148,0.7026405191417456,0.6009779991950628,1,0.7026405191417456
17,2011-11-23,Matt Read,away,Philadelphia Flyers,New York Islanders,R,18.433333333333,0,0,0,0.24,2,0,0,0,4,2,0,0.57,0.51,20112012,0.644866666666656,0.644866666666656,0.644866666666656,0.644866666666656,1.355133333333344,0.644866666666656,-0.07486666666665609,0.13486666666665603,0.22,-0.04,0.8032083333333399,0.4222012499999886,1.4054095833333284,1986-06-14,25.46027397260274,18,0.7023854904904353,0.7598230615497253,0.7598230615497253,0.9147603040848559,0.7020419308981672,0.5992949028971781,1,0.7020419308981672
18,2011-11-25,Matt Read,home,Philadelphia Flyers,Montreal Canadiens,R,18.816666666667,0,0,0,0.35,2,0,0,1,0,0,0,0.59,0.27,20112012,0.6571333333333441,0.6571333333333441,0.6571333333333441,0.6571333333333441,-0.6571333333333441,0.6571333333333441,-0.06713333333334415,0.3871333333333441,0.275,0.01,-0.4419583333333401,0.8433112500000115,0.6863529166666714,1986-06-14,25.465753424657535,19,0.7294708354226711,0.7566451426612958,0.7566451426612958,0.8317735120392746,0.7014593239475516,0.5980956223473376,1,0.7014593239475516
19,2011-11-26,Matt Read,away,Philadelphia Flyers,New York Rangers,R,18.866666666667,0,0,0,0.14,0,0,0,1,2,0,0,0.23,0.47,20112012,0.658733333333344,0.658733333333344,0.658733333333344,0.658733333333344,-0.658733333333344,0.658733333333344,-0.42873333333334407,0.18873333333334408,0.07,-0.01,-0.6679583333333401,0.5050212500000115,-0.10293708333332852,1986-06-14,25.46849315068493,20,0.7278653722770698,0.7202060108042038,0.7202060108042038,0.8039044025201879,0.7008994517679559,0.5973946885625385,1,0.7008994517679559
