Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2016-12-28,Matthew Peca,home,Tampa Bay Lightning,Montreal Canadiens,C,13.05,0,0,0,0.07,0,0,0,6,6,0,0,0.14,0.07,20162017,0.4726,0.4726,0.4726,0.4726,-0.4726,0.4726,-0.3326,0.4026,0.035,0.0,-0.607875,0.98609125,0.4132162499999999,1993-04-27,23.687671232876717,1,0.0,0.0388419832032943,0.0388419832032943,0.0395306138322837,0.036826182038059,0.0594369460668464,1.0050801340159796,0.0370132639781092
2016-12-29,Matthew Peca,home,Tampa Bay Lightning,Toronto Maple Leafs,C,13.866666666667,0,0,0,0.23,0,0,0,5,6,0,0,0.41,0.27,20162017,0.4987333333333439,0.4987333333333439,0.4987333333333439,0.4987333333333439,-0.4987333333333439,0.4987333333333439,-0.0887333333333439,0.2287333333333439,0.115,-0.01,-0.45545833333334,0.6740212500000113,0.3235629166666713,1993-04-27,23.69041095890411,2,0.0390040209850869,0.0635468599286216,0.0635468599286216,0.0666284960528839,0.0425928349041065,0.0636933067968899,1.0050309032671054,0.0428071153363809
2016-12-31,Matthew Peca,home,Tampa Bay Lightning,Carolina Hurricanes,C,12.083333333333,0,1,0,0.03,0,0,0,4,4,1,0,0.61,0.75,20162017,0.441666666666656,0.441666666666656,0.441666666666656,0.441666666666656,0.558333333333344,0.441666666666656,0.168333333333344,-0.308333333333344,0.715,0.0,0.33020833333334,-0.2029687500000113,0.8422395833333286,1993-04-27,23.695890410958903,3,0.0635900758462544,0.1263862300260761,0.1263862300260761,0.1362580886184338,0.0487604035100292,0.0683276236923317,1.0049332035173617,0.0490009485041328
2017-01-03,Matthew Peca,home,Tampa Bay Lightning,Winnipeg Jets,C,13.55,1,0,0,0.25,1,0,0,5,5,1,0,0.23,0.57,20162017,0.4886,0.4886,0.4886,0.4886,0.5114,0.4886,-0.2586,-0.0813999999999999,0.925,0.0,0.063375,0.1531912500000001,1.14156625,1993-04-27,23.704109589041096,4,0.1257333862821469,0.2030726686603697,0.2030726686603697,0.2219407245460989,0.0554144345718002,0.0734022623317317,1.0047885548139786,0.0556797896292329
2017-01-05,Matthew Peca,home,Tampa Bay Lightning,Nashville Predators,C,11.283333333333,0,0,0,0.1,0,0,0,5,4,0,1,0.19,0.16,20162017,0.416066666666656,0.416066666666656,0.416066666666656,0.416066666666656,-0.416066666666656,-0.5839333333333441,-0.2260666666666559,0.256066666666656,0.05,0.01,-0.5412916666666601,0.3351712499999886,-0.1461204166666714,1993-04-27,23.70958904109589,5,0.201213058560259,0.1782416297727044,0.1782416297727044,0.1888912103110027,0.0616668726959538,0.0778083734247292,1.004693386954909,0.061956299191815
2017-01-07,Matthew Peca,away,Tampa Bay Lightning,Philadelphia Flyers,C,13.116666666667,0,0,0,0.06,0,0,0,0,2,0,2,0.13,0.77,20162017,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,-0.474733333333344,-1.525266666666656,-0.344733333333344,-0.295266666666656,0.03,-0.02,-0.61545833333334,-1.0766287499999885,-1.6820870833333283,1993-04-27,23.715068493150685,6,0.1771045470816444,0.0530942946907026,0.0530942946907026,0.0587008883762765,0.0666401457141937,0.0804662899059533,1.0045992286571817,0.0669466389820812
2017-01-08,Matthew Peca,away,Tampa Bay Lightning,Pittsburgh Penguins,C,9.1333333333333,0,0,0,0.05,1,0,0,6,5,0,0,0.26,0.16,20162017,0.3472666666666656,0.3472666666666656,0.3472666666666656,0.3472666666666656,-0.3472666666666656,0.3472666666666656,-0.0872666666666656,0.1872666666666656,0.075,0.01,-0.454541666666666,0.6991412499999988,0.3295995833333328,1993-04-27,23.71780821917808,7,0.0560019312587902,0.0707686544591952,0.0707686544591952,0.0724419816394395,0.0718868303302284,0.0833769816551349,1.0045525275266245,0.0722140971041085
2017-01-12,Matthew Peca,home,Tampa Bay Lightning,Buffalo Sabres,C,9.95,0,0,0,0.06,0,0,0,0,1,0,0,0.15,0.17,20162017,0.3733999999999999,0.3733999999999999,0.3733999999999999,0.3733999999999999,-0.3733999999999999,0.3733999999999999,-0.2233999999999999,0.2033999999999999,0.03,-0.01,-0.539625,0.7100712499999999,0.1904462499999999,1993-04-27,23.72876712328767,8,0.0727634862862162,0.0780659812086645,0.0780659812086645,0.0843925507293736,0.0787157535046626,0.0882368020099488,1.0043682378579983,0.0790596026391425
2017-01-13,Matthew Peca,home,Tampa Bay Lightning,Columbus Blue Jackets,C,7.7666666666667,0,0,0,0.03,0,1,0,1,0,0,0,0.15,0.27,20162017,0.3035333333333344,0.3035333333333344,0.3035333333333344,0.3035333333333344,-0.3035333333333344,0.3035333333333344,-0.1535333333333344,0.0335333333333344,0.015,-0.1399999999999999,-0.495958333333334,0.4654012500000011,-0.1555570833333329,1993-04-27,23.731506849315068,9,0.0796059891641599,0.0644293313749771,0.0644293313749771,0.0663185450045478,0.0885715854333676,0.0965464738014622,1.0043227930300636,0.0889544620655406
2017-03-11,Matthew Peca,home,Tampa Bay Lightning,Florida Panthers,C,10.65,0,0,0,0.02,0,0,0,0,7,0,0,0.09,0.3,20162017,0.3958,0.3958,0.3958,0.3958,-0.3958,0.3958,-0.3057999999999999,0.0958,0.01,-0.07,-0.591125,0.5130112499999999,-0.1381137500000001,1993-04-27,23.887671232876716,10,0.0666607545843657,0.0530757298622355,0.0530757298622355,0.054666933151244,0.103781790481416,0.1105301440070329,1.0021399698502091,0.1040038803840469
2018-01-22,Matthew Peca,away,Tampa Bay Lightning,Chicago Blackhawks,C,10.05,0,0,0,0.1,0,0,0,4,2,1,0,0.34,0.11,20172018,0.3766,0.3766,0.3766,0.3766,0.6234,0.3766,-0.0366,0.2666,0.05,0.02,0.2021249999999999,0.81549125,1.08761625,1993-04-27,24.756164383561643,11,0.0548195987099211,0.1089284303165033,0.1089284303165033,0.1137913223340165,0.1225978100651759,0.1285373145278128,1.0,0.1225978100651759
