,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2009-01-02,Max Pacioretty,away,Montreal Canadiens,New Jersey Devils,L,8.65,1,0,0,0.03,0,0,0,0,0,1,1,0.07,0.57,20082009,0.3318,0.3318,0.3318,0.3318,0.6682,-0.6682,-0.2618,-0.23819999999999997,0.765,0.0,0.06137500000000007,-0.45188874999999984,0.37448625000000024,1988-11-20,20.13150684931507,1,0.0,0.03520139547359213,0.03520139547359213,0.03720688259781895,0.103527838331516,0.12670169840512302,1.5094149687621847,0.15626646886118176
1,2009-01-04,Max Pacioretty,home,Montreal Canadiens,Florida Panthers,L,14.36666667,0,0,0,0.19,1,1,0,1,0,0,1,0.49,0.34,20082009,0.51473333344,0.51473333344,0.51473333344,0.51473333344,-0.51473333344,-0.48526666655999995,-0.02473333344000006,0.17473333344000003,0.14500000000000002,-0.13999999999999999,-0.41545833340000005,0.134621250114,-0.27583708328600004,1988-11-20,20.136986301369863,2,0.03534824575177412,0.008212978495894016,0.008212978495894016,0.009181102193345851,0.1057638920621808,0.1294280678995376,1.5070794420259015,0.15939458743555912
2,2009-01-07,Max Pacioretty,away,Montreal Canadiens,New York Rangers,L,15.28333333,0,1,0,0.17,1,0,0,0,0,1,1,0.39,0.9,20082009,0.54406666656,0.54406666656,0.54406666656,0.54406666656,0.45593333344,-0.45593333344,-0.15406666656,-0.35593333344,0.835,0.0,0.12870833339999999,-0.7860287501140001,0.17767958328599986,1988-11-20,20.145205479452056,3,0.008414733404613114,0.02188868699744869,0.02188868699744869,0.023670558665717933,0.10801342759207812,0.13216161729003031,1.5035978045813339,0.16240875259275353
3,2009-01-08,Max Pacioretty,home,Montreal Canadiens,Toronto Maple Leafs,L,12.11666667,1,0,0,0.69,0,0,1,0,0,1,0,0.66,0.74,20082009,0.44273333344000004,0.44273333344000004,0.44273333344000004,0.44273333344000004,0.5572666665599999,0.44273333344000004,0.21726666656,-0.29726666655999995,1.095,0.15,0.36079166659999995,-0.18482874988599984,1.420962916714,1988-11-20,20.147945205479452,4,0.021969075174961366,0.1275743958875189,0.1275743958875189,0.14132063877115275,0.1102775588045603,0.1349027556770152,1.502442994262493,0.16568574565028174
4,2009-01-10,Max Pacioretty,home,Montreal Canadiens,Washington Capitals,L,15.93333333,0,1,0,0.36,2,0,0,0,0,1,0,0.47,0.55,20082009,0.5648666665600001,0.5648666665600001,0.5648666665600001,0.5648666665600001,0.43513333343999994,0.5648666665600001,-0.09486666656000009,0.01486666656000002,0.9799999999999999,0.0,0.1657083333999999,0.268701249886,1.4144095832859997,1988-11-20,20.153424657534245,5,0.12587488218134985,0.21908094605411588,0.21908094605411588,0.23049814952816747,0.11255729057021276,0.13765184506116965,1.5001419195705217,0.16885190993765595
5,2009-01-13,Max Pacioretty,away,Montreal Canadiens,Boston Bruins,L,16.16666667,0,0,0,0.06,1,0,1,0,0,0,0,0.25,0.66,20082009,0.5723333334400001,0.5723333334400001,0.5723333334400001,0.5723333334400001,-0.5723333334400001,0.5723333334400001,-0.32233333344000015,-0.08766666655999988,0.08,0.15,-0.6014583334000001,0.08968125011400008,-0.28177708328600004,1988-11-20,20.161643835616438,6,0.2152772238515328,0.18538741265609326,0.18538741265609326,0.1948349055989717,0.11485352137901572,0.14040920181480349,1.4967115306003977,0.17190258977803213
6,2009-01-15,Max Pacioretty,home,Montreal Canadiens,Nashville Predators,L,15.58333333,0,0,0,0.06,1,0,1,0,0,0,0,0.47,0.14,20082009,0.5536666665600001,0.5536666665600001,0.5536666665600001,0.5536666665600001,-0.5536666665600001,0.5536666665600001,-0.0836666665600001,0.41366666656000006,0.08,0.15,-0.4522916666000001,0.953731249886,0.7314395832859999,1988-11-20,20.167123287671235,7,0.18285459512217406,0.22029134727324587,0.22029134727324587,0.24268598942371447,0.11716704661274126,0.1431750983949124,1.4944386440355242,0.1750989622655921
7,2009-01-17,Max Pacioretty,away,Montreal Canadiens,Ottawa Senators,L,16.83333333,0,0,0,0.21,0,0,0,0,0,0,2,0.57,0.64,20082009,0.59366666656,0.59366666656,0.59366666656,0.59366666656,-0.59366666656,-1.40633333344,-0.02366666656000005,-0.04633333344000001,0.105,0.0,-0.41479166660000005,-0.7285187501140001,-1.0383104167140003,1988-11-20,20.172602739726027,8,0.216567886548126,0.14354825866279763,0.14354825866279763,0.1560422639419807,0.11949856233553799,0.14594976524633654,1.4921769024461247,0.17831299459260821
8,2009-01-20,Max Pacioretty,away,Montreal Canadiens,Atlanta Thrashers,L,15.61666667,1,0,0,0.35,0,1,1,0,0,0,0,0.51,0.29,20082009,0.5547333334400001,0.5547333334400001,0.5547333334400001,0.5547333334400001,-0.5547333334400001,0.5547333334400001,-0.04473333344000008,0.2647333334400001,0.925,0.0,-0.4279583334000001,0.6998712501140001,1.196912916714,1988-11-20,20.18082191780822,9,0.14365255400736957,0.20503347638813887,0.20503347638813887,0.2287514934622245,0.12184866949182706,0.1487333928485764,1.4888050264072736,0.18140891160047073
9,2009-01-21,Max Pacioretty,away,Montreal Canadiens,New Jersey Devils,L,12.48333333,0,0,0,0.04,1,0,1,0,0,0,1,0.13,0.75,20082009,0.45446666656,0.45446666656,0.45446666656,0.45446666656,-0.45446666656,-0.54553333344,-0.32446666656,-0.29553333344,0.07,0.15,-0.6027916666,-0.6267887501139998,-1.009580416714,1988-11-20,20.183561643835617,10,0.20180576872763192,0.13694800024891285,0.13694800024891285,0.1433397585680467,0.12421787841180666,0.15152613386487768,1.4876865610646657,0.18479726835720942
10,2009-01-27,Max Pacioretty,away,Montreal Canadiens,Tampa Bay Lightning,L,12.48333333,0,0,0,0.32,1,1,2,0,0,1,2,0.7,0.25,20082009,0.45446666656,0.45446666656,0.45446666656,0.45446666656,0.54553333344,-1.5455333334399999,0.24553333343999995,0.20446666656,0.21000000000000002,0.15,0.3784583333999999,-0.21428875011400006,0.5241695832859998,1988-11-20,20.2,11,0.13830688154709994,0.15785329169551351,0.15785329169551351,0.17343072927278474,0.1266066135358184,0.15432810535709945,1.4810328212844817,0.18750855003822717
11,2009-01-31,Max Pacioretty,home,Montreal Canadiens,Los Angeles Kings,L,9.816666667,0,0,0,0.08,0,2,2,0,0,0,0,0.16,0.2,20082009,0.369133333344,0.369133333344,0.369133333344,0.369133333344,-0.369133333344,0.369133333344,-0.209133333344,0.169133333344,0.04,0.0,-0.53070833334,0.6545112500114,0.16380291667139996,1988-11-20,20.21095890410959,12,0.15773595470866889,0.15816347054575502,0.15816347054575502,0.1679195863374635,0.12901521827940451,0.15713939103455615,1.4766506827534485,0.19051041015786785
12,2009-02-01,Max Pacioretty,home,Montreal Canadiens,Boston Bruins,L,13.21666667,0,0,0,0.09,1,0,1,0,0,0,0,0.14,0.38,20082009,0.47793333344,0.47793333344,0.47793333344,0.47793333344,-0.47793333344,0.47793333344,-0.33793333344,0.09793333343999999,0.095,0.15,-0.6112083334,0.46479125011399997,0.09858291671399994,1988-11-20,20.213698630136985,13,0.15802891688604917,0.15515669273933205,0.15515669273933205,0.15895877934430888,0.13144395997094357,0.15996004350943355,1.475561779249565,0.1939536834463341
13,2009-02-03,Max Pacioretty,home,Montreal Canadiens,Pittsburgh Penguins,L,12.58333333,0,1,0,0.1,0,0,0,0,0,2,0,0.67,0.33,20082009,0.45766666656,0.45766666656,0.45766666656,0.45766666656,1.54233333344,0.45766666656,0.21233333344000005,0.12766666655999998,0.75,0.0,0.9827083334000001,0.528131249886,2.260839583286,1988-11-20,20.21917808219178,14,0.15528561931590942,0.2582490140695807,0.2582490140695807,0.27573079029241626,0.13389303480320336,0.1627900865354796,1.4733918694758923,0.1972769088584925
14,2009-02-06,Max Pacioretty,away,Montreal Canadiens,Buffalo Sabres,L,9.7,0,1,0,0.13,0,0,0,0,0,1,1,0.38,0.17,20082009,0.3654,0.3654,0.3654,0.3654,0.6346,-0.6346,0.014600000000000002,0.1954,0.7649999999999999,0.0,0.23412500000000003,0.26402125,1.26314625,1988-11-20,20.22739726027397,15,0.2485054128037434,0.3060764832018678,0.3060764832018678,0.32592058651461114,0.1363625727489248,0.16562951721044536,1.4701566204812584,0.20047433911268903
15,2009-02-07,Max Pacioretty,home,Montreal Canadiens,Toronto Maple Leafs,L,13.05,0,0,0,0.53,1,1,2,0,0,0,1,0.26,0.61,20082009,0.4726,0.4726,0.4726,0.4726,-0.4726,-0.5274,-0.2126,-0.13739999999999997,0.315,0.15,-0.532875,-0.36940874999999995,-0.43728374999999997,1988-11-20,20.23013698630137,16,0.2917588721402961,0.2716181036705205,0.2716181036705205,0.29163570711440445,0.138852642398615,0.1684783081261939,1.4690834012756322,0.20398611217106638
16,2009-02-09,Max Pacioretty,away,Montreal Canadiens,Calgary Flames,L,12.3,0,0,0,0.22,0,0,0,0,0,0,0,0.41,0.37,20082009,0.4486,0.4486,0.4486,0.4486,-0.4486,0.4486,-0.03860000000000002,0.0786,0.11,0.0,-0.42412500000000003,0.45044125,0.13631624999999997,1988-11-20,20.235616438356164,17,0.2618963525808285,0.2654989011698615,0.2654989011698615,0.2729561916320883,0.14136325568606173,0.1713364094534937,1.4669447084171994,0.2073720798932958
17,2009-02-11,Max Pacioretty,away,Montreal Canadiens,Edmonton Oilers,L,13.81666667,0,0,0,0.1,2,1,0,0,0,0,0,0.27,0.29,20082009,0.49713333344,0.49713333344,0.49713333344,0.49713333344,-0.49713333344,0.49713333344,-0.22713333343999997,0.20713333344,0.15000000000000002,-0.15,-0.5419583334,0.638311250114,0.09635291671400004,1988-11-20,20.24109589041096,18,0.25693668934970065,0.2580232605570621,0.2580232605570621,0.2732633893063917,0.14389437247369444,0.17420375095128837,1.4648162877412318,0.21077882051377117
18,2009-02-13,Max Pacioretty,away,Montreal Canadiens,Colorado Avalanche,L,9.633333333,0,1,0,0.07,0,1,0,0,0,1,0,0.46,0.09,20082009,0.363266666656,0.363266666656,0.363266666656,0.363266666656,0.636733333344,0.363266666656,0.09673333334400003,0.27326666665599997,0.735,-0.15,0.28545833334000004,0.8352412499885999,1.7056995833286,1988-11-20,20.246575342465754,19,0.2508131054816703,0.3206418648594075,0.3206418648594075,0.3432880092103966,0.1464459049758164,0.1770802438926859,1.462698073486162,0.21420614307806418
19,2009-02-15,Max Pacioretty,away,Montreal Canadiens,Vancouver Canucks,L,13.91666667,0,0,0,0.08,2,0,0,0,0,0,0,0.45,0.46,20082009,0.50033333344,0.50033333344,0.50033333344,0.50033333344,-0.50033333344,0.50033333344,-0.05033333343999996,0.04033333343999995,0.14,0.0,-0.4314583334,0.3527312501139999,0.061272916713999925,1988-11-20,20.252054794520546,20,0.30445162242327817,0.3096467802528478,0.3096467802528478,0.32344791964552394,0.14901772200295418,0.1799657829020608,1.4605900004608598,0.21765379464897114
20,2009-02-18,Max Pacioretty,away,Montreal Canadiens,Washington Capitals,L,13.75,0,0,0,0.11,0,0,0,0,0,0,0,0.63,0.28,20082009,0.495,0.495,0.495,0.495,-0.495,0.495,0.135,0.21499999999999997,0.055,0.0,-0.31562500000000004,0.65303125,0.3924062499999999,1988-11-20,20.26027397260274,21,0.2957730459496852,0.31308955312096676,0.31308955312096676,0.31544040452044625,0.15160965301514925,0.18286024769953016,1.4574467645102438,0.22096299825545002
21,2009-02-19,Max Pacioretty,away,Montreal Canadiens,Pittsburgh Penguins,L,16.81666667,0,1,0,0.28,1,0,1,0,0,3,1,0.6,0.25,20082009,0.5931333334400001,0.5931333334400001,0.5931333334400001,0.5931333334400001,2.40686666656,-0.4068666665599999,0.006866666559999901,0.3431333334400001,0.89,0.15,1.4792916666,0.371411250114,2.890702916714,1988-11-20,20.263013698630136,22,0.2991213205690087,0.4184411976204121,0.4184411976204121,0.44096916314521856,0.15422149197598709,0.18576350475066666,1.4564040201502917,0.22460880090740354
22,2009-02-21,Max Pacioretty,home,Montreal Canadiens,Ottawa Senators,L,9.45,0,0,0,0.02,1,0,0,0,0,0,0,0.42,0.23,20082009,0.3574,0.3574,0.3574,0.3574,-0.3574,0.3574,0.06259999999999999,0.12739999999999999,0.060000000000000005,0.0,-0.36087500000000006,0.59097125,0.2900962499999999,1988-11-20,20.268493150684932,23,0.3860709020367378,0.41328152078128255,0.41328152078128255,0.4351190554633821,0.15685300100257885,0.18867540882067524,1.4543259852798887,0.22811539522718285
23,2009-02-24,Max Pacioretty,home,Montreal Canadiens,Vancouver Canucks,L,10.56666667,0,0,0,0.02,1,0,0,0,1,0,0,0.02,0.2,20082009,0.39313333344,0.39313333344,0.39313333344,0.39313333344,-0.39313333344,0.39313333344,-0.37313333344,0.19313333344,0.060000000000000005,-0.01,-0.6332083334,0.680161250114,0.09695291671399997,1988-11-20,20.276712328767122,24,0.3829438783025159,0.4007600029727321,0.4007600029727321,0.41450609570037883,0.15950391380961507,0.191595804433403,1.451227449783306,0.2314764580683839
24,2009-02-27,Max Pacioretty,away,Montreal Canadiens,Philadelphia Flyers,L,11.18333333,0,1,0,0.08,0,0,0,0,0,1,0,0.94,0.67,20082009,0.41286666656,0.41286666656,0.41286666656,0.41286666656,0.58713333344,0.41286666656,0.5271333334399999,-0.25713333344000006,0.74,0.0,0.5544583333999998,-0.09774875011400008,1.1967095832859997,1988-11-20,20.284931506849315,25,0.37386963460819794,0.4318129813264659,0.4318129813264659,0.45153711656588263,0.16217393894805424,0.19452452723649818,1.4481509477699797,0.23485234339121555
