Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-05,Maxim Afinogenov,home,Buffalo Sabres,New York Islanders,R,20.533333333333,0,1,0,0.27,0,0,0,1,0,2,1,0.5,0.34,20072008,0.7120666666666561,0.7120666666666561,0.7120666666666561,0.7120666666666561,1.2879333333333438,-0.2879333333333439,-0.212066666666656,0.372066666666656,0.835,0.01,0.7174583333333399,0.3455212499999886,1.9079795833333288,1979-09-04,28.10410958904109,466,0.0,1.8828807993437424,1.8828807993437424,2.23464586234338,0.6296926329072554,0.632156646531509,1,0.6296926329072554
2007-10-06,Maxim Afinogenov,away,Buffalo Sabres,New York Islanders,R,13.366666666667,0,0,0,0.15,0,0,1,0,0,0,0,0.82,0.34,20072008,0.482733333333344,0.482733333333344,0.482733333333344,0.482733333333344,-0.482733333333344,0.482733333333344,0.3372666666666559,0.1427333333333439,0.075,0.15,-0.18920833333334,0.5379212500000113,0.5737129166666712,1979-09-04,28.10684931506849,467,1.9079795833333288,1.2322947518830714,1.2322947518830714,1.5282476635640228,0.6267069229460389,0.6331752792410199,1,0.6267069229460389
2007-10-11,Maxim Afinogenov,home,Buffalo Sabres,Atlanta Thrashers,R,17.133333333333,0,0,0,0.21,0,2,1,0,0,0,0,0.3,0.05,20072008,0.6032666666666561,0.6032666666666561,0.6032666666666561,0.6032666666666561,-0.6032666666666561,0.6032666666666561,-0.3032666666666561,0.553266666666656,0.105,-0.15,-0.5895416666666601,1.1597412499999886,0.5251995833333285,1979-09-04,28.12054794520548,468,1.2402096181482911,0.997238349244959,0.997238349244959,1.24177923055741,0.6237757543188419,0.6342097765601563,1,0.6237757543188419
2007-10-13,Maxim Afinogenov,home,Buffalo Sabres,Washington Capitals,R,20.333333333333,1,0,1,0.72,0,1,1,0,0,2,0,0.85,0.19,20072008,0.7056666666666561,0.7056666666666561,0.7056666666666561,0.7056666666666561,1.294333333333344,0.7056666666666561,0.1443333333333438,0.5156666666666561,1.66,0.0,0.94020833333334,1.0311812499999886,3.6313895833333287,1979-09-04,28.126027397260277,469,1.0002022118186316,1.6559329112996828,1.6559329112996828,1.879394370418013,0.6209014576269472,0.6352655447971792,1,0.6209014576269472
2007-10-15,Maxim Afinogenov,home,Buffalo Sabres,Toronto Maple Leafs,R,18.183333333333,0,0,0,0.19,0,0,0,0,0,0,2,0.13,0.72,20072008,0.636866666666656,0.636866666666656,0.636866666666656,0.636866666666656,-0.636866666666656,-1.363133333333344,-0.506866666666656,-0.0831333333333439,0.095,0.0,-0.71679166666666,-0.8183487500000114,-1.4401404166666714,1979-09-04,28.13150684931507,470,1.6633428786964344,1.03459347810348,1.03459347810348,1.2345059321521572,0.6180827958047643,0.6363456080448969,1,0.6180827958047643
2007-10-19,Maxim Afinogenov,home,Buffalo Sabres,Columbus Blue Jackets,R,17.5,0,0,0,0.22,0,0,3,0,1,0,0,0.46,0.21,20072008,0.6150000000000001,0.6150000000000001,0.6150000000000001,0.6150000000000001,-0.6150000000000001,0.6150000000000001,-0.155,0.4050000000000001,0.11,0.4399999999999999,-0.496875,0.9002812500000001,0.95340625,1979-09-04,28.14246575342466,471,1.0367120254928357,1.0209665629560665,1.0209665629560665,1.1378356387910429,0.6153161561472027,0.6374510790648271,1,0.6153161561472027
2007-10-20,Maxim Afinogenov,away,Buffalo Sabres,Montreal Canadiens,R,15.733333333333,0,0,0,0.06,0,1,1,0,0,0,0,0.65,0.32,20072008,0.5584666666666561,0.5584666666666561,0.5584666666666561,0.5584666666666561,-0.5584666666666561,0.5584666666666561,0.0915333333333439,0.2384666666666561,0.03,0.0,-0.34279166666666,0.6528612499999887,0.3400695833333287,1979-09-04,28.145205479452056,472,1.022628171307959,0.9226007694638786,0.9226007694638786,1.105686097591977,0.6125965481061837,0.6385816390097928,1,0.6125965481061837
2007-10-24,Maxim Afinogenov,away,Buffalo Sabres,Carolina Hurricanes,R,17.15,0,0,0,0.24,0,0,0,0,0,0,1,0.41,0.64,20072008,0.6038,0.6038,0.6038,0.6038,-0.6038,-0.3962,-0.1938,-0.0362,0.12,0.0,-0.5211250000000001,-0.28018875,-0.68131375,1979-09-04,28.156164383561645,473,0.923759737757298,0.7188995102940268,0.7188995102940268,0.8085909281906697,0.6098206857210815,0.6397265682433616,1,0.6098206857210815
2007-10-26,Maxim Afinogenov,away,Buffalo Sabres,Florida Panthers,R,17.333333333333,0,0,0,0.2,0,0,1,0,0,0,2,0.69,0.32,20072008,0.6096666666666561,0.6096666666666561,0.6096666666666561,0.6096666666666561,-0.6096666666666561,-1.390333333333344,0.0803333333333438,0.2896666666666561,0.1,0.15,-0.3497916666666601,-0.1674187500000112,-0.2672104166666714,1979-09-04,28.16164383561644,474,0.7193230815105954,0.606987888401062,0.606987888401062,0.7307827713518054,0.6066465425415047,0.6408484774098848,1,0.6066465425415047
2007-10-27,Maxim Afinogenov,away,Buffalo Sabres,Tampa Bay Lightning,R,14.166666666667,1,0,0,0.28,0,0,1,0,0,1,1,0.36,0.43,20072008,0.5083333333333441,0.5083333333333441,0.5083333333333441,0.5083333333333441,0.4916666666666559,-0.4916666666666559,-0.1483333333333441,0.078333333333344,0.89,0.15,0.1322916666666599,-0.0252187499999885,1.1470729166666715,1979-09-04,28.164383561643834,475,0.6074875698776953,0.6624751559918791,0.6624751559918791,0.7530205455501885,0.6029649682157244,0.6419262765255773,1,0.6029649682157244
2007-11-01,Maxim Afinogenov,away,Buffalo Sabres,Boston Bruins,R,17.883333333333,1,0,0,0.68,1,0,0,0,0,1,1,1.24,0.33,20072008,0.627266666666656,0.627266666666656,0.627266666666656,0.627266666666656,0.372733333333344,-0.372733333333344,0.612733333333344,0.2972666666666559,1.14,0.0,0.6079583333333399,0.2718912499999885,2.0198495833333285,1979-09-04,28.17808219178082,476,0.6625221951983251,0.7900672211814207,0.7900672211814207,0.9340968587993737,0.5988819145738298,0.6429576899941486,1,0.5988819145738298
2007-11-05,Maxim Afinogenov,away,Buffalo Sabres,Montreal Canadiens,R,17.15,0,0,0,0.29,0,0,0,0,0,0,0,0.22,0.37,20072008,0.6038,0.6038,0.6038,0.6038,-0.6038,0.6038,-0.3838,0.2338,0.145,0.0,-0.639875,0.61631125,0.12143625,1979-09-04,28.18904109589041,477,0.7892407683684528,0.7320509541060053,0.7320509541060053,0.8574446846975295,0.5945993397358348,0.6439515592911434,1,0.5945993397358348
2007-11-07,Maxim Afinogenov,home,Buffalo Sabres,Boston Bruins,R,17.033333333333,0,1,0,0.15,0,0,0,0,0,0,0,0.08,0.24,20072008,0.6000666666666561,0.6000666666666561,0.6000666666666561,0.6000666666666561,-0.6000666666666561,0.6000666666666561,-0.5200666666666561,0.3600666666666561,0.7749999999999999,0.0,-0.7250416666666601,0.8333212499999887,0.8832795833333285,1979-09-04,28.194520547945206,478,0.7318193795923267,0.7442548845084825,0.7442548845084825,0.8805422764581976,0.5903334292681196,0.6449217352823772,1,0.5903334292681196
2007-11-09,Maxim Afinogenov,home,Buffalo Sabres,Toronto Maple Leafs,R,18.216666666667,0,0,0,0.2,0,0,0,0,0,0,2,0.47,0.73,20072008,0.637933333333344,0.637933333333344,0.637933333333344,0.637933333333344,-0.637933333333344,-1.362066666666656,-0.167933333333344,-0.0920666666666559,0.1,0.0,-0.5049583333333401,-0.8342087499999887,-1.2391670833333288,1979-09-04,28.2,479,0.7438538001863637,0.5944276971819258,0.5944276971819258,0.7001244353237891,0.5862679327056262,0.6458823041276427,1,0.5862679327056262
