Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2013-10-05,Michael Bournival,home,Montreal Canadiens,Philadelphia Flyers,L,6.15,0,0,0,0.02,1,0,0,2,2,0,0,0.32,0.04,20132014,0.2518,0.2518,0.2518,0.2518,-0.2518,0.2518,0.0681999999999999,0.2118,0.06,0.0,-0.357375,0.8011112499999999,0.5037362499999999,1992-05-31,21.36164383561644,1,0.0,0.0473507877809512,0.0473507877809512,0.0582185387390006,0.4734928995504177,0.4382391949669838,1.1794724979072486,0.5584718529740772
2013-10-10,Michael Bournival,away,Montreal Canadiens,Edmonton Oilers,L,7.0833333333333,0,0,0,0.17,0,0,0,2,3,1,0,0.71,0.07,20132014,0.2816666666666656,0.2816666666666656,0.2816666666666656,0.2816666666666656,0.7183333333333344,0.2816666666666656,0.4283333333333343,0.2116666666666656,0.085,-0.01,0.4927083333333339,0.7820312499999988,1.3497395833333328,1992-05-31,21.375342465753423,2,0.0475483218918641,0.1603574229137618,0.1603574229137618,0.2102456971720867,0.4762986262820429,0.4559738134052609,1.1772696765015072,0.5607319296811729
2013-10-12,Michael Bournival,away,Montreal Canadiens,Vancouver Canucks,L,10.533333333333,0,0,0,0.07,0,0,0,2,2,1,0,0.26,0.53,20132014,0.3920666666666559,0.3920666666666559,0.3920666666666559,0.3920666666666559,0.6079333333333441,0.3920666666666559,-0.1320666666666559,-0.137933333333344,0.035,0.0,0.14245833333334,0.1180212499999884,0.2954795833333284,1992-05-31,21.38082191780822,3,0.1608456066409132,0.1712615847118165,0.1712615847118165,0.211952495316132,0.4781766924497576,0.4713105438025692,1.176394642912602,0.5625244993635616
2013-10-17,Michael Bournival,home,Montreal Canadiens,Columbus Blue Jackets,L,10.133333333333,1,0,0,0.64,2,0,0,0,1,1,0,0.52,0.0,20132014,0.379266666666656,0.379266666666656,0.379266666666656,0.379266666666656,0.620733333333344,0.379266666666656,0.1407333333333439,0.379266666666656,1.1700000000000002,-0.01,0.31295833333334,1.0053412499999883,2.478299583333329,1992-05-31,21.39452054794521,4,0.1716597630991777,0.3455346440976939,0.3455346440976939,0.4079723698156904,0.4790095840894318,0.4841227818215232,1.1742221682616647,0.5624636724476109
2013-10-19,Michael Bournival,home,Montreal Canadiens,Nashville Predators,L,9.3666666666667,0,1,0,0.21,0,0,0,3,0,1,0,0.72,0.58,20132014,0.3547333333333343,0.3547333333333343,0.3547333333333343,0.3547333333333343,0.6452666666666657,0.3547333333333343,0.3652666666666656,-0.2252666666666656,0.8049999999999999,0.03,0.4532916666666661,-0.0068787499999988,1.281412916666667,1992-05-31,21.4,5,0.3446809017755358,0.4120847298719198,0.4120847298719198,0.4777445743736461,0.4789926003542871,0.4948461185004599,1.173359184101906,0.5620303667425567
2013-10-22,Michael Bournival,home,Montreal Canadiens,Edmonton Oilers,L,12.516666666667,0,0,1,0.15,1,1,1,0,0,0,1,0.49,0.71,20132014,0.455533333333344,0.455533333333344,0.455533333333344,0.455533333333344,-0.455533333333344,-0.544466666666656,0.0344666666666559,-0.2544666666666559,0.675,0.0,-0.37845833333334,-0.5576487499999886,-0.2611070833333285,1992-05-31,21.40821917808219,6,0.4102748997363262,0.3667980228356157,0.3667980228356157,0.4521696175121341,0.4796018353570197,0.505854525114115,1.1720710976790214,0.5621274496157754
2013-10-24,Michael Bournival,home,Montreal Canadiens,Anaheim Ducks,L,16.25,1,1,0,0.35,0,0,0,0,0,2,0,0.46,0.44,20132014,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.5750000000000001,1.4249999999999998,0.5750000000000001,-0.115,0.135,1.625,0.0,0.7781250000000001,0.46653125,2.86965625,1992-05-31,21.413698630136988,7,0.3661027791868984,0.5267820035167532,0.5267820035167532,0.5844147617969067,0.4813265168098776,0.517854061447441,1.171216612527877,0.5637376125379069
2013-10-26,Michael Bournival,home,Montreal Canadiens,San Jose Sharks,L,15.516666666667,0,0,0,0.03,1,0,0,1,1,0,1,0.31,0.52,20132014,0.551533333333344,0.551533333333344,0.551533333333344,0.551533333333344,-0.551533333333344,-0.448466666666656,-0.2415333333333439,0.0315333333333439,0.065,0.0,-0.55095833333334,-0.1320487499999886,-0.6180070833333287,1992-05-31,21.41917808219178,8,0.5212049509531745,0.4569786289734928,0.4569786289734928,0.4580767110745148,0.4833374303691757,0.5295361551782427,1.170365502195851,0.5656814544240726
2013-10-28,Michael Bournival,away,Montreal Canadiens,New York Rangers,L,15.15,0,1,0,0.12,0,0,0,0,0,0,0,0.24,0.08,20132014,0.5398000000000001,0.5398000000000001,0.5398000000000001,0.5398000000000001,-0.5398000000000001,0.5398000000000001,-0.2998,0.4598,0.76,0.0,-0.5873750000000001,1.04091125,1.2135362499999998,1992-05-31,21.42465753424657,9,0.4545056591889651,0.5011391290387227,0.5011391290387227,0.6215055511788499,0.4846825911287392,0.5394970367444759,1.169517752647793,0.5668448947243921
2013-10-29,Michael Bournival,home,Montreal Canadiens,Dallas Stars,L,17.15,1,0,0,0.34,2,0,0,0,0,1,0,0.6,0.27,20132014,0.6038,0.6038,0.6038,0.6038,0.3962,0.6038,-0.0038,0.3338,1.02,0.0,0.2226249999999999,0.78631125,2.02893625,1992-05-31,21.42739726027397,10,0.4966394976289843,0.5867801669154729,0.5867801669154729,0.6817092406828681,0.4847557039806197,0.5469269310947317,1.1690951338047777,0.5667255346078517
2013-11-01,Michael Bournival,away,Montreal Canadiens,Minnesota Wild,L,17.483333333333,0,0,0,0.07,0,0,0,0,0,1,0,0.48,0.22,20132014,0.6144666666666561,0.6144666666666561,0.6144666666666561,0.6144666666666561,0.3855333333333439,0.6144666666666561,-0.134466666666656,0.3944666666666561,0.035,0.0,0.1409583333333399,0.8827112499999886,1.0586695833333286,1992-05-31,21.435616438356163,11,0.5773699701238357,0.6122564993642163,0.6122564993642163,0.6792395398172959,0.4834633140446522,0.5517659186525746,1.167832280182639,0.5646040644254215
2013-11-02,Michael Bournival,away,Montreal Canadiens,Colorado Avalanche,L,13.95,0,0,0,0.0,0,0,0,0,0,0,1,0.26,0.63,20132014,0.5014,0.5014,0.5014,0.5014,-0.5014,-0.4986,-0.2413999999999999,-0.1286,0.0,0.0,-0.550875,-0.37262875,-0.92350375,1992-05-31,21.438356164383563,12,0.6015899148841033,0.5321908901325323,0.5321908901325323,0.6057016043821242,0.4813422221093533,0.5547033438339077,1.1674129908586088,0.5619251631392089
