Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2020-02-29,Mikey Anderson,home,Los Angeles Kings,New Jersey Devils,D,18.983333333333,0,0,0,0.01,1,0,0,0,0,1,1,0.68,0.4,20192020,0.6624666666666561,0.6624666666666561,0.6624666666666561,0.6624666666666561,0.3375333333333439,-0.3375333333333439,0.0175333333333439,0.2624666666666561,0.055,0.0,0.0755333333333438,0.5072958333333182,0.637829166666662,1999-05-25,20.78082191780822,1,0.0,0.0599554102198007,0.0599554102198007,0.0631961050957274,0.0276343113596549,0.0278446181848865,1.29659720673432,0.035830570918955
2020-03-01,Mikey Anderson,away,Los Angeles Kings,Vegas Golden Knights,D,18.133333333333,0,0,0,0.0,4,0,0,0,0,0,0,0.22,0.74,20192020,0.635266666666656,0.635266666666656,0.635266666666656,0.635266666666656,-0.635266666666656,0.635266666666656,-0.415266666666656,-0.104733333333344,0.2,0.0,-1.033266666666656,0.2611958333333181,-0.5720708333333379,1999-05-25,20.78356164383561,2,0.0602055272549591,0.005115289248645,0.005115289248645,0.00498123775146,0.0270906729285695,0.0273653462536407,1.2959158976088907,0.035107233725056
2020-03-05,Mikey Anderson,home,Los Angeles Kings,Toronto Maple Leafs,D,15.7,0,0,0,0.01,0,0,0,0,0,0,0,0.47,0.33,20192020,0.5574,0.5574,0.5574,0.5574,-0.5574,0.5574,-0.0874,0.2274,0.005,0.0,-0.5554,1.0922625,0.5418624999999999,1999-05-25,20.794520547945204,3,0.0055764802465749,0.0484300084073227,0.0484300084073227,0.048735518992717,0.0267287125635539,0.0270631305314505,1.2932050375450257,0.034565705734281
2020-03-07,Mikey Anderson,home,Los Angeles Kings,Minnesota Wild,D,18.383333333333,0,0,0,0.11,0,0,0,0,0,1,0,0.5,0.96,20192020,0.643266666666656,0.643266666666656,0.643266666666656,0.643266666666656,0.356733333333344,0.643266666666656,-0.143266666666656,-0.3167333333333439,0.055,0.0,-0.193266666666656,-0.2333041666666817,-0.3715708333333378,1999-05-25,20.8,4,0.0485275579186633,0.016703252420415,0.016703252420415,0.0166275212105387,0.0265584206142136,0.0269467833842643,1.2918581813921313,0.0343097129553253
2020-03-09,Mikey Anderson,home,Los Angeles Kings,Colorado Avalanche,D,18.866666666667,1,0,0,0.05,3,0,0,0,0,2,1,0.9,0.82,20192020,0.658733333333344,0.658733333333344,0.658733333333344,0.658733333333344,1.341266666666656,-0.3412666666666559,0.2412666666666559,-0.1612666666666559,0.925,0.0,0.8312666666666559,-0.4640708333333176,1.2921958333333383,1999-05-25,20.805479452054797,5,0.0172665247402693,0.1074032324842089,0.1074032324842089,0.1047156056731794,0.0265781807834248,0.027014112323172,1.2905170018702936,0.0342995941797921
2020-03-11,Mikey Anderson,home,Los Angeles Kings,Ottawa Senators,D,18.8,0,0,0,0.01,2,0,0,0,0,1,0,0.4,0.63,20192020,0.6566000000000001,0.6566000000000001,0.6566000000000001,0.6566000000000001,0.3433999999999999,0.6566000000000001,-0.2566,0.0266,0.105,0.0,-0.3666,0.5448625000000001,0.2832625000000001,1999-05-25,20.81095890410959,6,0.1058820164873596,0.1192335711356662,0.1192335711356662,0.1215931962027819,0.0267782812840098,0.0272552876138954,1.2891814697758388,0.0345220640237906
2021-01-14,Mikey Anderson,home,Los Angeles Kings,Minnesota Wild,D,21.7,0,0,0,0.0,0,0,0,0,0,1,1,0.57,0.25,20202021,0.7494000000000001,0.7494000000000001,0.7494000000000001,0.7494000000000001,0.2505999999999999,-0.2505999999999999,-0.1794000000000001,0.4994,0.0,0.0,-0.1874000000000001,0.9772625,0.7898625,1999-05-25,21.65753424657534,7,0.1174510186038155,0.1621005159890299,0.1621005159890299,0.2487862182376147,0.0271440024787589,0.0276557938984654,1.136414929593248,0.0308468496657778
2021-01-16,Mikey Anderson,home,Los Angeles Kings,Minnesota Wild,D,20.05,0,0,0,0.01,4,0,0,0,0,0,0,0.18,0.98,20202021,0.6966000000000001,0.6966000000000001,0.6966000000000001,0.6966000000000001,-0.6966000000000001,0.6966000000000001,-0.5166000000000002,-0.2833999999999999,0.205,0.0,-1.1586000000000003,-0.2026374999999995,-1.1562374999999998,1999-05-25,21.663013698630134,8,0.1882212632955175,0.0817150167195455,0.0817150167195455,0.0866959167178837,0.0275324943307218,0.0280739165952212,1.135700933668008,0.0312686795176099
2021-01-19,Mikey Anderson,home,Los Angeles Kings,Colorado Avalanche,D,18.933333333333,0,0,1,0.01,1,1,1,0,0,1,0,0.38,0.45,20202021,0.660866666666656,0.660866666666656,0.660866666666656,0.660866666666656,0.3391333333333439,0.660866666666656,-0.280866666666656,0.210866666666656,0.6050000000000001,0.0,-0.402866666666656,0.9649958333333182,1.1671291666666623,1999-05-25,21.671232876712327,9,0.0597509506143852,0.145070973103285,0.145070973103285,0.1568006618420882,0.0274748108715597,0.0280432229859596,1.134635210797878,0.031173887824884
2021-01-21,Mikey Anderson,home,Los Angeles Kings,Colorado Avalanche,D,24.9,0,0,0,0.0,2,0,0,0,0,1,1,0.84,1.42,20202021,0.8518,0.8518,0.8518,0.8518,0.1482,-0.1482,-0.0118,-0.5681999999999999,0.1,0.0,0.1421999999999998,-1.5665374999999997,-1.3243374999999995,1999-05-25,21.676712328767124,10,0.1568435434841336,0.0627029250326894,0.0627029250326894,0.0657115435246174,0.0267682813142052,0.0273610239661308,1.1339282272191555,0.0303533097763204
