,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-01-20,Mikhail Grigorenko,home,Buffalo Sabres,Philadelphia Flyers,C,11.216666666667,0,0,0,0.08,0,0,1,5,4,0,1,0.26,0.59,20122013,0.41393333333334403,0.41393333333334403,0.41393333333334403,0.41393333333334403,-0.41393333333334403,-0.586066666666656,-0.15393333333334402,-0.17606666666665594,0.04,0.16,-0.49620833333334,-0.39810874999998846,-0.6943170833333285,1994-05-16,18.695890410958903,1,0.0,-0.06526522732006182,-0.06526522732006182,-0.07150426927199534,-0.03447175061670091,-0.07389921181194661,3.102287323052332,-0.011111720813397853
1,2013-01-21,Mikhail Grigorenko,away,Buffalo Sabres,Toronto Maple Leafs,C,13.0,0,0,0,0.13,0,0,0,4,3,0,0,0.35,0.34,20122013,0.47100000000000003,0.47100000000000003,0.47100000000000003,0.47100000000000003,-0.47100000000000003,0.47100000000000003,-0.12100000000000005,0.131,0.065,0.01,-0.4756250000000001,0.52538125,0.12475624999999996,1994-05-16,18.698630136986303,2,-0.06553749541223881,-0.04877730310861447,-0.04877730310861447,-0.04963287202933628,-0.030170084530674407,-0.06768694286589788,3.094664448516897,-0.009749064893007472
2,2013-01-24,Mikhail Grigorenko,away,Buffalo Sabres,Carolina Hurricanes,C,11.783333333333,0,0,0,0.15,0,0,0,1,2,0,0,0.33,0.49,20122013,0.432066666666656,0.432066666666656,0.432066666666656,0.432066666666656,-0.432066666666656,0.432066666666656,-0.10206666666665598,-0.057933333333343995,0.075,-0.01,-0.46379166666666005,0.22877124999998855,-0.1700204166666715,1994-05-16,18.706849315068492,3,-0.049096004615628595,-0.058561446013315456,-0.058561446013315456,-0.06484803557242078,-0.0259163087236945,-0.06152674027931352,3.0720524576030055,-0.008436154356529418
3,2013-01-25,Mikhail Grigorenko,home,Buffalo Sabres,Carolina Hurricanes,C,6.8,0,0,0,0.0,0,0,0,2,2,0,0,0.05,0.16,20122013,0.2726,0.2726,0.2726,0.2726,-0.2726,0.2726,-0.22260000000000002,0.1126,0.0,0.0,-0.5391250000000001,0.61934125,0.08021624999999988,1994-05-16,18.70958904109589,4,-0.058763835017007944,-0.04807821440932161,-0.04807821440932161,-0.05141377284304195,-0.021690297925040555,-0.055419366260513844,3.064599488614313,-0.0070776941670926225
4,2013-01-27,Mikhail Grigorenko,away,Buffalo Sabres,Washington Capitals,C,17.166666666667,0,0,0,0.22,0,0,0,4,7,0,0,0.49,0.44,20122013,0.604333333333344,0.604333333333344,0.604333333333344,0.604333333333344,-0.604333333333344,0.604333333333344,-0.11433333333334406,0.16433333333334404,0.11,-0.03,-0.4714583333333401,0.49788125000001143,0.10642291666667136,1994-05-16,18.715068493150685,5,-0.04845684922582501,-0.037091674998487645,-0.037091674998487645,-0.04322145591245707,-0.017475506601099693,-0.04936364960096736,3.049818004388096,-0.0057300162094773635
5,2013-01-29,Mikhail Grigorenko,home,Buffalo Sabres,Toronto Maple Leafs,C,10.083333333333,1,0,0,0.28,0,0,0,1,6,1,3,0.54,0.79,20122013,0.377666666666656,0.377666666666656,0.377666666666656,0.377666666666656,0.6223333333333441,-2.622333333333344,0.16233333333334404,-0.41233333333334404,0.89,-0.05,0.32645833333334007,-1.6518687500000113,-0.4854104166666713,1994-05-16,18.720547945205478,6,-0.03772567462315754,-0.06725080515211211,-0.06725080515211211,-0.07621887242130503,-0.013258816059385302,-0.04335699335829115,3.035200189058522,-0.004368349773824312
6,2013-01-31,Mikhail Grigorenko,away,Buffalo Sabres,Boston Bruins,C,8.95,0,1,0,0.03,0,0,0,4,4,1,1,0.33,0.62,20122013,0.3414,0.3414,0.3414,0.3414,0.6586000000000001,-0.6586000000000001,-0.011399999999999966,-0.2786,0.715,0.0,0.21787500000000004,-0.5266287500000001,0.4062462499999999,1994-05-16,18.726027397260275,7,-0.06683825326458621,-0.03698463070328837,-0.03698463070328837,-0.03810877741622647,-0.00903020015053222,-0.0373958425602493,3.020743371198177,-0.0029893966619714517
7,2013-02-02,Mikhail Grigorenko,away,Buffalo Sabres,Montreal Canadiens,C,12.9,0,0,0,0.21,0,0,0,1,7,0,1,0.33,0.63,20122013,0.4678,0.4678,0.4678,0.4678,-0.4678,-0.5322,-0.13779999999999998,-0.1622,0.105,-0.06,-0.48612500000000003,-0.40853875000000006,-0.8496637500000002,1994-05-16,18.731506849315068,8,-0.0378486719440576,-0.08653764059775136,-0.08653764059775136,-0.0905964268567746,-0.0047823097902407775,-0.03147608018089184,3.0064449372462962,-0.0015906859729887671
8,2013-02-03,Mikhail Grigorenko,home,Buffalo Sabres,Florida Panthers,C,15.066666666667,0,0,0,0.0,0,0,0,2,4,0,1,0.67,0.78,20122013,0.537133333333344,0.537133333333344,0.537133333333344,0.537133333333344,-0.537133333333344,-0.462866666666656,0.13286666666665603,-0.24286666666665602,0.0,-0.02,-0.31695833333334,-0.5894387499999888,-0.9263970833333288,1994-05-16,18.734246575342464,9,-0.08489146674481597,-0.13556049351064134,-0.13556049351064134,-0.1582395282195181,-0.0005100445639697219,-0.025593342625783805,2.9993543129367177,-0.0001700514546646971
9,2013-02-05,Mikhail Grigorenko,away,Buffalo Sabres,Ottawa Senators,C,12.566666666667,0,0,0,0.05,0,0,0,1,5,1,0,0.53,0.46,20122013,0.457133333333344,0.457133333333344,0.457133333333344,0.457133333333344,0.542866666666656,0.457133333333344,0.07286666666665603,-0.002866666666656026,0.025,-0.04,0.2705416666666599,0.3065612500000114,0.5621029166666713,1994-05-16,18.73972602739726,10,-0.1310670371157975,-0.09645280197459197,-0.09645280197459197,-0.09730800521017234,0.0038469957242715917,-0.01968282575859939,2.9852886771819653,0.011484392776835417
10,2013-02-07,Mikhail Grigorenko,home,Buffalo Sabres,Montreal Canadiens,C,10.566666666667,0,0,0,0.17,0,0,0,3,0,1,0,0.38,0.14,20122013,0.393133333333344,0.393133333333344,0.393133333333344,0.393133333333344,0.606866666666656,0.393133333333344,-0.013133333333343988,0.253133333333344,0.085,0.03,0.21679166666665994,0.7821612500000114,1.1139529166666713,1994-05-16,18.745205479452054,11,-0.09487889001148504,-0.03110550361802232,-0.03110550361802232,-0.031530024124595435,0.00850944358033933,-0.013510415887031139,2.9713751344968644,0.025284749063024258
