,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2009-12-15,Nick Spaling,home,Nashville Predators,Tampa Bay Lightning,C,6.0833333333333,0,1,0,0.14,0,0,1,1,4,1,0,0.39,0.06,20092010,0.2496666666666656,0.2496666666666656,0.2496666666666656,0.2496666666666656,0.7503333333333344,0.2496666666666656,0.14033333333333442,0.1896666666666656,0.77,0.12,0.31270833333333403,0.7648312499999989,1.9675395833333331,1988-09-19,21.252054794520546,1,0.0,0.18494708145589667,0.18494708145589667,0.2108746293624842,0.18587146831633541,0.20219818526295286,1.1979055682004034,0.22265646686572305
1,2009-12-17,Nick Spaling,away,Nashville Predators,Edmonton Oilers,C,8.8,0,0,0,0.0,0,0,0,3,3,1,0,0.49,0.36,20092010,0.3366,0.3366,0.3366,0.3366,0.6634,0.3366,0.15339999999999998,-0.023399999999999976,0.0,0.0,0.3208749999999999,0.34774125,0.6686162499999999,1988-09-19,21.257534246575343,2,0.18571862843564985,0.22691444591826626,0.22691444591826626,0.2532691232714841,0.18430070280983038,0.20041894836998556,1.1969486194578736,0.2205984717933423
2,2009-12-19,Nick Spaling,away,Nashville Predators,Calgary Flames,C,13.733333333333,0,0,0,0.1,0,0,0,2,3,0,0,0.35,0.33,20092010,0.494466666666656,0.494466666666656,0.494466666666656,0.494466666666656,-0.494466666666656,0.494466666666656,-0.14446666666665603,0.164466666666656,0.05,-0.01,-0.49029166666666,0.5674612499999886,0.11716958333332855,1988-09-19,21.263013698630136,3,0.2275140726265272,0.2180581951418159,0.2180581951418159,0.24121870673151014,0.18274075060453548,0.19865192123887288,1.1959954837013953,0.21855711241122747
3,2009-12-22,Nick Spaling,away,Nashville Predators,Vancouver Canucks,C,14.4,0,0,0,0.06,0,0,0,3,3,0,0,0.19,0.25,20092010,0.5158,0.5158,0.5158,0.5158,-0.5158,0.5158,-0.32580000000000003,0.26580000000000004,0.03,0.0,-0.6036250000000001,0.7262612500000001,0.15263625000000003,1988-09-19,21.27123287671233,4,0.2186934398881507,0.21311623816596562,0.21311623816596562,0.22863934850121437,0.18119202292677744,0.19689789989633774,1.1945728928791262,0.21644707899426147
4,2009-12-26,Nick Spaling,home,Nashville Predators,Chicago Blackhawks,C,8.65,0,0,0,0.01,0,0,0,0,3,0,0,0.04,0.48,20092010,0.3318,0.3318,0.3318,0.3318,-0.3318,0.3318,-0.2918,-0.1482,0.005,-0.03,-0.5823750000000001,0.13861125000000002,-0.4687637500000001,1988-09-19,21.28219178082192,5,0.21377788268959078,0.16462791117915793,0.16462791117915793,0.17191906736124982,0.17965475504828188,0.19515743364976043,1.1926892954283665,0.2142723032188911
5,2009-12-27,Nick Spaling,away,Nashville Predators,Chicago Blackhawks,C,11.133333333333,0,0,0,0.08,0,0,1,0,2,0,0,0.35,0.23,20092010,0.411266666666656,0.411266666666656,0.411266666666656,0.411266666666656,-0.411266666666656,0.411266666666656,-0.06126666666665603,0.181266666666656,0.04,0.13,-0.43829166666666003,0.6485412499999885,0.3802495833333285,1988-09-19,21.284931506849315,6,0.16616819363065632,0.17913313139422724,0.17913313139422724,0.1855788635453092,0.1781290263173053,0.1934308497851206,1.1922207377861935,0.212369119177154
6,2009-12-29,Nick Spaling,away,Nashville Predators,St Louis Blues,C,12.766666666667,0,0,0,0.05,0,0,0,3,1,0,0,0.29,0.28,20092010,0.463533333333344,0.463533333333344,0.463533333333344,0.463533333333344,-0.463533333333344,0.463533333333344,-0.17353333333334403,0.18353333333334398,0.025,0.02,-0.50845833333334,0.6194012500000113,0.15594291666667132,1988-09-19,21.29041095890411,7,0.18015234661538704,0.17765080098306046,0.17765080098306046,0.19299803614567101,0.17661478088052734,0.19171827978156192,1.1912864183010077,0.21039878973418072
7,2009-12-31,Nick Spaling,away,Nashville Predators,Columbus Blue Jackets,C,13.75,0,0,0,0.12,0,0,0,0,0,0,0,0.39,0.26,20092010,0.495,0.495,0.495,0.495,-0.495,0.495,-0.10499999999999998,0.235,0.06,0.0,-0.465625,0.68703125,0.28140624999999997,1988-09-19,21.295890410958904,8,0.17866258431640566,0.18397727679578985,0.18397727679578985,0.20645120575260165,0.1751118481483359,0.19001968569525216,1.1903558130566807,0.2084454063784704
8,2010-01-02,Nick Spaling,home,Nashville Predators,Anaheim Ducks,C,13.85,0,0,0,0.07,1,0,0,0,1,0,1,0.28,0.17,20092010,0.4982,0.4982,0.4982,0.4982,-0.4982,-0.5018,-0.21819999999999995,0.32819999999999994,0.085,-0.01,-0.536375,0.4059512499999999,-0.05542375000000016,1988-09-19,21.301369863013697,9,0.1846400080724306,0.1700033655356174,0.1700033655356174,0.190172713811271,0.1736199623295146,0.1883348857263619,1.1894289059511796,0.20650860184487957
9,2010-01-05,Nick Spaling,home,Nashville Predators,Calgary Flames,C,10.533333333333,0,0,0,0.13,0,0,0,2,1,0,0,0.24,0.44,20092010,0.39206666666665596,0.39206666666665596,0.39206666666665596,0.39206666666665596,-0.39206666666665596,0.39206666666665596,-0.15206666666665597,-0.04793333333334404,0.065,0.01,-0.49504166666666,0.27102124999998856,-0.14902041666667143,1988-09-19,21.30958904109589,10,0.17139374739408805,0.15212041010893101,0.15212041010893101,0.16582222887858372,0.17213878058985022,0.18666357829042307,1.188045444324874,0.2045086940714106
10,2010-01-07,Nick Spaling,home,Nashville Predators,Carolina Hurricanes,C,13.616666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.1,0.43,20092010,0.49073333333334396,0.49073333333334396,0.49073333333334396,0.49073333333334396,-0.49073333333334396,0.49073333333334396,-0.3907333333333439,0.060733333333343964,0.01,0.0,-0.6442083333333399,0.3934712500000113,-0.2407370833333286,1988-09-19,21.315068493150687,11,0.15454727860091905,0.13091084752986154,0.13091084752986154,0.1461869010411684,0.17066789957266093,0.1850053641666827,1.187127712771462,0.20260459326320254
11,2010-01-09,Nick Spaling,home,Nashville Predators,Anaheim Ducks,C,13.05,0,0,0,0.02,0,0,0,1,0,0,0,0.19,0.28,20092010,0.4726,0.4726,0.4726,0.4726,-0.4726,0.4726,-0.2826,0.1926,0.01,0.01,-0.576625,0.62909125,0.07246624999999995,1988-09-19,21.32054794520548,12,0.13473074617916503,0.12786388605949783,0.12786388605949783,0.14202715541148456,0.16920687016087907,0.1833597664938459,1.1862136237786813,0.20071549462178517
12,2010-01-11,Nick Spaling,away,Nashville Predators,Vancouver Canucks,C,7.25,0,0,0,0.01,0,0,0,0,4,0,0,0.02,0.26,20092010,0.28700000000000003,0.28700000000000003,0.28700000000000003,0.28700000000000003,-0.28700000000000003,0.28700000000000003,-0.267,0.027000000000000024,0.005,-0.04,-0.566875,0.46473125000000004,-0.13714375,1988-09-19,21.326027397260273,13,0.13174747356087002,0.11449007485112292,0.11449007485112292,0.11979203593623185,0.16775521046515743,0.1817262485332738,1.1853031616864618,0.19884078135372893
13,2010-01-12,Nick Spaling,away,Nashville Predators,Edmonton Oilers,C,9.3833333333333,0,0,0,0.0,0,0,0,3,4,0,0,0.13,0.25,20092010,0.3552666666666656,0.3552666666666656,0.3552666666666656,0.3552666666666656,-0.3552666666666656,0.3552666666666656,-0.22526666666666562,0.10526666666666562,0.0,-0.01,-0.540791666666666,0.5546912499999989,0.0038995833333328456,1988-09-19,21.328767123287673,14,0.11940830991459733,0.10907566485671856,0.10907566485671856,0.11962453074143639,0.1663124170963531,0.18010422922815236,1.1848492858605801,0.19705514862636092
14,2010-01-15,Nick Spaling,away,Nashville Predators,Calgary Flames,C,9.3666666666667,0,0,0,0.0,1,0,1,2,2,0,0,0.02,0.17,20092010,0.35473333333333434,0.35473333333333434,0.35473333333333434,0.35473333333333434,-0.35473333333333434,0.35473333333333434,-0.3347333333333343,0.18473333333333433,0.05,0.15,-0.609208333333334,0.690121250000001,0.280912916666667,1988-09-19,21.336986301369862,15,0.11433103415497672,0.11725415372389902,0.11725415372389902,0.125441024040231,0.16487797482957456,0.1784930966616629,1.183493056043451,0.19513193830530837
15,2010-01-18,Nick Spaling,home,Nashville Predators,Toronto Maple Leafs,C,7.6166666666667,0,1,0,0.14,0,0,0,2,1,1,1,0.21,0.12,20092010,0.2987333333333344,0.2987333333333344,0.2987333333333344,0.2987333333333344,0.7012666666666656,-0.7012666666666656,-0.08873333333333441,0.1787333333333344,0.77,0.01,0.16954166666666604,0.27777125000000114,1.2273129166666672,1988-09-19,21.345205479452055,16,0.1213835368984201,0.16871080212547196,0.16871080212547196,0.17548313572640803,0.1634431728238424,0.1768868492939512,1.1821448823608005,0.19321351031051717
16,2010-01-21,Nick Spaling,away,Nashville Predators,Phoenix Coyotes,C,8.65,0,0,0,0.0,1,0,0,2,1,0,0,0.1,0.29,20092010,0.3318,0.3318,0.3318,0.3318,-0.3318,0.3318,-0.23179999999999998,0.041800000000000004,0.05,0.01,-0.544875,0.46161125000000003,-0.023263749999999972,1988-09-19,21.353424657534248,17,0.16655043643489212,0.16002850304707417,0.16002850304707417,0.1677200203839087,0.16197185630323097,0.17526152802989609,1.1808047133220672,0.19125713134837968
17,2010-01-22,Nick Spaling,away,Nashville Predators,Colorado Avalanche,C,14.566666666667,0,0,0,0.13,0,0,0,1,3,0,0,0.11,0.2,20092010,0.521133333333344,0.521133333333344,0.521133333333344,0.521133333333344,-0.521133333333344,0.521133333333344,-0.411133333333344,0.321133333333344,0.065,-0.02,-0.65695833333334,0.8169612500000114,0.20500291666667148,1988-09-19,21.356164383561644,18,0.15906139748988132,0.16201620943025014,0.16201620943025014,0.17569926629013433,0.1604329733825292,0.17359661035406254,1.1803597602871883,0.18936862600396304
