Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2021-04-18,Nolan Foote,home,New Jersey Devils,New York Rangers,L,8.1166666666667,0,0,1,0.0,0,0,0,0,0,1,2,0.38,0.41,20202021,0.3147333333333343,0.3147333333333343,0.3147333333333343,0.3147333333333343,0.6852666666666656,-1.6852666666666656,0.0652666666666656,-0.0952666666666656,0.55,0.0,0.2657916666666661,-0.635628749999999,0.1801629166666671,2000-11-29,20.3972602739726,1,0.0,0.0169351640527767,0.0169351640527767,0.0160167582601747,0.0178437009584247,0.0168722086739329,1.4082092666051993,0.0251276650401858
2021-04-20,Nolan Foote,away,New Jersey Devils,Pittsburgh Penguins,L,11.116666666667,1,0,0,0.07,0,0,0,0,0,1,1,0.09,0.42,20202021,0.410733333333344,0.410733333333344,0.410733333333344,0.410733333333344,0.589266666666656,-0.589266666666656,-0.320733333333344,-0.0092666666666559,0.785,0.0,0.02454166666666,-0.1125287499999886,0.6970129166666714,2000-11-29,20.4027397260274,2,0.0170058127733388,0.0759446539332425,0.0759446539332425,0.0723778236838604,0.033006352965485,0.0352936298080197,1.4063565595062062,0.046418700998387
2021-04-27,Nolan Foote,home,New Jersey Devils,Philadelphia Flyers,L,7.7333333333333,0,0,0,0.05,0,0,0,0,0,1,1,0.2,0.98,20202021,0.3024666666666656,0.3024666666666656,0.3024666666666656,0.3024666666666656,0.6975333333333344,-0.6975333333333344,-0.1024666666666656,-0.6775333333333344,0.025,0.0,0.1609583333333341,-1.1802387500000011,-0.9942804166666672,2000-11-29,20.421917808219177,3,0.0758613500362958,-0.0104209525218332,-0.0104209525218332,-0.0100530094803323,0.0201676089615837,0.0239884947683951,1.3999386812241594,0.028233415893124
2021-05-06,Nolan Foote,away,New Jersey Devils,New York Islanders,L,10.0,0,0,0,0.0,0,0,0,0,2,0,0,0.25,0.05,20202021,0.375,0.375,0.375,0.375,-0.375,0.375,-0.125,0.325,0.0,-0.02,-0.478125,0.91578125,0.4176562499999999,2000-11-29,20.446575342465756,4,-0.0104369105373807,0.0219158896894366,0.0219158896894366,0.0201959784798318,0.0305097468424172,0.0355400885289334,1.391836646573303,0.0424645837329503
2021-05-08,Nolan Foote,away,New Jersey Devils,New York Islanders,L,12.133333333333,0,0,0,0.13,1,0,0,0,0,1,0,0.7,0.17,20202021,0.443266666666656,0.443266666666656,0.443266666666656,0.443266666666656,0.556733333333344,0.443266666666656,0.2567333333333439,0.273266666666656,0.115,0.0,0.38545833333334,0.7847412499999886,1.2851995833333287,2000-11-29,20.45205479452055,5,0.0220206575555247,0.1117476986258769,0.1117476986258769,0.1009520609078084,0.0552655318211859,0.0704905171045094,1.3900586344018284,0.0768223296928485
2021-05-10,Nolan Foote,away,New Jersey Devils,Philadelphia Flyers,L,9.0166666666667,0,0,0,0.0,0,0,0,0,0,0,1,0.17,0.52,20202021,0.3435333333333343,0.3435333333333343,0.3435333333333343,0.3435333333333343,-0.3435333333333343,-0.6564666666666656,-0.1735333333333343,-0.1764666666666656,0.0,0.0,-0.508458333333334,-0.354348749999999,-0.862807083333333,2000-11-29,20.457534246575342,6,0.1113602753744739,0.0461878150448805,0.0461878150448805,0.0444518939925284,0.0442178008486146,0.0566339121261505,1.3882886782908757,0.0613870722970524
2022-01-06,Nolan Foote,home,New Jersey Devils,Columbus Blue Jackets,L,7.7833333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.05,0.31,20212022,0.3040666666666656,0.3040666666666656,0.3040666666666656,0.3040666666666656,-0.3040666666666656,0.3040666666666656,-0.2540666666666656,-0.0059333333333344,0.0,0.0,-0.558791666666666,0.3979712499999988,-0.1608204166666672,2000-11-29,21.117808219178084,7,0.0467825873049951,0.0329557427750509,0.0329557427750509,0.0566828736402424,0.0347020428297306,0.0477120238307733,1.2225900847296651,0.0424263734834928
2022-01-08,Nolan Foote,away,New Jersey Devils,Columbus Blue Jackets,L,7.2833333333333,0,0,0,0.02,0,0,0,0,0,0,0,0.06,0.21,20212022,0.2880666666666656,0.2880666666666656,0.2880666666666656,0.2880666666666656,-0.2880666666666656,0.2880666666666656,-0.2280666666666656,0.0780666666666656,0.01,0.0,-0.542541666666666,0.5508712499999989,0.0183295833333329,2000-11-29,21.12328767123288,8,0.0270548235503978,0.0320639144921234,0.0320639144921234,0.0359282503030436,0.0291854852083324,0.0404499080572794,1.2215341927471832,0.0356510681138952
2022-04-23,Nolan Foote,home,New Jersey Devils,Carolina Hurricanes,L,5.1666666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.13,20212022,0.2203333333333343,0.2203333333333343,0.2203333333333343,0.2203333333333343,-0.2203333333333343,0.2203333333333343,-0.2203333333333343,0.0903333333333343,0.0,0.0,-0.537708333333334,0.6144812500000011,0.076772916666667,2000-11-29,21.410958904109588,9,0.0262950036294072,0.0346735926429646,0.0346735926429646,0.0344021406598209,0.0348312774116474,0.0343186407924456,1.171643432370562,0.0408098374204338
2022-04-24,Nolan Foote,home,New Jersey Devils,Detroit Red Wings,L,11.133333333333,0,0,0,0.28,0,0,0,0,1,0,0,0.31,0.43,20212022,0.411266666666656,0.411266666666656,0.411266666666656,0.411266666666656,-0.411266666666656,0.411266666666656,-0.101266666666656,-0.0187333333333439,0.14,-0.01,-0.46329166666666,0.3085412499999886,-0.0247504166666713,2000-11-29,21.413698630136988,10,0.0311495910060865,0.0313425653997186,0.0313425653997186,0.0312807278970286,0.0798418061006537,0.0590003696368045,1.171216612527877,0.0935120496793151
2022-04-26,Nolan Foote,away,New Jersey Devils,Ottawa Senators,L,14.333333333333,2,0,0,0.47,0,0,0,0,2,2,0,1.09,0.42,20212022,0.5136666666666561,0.5136666666666561,0.5136666666666561,0.5136666666666561,1.486333333333344,0.5136666666666561,0.576333333333344,0.093666666666656,1.735,-0.02,1.2102083333333402,0.4349812499999886,3.360189583333329,2000-11-29,21.41917808219178,11,0.0262366676812375,0.211060122838619,0.211060122838619,0.2059591295274397,0.1740915270247273,0.1451732319811846,1.170365502195851,0.2037507174543375
2022-04-28,Nolan Foote,away,New Jersey Devils,Carolina Hurricanes,L,12.833333333333,0,1,0,0.16,0,0,0,0,0,2,1,0.63,0.63,20212022,0.465666666666656,0.465666666666656,0.465666666666656,0.465666666666656,1.534333333333344,-0.534333333333344,0.164333333333344,-0.164333333333344,0.7799999999999999,0.0,0.95270833333334,-0.4108187500000114,1.3218895833333284,2000-11-29,21.42465753424657,12,0.2965248801200509,0.268972311634905,0.268972311634905,0.2363909846168879,0.274458757238539,0.2604075337853786,1.169517752647793,0.3209843889601223
2022-04-29,Nolan Foote,home,New Jersey Devils,Detroit Red Wings,L,14.033333333333,1,0,0,0.35,1,0,0,0,0,1,1,0.6,0.23,20212022,0.504066666666656,0.504066666666656,0.504066666666656,0.504066666666656,0.495933333333344,-0.495933333333344,0.0959333333333439,0.274066666666656,0.975,0.0,0.28495833333334,0.3102212499999885,1.5701795833333287,2000-11-29,21.42739726027397,13,0.373690677463821,0.3346387228124015,0.3346387228124015,0.332045801198718,0.3367957126543451,0.3277942161217571,1.1690951338047777,0.393746228750507
2023-01-13,Nolan Foote,away,New Jersey Devils,Anaheim Ducks,L,10.066666666667,0,0,0,0.44,0,0,0,0,0,0,0,1.0,0.08,20222023,0.377133333333344,0.377133333333344,0.377133333333344,0.377133333333344,-0.377133333333344,0.377133333333344,0.622866666666656,0.297133333333344,0.22,0.0,-0.01070833333334,0.8670612500000114,1.0763529166666714,2000-11-29,22.136986301369863,14,0.4575813592965714,0.3709523759039071,0.3709523759039071,0.5388688529141911,0.3646807375734843,0.3481593779244129,1.0835487004687534,0.3951493392837354
2023-01-14,Nolan Foote,away,New Jersey Devils,Los Angeles Kings,L,7.75,0,0,0,0.0,1,0,0,0,2,0,0,0.29,0.49,20222023,0.303,0.303,0.303,0.303,-0.303,0.303,-0.013,-0.187,0.05,-0.02,-0.408125,0.0908312499999999,-0.28729375,2000-11-29,22.13972602739726,15,0.5213726999043771,0.3396235542667695,0.3396235542667695,0.357418373626873,0.3493313226357994,0.3588467840276798,1.0832969988203804,0.3784295734053155
2023-01-16,Nolan Foote,away,New Jersey Devils,San Jose Sharks,L,3.1333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.03,0.09,20222023,0.1552666666666656,0.1552666666666656,0.1552666666666656,0.1552666666666656,-0.1552666666666656,0.1552666666666656,-0.1252666666666656,0.0652666666666656,0.0,0.0,-0.478291666666666,0.6129412499999989,0.1346495833333328,2000-11-29,22.145205479452056,16,0.4456650402063224,0.3301220090279975,0.3301220090279975,0.3526058053770221,0.3464403763335982,0.3694386359473906,1.082795144058038,0.3751239571996593
2023-03-19,Nolan Foote,away,New Jersey Devils,Tampa Bay Lightning,L,9.05,1,0,0,0.05,2,0,0,0,0,1,0,0.69,0.15,20222023,0.3446,0.3446,0.3446,0.3446,0.6554,0.3446,0.3453999999999999,0.1946,0.875,0.0,0.4408749999999999,0.71329125,2.02916625,2000-11-29,22.315068493150687,17,0.4189471988180216,0.4069634970493205,0.4069634970493205,0.4014292916210277,0.3734581578682953,0.3782140161532945,1.068226868392742,0.3989380384553713
2023-03-21,Nolan Foote,home,New Jersey Devils,Minnesota Wild,L,6.2166666666667,0,0,0,0.09,0,0,0,0,0,0,0,0.6,0.42,20222023,0.2539333333333344,0.2539333333333344,0.2539333333333344,0.2539333333333344,-0.2539333333333344,0.2539333333333344,0.3460666666666656,-0.1660666666666655,0.045,0.0,-0.183708333333334,0.1573912500000011,0.018682916666667,2000-11-29,22.32054794520548,18,0.5609210509775862,0.3898029000348089,0.3898029000348089,0.3808407474300991,0.3908663568089779,0.3895396571089766,1.0677877392415396,0.4173623034826355
2023-03-24,Nolan Foote,away,New Jersey Devils,Buffalo Sabres,L,7.0833333333333,0,0,0,0.02,0,0,0,0,0,1,0,0.13,0.09,20222023,0.2816666666666656,0.2816666666666656,0.2816666666666656,0.2816666666666656,0.7183333333333344,0.2816666666666656,-0.1516666666666656,0.1916666666666656,0.01,0.0,0.130208333333334,0.7480312499999988,0.8882395833333329,2000-11-29,22.328767123287676,19,0.5168310911694703,0.4113625601261547,0.4113625601261547,0.4128592813222458,0.4114504704517306,0.4126736212863196,1.0671325319293212,0.4390721822966657
