Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2014-03-11,Oscar Klefbom,away,Edmonton Oilers,Minnesota Wild,D,15.316666666667,0,0,1,0.04,2,0,1,0,0,1,1,0.41,0.79,20132014,0.545133333333344,0.545133333333344,0.545133333333344,0.545133333333344,0.454866666666656,-0.454866666666656,-0.135133333333344,-0.244866666666656,0.67,0.15,-0.239133333333344,-0.5583708333333182,0.0224958333333378,1993-07-20,20.654794520547945,1,0.0,0.0021145895895372,0.0021145895895372,0.0021181225045372,-0.1921031409775127,-0.1817811984401859,1.3295631499285203,-0.1444859095168518
2014-03-13,Oscar Klefbom,away,Edmonton Oilers,St Louis Blues,D,15.016666666667,0,0,0,0.18,1,0,0,0,0,1,2,0.19,0.45,20132014,0.5355333333333441,0.5355333333333441,0.5355333333333441,0.5355333333333441,0.4644666666666559,-1.464466666666656,-0.3455333333333441,0.085533333333344,0.14,0.0,-0.5815333333333441,-0.3651708333333179,-0.806704166666662,1993-07-20,20.660273972602734,2,0.0021234110599729,-0.0680655949981624,-0.0680655949981624,-0.0656330468612704,-0.1900922282781487,-0.1801588696708202,1.3280609855102634,-0.1431351649902675
2014-03-14,Oscar Klefbom,away,Edmonton Oilers,Detroit Red Wings,D,11.766666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.29,0.32,20132014,0.431533333333344,0.431533333333344,0.431533333333344,0.431533333333344,-0.431533333333344,0.431533333333344,-0.141533333333344,0.1115333333333439,0.0,0.0,-0.717533333333344,0.934329166666682,0.2167958333333379,1993-07-20,20.663013698630134,3,-0.067881712956591,-0.0450776920893672,-0.0450776920893672,-0.0451194063343901,-0.1880724790050416,-0.1785214081513473,1.3273123421449051,-0.141694213964078
2014-03-16,Oscar Klefbom,away,Edmonton Oilers,Carolina Hurricanes,D,10.866666666667,0,0,0,0.01,1,0,0,0,0,0,0,0.25,0.78,20132014,0.402733333333344,0.402733333333344,0.402733333333344,0.402733333333344,-0.402733333333344,0.402733333333344,-0.152733333333344,-0.377266666666656,0.055,0.0,-0.752733333333344,-0.1650708333333179,-0.8628041666666619,1993-07-20,20.66849315068493,4,-0.0451653066624621,-0.106848540489161,-0.106848540489161,-0.1059201826914608,-0.1860432872751738,-0.1768663493093307,1.32581991106691,-0.1403231960255157
2014-03-18,Oscar Klefbom,home,Edmonton Oilers,Nashville Predators,D,11.8,0,0,0,0.0,2,0,0,0,0,0,0,0.2,0.39,20132014,0.4326,0.4326,0.4326,0.4326,-0.4326,0.4326,-0.2326,0.0426,0.1,0.0,-0.8626,0.7748625,0.0122624999999999,1993-07-20,20.673972602739727,5,-0.1058027472198991,-0.0983785821692057,-0.0983785821692057,-0.0992006783417632,-0.1840042745241686,-0.1751918246025051,1.3243339250042458,-0.1389409959603494
2014-03-22,Oscar Klefbom,home,Edmonton Oilers,Calgary Flames,D,16.966666666667,0,0,0,0.01,1,0,1,0,0,0,3,0.48,0.84,20132014,0.597933333333344,0.597933333333344,0.597933333333344,0.597933333333344,-0.597933333333344,-2.402066666666656,-0.1179333333333439,-0.242066666666656,0.055,0.15,-0.5799333333333441,-1.7474708333333175,-2.1224041666666618,1993-07-20,20.684931506849317,6,-0.0976223408951058,-0.2345380717546413,-0.2345380717546413,-0.23997924859586,-0.1819552615926706,-0.1734965066800748,1.3213811489915714,-0.1377008153412299
2014-03-25,Oscar Klefbom,home,Edmonton Oilers,San Jose Sharks,D,15.283333333333,0,0,0,0.06,2,0,0,0,0,0,1,1.12,0.73,20132014,0.544066666666656,0.544066666666656,0.544066666666656,0.544066666666656,-0.544066666666656,-0.4559333333333439,0.5759333333333441,-0.1859333333333439,0.13,0.0,0.4979333333333442,-0.4219041666666816,0.2060291666666626,1993-07-20,20.693150684931503,7,-0.2297630332780728,-0.2063767880689127,-0.2063767880689127,-0.1899266577660043,-0.1798962396544939,-0.1717795471456717,1.3191832282108271,-0.1363694108652991
2014-03-28,Oscar Klefbom,home,Edmonton Oilers,Anaheim Ducks,D,16.666666666667,1,0,0,0.11,1,0,0,0,0,1,1,0.35,0.91,20132014,0.588333333333344,0.588333333333344,0.588333333333344,0.588333333333344,0.4116666666666559,-0.4116666666666559,-0.238333333333344,-0.321666666666656,0.8550000000000001,0.0,-0.378333333333344,-0.7722708333333177,-0.2956041666666616,1993-07-20,20.7013698630137,8,-0.2029210026351032,-0.2118174165648652,-0.2118174165648652,-0.2000470896730937,-0.1778273417020796,-0.1700405119349921,1.3169994609878648,-0.1350246123629341
2014-03-30,Oscar Klefbom,home,Edmonton Oilers,New York Rangers,D,14.5,0,0,0,0.0,1,0,0,0,0,0,0,0.1,1.12,20132014,0.519,0.519,0.519,0.519,-0.519,0.519,-0.419,-0.6010000000000001,0.05,0.0,-1.109,-0.7799375,-1.8389375,1993-07-20,20.70684931506849,9,-0.2083275551189086,-0.306792914205324,-0.306792914205324,-0.289852640518315,-0.1757488157387169,-0.1682793179103794,1.3155514232222398,-0.1335932694354488
2014-04-01,Oscar Klefbom,away,Edmonton Oilers,San Jose Sharks,D,17.65,0,1,0,0.0,1,0,0,0,0,2,1,0.54,0.43,20132014,0.6198,0.6198,0.6198,0.6198,1.3802,-0.3802,-0.0797999999999999,0.1898,0.75,0.0,0.2942,0.3769625000000002,1.4211625000000003,1993-07-20,20.71232876712329,10,-0.298528948641248,-0.2099319546924644,-0.2099319546924644,-0.1924690521360154,-0.1736610003716053,-0.1664961730883045,1.3141095922306043,-0.1321510788737402
