Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2018-02-20,Oskar Lindblom,home,Philadelphia Flyers,Montreal Canadiens,L,15.18333333,0,0,0,0.19,0,0,0,0,0,0,0,0.62,0.29,20172018,0.54086666656,0.54086666656,0.54086666656,0.54086666656,-0.54086666656,0.54086666656,0.0791333334399999,0.25086666656,0.095,0.0,-0.3505416666000001,0.6850512498860001,0.429509583286,1996-08-15,21.53150684931507,1,0.0,0.0403735429563788,0.0403735429563788,0.0411757774556541,0.1450587962147448,0.131405584901524,1.153638927848073,0.1673454741401104
2018-02-22,Oskar Lindblom,home,Philadelphia Flyers,Columbus Blue Jackets,L,15.51666667,0,0,0,0.0,0,0,0,0,0,0,0,0.21,0.11,20172018,0.55153333344,0.55153333344,0.55153333344,0.55153333344,-0.55153333344,0.55153333344,-0.34153333344,0.44153333344,0.0,0.0,-0.6134583334000001,1.002451250114,0.3889929167139998,1996-08-15,21.53698630136986,2,0.0405419699728244,0.070622806851303,0.070622806851303,0.0700018229767017,0.1525740526950498,0.140925089456865,1.1528571154499612,0.1758960822825255
2018-02-24,Oskar Lindblom,away,Philadelphia Flyers,Ottawa Senators,L,13.56666667,0,0,0,0.08,1,0,0,0,0,2,1,0.83,0.35,20172018,0.48913333344,0.48913333344,0.48913333344,0.48913333344,1.51086666656,-0.51086666656,0.34086666656,0.13913333344,0.09,0.0,1.0630416665999998,0.0902612501139999,1.2433029167139995,1996-08-15,21.542465753424658,3,0.0707008720825513,0.1652563859444605,0.1652563859444605,0.1761792669620064,0.1600014833046226,0.1503245594265373,1.1520783814270177,0.1843342499115116
2018-02-26,Oskar Lindblom,away,Philadelphia Flyers,Montreal Canadiens,L,16.48333333,0,0,0,0.14,1,0,0,0,0,0,0,0.41,0.64,20172018,0.5824666665600001,0.5824666665600001,0.5824666665600001,0.5824666665600001,-0.5824666665600001,0.5824666665600001,-0.1724666665600001,-0.0575333334399998,0.12,0.0,-0.5077916666000001,0.134511249886,-0.253280416714,1996-08-15,21.54794520547945,4,0.1644354305567899,0.1336402230947564,0.1336402230947564,0.1351838192758983,0.1673311112687062,0.1595913419815295,1.1513027134939788,0.1926487624556244
2018-03-01,Oskar Lindblom,home,Philadelphia Flyers,Carolina Hurricanes,L,15.93333333,0,0,0,0.51,0,0,0,0,0,0,1,0.62,0.31,20172018,0.5648666665600001,0.5648666665600001,0.5648666665600001,0.5648666665600001,-0.5648666665600001,-0.4351333334399999,0.0551333334399999,0.25486666656,0.255,0.0,-0.3655416666000001,0.239201249886,0.1286595832859999,1996-08-15,21.556164383561644,5,0.1334065320105712,0.1332860509591287,0.1332860509591287,0.1338787025607885,0.1745562618736003,0.1687171940718774,1.150144933814396,0.2007650002595004
2018-03-03,Oskar Lindblom,away,Philadelphia Flyers,Tampa Bay Lightning,L,15.61666667,0,0,0,0.1,0,0,0,0,0,1,0,0.62,0.32,20172018,0.5547333334400001,0.5547333334400001,0.5547333334400001,0.5547333334400001,0.4452666665599999,0.5547333334400001,0.0652666665599999,0.23473333344,0.05,0.0,0.2657916665999998,0.648871250114,0.964662916714,1996-08-15,21.56164383561644,6,0.1330765458279215,0.1892141234901035,0.1892141234901035,0.1844067914703162,0.1816731700481396,0.1776977360352096,1.1493768778250393,0.2088109409745081
2018-03-04,Oskar Lindblom,away,Philadelphia Flyers,Florida Panthers,L,16.28333333,0,0,0,0.17,2,0,0,0,0,0,1,0.56,0.99,20172018,0.57606666656,0.57606666656,0.57606666656,0.57606666656,-0.57606666656,-0.4239333334399999,-0.0160666665599999,-0.4139333334399999,0.185,0.0,-0.4100416666,-0.904828750114,-1.129870416714,1996-08-15,21.56438356164384,7,0.1873204993881413,0.1048975636041328,0.1048975636041328,0.1076381684336782,0.1886805472671768,0.1865318580801006,1.1489939844487524,0.2167928137924847
2018-03-07,Oskar Lindblom,home,Philadelphia Flyers,Pittsburgh Penguins,L,13.01666667,0,0,0,0.26,1,1,0,0,0,1,0,0.65,0.18,20172018,0.47153333344,0.47153333344,0.47153333344,0.47153333344,0.52846666656,0.47153333344,0.17846666656,0.29153333344,0.18,-0.15,0.3365416665999999,0.797951250114,1.164492916714,1996-08-15,21.572602739726022,8,0.1065174790899661,0.1695062606532446,0.1695062606532446,0.1697922683949647,0.1955791466879299,0.1952211302094346,1.1478498248282578,0.2244954892658005
2018-03-08,Oskar Lindblom,away,Philadelphia Flyers,Boston Bruins,L,14.53333333,0,0,0,0.16,0,1,0,0,0,0,1,0.42,0.48,20172018,0.52006666656,0.52006666656,0.52006666656,0.52006666656,-0.52006666656,-0.47993333344,-0.10006666656,0.04006666656,0.08,-0.15,-0.4625416666,-0.0976787501139999,-0.630220416714,1996-08-15,21.575342465753423,9,0.167998406404189,0.1228259695471625,0.1228259695471625,0.117698855228422,0.2023713521035731,0.2037692484314568,1.147469940159124,0.232215043288208
2018-03-10,Oskar Lindblom,home,Philadelphia Flyers,Winnipeg Jets,L,15.3,0,0,0,0.12,0,0,0,0,0,1,0,0.68,0.49,20172018,0.5446000000000001,0.5446000000000001,0.5446000000000001,0.5446000000000001,0.4553999999999999,0.5446000000000001,0.1353999999999999,0.0546,0.06,0.0,0.3096249999999999,0.3490412500000001,0.7186662500000001,1996-08-15,21.58082191780822,10,0.1240808145766846,0.1562259408696953,0.1562259408696953,0.1533818790457805,0.2090608057317123,0.2121815361517686,1.146712414735311,0.2397326213671216
2018-03-12,Oskar Lindblom,home,Philadelphia Flyers,Vegas Golden Knights,L,13.35,0,0,0,0.38,0,0,0,0,0,0,0,0.87,0.16,20172018,0.4822,0.4822,0.4822,0.4822,-0.4822,0.4822,0.3878,0.3222,0.19,0.0,-0.157625,0.84335125,0.8757262499999999,1996-08-15,21.58630136986301,11,0.1552009503546015,0.195070272686932,0.195070272686932,0.1918547727475553,0.2156520820031552,0.220464509343647,1.1459578713743015,0.247128200849772
2018-03-15,Oskar Lindblom,home,Philadelphia Flyers,Columbus Blue Jackets,L,15.26666667,0,0,0,0.0,0,0,0,0,0,0,1,0.77,0.49,20172018,0.54353333344,0.54353333344,0.54353333344,0.54353333344,-0.54353333344,-0.45646666656,0.22646666656,0.05353333344,0.0,0.0,-0.2584583334,-0.0895987498859999,-0.3480570832859999,1996-08-15,21.594520547945205,12,0.1911672576327494,0.1667547705345817,0.1667547705345817,0.161483209857332,0.2221504090444983,0.2286255069802647,1.1448316220631438,0.2543248131284039
2018-03-17,Oskar Lindblom,away,Philadelphia Flyers,Carolina Hurricanes,L,12.0,0,1,0,0.04,1,0,0,0,0,1,0,0.65,0.52,20172018,0.439,0.439,0.439,0.439,0.5609999999999999,0.439,0.211,-0.081,0.77,0.0,0.3568749999999999,0.18518125,1.31205625,1996-08-15,21.6,13,0.1653904393568444,0.2245532777428951,0.2245532777428951,0.221075909092634,0.228568427095632,0.2366875709244624,1.1440844826947882,0.2615015906740676
2018-03-18,Oskar Lindblom,home,Philadelphia Flyers,Washington Capitals,L,12.86666667,1,0,0,0.14,0,0,0,0,0,1,0,0.6,0.37,20172018,0.46673333344,0.46673333344,0.46673333344,0.46673333344,0.53326666656,0.46673333344,0.1332666665599999,0.09673333344,0.8200000000000001,0.0,0.3082916665999998,0.469821250114,1.598112916714,1996-08-15,21.6027397260274,14,0.2178952165554593,0.2918015098023326,0.2918015098023326,0.292807923209217,0.2349395999262659,0.2447196839046216,1.143712016720796,0.2687032436392466
2018-03-20,Oskar Lindblom,away,Philadelphia Flyers,Detroit Red Wings,L,15.46666667,0,0,0,0.02,0,0,1,0,0,0,1,0.92,0.81,20172018,0.5499333334400001,0.5499333334400001,0.5499333334400001,0.5499333334400001,-0.5499333334400001,-0.4500666665599999,0.37006666656,-0.26006666656,0.01,0.15,-0.1687083334,-0.626758749886,-0.6354670832860001,1996-08-15,21.60821917808219,15,0.2784373884396614,0.2476687284316987,0.2476687284316987,0.2513268540657254,0.2412871282641569,0.2527702988095435,1.1429692849988786,0.2757837764715162
2018-03-22,Oskar Lindblom,home,Philadelphia Flyers,New York Rangers,L,13.55,1,0,0,0.49,2,0,0,0,0,1,0,0.97,0.37,20172018,0.4886,0.4886,0.4886,0.4886,0.5114,0.4886,0.4813999999999999,0.1186,1.095,0.0,0.525875,0.49319125,2.11406625,1996-08-15,21.613698630136987,16,0.2398935323356165,0.3341853744426799,0.3341853744426799,0.3377791775056349,0.2476203374394231,0.260858600272411,1.1422294773672057,0.2828392486189234
2018-03-25,Oskar Lindblom,away,Philadelphia Flyers,Pittsburgh Penguins,L,15.6,0,0,1,0.38,0,0,0,0,0,0,0,0.63,0.43,20172018,0.5542,0.5542,0.5542,0.5542,-0.5542,0.5542,0.0757999999999999,0.1242,0.74,0.0,-0.352625,0.46130125,0.84867625,1996-08-15,21.621917808219177,17,0.31601618155119,0.357453894177399,0.357453894177399,0.3475092884290414,0.2539390135617768,0.2689831228499755,1.1411252236779157,0.2897762136512318
2018-03-27,Oskar Lindblom,away,Philadelphia Flyers,Dallas Stars,L,18.48333333,0,0,0,0.1,2,0,0,0,0,1,0,0.56,0.75,20172018,0.6464666665600001,0.6464666665600001,0.6464666665600001,0.6464666665600001,0.3535333334399999,0.6464666665600001,-0.08646666656,-0.1035333334399999,0.15,0.0,0.1709583333999998,0.015911249886,0.3368695832859999,1996-08-15,21.627397260273973,18,0.3369213154239482,0.3565441421015146,0.3565441421015146,0.3446844704581441,0.2602368192744669,0.2771286895431361,1.140392676556514,0.2967721628709632
2018-03-28,Oskar Lindblom,away,Philadelphia Flyers,Colorado Avalanche,L,12.56666667,0,0,0,0.29,0,0,0,0,0,0,1,1.07,0.81,20172018,0.45713333344,0.45713333344,0.45713333344,0.45713333344,-0.45713333344,-0.5428666665599999,0.61286666656,-0.35286666656,0.145,0.0,-0.0169583334,-0.725938749886,-0.5978970832860001,1996-08-15,21.63013698630137,19,0.3369193545953482,0.3152602055735161,0.3152602055735161,0.3174657643553882,0.2665039757128437,0.2852719949028239,1.140027485378401,0.3038218572752597
