,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-11-17,Patrick Russell,away,Edmonton Oilers,Calgary Flames,R,8.6166666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.07,0.19,20182019,0.3307333333333344,0.3307333333333344,0.3307333333333344,0.3307333333333344,-0.3307333333333344,0.3307333333333344,-0.26073333333333437,0.14073333333333438,0.05,0.0,-0.562958333333334,0.6304712500000011,0.11751291666666719,1993-01-04,25.884931506849316,1,0.0,0.011046116253503631,0.011046116253503631,0.012329679201539417,0.09214207057908236,0.09555055634064416,1,0.09214207057908236
1,2018-11-18,Patrick Russell,home,Edmonton Oilers,Vegas Golden Knights,R,12.566666666667,0,0,0,0.65,1,0,0,0,0,0,0,0.94,0.27,20182019,0.457133333333344,0.457133333333344,0.457133333333344,0.457133333333344,-0.457133333333344,0.457133333333344,0.48286666666665595,0.18713333333334398,0.375,0.0,-0.09820833333334006,0.6295612500000114,0.9063529166666713,1993-01-04,25.887671232876713,2,0.011092197530192636,0.08873075948118385,0.08873075948118385,0.09926573173109839,0.1000874119327303,0.10554942719141086,1,0.1000874119327303
2,2018-11-27,Patrick Russell,home,Edmonton Oilers,Dallas Stars,R,6.2166666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.09,0.05,20182019,0.2539333333333344,0.2539333333333344,0.2539333333333344,0.2539333333333344,-0.2539333333333344,0.2539333333333344,-0.1639333333333344,0.2039333333333344,0.0,0.0,-0.502458333333334,0.7863912500000011,0.2839329166666671,1993-01-04,25.912328767123288,3,0.08844324678492223,0.1044832896262805,0.1044832896262805,0.1176367056535226,0.10604980991894847,0.11359460426249365,1,0.10604980991894847
3,2018-11-29,Patrick Russell,home,Edmonton Oilers,Los Angeles Kings,R,7.6833333333333,0,0,0,0.13,0,0,0,0,0,0,0,0.39,0.06,20182019,0.3008666666666656,0.3008666666666656,0.3008666666666656,0.3008666666666656,-0.3008666666666656,0.3008666666666656,0.0891333333333344,0.24086666666666562,0.065,0.0,-0.344291666666666,0.8195512499999988,0.5402595833333328,1993-01-04,25.91780821917808,4,0.10423798398163198,0.1374017192132853,0.1374017192132853,0.15717117240746728,0.11035935483623996,0.12002324806304077,1,0.11035935483623996
4,2018-12-03,Patrick Russell,away,Edmonton Oilers,Dallas Stars,R,10.6,0,0,0,0.0,0,0,0,0,0,0,0,0.3,0.25,20182019,0.3942,0.3942,0.3942,0.3942,-0.3942,0.3942,-0.0942,0.1442,0.0,0.0,-0.45887500000000003,0.59630125,0.13742624999999997,1993-01-04,25.92876712328767,5,0.13694843778041707,0.13740346359180955,0.13740346359180955,0.15335834516081498,0.1137250394448079,0.1253663718295249,1,0.1137250394448079
5,2018-12-05,Patrick Russell,away,Edmonton Oilers,St Louis Blues,R,7.05,0,0,0,0.03,0,1,0,0,0,0,0,0.53,0.15,20182019,0.2806,0.2806,0.2806,0.2806,-0.2806,0.2806,0.2494,0.13060000000000002,0.015,-0.15,-0.244125,0.64489125,0.26576625,1993-01-04,25.934246575342467,6,0.13698201946523442,0.14603863678970322,0.14603863678970322,0.1694629631193705,0.11581842759762966,0.12937128963419084,1,0.11581842759762966
6,2019-10-05,Patrick Russell,home,Edmonton Oilers,Los Angeles Kings,R,10.433333333333,0,0,0,0.05,2,0,0,0,0,0,1,0.11,0.3,20192020,0.388866666666656,0.388866666666656,0.388866666666656,0.388866666666656,-0.388866666666656,-0.611133333333344,-0.278866666666656,0.08886666666665599,0.125,0.0,-0.57429166666666,0.06810124999998857,-0.3811904166666714,1993-01-04,26.767123287671232,7,0.1454690999719515,0.11233788546977672,0.11233788546977672,0.12169186369548575,0.11578770970721261,0.1321290095308442,1,0.11578770970721261
7,2019-10-08,Patrick Russell,away,Edmonton Oilers,New York Islanders,R,13.4,0,0,0,0.03,1,0,0,0,0,0,0,0.12,0.23,20192020,0.4838,0.4838,0.4838,0.4838,-0.4838,0.4838,-0.3638,0.2538,0.065,0.0,-0.627375,0.72606125,0.16368624999999992,1993-01-04,26.775342465753425,8,0.08999775864111817,0.11546884571621766,0.11546884571621766,0.12897082020899925,0.1124411857321248,0.1335683902478892,1,0.1124411857321248
8,2019-10-10,Patrick Russell,away,Edmonton Oilers,New Jersey Devils,R,12.483333333333,0,0,0,0.0,1,0,1,0,0,0,0,0.34,0.28,20192020,0.454466666666656,0.454466666666656,0.454466666666656,0.454466666666656,-0.454466666666656,0.454466666666656,-0.114466666666656,0.174466666666656,0.05,0.15,-0.47154166666666003,0.6097112499999886,0.3381695833333286,1993-01-04,26.78082191780822,9,0.09705600441393346,0.12846795598190172,0.12846795598190172,0.16604862657697333,0.10786267505745957,0.1338479813049219,1,0.10786267505745957
9,2019-10-16,Patrick Russell,home,Edmonton Oilers,Philadelphia Flyers,R,13.8,0,0,0,0.3,1,1,0,0,0,0,1,0.37,1.16,20192020,0.49660000000000004,0.49660000000000004,0.49660000000000004,0.49660000000000004,-0.49660000000000004,-0.5034,-0.12660000000000005,-0.6633999999999999,0.2,-0.15,-0.479125,-1.2787587500000002,-1.7078837500000001,1993-01-04,26.797260273972604,10,0.11820579433032509,0.025530816063690773,0.025530816063690773,0.02792693547058322,0.10312458677927246,0.13231151861276952,1,0.10312458677927246
