Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2011-03-22,Patrick Wiercioch,away,Ottawa Senators,Carolina Hurricanes,D,9.3833333333333,0,0,0,0.01,0,0,0,0,0,1,3,0.43,0.49,20102011,0.3552666666666656,0.3552666666666656,0.3552666666666656,0.3552666666666656,0.6447333333333344,-2.6447333333333343,0.0747333333333343,-0.1347333333333343,0.005,0.0,-0.0172666666666656,-1.291304166666668,-1.3035708333333338,1990-09-12,20.53698630136986,1,0.0,-0.1225345721825746,-0.1225345721825746,-0.1236854310191205,0.0630886292621549,0.0951658329687975,1.3635011823076446,0.0860214205891169
2011-03-24,Patrick Wiercioch,away,Ottawa Senators,New York Rangers,D,12.65,0,0,0,0.06,0,0,0,0,0,1,0,0.3,0.26,20102011,0.4598,0.4598,0.4598,0.4598,0.5402,0.4598,-0.1598,0.1997999999999999,0.03,0.0,-0.3298,1.1129625,0.8131625,1990-09-12,20.542465753424658,2,-0.1230457518040025,-0.04134531595427,-0.04134531595427,-0.0385461350387619,0.0789289222429732,0.1098789501572096,1.3618502794501002,0.1074893748132884
2011-03-25,Patrick Wiercioch,home,Ottawa Senators,Washington Capitals,D,13.116666666667,0,0,0,0.0,1,0,1,0,0,1,0,0.25,0.41,20102011,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,0.525266666666656,0.474733333333344,-0.224733333333344,0.064733333333344,0.05,0.15,-0.424733333333344,0.7894291666666822,0.5646958333333381,1990-09-12,20.54520547945205,3,-0.0420156576557778,0.0075613232497768,0.0075613232497768,0.0073217664834411,0.0946095526056885,0.1244172510596942,1.3610275765910245,0.1287662101052813
2011-03-27,Patrick Wiercioch,away,Ottawa Senators,Atlanta Thrashers,D,10.75,0,0,1,0.01,0,2,0,0,0,2,1,0.86,0.6,20102011,0.399,0.399,0.399,0.399,1.601,-0.601,0.4609999999999999,-0.2009999999999999,0.555,-0.3,1.0269999999999997,-0.3314374999999996,0.9505625000000002,1990-09-12,20.55068493150685,4,0.0063980824239858,0.0787953905581346,0.0787953905581346,0.0799698328362243,0.1100929019692579,0.1387539870362523,1.3593876420464552,0.149658930414041
2011-03-29,Patrick Wiercioch,away,Ottawa Senators,Tampa Bay Lightning,D,14.9,0,0,0,0.04,0,0,0,0,0,0,2,0.41,0.78,20102011,0.5318,0.5318,0.5318,0.5318,-0.5318,-1.4682,-0.1218,-0.2481999999999999,0.02,0.0,-0.6258000000000001,-1.1295375,-1.7353375,1990-09-12,20.556164383561644,5,0.0764188661070394,-0.050207176347371,-0.050207176347371,-0.0478222616600299,0.1253540032657575,0.1528728616537886,1.3577549680138843,0.170200020694511
2011-03-31,Patrick Wiercioch,away,Ottawa Senators,Florida Panthers,D,18.416666666667,0,0,0,0.04,0,0,0,0,0,3,1,0.53,0.87,20102011,0.644333333333344,0.644333333333344,0.644333333333344,0.644333333333344,2.355666666666656,-0.355666666666656,-0.1143333333333439,-0.225666666666656,0.02,0.0,0.653666666666656,-0.5997708333333178,0.0738958333333381,1990-09-12,20.56164383561644,6,-0.0491125970904427,-0.0418585652509667,-0.0418585652509667,-0.0407727669136369,0.1403787734902431,0.1667664379791589,1.3561295135094464,0.1903717978003762
2011-04-02,Patrick Wiercioch,home,Ottawa Senators,Toronto Maple Leafs,D,16.983333333333,0,0,1,0.06,0,0,0,0,0,0,1,0.82,0.19,20102011,0.598466666666656,0.598466666666656,0.598466666666656,0.598466666666656,-0.598466666666656,-0.4015333333333439,0.2215333333333439,0.408466666666656,0.5800000000000001,0.0,-0.0364666666666561,0.8982958333333182,1.441829166666662,1990-09-12,20.567123287671237,7,-0.0411134540694947,0.0529795150141208,0.0529795150141208,0.053196227812207,0.1551620468374381,0.1804344142516524,1.3545112378660653,0.2101687361316106
2011-04-05,Patrick Wiercioch,home,Ottawa Senators,Philadelphia Flyers,D,15.016666666667,0,0,0,0.02,1,0,0,0,0,0,0,0.68,0.19,20102011,0.5355333333333441,0.5355333333333441,0.5355333333333441,0.5355333333333441,-0.5355333333333441,0.5355333333333441,0.1444666666666559,0.3455333333333441,0.06,0.0,-0.197533333333344,1.382829166666682,1.2452958333333382,1990-09-12,20.575342465753423,8,0.0497580589131658,0.1256808566828127,0.1256808566828127,0.1212643468518197,0.1697056538875205,0.1938819691530771,1.3520971965771242,0.2294585388646043
2013-01-19,Patrick Wiercioch,away,Ottawa Senators,Winnipeg Jets,D,12.116666666667,0,1,0,0.11,2,1,0,0,0,1,0,0.58,0.4,20122013,0.4427333333333439,0.4427333333333439,0.4427333333333439,0.4427333333333439,0.557266666666656,0.4427333333333439,0.137266666666656,0.0427333333333439,0.855,-0.15,0.135266666666656,0.766429166666682,1.606695833333338,1990-09-12,22.36986301369863,9,0.1191613854117274,0.2121281544897441,0.2121281544897441,0.4482285352790547,0.1840166866623368,0.2071182871069269,1.063918614191938,0.1957787782619855
2013-01-21,Patrick Wiercioch,home,Ottawa Senators,Florida Panthers,D,12.8,0,1,0,0.06,0,0,0,0,0,0,0,0.23,0.15,20122013,0.4646,0.4646,0.4646,0.4646,-0.4646,0.4646,-0.2346,0.3146,0.73,0.0,-0.8466,1.3728625,1.2562625,1990-09-12,22.375342465753423,10,0.3698079923700837,0.2706573582730296,0.2706573582730296,0.2870764157565436,0.1981060132240023,0.2201553100367461,1.0634978351084852,0.2106853161856994
