Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2009-01-30,Peter Olvecky,away,Minnesota Wild,Edmonton Oilers,L,9.933333333,0,0,0,0.06,0,0,0,3,2,0,0,0.12,0.35,20082009,0.372866666656,0.372866666656,0.372866666656,0.372866666656,-0.372866666656,0.372866666656,-0.252866666656,0.022866666656,0.03,0.01,-0.55804166666,0.4035012499886,-0.1145404166713999,1985-10-11,23.32054794520548,1,0.0,-0.0107667037306709,-0.0107667037306709,-0.0114700136424478,-0.010465409350973,-0.0111382522286006,1.014076234033635,-0.010320140636119
2009-01-31,Peter Olvecky,away,Minnesota Wild,Vancouver Canucks,L,6.7,0,0,0,0.19,1,0,0,1,1,1,0,0.48,0.27,20082009,0.2694,0.2694,0.2694,0.2694,0.7305999999999999,0.2694,0.2105999999999999,-0.0005999999999999,0.145,0.0,0.3566249999999998,0.42892125,0.93054625,1985-10-11,23.32328767123288,2,-0.0108116193772434,0.0709098354650717,0.0709098354650717,0.0748850256615179,0.0072288554128149,0.0075759446599176,1.013990666552133,0.0073299919184492
2009-02-04,Peter Olvecky,home,Minnesota Wild,Anaheim Ducks,L,7.15,0,0,0,0.04,0,0,0,2,4,0,0,0.04,0.51,20082009,0.2838,0.2838,0.2838,0.2838,-0.2838,0.2838,-0.2438,-0.2262,0.02,-0.02,-0.5523750000000001,0.03631125,-0.51606375,1985-10-11,23.334246575342465,3,0.0705222505939086,0.0235419209259507,0.0235419209259507,0.0245263799695998,0.0232841650369958,0.0246132850063507,1.013651291524554,0.0236020239618217
2009-02-06,Peter Olvecky,home,Minnesota Wild,Nashville Predators,L,5.383333333,0,0,0,0.04,0,0,0,1,2,0,0,0.08,0.11,20082009,0.227266666656,0.227266666656,0.227266666656,0.227266666656,-0.227266666656,0.227266666656,-0.147266666656,0.117266666656,0.02,-0.01,-0.49204166666,0.6558912499886,0.1738495833286,1985-10-11,23.339726027397266,4,0.0235426539889987,0.0348961232371831,0.0348961232371831,0.0370774383656272,0.0369557510489254,0.0391272275194878,1.0134833366628708,0.0374540378819473
2009-02-08,Peter Olvecky,home,Minnesota Wild,Edmonton Oilers,L,5.716666667,0,0,0,0.0,1,0,0,0,4,0,0,0.15,0.05,20082009,0.237933333344,0.237933333344,0.237933333344,0.237933333344,-0.237933333344,0.237933333344,-0.087933333344,0.1879333333439999,0.05,-0.04,-0.45495833334,0.7692912500114,0.3243329166713999,1985-10-11,23.34520547945205,5,0.034727533538345,0.0554779061397715,0.0554779061397715,0.0586109365340916,0.0482854242123309,0.0442725655463164,1.0133165336522585,0.0489284186887679
2009-02-11,Peter Olvecky,home,Minnesota Wild,Colorado Avalanche,L,7.75,0,0,0,0.0,1,0,0,1,1,0,0,0.02,0.19,20082009,0.303,0.303,0.303,0.303,-0.303,0.303,-0.283,0.1129999999999999,0.05,0.0,-0.576875,0.6008312499999999,0.0739562499999999,1985-10-11,23.353424657534248,6,0.0548569032735665,0.0567209743537622,0.0567209743537622,0.0603695492812936,0.0553542239323537,0.0426276887603082,1.0130684835563992,0.0560776196975909
2009-02-12,Peter Olvecky,away,Minnesota Wild,Detroit Red Wings,L,9.666666667,0,0,0,0.16,0,0,0,1,8,0,1,0.23,0.27,20082009,0.364333333344,0.364333333344,0.364333333344,0.364333333344,-0.364333333344,-0.635666666656,-0.1343333333439999,0.0943333333439999,0.08,-0.07,-0.48395833334,0.0928812500113999,-0.3810770833286001,1985-10-11,23.356164383561644,7,0.0561048135106425,0.028736698120167,0.028736698120167,0.0292702542771302,0.0559660651225888,0.0450112553403483,1.0129863734967874,0.0566928613474163
2009-02-14,Peter Olvecky,home,Minnesota Wild,Ottawa Senators,L,4.25,0,0,0,0.04,0,0,0,2,2,0,0,0.55,0.06,20082009,0.191,0.191,0.191,0.191,-0.191,0.191,0.359,0.131,0.02,0.0,-0.175625,0.70213125,0.54650625,1985-10-11,23.36164383561644,8,0.0292440938836682,0.0603076332139055,0.0603076332139055,0.0634492851657426,0.0738323960720201,0.0718916620221827,1.0128230115343968,0.0747791497384638
2009-02-19,Peter Olvecky,home,Minnesota Wild,Calgary Flames,L,8.883333333,0,1,0,0.09,0,0,0,2,2,1,0,0.35,0.05,20082009,0.3392666666559999,0.3392666666559999,0.3392666666559999,0.3392666666559999,0.660733333344,0.3392666666559999,0.010733333344,0.289266666656,0.745,0.0,0.2317083333399999,0.8775912499885999,1.8542995833286,1985-10-11,23.375342465753423,9,0.0592932379875765,0.1650234928236075,0.1650234928236075,0.1662902230865947,0.1106906034162365,0.1178600810776497,1.0124195986137443,0.1120653362809793
2009-02-21,Peter Olvecky,home,Minnesota Wild,Detroit Red Wings,L,9.016666667,0,0,0,0.01,0,0,0,1,2,0,1,0.03,0.13,20082009,0.343533333344,0.343533333344,0.343533333344,0.343533333344,-0.343533333344,-0.656466666656,-0.313533333344,0.213533333344,0.005,-0.01,-0.59595833334,0.3086512500114,-0.2923070833286,1985-10-11,23.38082191780822,10,0.1587374466551888,0.1393877165434401,0.1393877165434401,0.1401763612427892,0.1607032818493719,0.1671681928635093,1.012260224005219,0.162673540083219
2009-02-22,Peter Olvecky,away,Minnesota Wild,Chicago Blackhawks,L,9.116666667,1,0,0,0.19,0,0,0,0,2,1,0,0.29,0.21,20082009,0.346733333344,0.346733333344,0.346733333344,0.346733333344,0.653266666656,0.346733333344,-0.056733333344,0.136733333344,0.845,-0.02,0.1895416666599999,0.6135712500114,1.6281129166714,1985-10-11,23.383561643835616,11,0.1349752700516909,0.2197609073880039,0.2197609073880039,0.217451591163623,0.1934608835815289,0.198298475377217,1.0121809620683817,0.1958174232661511
2009-02-24,Peter Olvecky,home,Minnesota Wild,Los Angeles Kings,L,8.633333333,0,0,0,0.0,1,1,0,1,5,0,0,0.1,0.13,20082009,0.3312666666559999,0.3312666666559999,0.3312666666559999,0.3312666666559999,-0.3312666666559999,0.3312666666559999,-0.2312666666559999,0.2012666666559999,0.05,-0.19,-0.54454166666,0.7330412499885999,0.0484995833285998,1985-10-11,23.389041095890413,12,0.2098364344068545,0.2108323378054029,0.2108323378054029,0.2147833982354932,0.1929846407244562,0.2054399308895577,1.0120232874612396,0.1953049505354903
2009-02-27,Peter Olvecky,away,Minnesota Wild,Calgary Flames,L,9.55,0,0,0,0.0,2,1,0,3,4,0,0,0.03,0.32,20082009,0.3606,0.3606,0.3606,0.3606,-0.3606,0.3606,-0.3306,0.0406,0.1,-0.16,-0.606625,0.44139125,-0.22523375,1985-10-11,23.3972602739726,13,0.2021056619837675,0.1888259321810202,0.1888259321810202,0.1883166932393362,0.1808023763684767,0.1967778611305736,1.0117888943307547,0.182933836478234
2009-02-28,Peter Olvecky,away,Minnesota Wild,Edmonton Oilers,L,8.95,0,0,1,0.03,0,1,0,1,6,0,1,0.15,0.49,20082009,0.3414,0.3414,0.3414,0.3414,-0.3414,-0.6586000000000001,-0.1914,-0.1486,0.5650000000000001,-0.2,-0.519625,-0.30562875,-0.4602537499999999,1985-10-11,23.4,14,0.1824581299480319,0.1570475806235504,0.1570475806235504,0.162211850145317,0.1681176649494117,0.1812466833449867,1.0117113271301394,0.1700865459199894
2009-03-03,Peter Olvecky,away,Minnesota Wild,Vancouver Canucks,L,11.15,0,0,0,0.06,0,0,0,5,1,1,0,0.25,0.37,20082009,0.4118,0.4118,0.4118,0.4118,0.5882000000000001,0.4118,-0.1618,0.0418,0.03,0.04,0.123875,0.41111125,0.6049862500000001,1985-10-11,23.40821917808219,15,0.1541558185372832,0.1783669475366497,0.1783669475366497,0.1811905606853262,0.1730716935571556,0.1707014948675819,1.0114803129985737,0.175058610770385
2009-03-05,Peter Olvecky,away,Minnesota Wild,San Jose Sharks,L,12.06666667,0,0,0,0.06,2,0,0,1,3,0,0,0.38,0.3,20082009,0.44113333344,0.44113333344,0.44113333344,0.44113333344,-0.44113333344,0.44113333344,-0.0611333334399999,0.14113333344,0.13,-0.02,-0.4382083334,0.561461250114,0.233252916714,1985-10-11,23.413698630136988,16,0.1732756863225326,0.1809111804299168,0.1809111804299168,0.173859899832823,0.1810394457615167,0.1660519448406827,1.0113277069180653,0.1830902075437121
2009-03-07,Peter Olvecky,away,Minnesota Wild,Los Angeles Kings,L,8.916666667,0,0,0,0.03,0,0,0,1,2,0,1,0.14,0.36,20082009,0.3403333333439999,0.3403333333439999,0.3403333333439999,0.3403333333439999,-0.3403333333439999,-0.659666666656,-0.2003333333439999,-0.019666666656,0.015,-0.01,-0.5252083333399999,-0.0857687499886,-0.6059770833286,1985-10-11,23.41917808219178,17,0.1757248033999838,0.1453231341415353,0.1453231341415353,0.1468698419083079,0.1821839606991058,0.1660818195089353,1.0111762208292054,0.1842200888754183
2009-03-08,Peter Olvecky,away,Minnesota Wild,Anaheim Ducks,L,5.566666667,0,0,0,0.0,0,0,0,1,0,0,0,0.0,0.0,20082009,0.233133333344,0.233133333344,0.233133333344,0.233133333344,-0.233133333344,0.233133333344,-0.233133333344,0.233133333344,0.0,0.01,-0.54570833334,0.8491612500114,0.3134529166713999,1985-10-11,23.421917808219177,18,0.144944324033244,0.1527538623054035,0.1527538623054035,0.1539059672021608,0.1822107679610583,0.1737440359164554,1.0111008970666795,0.1842334709406347
2009-03-10,Peter Olvecky,home,Minnesota Wild,San Jose Sharks,L,9.766666667,1,0,0,0.07,0,0,0,2,4,1,0,0.16,0.09,20082009,0.367533333344,0.367533333344,0.367533333344,0.367533333344,0.6324666666559999,0.367533333344,-0.207533333344,0.277533333344,0.785,-0.02,0.0952916666599999,0.8398012500113999,1.7000929166713998,1985-10-11,23.42739726027397,19,0.1513399187242427,0.2196833343447141,0.2196833343447141,0.2103458548351135,0.1834098309985874,0.1868456655788488,1.0109510866808769,0.1854183679559779
2009-03-12,Peter Olvecky,away,Minnesota Wild,Colorado Avalanche,L,6.983333333,0,0,0,0.02,0,1,1,1,3,0,0,0.09,0.45,20082009,0.278466666656,0.278466666656,0.278466666656,0.278466666656,-0.278466666656,0.278466666656,-0.188466666656,-0.171533333344,0.01,-0.02,-0.51779166666,0.1326112499885998,-0.3951804166714001,1985-10-11,23.432876712328767,20,0.2081806833242943,0.1936182289715808,0.1936182289715808,0.1997212491519672,0.1890470894423155,0.1976360677265537,1.0108023905885826,0.191089249942106
2009-03-14,Peter Olvecky,away,Minnesota Wild,Dallas Stars,L,8.966666667,0,0,0,0.13,2,0,0,1,1,0,0,0.06,0.12,20082009,0.341933333344,0.341933333344,0.341933333344,0.341933333344,-0.341933333344,0.341933333344,-0.281933333344,0.221933333344,0.165,0.0,-0.57620833334,0.7614412500114,0.3502329166714,1985-10-11,23.438356164383563,21,0.1867418817584801,0.200133360100492,0.200133360100492,0.2044102102791371,0.1981333764646753,0.2053837545264769,1.0106548065276844,0.2002444492575833
2009-03-15,Peter Olvecky,away,Minnesota Wild,St Louis Blues,L,6.983333333,0,0,0,0.07,0,0,0,0,3,0,0,0.09,0.11,20082009,0.278466666656,0.278466666656,0.278466666656,0.278466666656,-0.278466666656,0.278466666656,-0.188466666656,0.168466666656,0.035,-0.03,-0.51779166666,0.7106112499886,0.1978195833286,1985-10-11,23.44109589041096,22,0.1923724763876141,0.200038791926938,0.200038791926938,0.2034373520050786,0.2034820287119114,0.2066525164175477,1.0105814308047816,0.2056351597187431
2009-03-17,Peter Olvecky,home,Minnesota Wild,Colorado Avalanche,L,10.71666667,0,0,0,0.0,1,0,0,5,5,1,1,0.16,0.39,20082009,0.39793333344,0.39793333344,0.39793333344,0.39793333344,0.60206666656,-0.60206666656,-0.23793333344,0.00793333344,0.05,0.0,0.0762916665999998,-0.075208749886,0.0510829167139998,1985-10-11,23.446575342465756,23,0.1925541627227103,0.1940505220835349,0.1940505220835349,0.1989104217384143,0.2000924625696612,0.1939293602547708,1.0104355105709144,0.2021805295779672
2009-03-20,Peter Olvecky,away,Minnesota Wild,New Jersey Devils,L,12.68333333,0,0,0,0.07,2,0,0,1,5,0,1,0.11,0.36,20082009,0.46086666656,0.46086666656,0.46086666656,0.46086666656,-0.46086666656,-0.5391333334399999,-0.35086666656,0.10086666656,0.135,-0.04,-0.6192916666000001,0.043051249886,-0.4812404167140001,1985-10-11,23.454794520547942,24,0.187970852110515,0.1673198774077611,0.1673198774077611,0.1613986335987662,0.1852416679101093,0.1753641666917715,1.0102187040586628,0.1871345976938158
