,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2008-10-22,Pierre-Luc Letourneau-Leblond,home,New Jersey Devils,Dallas Stars,R,8.683333333,0,1,0,0.0,1,0,0,0,0,1,0,0.05,0.12,20082009,0.332866666656,0.332866666656,0.332866666656,0.332866666656,0.6671333333439999,0.332866666656,-0.282866666656,0.21286666665600001,0.75,0.0,0.048208333339999965,0.7517512499886,1.5499595833286,1985-06-04,23.4,1,0.0,0.1456949093880859,0.1456949093880859,0.17631931428213996,0.14375669975721245,0.1763155793153077,1.0117113271301394,0.1454402814952184
1,2008-10-24,Pierre-Luc Letourneau-Leblond,home,New Jersey Devils,Philadelphia Flyers,R,3.333333333,0,0,0,0.0,0,2,1,0,0,0,0,0.01,0.0,20082009,0.16166666665600002,0.16166666665600002,0.16166666665600002,0.16166666665600002,-0.16166666665600002,0.16166666665600002,-0.151666666656,0.16166666665600002,0.0,-0.15,-0.49479166666,0.7727812499886,0.1279895833286,1985-06-04,23.405479452054795,2,0.14630270739397438,0.14415864054982155,0.14415864054982155,0.1866752311734448,0.15413063197059093,0.18655832267753386,1.011557036752992,0.15591192534903694
2,2008-10-25,Pierre-Luc Letourneau-Leblond,away,New Jersey Devils,Philadelphia Flyers,R,2.183333333,0,0,0,0.0,0,1,2,0,0,0,0,0.01,0.0,20082009,0.12486666665600002,0.12486666665600002,0.12486666665600002,0.12486666665600002,-0.12486666665600002,0.12486666665600002,-0.11486666665600002,0.12486666665600002,0.0,0.15,-0.47179166666000005,0.7334512499886,0.4116595833286,1985-06-04,23.40821917808219,3,0.1447176816645963,0.16574557752695993,0.16574557752695993,0.21111481156489062,0.16511462255460144,0.19585707078449077,1.0114803129985737,0.1670101901021696
3,2008-12-04,Pierre-Luc Letourneau-Leblond,away,New Jersey Devils,Philadelphia Flyers,R,4.883333333,0,0,0,0.0,0,0,0,0,0,0,0,0.03,0.0,20082009,0.211266666656,0.211266666656,0.211266666656,0.211266666656,-0.211266666656,0.211266666656,-0.181266666656,0.211266666656,0.0,0.0,-0.51329166666,0.8257912499886,0.31249958332859995,1985-06-04,23.517808219178082,4,0.16601883721464133,0.17683133752894784,0.17683133752894784,0.2062291220864599,0.17658926108328174,0.20449380116114485,1.0086384301062705,0.17811471507266763
4,2008-12-06,Pierre-Luc Letourneau-Leblond,away,New Jersey Devils,Montreal Canadiens,R,4.55,0,0,0,0.07,0,0,0,0,0,0,0,0.11,0.05,20082009,0.2006,0.2006,0.2006,0.2006,-0.2006,0.2006,-0.0906,0.1506,0.035,0.0,-0.45662500000000006,0.7293912499999999,0.3077662499999999,1985-06-04,23.523287671232875,5,0.1776344268351705,0.18614208862894954,0.18614208862894954,0.20559060399502624,0.19028715080323566,0.21598992326862476,1.0085078004210364,0.19190607590495723
5,2008-12-10,Pierre-Luc Letourneau-Leblond,home,New Jersey Devils,Pittsburgh Penguins,R,5.333333333,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0.04,20082009,0.225666666656,0.225666666656,0.225666666656,0.225666666656,-0.225666666656,0.225666666656,-0.195666666656,0.18566666665599998,0.015,0.0,-0.52229166666,0.7731812499885999,0.2658895833285999,1985-06-04,23.534246575342465,6,0.18722928835211428,0.1915068321663775,0.1915068321663775,0.21322251221406707,0.20634479947167397,0.23034394443693815,1.008249767197447,0.2080470960297192
6,2009-04-09,Pierre-Luc Letourneau-Leblond,away,New Jersey Devils,Ottawa Senators,R,4.9,0,0,0,0.0,0,1,1,0,0,1,0,0.22,0.07,20082009,0.21180000000000002,0.21180000000000002,0.21180000000000002,0.21180000000000002,0.7882,0.21180000000000002,0.008199999999999985,0.1418,0.0,0.0,0.23012500000000002,0.7073612499999999,0.93748625,1985-06-04,23.863013698630137,7,0.19266932659144673,0.23919021889437136,0.23919021889437136,0.23831550745234228,0.2184915073311761,0.2464278628045993,1.002432119356659,0.21902290475542185
7,2009-04-11,Pierre-Luc Letourneau-Leblond,home,New Jersey Devils,Carolina Hurricanes,R,4.866666667,0,0,0,0.07,0,1,0,0,0,1,0,0.39,0.13,20082009,0.210733333344,0.210733333344,0.210733333344,0.210733333344,0.789266666656,0.210733333344,0.17926666665600002,0.08073333334399999,0.035,-0.15,0.33704166666,0.6042212500113999,0.8262629166714,1985-06-04,23.86849315068493,8,0.25225587692334206,0.27498690483222293,0.27498690483222293,0.26340200349350906,0.22311772050146952,0.2650503687761072,1.0023655196449266,0.223645509852447
8,2009-10-10,Pierre-Luc Letourneau-Leblond,away,New Jersey Devils,Florida Panthers,R,5.7,0,0,0,0.0,0,0,0,0,1,0,1,0.2,0.16,20092010,0.2374,0.2374,0.2374,0.2374,-0.2374,-0.7626,-0.03739999999999999,0.0774,0.0,-0.01,-0.423375,0.14422124999999997,-0.28915375000000004,1985-06-04,24.367123287671234,9,0.2949262325916286,0.24205784201911518,0.24205784201911518,0.31628469210384663,0.22514955206927048,0.276514489620006,1.0,0.22514955206927048
9,2009-10-17,Pierre-Luc Letourneau-Leblond,home,New Jersey Devils,Carolina Hurricanes,R,5.8,0,0,0,0.06,0,0,0,0,0,0,0,0.17,0.12,20092010,0.24059999999999998,0.24059999999999998,0.24059999999999998,0.24059999999999998,-0.24059999999999998,0.24059999999999998,-0.07059999999999997,0.12059999999999998,0.03,0.0,-0.444125,0.65314125,0.23901625000000004,1985-06-04,24.386301369863013,10,0.239324097246183,0.24188734484135457,0.24188734484135457,0.29764178163792526,0.22698514440635617,0.26574103377689534,1.0,0.22698514440635617
