Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-11-30,Quintin Laing,away,Washington Capitals,Carolina Hurricanes,L,10.35,0,0,0,0.17,4,0,0,0,1,0,0,0.51,0.32,20072008,0.3862,0.3862,0.3862,0.3862,-0.3862,0.3862,0.1238,0.0661999999999999,0.285,-0.01,-0.322625,0.4687512499999999,0.4211262499999999,1979-06-08,28.4986301369863,4,0.0,0.4155864859095328,0.4155864859095328,0.4614287659416073,0.3067439104691511,0.4396620364361589,1,0.3067439104691511
2007-12-01,Quintin Laing,away,Washington Capitals,Florida Panthers,L,12.6,0,0,0,0.18,4,0,0,0,0,0,0,0.46,0.28,20072008,0.4582,0.4582,0.4582,0.4582,-0.4582,0.4582,0.0018,0.1781999999999999,0.29,0.0,-0.398875,0.6137012499999999,0.5048262499999999,1979-06-08,28.5013698630137,5,0.4211262499999999,0.4599338504944466,0.4599338504944466,0.5348270154645314,0.3441786161105511,0.4398989859723655,1,0.3441786161105511
2007-12-07,Quintin Laing,away,Washington Capitals,New Jersey Devils,L,10.15,0,0,0,0.0,1,0,0,0,0,0,0,0.06,0.04,20072008,0.3798,0.3798,0.3798,0.3798,-0.3798,0.3798,-0.3198,0.3398,0.05,0.0,-0.599875,0.93791125,0.3880362499999999,1979-06-08,28.51780821917808,6,0.4630161866088647,0.4360332610374449,0.4360332610374449,0.4740402973229674,0.3780292865834342,0.4457779048009185,1,0.3780292865834342
2007-12-08,Quintin Laing,home,Washington Capitals,Atlanta Thrashers,L,13.316666666667,0,0,0,0.11,0,0,0,0,1,0,1,0.35,0.4,20072008,0.481133333333344,0.481133333333344,0.481133333333344,0.481133333333344,-0.481133333333344,-0.5188666666666559,-0.131133333333344,0.081133333333344,0.055,-0.01,-0.48195833333334,-0.0032887499999886,-0.4402470833333287,1979-06-08,28.52054794520548,7,0.4378157510436329,0.216911029100664,0.216911029100664,0.2531537861731001,0.4087673654997516,0.4580786414589424,1,0.4087673654997516
2007-12-10,Quintin Laing,home,Washington Capitals,New Jersey Devils,L,11.766666666667,1,0,0,0.41,0,0,0,0,0,1,0,0.76,0.18,20072008,0.431533333333344,0.431533333333344,0.431533333333344,0.431533333333344,0.568466666666656,0.431533333333344,0.328466666666656,0.251533333333344,0.955,0.0,0.4302916666666599,0.7552012500000114,2.1404929166666715,1979-06-08,28.526027397260275,8,0.2166228293012467,0.6029475189120362,0.6029475189120362,0.6560398313804668,0.4368611634934002,0.4753994168716744,1,0.4368611634934002
2007-12-12,Quintin Laing,home,Washington Capitals,New York Rangers,L,11.433333333333,0,0,0,0.03,0,0,0,0,0,0,2,0.28,0.14,20072008,0.420866666666656,0.420866666666656,0.420866666666656,0.420866666666656,-0.420866666666656,-1.579133333333344,-0.1408666666666559,0.280866666666656,0.015,0.0,-0.48804166666666,-0.0631987500000113,-0.5362404166666713,1979-06-08,28.53150684931507,9,0.6049268523095533,0.4117398905976154,0.4117398905976154,0.4461726867628244,0.4627419427018013,0.4962077753902969,1,0.4627419427018013
2007-12-14,Quintin Laing,home,Washington Capitals,Buffalo Sabres,L,12.566666666667,0,0,0,0.07,1,0,0,0,0,0,0,0.46,0.21,20072008,0.457133333333344,0.457133333333344,0.457133333333344,0.457133333333344,-0.457133333333344,0.457133333333344,0.002866666666656,0.247133333333344,0.085,0.0,-0.39820833333334,0.7315612500000114,0.4183529166666713,1979-06-08,28.53698630136986,10,0.4126709980707048,0.4126952415187307,0.4126952415187307,0.4471144235778181,0.4871132195358626,0.5190206380717437,1,0.4871132195358626
2007-12-15,Quintin Laing,away,Washington Capitals,Tampa Bay Lightning,L,15.183333333333,0,0,0,0.28,2,0,0,0,0,1,0,0.39,0.39,20072008,0.5408666666666561,0.5408666666666561,0.5408666666666561,0.5408666666666561,0.4591333333333439,0.5408666666666561,-0.150866666666656,0.150866666666656,0.24,0.0,0.1307083333333399,0.5150512499999886,0.8857595833333286,1979-06-08,28.53972602739726,11,0.413492909355323,0.4727756266805292,0.4727756266805292,0.5333502572217372,0.5107788449120484,0.5430757782735245,1,0.5107788449120484
2007-12-17,Quintin Laing,away,Washington Capitals,Detroit Red Wings,L,11.8,0,0,1,0.01,1,0,0,1,0,1,0,0.51,0.18,20072008,0.4326,0.4326,0.4326,0.4326,0.5673999999999999,0.4326,0.0773999999999999,0.2526,0.6050000000000001,0.01,0.2733749999999999,0.75634125,1.64471625,1979-06-08,28.54520547945205,12,0.4732744512400118,0.605776798590607,0.605776798590607,0.6220725953564391,0.5345583136901835,0.5687023648415064,1,0.5345583136901835
2007-12-20,Quintin Laing,home,Washington Capitals,Montreal Canadiens,L,10.633333333333,0,0,0,0.0,2,0,0,0,0,0,0,0.22,0.03,20072008,0.395266666666656,0.395266666666656,0.395266666666656,0.395266666666656,-0.395266666666656,0.395266666666656,-0.175266666666656,0.3652666666666559,0.1,0.0,-0.50954166666666,0.9714412499999884,0.5618995833333285,1979-06-08,28.553424657534247,13,0.6053456161448152,0.6012689402781133,0.6012689402781133,0.6768969333640034,0.5579682860421085,0.5953068632711852,1,0.5579682860421085
2007-12-22,Quintin Laing,away,Washington Capitals,New York Islanders,L,7.8333333333333,0,0,0,0.02,1,1,0,0,0,0,0,0.04,0.51,20072008,0.3056666666666656,0.3056666666666656,0.3056666666666656,0.3056666666666656,-0.3056666666666656,0.3056666666666656,-0.2656666666666656,-0.2043333333333344,0.06,-0.15,-0.566041666666666,0.0596812499999989,-0.5963604166666671,1979-06-08,28.55890410958904,14,0.600920987589214,0.4886927786043615,0.4886927786043615,0.540317998385841,0.5803350575423323,0.6220665651033017,1,0.5803350575423323
2007-12-26,Quintin Laing,home,Washington Capitals,Tampa Bay Lightning,L,12.0,0,1,0,0.29,1,0,0,0,0,2,0,1.07,0.63,20072008,0.439,0.439,0.439,0.439,1.561,0.439,0.631,-0.191,0.895,0.0,1.2443750000000002,-0.0018187499999999,2.1375562500000003,1979-06-08,28.56986301369863,15,0.4898737161683492,0.6317625848958056,0.6317625848958056,0.7044197840217267,0.6023140646426733,0.6494987895555852,1,0.6023140646426733
2007-12-29,Quintin Laing,away,Washington Capitals,Ottawa Senators,L,14.066666666667,0,0,0,0.02,2,0,0,0,0,0,0,0.07,0.18,20072008,0.5051333333333441,0.5051333333333441,0.5051333333333441,0.5051333333333441,-0.5051333333333441,0.5051333333333441,-0.4351333333333441,0.3251333333333441,0.11,0.0,-0.6719583333333401,0.8338612500000115,0.2719029166666714,1979-06-08,28.578082191780823,16,0.6307045277189374,0.6027224331192171,0.6027224331192171,0.6343669016874488,0.6256047253680617,0.6790518675517151,1,0.6256047253680617
2008-01-03,Quintin Laing,away,Washington Capitals,Boston Bruins,L,11.183333333333,0,0,0,0.05,0,0,0,0,0,0,0,0.36,0.21,20072008,0.412866666666656,0.412866666666656,0.412866666666656,0.412866666666656,-0.412866666666656,0.412866666666656,-0.052866666666656,0.202866666666656,0.025,0.0,-0.43304166666666,0.6842512499999887,0.2762095833333286,1979-06-08,28.59178082191781,17,0.6023024446337373,0.5780577360942925,0.5780577360942925,0.6376256559980752,0.6486102285669162,0.7076986851449144,1,0.6486102285669162
2008-01-05,Quintin Laing,away,Washington Capitals,Montreal Canadiens,L,11.95,0,0,0,0.1,0,0,0,1,0,1,0,0.61,0.04,20072008,0.4373999999999999,0.4373999999999999,0.4373999999999999,0.4373999999999999,0.5626,0.4373999999999999,0.1726,0.3974,0.05,0.01,0.3328749999999999,0.99947125,1.39234625,1979-06-08,28.5972602739726,18,0.5781705715365466,0.6359616024770841,0.6359616024770841,0.7032758309020503,0.669392649333616,0.7318951567425264,1,0.669392649333616
