Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2018-10-04,Roope Hintz,home,Dallas Stars,Arizona Coyotes,L,9.9833333333333,0,0,0,0.11,0,0,0,1,7,0,0,0.12,0.4,20182019,0.3744666666666656,0.3744666666666656,0.3744666666666656,0.3744666666666656,-0.3744666666666656,0.3744666666666656,-0.2544666666666656,-0.0255333333333344,0.055,-0.06,-0.559041666666666,0.3202112499999988,-0.2438304166666671,1996-11-17,21.893150684931506,1,0.0,-0.0229198560042567,-0.0229198560042567,-0.027228788933057,-0.0026777856953582,-0.0014057262127916,1.1081275037625378,-0.0024164960135598
2018-10-06,Roope Hintz,home,Dallas Stars,Winnipeg Jets,L,10.683333333333,0,0,0,0.01,5,0,0,5,6,0,0,0.07,0.26,20182019,0.396866666666656,0.396866666666656,0.396866666666656,0.396866666666656,-0.396866666666656,0.396866666666656,-0.326866666666656,0.1368666666666559,0.255,-0.01,-0.60429166666666,0.5821512499999886,0.2228595833333285,1996-11-17,21.898630136986306,2,-0.0230154711690771,-0.0015938836684849,-0.0015938836684849,-0.0017665035517641,0.0051547311344146,0.0070389450151855,1.1075254467421212,0.005708995902478
2018-10-09,Roope Hintz,home,Dallas Stars,Toronto Maple Leafs,L,10.466666666667,0,0,0,0.02,2,1,0,5,3,0,0,0.08,0.68,20182019,0.389933333333344,0.389933333333344,0.389933333333344,0.389933333333344,-0.389933333333344,0.389933333333344,-0.309933333333344,-0.290066666666656,0.11,-0.13,-0.59370833333334,-0.1392587499999886,-0.7529670833333287,1996-11-17,21.90684931506849,3,-0.0017346516755091,-0.0622286079389317,-0.0622286079389317,-0.0732980881653928,0.0130017394430698,0.0154758667433817,1.106626858842675,0.0143880740793752
2018-10-16,Roope Hintz,away,Dallas Stars,New Jersey Devils,L,11.5,0,0,0,0.1,1,1,0,9,4,0,0,0.44,0.34,20182019,0.423,0.423,0.423,0.423,-0.423,0.423,0.017,0.0829999999999999,0.1,-0.0999999999999999,-0.389375,0.4740812499999999,0.0847062499999999,1996-11-17,21.926027397260277,4,-0.0618916254051127,-0.0511291864128245,-0.0511291864128245,-0.0499259178398964,0.0208685091538049,0.0239020892413661,1.10455099474606,0.0230503325447025
2018-10-19,Roope Hintz,home,Dallas Stars,Minnesota Wild,L,17.433333333333,0,0,0,0.17,1,0,0,1,0,0,0,0.46,0.22,20182019,0.612866666666656,0.612866666666656,0.612866666666656,0.612866666666656,-0.612866666666656,0.612866666666656,-0.152866666666656,0.392866666666656,0.135,0.01,-0.49554166666666,0.8810012499999886,0.5304595833333287,1996-11-17,21.934246575342467,5,-0.0508875484552397,-0.0097725445862236,-0.0097725445862236,-0.0111830856323233,0.028758917125657,0.0323154098837887,1.1036702025613978,0.0317403598895204
2018-11-18,Roope Hintz,away,Dallas Stars,New York Islanders,L,14.333333333333,1,0,0,0.14,0,0,0,2,1,1,1,0.52,0.65,20182019,0.5136666666666561,0.5136666666666561,0.5136666666666561,0.5136666666666561,0.4863333333333439,-0.4863333333333439,0.0063333333333439,-0.1363333333333439,0.8200000000000001,0.01,0.2289583333333399,-0.3935187500000113,0.6654395833333288,1996-11-17,22.016438356164382,6,-0.0100800374466832,0.0356500723033987,0.0356500723033987,0.0413994850401753,0.0366755972055266,0.040714298476376,1.095148077382213,0.0401652097664769
2018-11-19,Roope Hintz,away,Dallas Stars,New York Rangers,L,12.133333333333,0,0,0,0.01,0,0,1,2,1,0,0,0.0,0.21,20182019,0.443266666666656,0.443266666666656,0.443266666666656,0.443266666666656,-0.443266666666656,0.443266666666656,-0.443266666666656,0.233266666666656,0.005,0.16,-0.6770416666666601,0.7167412499999887,0.2046995833333286,1996-11-17,22.019178082191782,7,0.0366580227658031,0.0464558036921115,0.0464558036921115,0.0530266258670419,0.0446201138489711,0.0490978077376648,1.0948727819104038,0.0488533481789819
2018-11-21,Roope Hintz,away,Dallas Stars,Pittsburgh Penguins,L,10.316666666667,1,0,0,0.14,0,0,0,2,1,1,2,0.24,0.64,20182019,0.385133333333344,0.385133333333344,0.385133333333344,0.385133333333344,0.614866666666656,-1.614866666666656,-0.145133333333344,-0.254866666666656,0.8200000000000001,0.01,0.13429166666666,-0.9513887499999886,0.0129029166666715,1996-11-17,22.024657534246572,8,0.0475515973804878,0.0444099205098313,0.0444099205098313,0.0499701672918615,0.0525931399572999,0.0574654798439203,1.0943238575401295,0.0575539277982204
2018-11-23,Roope Hintz,home,Dallas Stars,Ottawa Senators,L,10.966666666667,0,0,1,0.26,0,1,1,0,1,1,1,0.64,0.37,20182019,0.405933333333344,0.405933333333344,0.405933333333344,0.405933333333344,0.594066666666656,-0.594066666666656,0.234066666666656,0.035933333333344,0.68,-0.01,0.3712916666666599,-0.0326587499999885,1.0086329166666714,1996-11-17,22.03013698630137,9,0.0454346106356078,0.1006919121272132,0.1006919121272132,0.1209701335683995,0.0605946261679395,0.0658172563430086,1.0937771489736805,0.0662770174530948
2018-11-24,Roope Hintz,away,Dallas Stars,Colorado Avalanche,L,10.3,0,0,0,0.04,1,0,0,0,0,0,0,0.2,0.17,20182019,0.3846,0.3846,0.3846,0.3846,-0.3846,0.3846,-0.1846,0.2145999999999999,0.07,0.0,-0.515375,0.72204125,0.2766662499999999,1996-11-17,22.03287671232877,10,0.101095933305234,0.1105561962840109,0.1105561962840109,0.1255819882869597,0.0686239541056006,0.0741533958338591,1.0935046232658738,0.0750406110812594
