Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2012-02-18,Ryan Garbutt,away,Dallas Stars,Phoenix Coyotes,C,5.6833333333333,0,0,0,0.19,0,0,0,0,0,0,0,0.27,0.09,20112012,0.2368666666666656,0.2368666666666656,0.2368666666666656,0.2368666666666656,-0.2368666666666656,0.2368666666666656,0.0331333333333344,0.1468666666666656,0.095,0.0,-0.3792916666666659,0.7001512499999988,0.4158595833333328,1985-08-12,26.53698630136986,1,0.0,0.0390904543341708,0.0390904543341708,0.0395754217213724,0.2069473629317737,0.2086316317896727,1,0.2069473629317737
2012-02-19,Ryan Garbutt,home,Dallas Stars,Nashville Predators,C,10.0,0,0,0,0.05,0,0,0,0,0,0,0,0.65,0.12,20112012,0.375,0.375,0.375,0.375,-0.375,0.375,0.275,0.255,0.025,0.0,-0.228125,0.79678125,0.59365625,1985-08-12,26.53972602739726,2,0.039253528667333,0.0872094298213371,0.0872094298213371,0.0902234660937002,0.207263461207557,0.2089216358135609,1,0.207263461207557
2012-02-21,Ryan Garbutt,away,Dallas Stars,Montreal Canadiens,C,8.6166666666667,1,0,0,0.37,0,0,0,0,1,1,0,0.92,0.26,20112012,0.3307333333333344,0.3307333333333344,0.3307333333333344,0.3307333333333344,0.6692666666666656,0.3307333333333344,0.5892666666666657,0.0707333333333343,0.935,-0.01,0.593291666666666,0.5114712500000012,2.029762916666667,1985-08-12,26.54520547945205,3,0.0871542477406801,0.243970670584251,0.243970670584251,0.2518850191987624,0.2076072988592822,0.2092387908168663,1,0.2076072988592822
2012-02-23,Ryan Garbutt,away,Dallas Stars,Chicago Blackhawks,C,12.333333333333,0,0,0,0.3,0,0,0,3,2,1,1,0.74,0.4,20112012,0.449666666666656,0.449666666666656,0.449666666666656,0.449666666666656,0.550333333333344,-0.550333333333344,0.290333333333344,0.0496666666666559,0.15,0.01,0.4064583333333399,-0.0369187500000115,0.5295395833333284,1985-08-12,26.55068493150685,4,0.2421920823604207,0.2655424730946635,0.2655424730946635,0.2680603412483001,0.2079881737278205,0.2095907761013394,1,0.2079881737278205
2012-02-24,Ryan Garbutt,home,Dallas Stars,Minnesota Wild,C,8.2166666666667,0,0,0,0.23,0,0,0,1,3,0,0,0.43,0.17,20112012,0.3179333333333344,0.3179333333333344,0.3179333333333344,0.3179333333333344,-0.3179333333333344,0.3179333333333344,0.1120666666666656,0.1479333333333344,0.115,-0.02,-0.329958333333334,0.650791250000001,0.415832916666667,1985-08-12,26.553424657534247,5,0.2635052415274799,0.2762295914987572,0.2762295914987572,0.2866655941746694,0.2084130043333423,0.2099832010378742,1,0.2084130043333423
2012-02-26,Ryan Garbutt,home,Dallas Stars,Vancouver Canucks,C,9.8333333333333,0,0,0,0.0,1,0,0,3,3,0,0,0.16,0.28,20112012,0.3696666666666656,0.3696666666666656,0.3696666666666656,0.3696666666666656,-0.3696666666666656,0.3696666666666656,-0.2096666666666655,0.0896666666666655,0.05,0.0,-0.531041666666666,0.5190812499999988,0.0380395833333328,1985-08-12,26.55890410958904,6,0.2740422408793724,0.2602061626525218,0.2602061626525218,0.2632910570469504,0.2088865623365831,0.2104198201681365,1,0.2088865623365831
2012-02-29,Ryan Garbutt,home,Dallas Stars,Pittsburgh Penguins,C,5.9666666666667,0,0,0,0.02,0,0,1,0,0,0,1,0.04,0.3,20112012,0.2459333333333344,0.2459333333333344,0.2459333333333344,0.2459333333333344,-0.2459333333333344,-0.7540666666666656,-0.2059333333333343,-0.0540666666666656,0.01,0.15,-0.528708333333334,-0.0846587499999989,-0.4533670833333328,1985-08-12,26.567123287671237,7,0.2587187660048158,0.2145941950383132,0.2145941950383132,0.2108787924300214,0.2094117607688102,0.2109027928633723,1,0.2094117607688102
2012-03-02,Ryan Garbutt,away,Dallas Stars,Edmonton Oilers,C,9.9666666666667,0,0,0,0.07,0,0,0,0,1,1,1,0.48,0.25,20112012,0.3739333333333344,0.3739333333333344,0.3739333333333344,0.3739333333333344,0.6260666666666657,-0.6260666666666657,0.1060666666666655,0.1239333333333344,0.035,-0.01,0.291291666666666,0.1371412500000011,0.4534329166666672,1985-08-12,26.572602739726022,8,0.2150685316183468,0.2291573568755126,0.2291573568755126,0.2387033078273585,0.2099899587018154,0.2114329539695359,1,0.2099899587018154
2012-03-04,Ryan Garbutt,away,Dallas Stars,Calgary Flames,C,8.3666666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.4,0.05,20112012,0.3227333333333343,0.3227333333333343,0.3227333333333343,0.3227333333333343,-0.3227333333333343,0.3227333333333343,0.0772666666666656,0.2727333333333344,0.0,0.0,-0.3517083333333339,0.8599212500000011,0.5082129166666671,1985-08-12,26.578082191780823,9,0.2288857181305593,0.2454459153724051,0.2454459153724051,0.2512204267635258,0.210621256197962,0.2120100733845612,1,0.210621256197962
2012-03-06,Ryan Garbutt,away,Dallas Stars,Vancouver Canucks,C,5.5666666666667,0,0,0,0.02,0,0,0,0,1,0,0,0.1,0.35,20112012,0.2331333333333344,0.2331333333333344,0.2331333333333344,0.2331333333333344,-0.2331333333333344,0.2331333333333344,-0.1331333333333344,-0.1168666666666655,0.01,-0.01,-0.483208333333334,0.2541612500000011,-0.2290470833333328,1985-08-12,26.583561643835612,10,0.2442455428483194,0.2188480953366905,0.2188480953366905,0.2194531352359656,0.2113047639354111,0.2126330916593207,1,0.2113047639354111
2012-03-08,Ryan Garbutt,home,Dallas Stars,San Jose Sharks,C,12.766666666667,0,1,0,0.09,0,1,0,0,0,1,0,0.38,0.6,20112012,0.463533333333344,0.463533333333344,0.463533333333344,0.463533333333344,0.536466666666656,0.463533333333344,-0.083533333333344,-0.1364666666666559,0.745,-0.15,0.17279166666666,0.0754012500000114,0.8431929166666714,1985-08-12,26.58904109589041,11,0.2194869374779048,0.2525551794065084,0.2525551794065084,0.2434043449074011,0.2120388397229968,0.2133003254282104,1,0.2120388397229968
2012-03-13,Ryan Garbutt,away,Dallas Stars,Minnesota Wild,C,5.9166666666667,0,0,0,0.07,0,0,1,1,0,0,0,0.28,0.05,20112012,0.2443333333333344,0.2443333333333344,0.2443333333333344,0.2443333333333344,-0.2443333333333344,0.2443333333333344,0.0356666666666656,0.1943333333333344,0.035,0.16,-0.377708333333334,0.7761312500000012,0.5934229166666671,1985-08-12,26.6027397260274,12,0.2506046212347191,0.27032604114255,0.27032604114255,0.2785953325019169,0.212795278539086,0.2139977549719829,1,0.212795278539086
2012-03-14,Ryan Garbutt,away,Dallas Stars,Winnipeg Jets,C,8.6,0,0,0,0.24,0,0,0,0,0,0,1,0.49,0.6,20112012,0.3302,0.3302,0.3302,0.3302,-0.3302,-0.6698,0.1598,-0.2698,0.12,0.0,-0.300125,-0.5045987499999999,-0.6847237499999999,1985-08-12,26.605479452054794,13,0.2670443040127733,0.222128729581042,0.222128729581042,0.2204332312857362,0.2134654007651984,0.2146754783062682,1,0.2134654007651984
2012-03-26,Ryan Garbutt,away,Dallas Stars,Calgary Flames,C,4.15,0,0,0,0.1,0,0,1,0,0,0,0,0.17,0.0,20112012,0.1878,0.1878,0.1878,0.1878,-0.1878,0.1878,-0.0177999999999999,0.1878,0.05,0.15,-0.411125,0.80071125,0.58958625,1985-08-12,26.638356164383563,14,0.2234119094055903,0.2401191159494342,0.2401191159494342,0.2371881354036866,0.2139715684353168,0.2152998194114832,1,0.2139715684353168
2012-03-28,Ryan Garbutt,away,Dallas Stars,Edmonton Oilers,C,5.05,0,0,0,0.04,0,1,0,0,0,0,0,0.08,0.18,20112012,0.2166,0.2166,0.2166,0.2166,-0.2166,0.2166,-0.1366,0.0365999999999999,0.02,-0.15,-0.485375,0.52549125,-0.08988375,1985-08-12,26.64383561643836,15,0.2398179902231055,0.2244128314454775,0.2244128314454775,0.2244499031543916,0.2142835806711935,0.2158598860680698,1,0.2142835806711935
2012-03-30,Ryan Garbutt,away,Dallas Stars,Vancouver Canucks,C,8.9333333333333,0,0,0,0.03,0,0,0,0,0,0,1,0.43,0.34,20112012,0.3408666666666656,0.3408666666666656,0.3408666666666656,0.3408666666666656,-0.3408666666666656,-0.6591333333333345,0.0891333333333344,0.0008666666666655,0.015,0.0,-0.344291666666666,-0.0511987500000011,-0.3804904166666672,1985-08-12,26.649315068493152,16,0.2256277456699669,0.1963726097976071,0.1963726097976071,0.1920489235100668,0.2144053162763954,0.2163605525939941,1,0.2144053162763954
2012-03-31,Ryan Garbutt,away,Dallas Stars,San Jose Sharks,C,10.783333333333,0,0,0,0.07,0,3,1,0,0,0,0,0.1,0.31,20112012,0.4000666666666559,0.4000666666666559,0.4000666666666559,0.4000666666666559,-0.4000666666666559,0.4000666666666559,-0.3000666666666559,0.0900666666666559,0.035,-0.3,-0.58754166666666,0.5005712499999886,-0.3519704166666714,1985-08-12,26.65205479452055,17,0.2005253975423748,0.1715730824612702,0.1715730824612702,0.1613171981786412,0.2143636870189365,0.2168167975403427,1,0.2143636870189365
2012-04-03,Ryan Garbutt,home,Dallas Stars,San Jose Sharks,C,6.4333333333333,0,0,0,0.0,1,0,0,0,0,0,1,0.06,0.19,20112012,0.2608666666666656,0.2608666666666656,0.2608666666666656,0.2608666666666656,-0.2608666666666656,-0.7391333333333344,-0.2008666666666655,0.0708666666666655,0.05,0.0,-0.525541666666666,0.1183012499999988,-0.3572404166666672,1985-08-12,26.660273972602734,18,0.1785134675766345,0.14820143882814,0.14820143882814,0.1386280402069717,0.214199385120648,0.2172490890307121,1,0.214199385120648
2012-04-05,Ryan Garbutt,away,Dallas Stars,Nashville Predators,C,7.9,0,0,0,0.04,0,1,0,0,0,0,0,0.23,0.21,20112012,0.3078,0.3078,0.3078,0.3078,-0.3078,0.3078,-0.0778,0.0978,0.02,-0.15,-0.448625,0.57196125,-0.00666375,1985-08-12,26.66575342465753,19,0.1578730414884674,0.1415028130186967,0.1415028130186967,0.1376782853602154,0.213959184441961,0.2176796680724418,1,0.213959184441961
2012-04-07,Ryan Garbutt,home,Dallas Stars,St Louis Blues,C,10.566666666667,1,0,0,0.42,1,2,1,4,4,0,0,0.23,0.1,20112012,0.393133333333344,0.393133333333344,0.393133333333344,0.393133333333344,-0.393133333333344,0.393133333333344,-0.1631333333333439,0.293133333333344,1.01,-0.15,-0.5019583333333401,0.8501612500000114,1.2082029166666717,1985-08-12,26.671232876712327,20,0.1517467854146321,0.1867220189926525,0.1867220189926525,0.1724333381860054,0.2136906572216326,0.2181301999828818,1,0.2136906572216326
2013-01-19,Ryan Garbutt,home,Dallas Stars,Phoenix Coyotes,C,8.2333333333333,0,0,0,0.17,0,0,0,0,2,0,0,0.13,0.37,20122013,0.3184666666666656,0.3184666666666656,0.3184666666666656,0.3184666666666656,-0.3184666666666656,0.3184666666666656,-0.1884666666666656,-0.0515333333333343,0.085,-0.02,-0.517791666666666,0.3113612499999988,-0.1414304166666671,1985-08-12,27.457534246575342,21,0.1898099816496325,0.1730709612279436,0.1730709612279436,0.1639917773737222,0.2134383887277259,0.2186201565462243,1,0.2134383887277259
2013-01-20,Ryan Garbutt,away,Dallas Stars,Minnesota Wild,C,9.5833333333333,0,0,0,0.13,0,0,0,0,1,0,0,0.47,0.25,20122013,0.3616666666666656,0.3616666666666656,0.3616666666666656,0.3616666666666656,-0.3616666666666656,0.3616666666666656,0.1083333333333343,0.1116666666666655,0.065,-0.01,-0.332291666666666,0.5615312499999988,0.2842395833333328,1985-08-12,27.46027397260274,22,0.1703816948890213,0.1776146206149413,0.1776146206149413,0.1917593695984115,0.2132415616624184,0.2191658634511399,1,0.2132415616624184
