Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2019-03-16,Ryan Kuffner,home,Detroit Red Wings,New York Islanders,L,7.1333333333333,0,0,0,0.01,0,0,0,0,0,0,0,0.14,0.39,20182019,0.2832666666666656,0.2832666666666656,0.2832666666666656,0.2832666666666656,-0.2832666666666656,0.2832666666666656,-0.1432666666666656,-0.1067333333333344,0.005,0.0,-0.489541666666666,0.2397412499999988,-0.2448004166666672,1996-06-12,22.77260273972603,1,0.0,-0.0230110351960411,-0.0230110351960411,-0.0224639229910584,-0.0227946100831185,-0.0222616173699398,1.0374815440416123,-0.0219710993550013
2019-03-21,Ryan Kuffner,away,Detroit Red Wings,St Louis Blues,L,6.5,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.08,20182019,0.263,0.263,0.263,0.263,-0.263,0.263,-0.263,0.183,0.0,0.0,-0.5643750000000001,0.7450812499999999,0.1807062499999998,1996-06-12,22.78630136986301,2,-0.0231070307346933,-0.0053347429882049,-0.0053347429882049,-0.0051092394865442,-0.0059444033850514,-0.0056824000044045,1.0367315393477314,-0.0057337923651782
2019-03-23,Ryan Kuffner,away,Detroit Red Wings,Vegas Golden Knights,L,9.5666666666667,0,0,0,0.09,1,0,0,0,0,0,0,0.38,0.67,20182019,0.3611333333333344,0.3611333333333344,0.3611333333333344,0.3611333333333344,-0.3611333333333344,0.3611333333333344,0.0188666666666655,-0.3088666666666656,0.095,0.0,-0.388208333333334,-0.1530387499999989,-0.4462470833333329,1996-06-12,22.791780821917808,3,-0.0053742352638689,-0.0409157275058713,-0.0409157275058713,-0.0384726236761574,-0.0396299813373909,-0.0372950734979654,1.0364340981145044,-0.0382368559752002
2019-03-25,Ryan Kuffner,away,Detroit Red Wings,San Jose Sharks,L,11.316666666667,0,0,0,0.04,1,0,0,0,0,0,0,0.16,0.29,20182019,0.417133333333344,0.417133333333344,0.417133333333344,0.417133333333344,-0.417133333333344,0.417133333333344,-0.257133333333344,0.127133333333344,0.07,0.0,-0.56070833333334,0.5528112500000114,0.0621029166666713,1996-06-12,22.797260273972604,4,-0.0407863063795879,-0.033133725516974,-0.033133725516974,-0.0314761650510407,-0.0331064366311988,-0.0314868312843158,1.0361381143864226,-0.0319517602639333
2019-03-28,Ryan Kuffner,away,Detroit Red Wings,Buffalo Sabres,L,13.283333333333,0,0,0,0.15,0,0,0,0,0,0,1,0.25,0.49,20182019,0.480066666666656,0.480066666666656,0.480066666666656,0.480066666666656,-0.480066666666656,-0.519933333333344,-0.2300666666666559,-0.009933333333344,0.075,0.0,-0.54379166666666,-0.1574287500000114,-0.6262204166666714,1996-06-12,22.805479452054797,5,-0.0331093571898303,-0.0753079818539863,-0.0753079818539863,-0.0757546704738791,-0.0717735933650425,-0.0684030048009979,1.035696863331912,-0.0692998076040722
2019-03-29,Ryan Kuffner,home,Detroit Red Wings,New Jersey Devils,L,14.516666666667,0,0,0,0.18,0,0,0,0,0,0,0,0.48,0.44,20182019,0.5195333333333441,0.5195333333333441,0.5195333333333441,0.5195333333333441,-0.5195333333333441,0.5195333333333441,-0.039533333333344,0.079533333333344,0.09,0.0,-0.42470833333334,0.4072512500000114,0.0725429166666714,1996-06-12,22.80821917808219,6,-0.0745108432515337,-0.0653618116911624,-0.0653618116911624,-0.065838748448596,-0.0827766481889537,-0.065861923750584,1.035550504305564,-0.079934921420818
2019-03-31,Ryan Kuffner,home,Detroit Red Wings,Boston Bruins,L,10.183333333333,0,0,0,0.11,0,0,0,0,1,0,1,0.23,0.91,20182019,0.380866666666656,0.380866666666656,0.380866666666656,0.380866666666656,-0.380866666666656,-0.619133333333344,-0.1508666666666559,-0.5291333333333441,0.055,-0.01,-0.49429166666666,-0.9774487500000114,-1.4267404166666715,1996-06-12,22.813698630136987,7,-0.064898559225074,-0.152381829874482,-0.152381829874482,-0.1449095838929294,-0.1354568845445306,-0.1292727042896113,1.035258870426221,-0.1308434908543815
2019-04-02,Ryan Kuffner,home,Detroit Red Wings,Pittsburgh Penguins,L,13.333333333333,0,0,0,0.08,1,0,0,0,0,0,0,0.14,0.3,20182019,0.481666666666656,0.481666666666656,0.481666666666656,0.481666666666656,-0.481666666666656,0.481666666666656,-0.3416666666666559,0.1816666666666559,0.09,0.0,-0.61354166666666,0.6047812499999886,0.0812395833333285,1996-06-12,22.81917808219178,8,-0.1487545812493111,-0.1381367927800585,-0.1381367927800585,-0.1311400103698385,-0.1409629101155488,-0.1339159094455462,1.0349686789986434,-0.1362001700881748
2019-04-04,Ryan Kuffner,away,Detroit Red Wings,Pittsburgh Penguins,L,10.75,0,0,0,0.09,0,0,0,0,0,0,0,0.5,0.88,20182019,0.399,0.399,0.399,0.399,-0.399,0.399,0.1009999999999999,-0.481,0.045,0.0,-0.336875,-0.46956875,-0.76144375,1996-06-12,22.824657534246576,9,-0.1353659877834604,-0.1745194107855747,-0.1745194107855747,-0.1654013032738175,-0.1739755563753831,-0.2139644524987406,1.0346799263025976,-0.1681443236239059
2019-04-06,Ryan Kuffner,home,Detroit Red Wings,Buffalo Sabres,L,12.766666666667,0,0,0,0.01,2,0,1,0,1,0,1,0.02,1.22,20182019,0.463533333333344,0.463533333333344,0.463533333333344,0.463533333333344,-0.463533333333344,-0.536466666666656,-0.443533333333344,-0.756466666666656,0.105,0.1399999999999999,-0.6772083333333401,-1.4160987499999886,-1.8483070833333288,1996-06-12,22.83013698630137,10,-0.1699312471907653,-0.26834398441228,-0.26834398441228,-0.2677446021938245,-0.2675805782720826,-0.2677493933439255,1.0343926086348676,-0.2586837686564874
