Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-05,Ryan Malone,away,Pittsburgh Penguins,Carolina Hurricanes,L,15.85,0,0,0,0.39,0,1,0,0,0,0,1,0.79,0.67,20072008,0.5622,0.5622,0.5622,0.5622,-0.5622,-0.4377999999999999,0.2278,-0.1078,0.195,-0.15,-0.257625,-0.37564875,-0.5882737499999999,1979-12-01,27.863013698630137,223,0.0,-0.580535220768886,-0.580535220768886,-0.6622386826307598,0.6822447113452625,0.7404210005217842,1,0.6822447113452625
2007-10-06,Ryan Malone,home,Pittsburgh Penguins,Anaheim Ducks,L,16.066666666667,1,0,0,0.18,2,2,2,0,0,2,0,0.77,0.21,20072008,0.569133333333344,0.569133333333344,0.569133333333344,0.569133333333344,1.430866666666656,0.569133333333344,0.2008666666666559,0.3591333333333441,0.94,0.0,0.97554166666666,0.8512612500000114,2.766802916666671,1979-12-01,27.86575342465753,224,-0.5882737499999999,1.082911856694852,1.082911856694852,1.3056699053065326,0.6852396511260265,0.7432563440375813,1,0.6852396511260265
2007-10-10,Ryan Malone,home,Pittsburgh Penguins,Montreal Canadiens,L,16.016666666667,0,0,0,0.32,0,0,2,0,0,0,0,1.83,0.59,20072008,0.5675333333333441,0.5675333333333441,0.5675333333333441,0.5675333333333441,-0.5675333333333441,0.5675333333333441,1.262466666666656,-0.0224666666666558,0.16,0.3,0.3890416666666599,0.2035512500000115,1.0525929166666714,1979-12-01,27.876712328767123,225,1.0908654242478883,1.0728330705684503,1.0728330705684503,1.309019591335672,0.6882343509053505,0.7460872378974381,1,0.6882343509053505
2007-10-13,Ryan Malone,away,Pittsburgh Penguins,Toronto Maple Leafs,L,12.783333333333,1,0,0,0.32,0,0,3,0,1,1,1,0.98,0.49,20072008,0.4640666666666559,0.4640666666666559,0.4640666666666559,0.4640666666666559,0.535933333333344,-0.535933333333344,0.515933333333344,-0.025933333333344,0.91,0.4399999999999999,0.5474583333333399,-0.1745287500000114,1.7229295833333285,1979-12-01,27.88493150684932,226,1.0780347759636375,1.2353958848167226,1.2353958848167226,1.4549356679173222,0.691229188672763,0.7489169860379461,1,0.691229188672763
2007-10-17,Ryan Malone,home,Pittsburgh Penguins,New Jersey Devils,L,14.366666666667,0,0,0,0.06,1,2,0,0,0,0,2,0.48,0.34,20072008,0.514733333333344,0.514733333333344,0.514733333333344,0.514733333333344,-0.514733333333344,-1.485266666666656,-0.034733333333344,0.174733333333344,0.08,-0.3,-0.42170833333334,-0.3028787499999885,-0.9445870833333284,1979-12-01,27.895890410958906,227,1.2406460767121283,0.7979032164187705,0.7979032164187705,0.9579608817984722,0.6942245002302349,0.7517485476236715,1,0.6942245002302349
2007-10-19,Ryan Malone,home,Pittsburgh Penguins,Carolina Hurricanes,L,13.85,0,0,0,0.2,1,1,1,0,0,0,1,0.28,0.68,20072008,0.4982,0.4982,0.4982,0.4982,-0.4982,-0.5018,-0.2181999999999999,-0.1818,0.15,0.0,-0.536375,-0.4610487500000001,-0.8474237500000001,1979-12-01,27.9013698630137,228,0.7979063420620721,0.5217424028907749,0.5217424028907749,0.5834828664986283,0.6972205786049217,0.7545845296608428,1,0.6972205786049217
2007-10-20,Ryan Malone,away,Pittsburgh Penguins,Washington Capitals,L,13.716666666667,0,0,1,0.12,0,0,0,0,1,1,0,0.79,0.24,20072008,0.493933333333344,0.493933333333344,0.493933333333344,0.493933333333344,0.506066666666656,0.493933333333344,0.296066666666656,0.253933333333344,0.6100000000000001,-0.01,0.41004166666666,0.7198912500000114,1.7299329166666717,1979-12-01,27.90410958904109,229,0.5198334298310969,0.6962836655692319,0.6962836655692319,0.8263563750232901,0.7002176748856969,0.7574271918378112,1,0.7002176748856969
2007-10-23,Ryan Malone,home,Pittsburgh Penguins,New York Rangers,L,13.15,0,0,0,0.11,1,0,1,0,0,0,0,0.67,0.34,20072008,0.4758,0.4758,0.4758,0.4758,-0.4758,0.4758,0.1942,0.1357999999999999,0.105,0.15,-0.278625,0.53051125,0.50688625,1979-12-01,27.912328767123288,230,0.6950674472091344,0.6722297078509215,0.6722297078509215,0.7706862847612067,0.7032160000878761,0.7602784603165378,1,0.7032160000878761
2007-10-25,Ryan Malone,home,Pittsburgh Penguins,Toronto Maple Leafs,L,14.133333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.09,0.09,20072008,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.5072666666666561,-0.5072666666666561,0.5072666666666561,-0.4172666666666561,0.4172666666666561,0.05,0.0,-0.6607916666666601,0.9891412499999888,0.3783495833333287,1979-12-01,27.91780821917808,231,0.6711446691557761,0.6388778466864805,0.6388778466864805,0.7602812542800705,0.7062157277107516,0.7631399476736271,1,0.7062157277107516
2007-10-27,Ryan Malone,home,Pittsburgh Penguins,Montreal Canadiens,L,19.6,0,0,0,0.32,0,1,1,0,0,1,1,0.61,0.92,20072008,0.6822000000000001,0.6822000000000001,0.6822000000000001,0.6822000000000001,0.3177999999999998,-0.3177999999999998,-0.0722000000000001,-0.2377999999999999,0.16,0.0,0.1798749999999999,-0.6723987499999998,-0.3325237499999999,1979-12-01,27.92328767123288,232,0.6380089005406981,0.5390779679403844,0.5390779679403844,0.6446969530409343,0.7092169967139653,0.7660129766830382,1,0.7092169967139653
2007-10-30,Ryan Malone,away,Pittsburgh Penguins,Minnesota Wild,L,19.566666666667,0,0,2,0.11,0,0,0,0,0,3,0,0.78,0.17,20072008,0.681133333333344,0.681133333333344,0.681133333333344,0.681133333333344,2.318866666666656,0.681133333333344,0.098866666666656,0.511133333333344,1.155,0.0,1.53679166666666,1.0389612500000114,3.7307529166666713,1979-12-01,27.931506849315067,233,0.5390008171210012,0.8390927537790389,0.8390927537790389,0.9784553305930614,0.7122199146968876,0.7688986061059598,1,0.7122199146968876
2007-11-01,Ryan Malone,away,Pittsburgh Penguins,Colorado Avalanche,L,18.05,0,0,0,0.6,0,0,1,0,0,1,1,0.81,0.8,20072008,0.6326,0.6326,0.6326,0.6326,0.3673999999999999,-0.3673999999999999,0.1774,-0.1674,0.3,0.15,0.335875,-0.5214087500000001,0.2644662499999999,1979-12-01,27.936986301369863,234,0.8360020965634614,0.7892331359199503,0.7892331359199503,0.9015756561982452,0.7152245611172241,0.771797657081898,1,0.7152245611172241
2007-11-03,Ryan Malone,away,Pittsburgh Penguins,New York Islanders,L,19.9,1,0,0,0.77,0,1,0,0,0,0,1,0.67,0.85,20072008,0.6918,0.6918,0.6918,0.6918,-0.6918,-0.3082,-0.0217999999999999,-0.1582,1.135,-0.15,-0.4136249999999999,-0.5431387500000001,0.0282362499999998,1979-12-01,27.942465753424656,235,0.7871764609443911,0.727821794167267,0.727821794167267,0.8875199235502866,0.7182309904297832,0.7747107390861419,1,0.7182309904297832
2007-11-05,Ryan Malone,away,Pittsburgh Penguins,New Jersey Devils,L,15.016666666667,0,0,0,0.17,0,0,1,0,0,1,0,0.53,0.09,20072008,0.5355333333333441,0.5355333333333441,0.5355333333333441,0.5355333333333441,0.4644666666666559,0.5355333333333441,-0.005533333333344,0.4455333333333441,0.085,0.15,0.2215416666666599,1.0193512500000117,1.4758929166666714,1979-12-01,27.947945205479453,236,0.7272335684995958,0.7843308951157975,0.7843308951157975,0.8928349657445663,0.7212392350633305,0.777638274728472,1,0.7212392350633305
