Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2007-10-03,Shean Donovan,away,Ottawa Senators,Toronto Maple Leafs,R,8.95,0,0,0,0.07,0,0,1,0,0,0,0,0.09,0.25,20072008,0.3414,0.3414,0.3414,0.3414,-0.3414,0.3414,-0.2513999999999999,0.0913999999999999,0.035,0.15,-0.557125,0.5398712499999999,0.1677462499999999,1975-01-22,32.71780821917808,775,0.0,0.1655396085188276,0.1655396085188276,0.1968559281475157,0.1925368997760701,0.2721561052058919,1,0.1925368997760701
2007-10-04,Shean Donovan,home,Ottawa Senators,Toronto Maple Leafs,R,8.3333333333333,0,0,0,0.07,0,0,0,0,0,0,0,0.11,0.31,20072008,0.3216666666666656,0.3216666666666656,0.3216666666666656,0.3216666666666656,-0.3216666666666656,0.3216666666666656,-0.2116666666666656,0.0116666666666656,0.035,0.0,-0.532291666666666,0.4167812499999989,-0.0805104166666671,1975-01-22,32.72054794520548,776,0.1677462499999999,0.0432659754109833,0.0432659754109833,0.051598668124885,0.1956136501429331,0.272649400284374,1,0.1956136501429331
2007-10-06,Shean Donovan,home,Ottawa Senators,New York Rangers,R,10.533333333333,0,0,0,0.1,0,0,0,0,2,0,0,0.27,0.16,20072008,0.3920666666666559,0.3920666666666559,0.3920666666666559,0.3920666666666559,-0.3920666666666559,0.3920666666666559,-0.1220666666666559,0.2320666666666559,0.05,-0.02,-0.47629166666666,0.7470212499999885,0.3007295833333285,1975-01-22,32.726027397260275,777,0.0434994635078283,0.1288534213167157,0.1288534213167157,0.1427289844470008,0.1985364340125281,0.2731350439566771,1,0.1985364340125281
2007-10-08,Shean Donovan,home,Ottawa Senators,New Jersey Devils,R,9.5666666666667,0,0,0,0.03,0,0,0,1,3,0,1,0.19,0.39,20072008,0.3611333333333344,0.3611333333333344,0.3611333333333344,0.3611333333333344,-0.3611333333333344,-0.6388666666666656,-0.1711333333333344,-0.0288666666666655,0.015,-0.02,-0.5069583333333341,-0.1145387499999989,-0.626497083333333,1975-01-22,32.73150684931507,778,0.1295157712383233,-0.0600291543758183,-0.0600291543758183,-0.0744180667010768,0.2012802169816256,0.2736107314318748,1,0.2012802169816256
2007-10-10,Shean Donovan,away,Ottawa Senators,Atlanta Thrashers,R,8.2666666666667,0,0,0,0.12,0,0,1,0,2,0,0,0.41,0.72,20072008,0.3195333333333344,0.3195333333333344,0.3195333333333344,0.3195333333333344,-0.3195333333333344,0.3195333333333344,0.0904666666666655,-0.4004666666666656,0.06,0.13,-0.3434583333333341,-0.2824987499999989,-0.435957083333333,1975-01-22,32.73698630136986,779,-0.0604807647572122,-0.1354727313063783,-0.1354727313063783,-0.1769919432058789,0.2038356016831394,0.2740752806170047,1,0.2038356016831394
2007-10-11,Shean Donovan,home,Ottawa Senators,Carolina Hurricanes,R,10.216666666667,0,0,0,0.22,0,0,0,0,2,0,0,0.56,0.31,20072008,0.381933333333344,0.381933333333344,0.381933333333344,0.381933333333344,-0.381933333333344,0.381933333333344,0.178066666666656,0.071933333333344,0.11,-0.02,-0.28870833333334,0.4811912500000114,0.2824829166666713,1975-01-22,32.73972602739726,780,-0.1361217347294196,-0.0653207347010541,-0.0653207347010541,-0.0737152164636488,0.2062045456221578,0.2745283882826274,1,0.2062045456221578
2007-10-13,Shean Donovan,away,Ottawa Senators,New York Rangers,R,8.3,0,0,0,0.0,0,0,0,0,0,0,0,0.2,0.29,20072008,0.3206,0.3206,0.3206,0.3206,-0.3206,0.3206,-0.1205999999999999,0.0306,0.0,0.0,-0.475375,0.44964125,-0.02573375,1975-01-22,32.74520547945205,781,-0.065820742808902,-0.0596018002974387,-0.0596018002974387,-0.0692423912336549,0.2083972957865998,0.2749695411026582,1,0.2083972957865998
2007-10-18,Shean Donovan,home,Ottawa Senators,Montreal Canadiens,R,10.45,0,0,0,0.09,0,1,0,0,0,0,0,0.8,0.3,20072008,0.3893999999999999,0.3893999999999999,0.3893999999999999,0.3893999999999999,-0.3893999999999999,0.3893999999999999,0.4106000000000001,0.0893999999999999,0.045,-0.15,-0.1433749999999999,0.50617125,0.25779625,1975-01-22,32.75890410958904,782,-0.0600376671733448,-0.0192914335546677,-0.0192914335546677,-0.023427137405955,0.2104506775849417,0.2753740557728882,1,0.2104506775849417
2007-10-20,Shean Donovan,home,Ottawa Senators,Florida Panthers,R,9.95,1,0,0,0.24,0,0,0,0,0,1,0,1.11,0.59,20072008,0.3733999999999999,0.3733999999999999,0.3733999999999999,0.3733999999999999,0.6266,0.3733999999999999,0.7366000000000001,-0.2166,0.87,0.0,0.685375,-0.0039287499999999,1.55144625,1975-01-22,32.76438356164383,783,-0.019631335689798,0.158968410433301,0.158968410433301,0.1893540042555734,0.212407614601877,0.2757061557458672,1,0.212407614601877
2007-10-27,Shean Donovan,away,Ottawa Senators,New Jersey Devils,R,10.9,1,0,0,0.4,0,0,0,0,2,1,0,0.96,0.62,20072008,0.4038,0.4038,0.4038,0.4038,0.5962000000000001,0.4038,0.5562,-0.2162,0.95,-0.02,0.5726249999999999,-0.02243875,1.4801862499999998,1975-01-22,32.78356164383562,784,0.1581733225342941,0.2947077180849566,0.2947077180849566,0.3298322522671681,0.2142864464206353,0.2759550035516039,1,0.2142864464206353
2007-11-01,Shean Donovan,home,Ottawa Senators,Atlanta Thrashers,R,11.85,0,0,0,0.3,0,0,0,0,0,1,0,0.44,0.32,20072008,0.4342,0.4342,0.4342,0.4342,0.5658000000000001,0.4342,0.0058,0.1141999999999999,0.15,0.0,0.2286249999999999,0.52005125,0.89867625,1975-01-22,32.797260273972604,785,0.2942009007478073,0.3514802568511898,0.3514802568511898,0.4153011603686041,0.216092756149985,0.2761278432315131,1,0.216092756149985
2007-11-03,Shean Donovan,home,Ottawa Senators,Boston Bruins,R,14.65,0,0,0,0.24,1,0,0,0,1,0,0,0.87,0.12,20072008,0.5238,0.5238,0.5238,0.5238,-0.5238,0.5238,0.3461999999999999,0.4038,0.1699999999999999,-0.01,-0.183625,0.95581125,0.93218625,1975-01-22,32.8027397260274,786,0.3510851500036861,0.4018673843443828,0.4018673843443828,0.4678426585127968,0.2178283275884371,0.276241530181109,1,0.2178283275884371
2007-11-04,Shean Donovan,away,Ottawa Senators,Boston Bruins,R,11.2,0,0,0,0.09,0,0,0,0,0,0,0,0.8,0.21,20072008,0.4134,0.4134,0.4134,0.4134,-0.4134,0.4134,0.3866,0.2034,0.045,0.0,-0.158375,0.6848212499999999,0.5714462499999999,1975-01-22,32.8054794520548,787,0.401240929845149,0.4155521521344903,0.4155521521344903,0.4897327609922471,0.2194956027267099,0.2763162009565039,1,0.2194956027267099
2007-11-06,Shean Donovan,home,Ottawa Senators,Toronto Maple Leafs,R,10.683333333333,0,0,0,0.2,0,0,0,1,0,0,0,0.36,0.22,20072008,0.396866666666656,0.396866666666656,0.396866666666656,0.396866666666656,-0.396866666666656,0.396866666666656,-0.036866666666656,0.176866666666656,0.1,0.01,-0.42304166666666,0.6501512499999885,0.3371095833333284,1975-01-22,32.81095890410959,788,0.4147881739277627,0.4096266205831098,0.4096266205831098,0.4719918568236371,0.2210987685391497,0.2763711610076679,1,0.2210987685391497
2007-11-08,Shean Donovan,home,Ottawa Senators,Washington Capitals,R,10.916666666667,0,0,0,0.05,0,1,0,0,0,0,0,0.37,0.22,20072008,0.404333333333344,0.404333333333344,0.404333333333344,0.404333333333344,-0.404333333333344,0.404333333333344,-0.0343333333333439,0.1843333333333439,0.025,-0.15,-0.42145833333334,0.6581312500000114,0.1116729166666713,1975-01-22,32.81643835616438,789,0.4090410018101142,0.3884392021617403,0.3884392021617403,0.4371026120517749,0.2226436948527017,0.2764226310883931,1,0.2226436948527017
2007-11-10,Shean Donovan,home,Ottawa Senators,Montreal Canadiens,R,5.4666666666667,0,0,0,0.08,0,0,0,0,0,0,0,0.09,0.26,20072008,0.2299333333333343,0.2299333333333343,0.2299333333333343,0.2299333333333343,-0.2299333333333343,0.2299333333333343,-0.1399333333333343,-0.0300666666666656,0.04,0.0,-0.487458333333334,0.403741250000001,-0.0437170833333329,1975-01-22,32.821917808219176,790,0.3884824876631853,0.3593673466946777,0.3593673466946777,0.4100799105050353,0.2241374041738527,0.2764829953204143,1,0.2241374041738527
2007-11-15,Shean Donovan,home,Ottawa Senators,Buffalo Sabres,R,6.0833333333333,1,0,0,0.18,0,0,0,0,1,1,0,0.38,0.49,20072008,0.2496666666666656,0.2496666666666656,0.2496666666666656,0.2496666666666656,0.7503333333333344,0.2496666666666656,0.1303333333333344,-0.2403333333333344,0.84,-0.01,0.306458333333334,0.0338312499999988,1.1702895833333329,1975-01-22,32.83561643835616,791,0.360434639025244,0.4112019116861141,0.4112019116861141,0.4405422303236975,0.2255979068139998,0.2765637906518088,1,0.2255979068139998
2007-11-17,Shean Donovan,away,Ottawa Senators,Toronto Maple Leafs,R,9.5166666666667,0,0,0,0.09,0,0,1,0,0,0,0,0.29,0.17,20072008,0.3595333333333343,0.3595333333333343,0.3595333333333343,0.3595333333333343,-0.3595333333333343,0.3595333333333343,-0.0695333333333343,0.1895333333333343,0.045,0.15,-0.443458333333334,0.6952512500000011,0.4467929166666671,1975-01-22,32.84109589041096,792,0.410231976103081,0.4133720688614103,0.4133720688614103,0.4716326533944186,0.2270681668888851,0.276678010257781,1,0.2270681668888851
2007-11-19,Shean Donovan,away,Ottawa Senators,Montreal Canadiens,R,8.9666666666667,0,0,0,0.11,0,1,0,0,0,0,0,0.21,0.36,20072008,0.3419333333333344,0.3419333333333344,0.3419333333333344,0.3419333333333344,-0.3419333333333344,0.3419333333333344,-0.1319333333333344,-0.0180666666666655,0.055,-0.15,-0.482458333333334,0.3534412500000011,-0.2240170833333329,1975-01-22,32.846575342465755,793,0.4123574814966681,0.3761674688219817,0.3761674688219817,0.4248855795164904,0.2285656586553529,0.2768249968115427,1,0.2285656586553529
2007-11-21,Shean Donovan,away,Ottawa Senators,Buffalo Sabres,R,13.05,0,0,0,0.04,0,0,0,0,1,0,1,0.22,0.82,20072008,0.4726,0.4726,0.4726,0.4726,-0.4726,-0.5274,-0.2526,-0.3473999999999999,0.02,-0.01,-0.557875,-0.7264087499999997,-1.2742837499999995,1975-01-22,32.85205479452055,794,0.3772675354636932,0.2836510257644586,0.2836510257644586,0.3083512599024599,0.2300851618470965,0.2769944283178759,1,0.2300851618470965
2007-11-22,Shean Donovan,home,Ottawa Senators,Pittsburgh Penguins,R,6.45,0,0,0,0.0,0,3,1,0,1,0,0,0.0,0.24,20072008,0.2614,0.2614,0.2614,0.2614,-0.2614,0.2614,-0.2614,0.0214,0.0,-0.31,-0.5633750000000001,0.47137125,-0.40200375,1975-01-22,32.85479452054795,795,0.2906466405989897,0.2466339442095371,0.2466339442095371,0.2829341655824892,0.2316075133019986,0.2771711040833626,1,0.2316075133019986
2007-11-24,Shean Donovan,home,Ottawa Senators,Philadelphia Flyers,R,9.8166666666667,0,0,0,0.0,0,0,0,1,1,1,1,0.12,0.58,20072008,0.3691333333333344,0.3691333333333344,0.3691333333333344,0.3691333333333344,0.6308666666666656,-0.6308666666666656,-0.2491333333333344,-0.2108666666666655,0.0,0.0,0.0692916666666659,-0.4289887499999988,-0.3596970833333328,1975-01-22,32.86027397260274,796,0.2560661231334824,0.2150233701395347,0.2150233701395347,0.2453448561381088,0.2331092209639275,0.2773387144621096,1,0.2331092209639275
2007-11-28,Shean Donovan,away,Ottawa Senators,New York Islanders,R,5.4333333333333,0,0,0,0.0,0,0,0,0,0,0,2,0.06,0.54,20072008,0.2288666666666655,0.2288666666666655,0.2288666666666655,0.2288666666666655,-0.2288666666666655,-1.7711333333333343,-0.1688666666666655,-0.3111333333333345,0.0,0.0,-0.505541666666666,-0.9483987500000012,-1.4539404166666672,1975-01-22,32.87123287671233,797,0.2266793650819994,0.1307978476970441,0.1307978476970441,0.1412082710615466,0.2345719265719897,0.2774834259897705,1,0.2345719265719897
2007-11-29,Shean Donovan,home,Ottawa Senators,Nashville Predators,R,8.4333333333333,0,0,0,0.02,0,0,0,0,0,1,1,0.48,0.19,20072008,0.3248666666666656,0.3248666666666656,0.3248666666666656,0.3248666666666656,0.6751333333333345,-0.6751333333333345,0.1551333333333344,0.1348666666666655,0.01,0.0,0.321958333333334,0.1867012499999988,0.5186595833333328,1975-01-22,32.87397260273973,798,0.1495669321639585,0.1497872059054605,0.1497872059054605,0.1674046114535214,0.2359838502950804,0.2775944874172809,1,0.2359838502950804
2007-12-01,Shean Donovan,home,Ottawa Senators,New York Rangers,R,11.416666666667,0,0,0,0.17,1,0,0,0,0,0,0,0.35,0.3,20072008,0.420333333333344,0.420333333333344,0.420333333333344,0.420333333333344,-0.420333333333344,0.420333333333344,-0.070333333333344,0.120333333333344,0.135,0.0,-0.44395833333334,0.5392312500000114,0.2302729166666713,1975-01-22,32.87945205479452,799,0.1657887519428214,0.1536178740667256,0.1536178740667256,0.1617276193988157,0.2373393938662233,0.2776638495992307,1,0.2373393938662233
2007-12-04,Shean Donovan,away,Ottawa Senators,Tampa Bay Lightning,R,8.5666666666667,0,0,0,0.13,0,0,0,0,0,0,0,0.31,0.15,20072008,0.3291333333333344,0.3291333333333344,0.3291333333333344,0.3291333333333344,-0.3291333333333344,0.3291333333333344,-0.0191333333333343,0.1791333333333344,0.065,0.0,-0.411958333333334,0.6967612500000011,0.3498029166666671,1975-01-22,32.88767123287671,800,0.1685134925606302,0.1627120095266817,0.1627120095266817,0.1779154421505049,0.2386217505683857,0.2777468515614775,1,0.2386217505683857
2007-12-05,Shean Donovan,away,Ottawa Senators,Florida Panthers,R,4.9333333333333,0,0,0,0.08,0,0,0,0,0,0,1,0.08,0.22,20072008,0.2128666666666656,0.2128666666666656,0.2128666666666656,0.2128666666666656,-0.2128666666666656,-0.7871333333333344,-0.1328666666666655,-0.0071333333333344,0.04,0.0,-0.483041666666666,0.0160012499999988,-0.4270404166666672,1975-01-22,32.89041095890411,801,0.1759036953523801,0.1360396881709077,0.1360396881709077,0.1561180260171145,0.2397652141391006,0.2780505947796579,1,0.2397652141391006
2007-12-07,Shean Donovan,away,Ottawa Senators,Dallas Stars,R,7.8166666666667,0,0,0,0.04,0,0,1,0,0,1,0,0.09,0.08,20072008,0.3051333333333344,0.3051333333333344,0.3051333333333344,0.3051333333333344,0.6948666666666656,0.3051333333333344,-0.2151333333333344,0.2251333333333344,0.02,0.15,0.090541666666666,0.7901112500000012,1.0506529166666672,1975-01-22,32.895890410958906,802,0.1522442375689101,0.176462284178386,0.176462284178386,0.194802757746638,0.240721796575807,0.2786367737730867,1,0.240721796575807
2007-12-12,Shean Donovan,away,Ottawa Senators,Carolina Hurricanes,R,9.9833333333333,1,0,0,0.13,1,0,0,0,0,2,0,0.26,0.22,20072008,0.3744666666666656,0.3744666666666656,0.3744666666666656,0.3744666666666656,1.6255333333333344,0.3744666666666656,-0.1144666666666656,0.1544666666666656,0.865,0.0,0.7784583333333338,0.6262112499999989,2.2696695833333327,1975-01-22,32.90958904109589,803,0.1862913987532449,0.2670030476949348,0.2670030476949348,0.2766356829275246,0.2414737587815832,0.2794299426223223,1,0.2414737587815832
2007-12-13,Shean Donovan,away,Ottawa Senators,Pittsburgh Penguins,R,9.5833333333333,0,0,0,0.02,0,0,0,0,0,0,0,0.33,0.35,20072008,0.3616666666666656,0.3616666666666656,0.3616666666666656,0.3616666666666656,-0.3616666666666656,0.3616666666666656,-0.0316666666666655,0.0116666666666656,0.01,0.0,-0.419791666666666,0.3915312499999989,-0.0182604166666671,1975-01-22,32.912328767123284,804,0.2630652112734669,0.254910251127561,0.254910251127561,0.2806049561269345,0.2420247422021798,0.2802904090318217,1,0.2420247422021798
2007-12-15,Shean Donovan,home,Ottawa Senators,Atlanta Thrashers,R,8.2166666666667,0,0,0,0.0,0,1,1,0,0,0,0,0.01,0.12,20072008,0.3179333333333344,0.3179333333333344,0.3179333333333344,0.3179333333333344,-0.3179333333333344,0.3179333333333344,-0.3079333333333344,0.1979333333333344,0.0,0.0,-0.592458333333334,0.7357912500000011,0.1433329166666671,1975-01-22,32.917808219178085,805,0.2530482156336413,0.2502686624253543,0.2502686624253543,0.2853217936618554,0.2423894456337885,0.2810658016709446,1,0.2423894456337885
2007-12-18,Shean Donovan,away,Ottawa Senators,Boston Bruins,R,9.1166666666667,0,0,0,0.0,0,1,1,0,0,0,0,0.14,0.42,20072008,0.3467333333333344,0.3467333333333344,0.3467333333333344,0.3467333333333344,-0.3467333333333344,0.3467333333333344,-0.2067333333333343,-0.0732666666666655,0.0,0.0,-0.529208333333334,0.2565712500000011,-0.2726370833333328,1975-01-22,32.92602739726028,806,0.2492620352529782,0.228896574193667,0.228896574193667,0.2448382375444568,0.2425886584917313,0.281615533438029,1,0.2425886584917313
2007-12-20,Shean Donovan,away,Ottawa Senators,Atlanta Thrashers,R,7.25,0,0,0,0.23,0,0,0,0,0,0,1,0.48,0.53,20072008,0.287,0.287,0.287,0.287,-0.287,-0.713,0.1929999999999999,-0.243,0.115,0.0,-0.279375,-0.4317687499999999,-0.59614375,1975-01-22,32.93150684931507,807,0.2317559195500613,0.195728603572181,0.195728603572181,0.2213562372325937,0.24264397640845,0.2818232345309521,1,0.24264397640845
