Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2014-12-06,Sven Andrighetto,away,Montreal Canadiens,Dallas Stars,R,11.583333333333,1,0,0,0.16,2,0,0,0,2,1,0,0.22,0.31,20142015,0.425666666666656,0.425666666666656,0.425666666666656,0.425666666666656,0.574333333333344,0.425666666666656,-0.2056666666666559,0.1156666666666559,0.93,-0.02,0.09645833333334,0.5279312499999886,1.5343895833333283,1993-03-21,21.726027397260275,1,0.0,0.1442313423616399,0.1442313423616399,0.1639151852037881,0.2785864040272237,0.3099251046827154,1.1276894929803678,0.3141589607086837
2014-12-09,Sven Andrighetto,home,Montreal Canadiens,Vancouver Canucks,R,14.683333333333,0,1,0,0.01,2,0,0,0,0,1,0,0.53,0.32,20142015,0.524866666666656,0.524866666666656,0.524866666666656,0.524866666666656,0.4751333333333439,0.524866666666656,0.0051333333333439,0.204866666666656,0.8049999999999999,0.0,0.22820833333334,0.6169512499999886,1.650159583333329,1993-03-21,21.734246575342464,2,0.1448330347793243,0.2748988387688895,0.2748988387688895,0.3041953412021227,0.2855912986935029,0.3172806292198249,1.1266711114877603,0.3217674659302419
2014-12-12,Sven Andrighetto,home,Montreal Canadiens,Los Angeles Kings,R,10.65,1,0,0,0.22,0,0,0,0,0,1,0,0.27,0.2,20142015,0.3958,0.3958,0.3958,0.3958,0.6042000000000001,0.3958,-0.1257999999999999,0.1957999999999999,0.86,0.0,0.146375,0.68301125,1.68938625,1993-03-21,21.742465753424657,3,0.2753484093241605,0.3890459153511705,0.3890459153511705,0.420766658372071,0.2924548037188189,0.3244502029861566,1.1256587547767192,0.3292043101825955
2014-12-16,Sven Andrighetto,home,Montreal Canadiens,Carolina Hurricanes,R,9.1,0,0,0,0.14,0,0,0,0,0,0,0,0.05,0.19,20142015,0.3462,0.3462,0.3462,0.3462,-0.3462,0.3462,-0.2962,0.1562,0.07,0.0,-0.585125,0.64700125,0.1318762499999999,1993-03-21,21.753424657534246,4,0.3887630403164869,0.3696193847137168,0.3696193847137168,0.4173669168736874,0.2991223459840248,0.3313665871847023,1.12431825945396,0.336308715400544
2014-12-20,Sven Andrighetto,home,Montreal Canadiens,Ottawa Senators,R,7.9833333333333,0,0,0,0.02,0,0,0,0,1,0,0,0.09,0.0,20142015,0.3104666666666656,0.3104666666666656,0.3104666666666656,0.3104666666666656,-0.3104666666666656,0.3104666666666656,-0.2204666666666656,0.3104666666666656,0.01,-0.01,-0.537791666666666,0.9318112499999988,0.3940195833333328,1993-03-21,21.76438356164384,5,0.3695537372533102,0.3713544771489607,0.3713544771489607,0.4226674920168972,0.3055603214123605,0.3379890011052373,1.1229883357457158,0.3431406768127927
2014-12-23,Sven Andrighetto,away,Montreal Canadiens,New York Islanders,R,4.9166666666667,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0.61,20142015,0.2123333333333344,0.2123333333333344,0.2123333333333344,0.2123333333333344,-0.2123333333333344,-0.7876666666666656,-0.2123333333333344,-0.3976666666666656,0.0,0.0,-0.532708333333334,-0.6475687499999988,-1.180277083333333,1993-03-21,21.77260273972603,6,0.3712680718827017,0.2669737010767166,0.2669737010767166,0.2792014499382702,0.3117524320695916,0.3442984047941964,1.121997783449386,0.349785537767037
2014-12-29,Sven Andrighetto,away,Montreal Canadiens,Carolina Hurricanes,R,6.8833333333333,0,0,0,0.04,0,0,0,0,0,0,0,0.07,0.49,20142015,0.2752666666666656,0.2752666666666656,0.2752666666666656,0.2752666666666656,-0.2752666666666656,0.2752666666666656,-0.2052666666666656,-0.2147333333333344,0.02,0.0,-0.528291666666666,0.0611912499999989,-0.4471004166666671,1993-03-21,21.78904109589041,7,0.2691245701184411,0.2213297174830527,0.2213297174830527,0.2469774498011553,0.3176956776568611,0.3502923900493907,1.1200342556722738,0.355830041854701
2014-12-30,Sven Andrighetto,away,Montreal Canadiens,Florida Panthers,R,7.2666666666667,0,0,0,0.05,0,0,0,2,3,0,0,0.21,0.0,20142015,0.2875333333333344,0.2875333333333344,0.2875333333333344,0.2875333333333344,-0.2875333333333344,0.2875333333333344,-0.0775333333333344,0.2875333333333344,0.025,-0.01,-0.448458333333334,0.9073012500000012,0.473842916666667,1993-03-21,21.791780821917808,8,0.224407752698727,0.23672667891656,0.23672667891656,0.2537761512262774,0.3233966480710458,0.3559804827766269,1.1197092655375822,0.3621102232889467
2015-01-02,Sven Andrighetto,away,Montreal Canadiens,New Jersey Devils,R,8.6333333333333,0,0,0,0.04,0,0,0,0,4,2,0,0.65,0.68,20142015,0.3312666666666656,0.3312666666666656,0.3312666666666656,0.3312666666666656,1.6687333333333343,0.3312666666666656,0.3187333333333343,-0.3487333333333344,0.02,-0.04,1.049208333333334,-0.2019587500000011,0.8272495833333328,1993-03-21,21.8,9,0.2390921878200908,0.271195681718533,0.271195681718533,0.2989439843842897,0.3289076419971389,0.3614357486366123,1.1187381533704874,0.3679615280373206
2015-01-03,Sven Andrighetto,away,Montreal Canadiens,Pittsburgh Penguins,R,10.75,0,0,0,0.23,0,0,0,0,0,0,0,0.01,0.23,20142015,0.399,0.399,0.399,0.399,-0.399,0.399,-0.389,0.169,0.115,0.0,-0.6431250000000001,0.63543125,0.1073062499999999,1993-03-21,21.8027397260274,10,0.2719696421927977,0.2620088199049861,0.2620088199049861,0.2804469882532177,0.3343877493781079,0.3668825715129967,1.1184157314646317,0.3739845193135285
