Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2019-11-07,T.J. Tynan,home,Colorado Avalanche,Nashville Predators,C,10.683333333333,0,0,0,0.0,0,0,0,0,0,1,0,0.32,0.12,20192020,0.396866666666656,0.396866666666656,0.396866666666656,0.396866666666656,0.603133333333344,0.396866666666656,-0.0768666666666559,0.276866666666656,0.0,0.0,0.17695833333334,0.8201512499999886,0.9971095833333286,1992-02-25,27.71780821917808,1,0.0,0.0937274700297411,0.0937274700297411,0.1038263270319384,0.095876072009722,0.1016960734465858,1,0.095876072009722
2019-11-09,T.J. Tynan,home,Colorado Avalanche,Columbus Blue Jackets,C,8.0666666666667,0,0,0,0.12,0,0,0,0,0,0,0,0.16,0.02,20192020,0.3131333333333344,0.3131333333333344,0.3131333333333344,0.3131333333333344,-0.3131333333333344,0.3131333333333344,-0.1531333333333344,0.2931333333333344,0.06,0.0,-0.495708333333334,0.9006612500000011,0.464952916666667,1992-02-25,27.72328767123288,2,0.0941184745584532,0.1259382343908711,0.1259382343908711,0.1448255224990493,0.1143613641236392,0.1308245791407528,1,0.1143613641236392
2019-11-12,T.J. Tynan,away,Colorado Avalanche,Winnipeg Jets,C,8.1833333333333,0,0,0,0.0,0,0,0,0,1,0,0,0.25,0.12,20192020,0.3168666666666656,0.3168666666666656,0.3168666666666656,0.3168666666666656,-0.3168666666666656,0.3168666666666656,-0.0668666666666655,0.1968666666666655,0.0,-0.01,-0.441791666666666,0.7346512499999989,0.2828595833333328,1992-02-25,27.731506849315068,3,0.1262146985551241,0.1386015589937674,0.1386015589937674,0.1655767527103727,0.1157320346794113,0.1573530909535062,1,0.1157320346794113
2019-11-14,T.J. Tynan,away,Colorado Avalanche,Edmonton Oilers,C,10.5,0,0,0,0.1,0,0,0,0,0,0,1,0.2,0.23,20192020,0.391,0.391,0.391,0.391,-0.391,-0.609,-0.191,0.161,0.05,0.0,-0.519375,0.18938125,-0.27999375,1992-02-25,27.736986301369864,4,0.1387584624041957,0.1069809765904827,0.1069809765904827,0.1205050402361126,0.1102544900267009,0.1420970230193984,1,0.1102544900267009
2019-11-16,T.J. Tynan,away,Colorado Avalanche,Vancouver Canucks,C,5.0166666666667,0,0,0,0.07,0,0,0,0,0,0,0,0.07,0.29,20192020,0.2155333333333344,0.2155333333333344,0.2155333333333344,0.2155333333333344,-0.2155333333333344,0.2155333333333344,-0.1455333333333344,-0.0744666666666655,0.035,0.0,-0.490958333333334,0.3373512500000011,-0.1186070833333328,1992-02-25,27.742465753424657,5,0.1076019819648384,0.0909394622422962,0.0909394622422962,0.0997676462738469,0.0961221408109952,0.1084843022177559,1,0.0961221408109952
2019-11-19,T.J. Tynan,away,Colorado Avalanche,Calgary Flames,C,9.2333333333333,0,0,0,0.07,0,0,0,0,0,0,0,0.5,0.13,20192020,0.3504666666666656,0.3504666666666656,0.3504666666666656,0.3504666666666656,-0.3504666666666656,0.3504666666666656,0.1495333333333344,0.2204666666666656,0.035,0.0,-0.306541666666666,0.7535612499999989,0.4820195833333328,1992-02-25,27.75068493150685,6,0.0918811052297401,0.1172480573917924,0.1172480573917924,0.1350005087333795,0.088241172288363,0.106996308420716,1,0.088241172288363
2019-11-21,T.J. Tynan,away,Colorado Avalanche,Minnesota Wild,C,9.75,0,0,0,0.0,0,1,0,1,0,0,0,0.18,0.66,20192020,0.367,0.367,0.367,0.367,-0.367,0.367,-0.187,-0.293,0.0,-0.1399999999999999,-0.516875,-0.1297687500000001,-0.7866437500000001,1992-02-25,27.756164383561643,7,0.1173687990093356,0.0594708297877179,0.0594708297877179,0.0672668348562079,0.06698014796945,0.0748482196058817,1,0.06698014796945
2019-11-23,T.J. Tynan,home,Colorado Avalanche,Toronto Maple Leafs,C,7.4666666666667,0,0,0,0.0,1,0,0,1,0,0,1,0.07,0.32,20192020,0.2939333333333344,0.2939333333333344,0.2939333333333344,0.2939333333333344,-0.2939333333333344,-0.7060666666666656,-0.2239333333333343,-0.0260666666666656,0.05,0.01,-0.539958333333334,-0.0673587499999989,-0.547317083333333,1992-02-25,27.76164383561644,8,0.0617325265637799,0.022472011005775,0.022472011005775,0.0259212260474748,0.0395551949310682,0.0453242495284882,1,0.0395551949310682
2019-11-27,T.J. Tynan,home,Colorado Avalanche,Edmonton Oilers,C,7.9,0,0,0,0.0,1,0,1,0,1,0,0,0.22,0.0,20192020,0.3078,0.3078,0.3078,0.3078,-0.3078,0.3078,-0.0878,0.3078,0.05,0.1399999999999999,-0.454875,0.92896125,0.66408625,1992-02-25,27.77260273972603,9,0.0262952912754301,0.0599232306557905,0.0599232306557905,0.0667281308616891,0.0160992573242794,0.061538149451138,1,0.0160992573242794
2019-11-29,T.J. Tynan,away,Colorado Avalanche,Chicago Blackhawks,C,11.016666666667,0,0,0,0.03,0,0,0,0,5,0,1,0.08,1.28,20192020,0.407533333333344,0.407533333333344,0.407533333333344,0.407533333333344,-0.407533333333344,-0.592466666666656,-0.327533333333344,-0.8724666666666561,0.015,-0.05,-0.6047083333333401,-1.5779487499999885,-2.2176570833333287,1992-02-25,27.778082191780825,10,0.0616182178737137,-0.0677470858159122,-0.0677470858159122,-0.0767167864600645,-0.0017242689633613,0.0520345665200947,1,-0.0017242689633613
