Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-03-07,Theo Peckham,away,Edmonton Oilers,Columbus Blue Jackets,D,13.366666666667,0,0,0,0.04,2,1,0,0,0,0,0,0.17,0.34,20072008,0.482733333333344,0.482733333333344,0.482733333333344,0.482733333333344,-0.482733333333344,0.482733333333344,-0.3127333333333439,0.1427333333333439,0.12,-0.15,-0.960733333333344,0.961929166666682,-0.0288041666666619,1987-11-10,20.336986301369866,1,0.0,-0.0027075676666911,-0.0027075676666911,-0.0027133304465867,-0.1976864770327368,-0.1384372631593905,1.4291649374632394,-0.1383230667438773
2008-11-06,Theo Peckham,away,Edmonton Oilers,Pittsburgh Penguins,D,11.31666667,0,0,0,0.08,2,3,1,0,0,0,2,0.15,0.76,20082009,0.41713333344,0.41713333344,0.41713333344,0.41713333344,-0.41713333344,-1.58286666656,-0.26713333344,-0.34286666656,0.14,-0.3,-0.92713333344,-1.24837083318,-2.33550416662,1987-11-10,21.005479452054796,2,-0.0027188628741595,-0.2051213898657438,-0.2051213898657438,-0.1420095921531534,-0.189097276997628,-0.1340186055263931,1.2452076755313004,-0.1518600316344378
2009-02-07,Theo Peckham,away,Edmonton Oilers,Detroit Red Wings,D,7.416666667,0,0,0,0.01,1,0,0,0,0,0,2,0.12,0.26,20082009,0.292333333344,0.292333333344,0.292333333344,0.292333333344,-0.292333333344,-1.707666666656,-0.172333333344,0.032333333344,0.055,0.0,-0.8503333333440001,-0.2777708333179998,-1.0731041666619998,1987-11-10,21.26027397260274,3,-0.3076579085433265,-0.2751663373911729,-0.2751663373911729,-0.2522011676350075,-0.1808292631551643,-0.1297835188972934,1.1964715760035478,-0.1511354442361012
2009-02-14,Theo Peckham,away,Edmonton Oilers,Los Angeles Kings,D,9.683333333,0,0,0,0.0,1,1,0,0,0,1,0,0.08,0.72,20082009,0.364866666656,0.364866666656,0.364866666656,0.364866666656,0.635133333344,0.364866666656,-0.2848666666559999,-0.355133333344,0.05,-0.15,-0.586866666656,-0.081504166682,-0.7683708333379999,1987-11-10,21.27945205479452,4,-0.4110150087336354,-0.3124228786630899,-0.3124228786630899,-0.3183630842077615,-0.1730639413408695,-0.1258207747945519,1.1931587877144705,-0.1450468647784746
2009-02-16,Theo Peckham,away,Edmonton Oilers,Phoenix Coyotes,D,11.7,0,0,0,0.0,1,1,1,0,0,0,0,0.26,0.43,20082009,0.4294,0.4294,0.4294,0.4294,-0.4294,0.4294,-0.1694,-0.0005999999999999,0.05,0.0,-0.7634,0.6782625000000001,-0.0351374999999998,1987-11-10,21.284931506849315,5,-0.4540307591043485,-0.2927051800319281,-0.2927051800319281,-0.3154796770617432,-0.1658914779303747,-0.1221725085548277,1.1922207377861935,-0.1391449357259249
2009-02-17,Theo Peckham,away,Edmonton Oilers,San Jose Sharks,D,10.65,0,0,0,0.0,1,1,1,0,0,0,1,0.26,0.51,20082009,0.3958,0.3958,0.3958,0.3958,-0.3958,-0.6042000000000001,-0.1357999999999999,-0.1142,0.05,0.0,-0.7298,-0.1290375000000001,-0.8088375000000001,1987-11-10,21.28767123287671,6,-0.4088714820736511,-0.3274262397772516,-0.3274262397772516,-0.3197026957733526,-0.1593344325125622,-0.1188467388809054,1.1917531127532224,-0.1336975173863512
2009-02-19,Theo Peckham,away,Edmonton Oilers,Dallas Stars,D,9.116666667,0,0,0,0.01,1,1,0,0,0,0,0,0.22,0.14,20082009,0.346733333344,0.346733333344,0.346733333344,0.346733333344,-0.346733333344,0.346733333344,-0.126733333344,0.206733333344,0.055,-0.15,-0.744733333344,1.226429166682,0.3866958333379999,1987-11-10,21.293150684931508,7,-0.4478612876577065,-0.2817791908516391,-0.2817791908516391,-0.2948999060802042,-0.1533178630079882,-0.1157757978825558,1.1908206524074574,-0.1287497514407637
2009-02-21,Theo Peckham,home,Edmonton Oilers,Calgary Flames,D,11.95,0,0,0,0.0,1,0,0,0,0,1,0,0.41,0.61,20082009,0.4373999999999999,0.4373999999999999,0.4373999999999999,0.4373999999999999,0.5626,0.4373999999999999,-0.0273999999999999,-0.1726,0.05,0.0,-0.1314,0.2757625000000001,0.1943625,1987-11-10,21.2986301369863,8,-0.373474368633102,-0.2527465094922904,-0.2527465094922904,-0.2531241486521633,-0.1474731539315013,-0.1126041593816344,1.1898918982390585,-0.1239382788888212
2009-02-24,Theo Peckham,home,Edmonton Oilers,Tampa Bay Lightning,D,14.45,0,0,0,0.04,2,1,1,0,0,3,0,0.98,0.27,20082009,0.5174,0.5174,0.5174,0.5174,2.4826,0.5174,0.4626,0.2473999999999999,0.12,0.0,1.5006,1.1727625,2.7933625,1987-11-10,21.306849315068494,9,-0.3268401333257678,-0.0749441936159843,-0.0749441936159843,-0.0782102474189233,-0.1416120321215723,-0.1091592882607137,1.1885056809820491,-0.119151329596136
2009-02-26,Theo Peckham,home,Edmonton Oilers,Columbus Blue Jackets,D,14.21666667,0,0,0,0.0,0,1,0,0,0,0,1,0.72,0.45,20082009,0.50993333344,0.50993333344,0.50993333344,0.50993333344,-0.50993333344,-0.49006666656,0.2100666665599999,0.05993333344,0.0,-0.15,-0.1079333334400001,0.1730291668200001,-0.08490416662,1987-11-10,21.312328767123287,10,-0.0887816804274512,-0.0755025023165214,-0.0755025023165214,-0.0763260898139573,-0.1357828407556816,-0.1055172415300624,1.1875861222455604,-0.1143351528046952
2009-03-14,Theo Peckham,home,Edmonton Oilers,Colorado Avalanche,D,7.866666667,0,0,0,0.0,1,1,1,0,0,0,0,0.0,0.0,20082009,0.306733333344,0.306733333344,0.306733333344,0.306733333344,-0.306733333344,0.306733333344,-0.306733333344,0.306733333344,0.05,0.0,-1.056733333344,1.4909291666820002,0.4841958333380003,1987-11-10,21.356164383561644,11,-0.0885058370673051,-0.0452855481445365,-0.0452855481445365,-0.0457214032484042,-0.1301125470674976,-0.1018465060390351,1.1803597602871885,-0.1102312629124535
