,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-10-19,Thomas Novak,home,Nashville Predators,Los Angeles Kings,C,9.4833333333333,0,0,0,0.02,1,0,0,1,2,0,0,0.17,0.15,20212022,0.3584666666666656,0.3584666666666656,0.3584666666666656,0.3584666666666656,-0.3584666666666656,0.3584666666666656,-0.1884666666666656,0.2084666666666656,0.060000000000000005,-0.01,-0.517791666666666,0.7281112499999989,0.2603195833333329,,,1,0.0,0.024469823931953086,0.024469823931953086,0.02619880966723248,0.02445803572010814,0.0,1,0.02445803572010814
1,2021-10-21,Thomas Novak,home,Nashville Predators,New York Rangers,C,10.1,0,0,0,0.0,0,0,0,5,2,0,1,0.15,0.16,20212022,0.3782,0.3782,0.3782,0.3782,-0.3782,-0.6218,-0.2282,0.21819999999999998,0.0,0.03,-0.542625,0.29470124999999997,-0.21792375000000003,,,2,0.024571905125131,0.0034376388721542722,0.0034376388721542722,,0.026613672413830964,0.0,1,0.026613672413830964
2,2021-10-23,Thomas Novak,away,Nashville Predators,Winnipeg Jets,C,12.833333333333,0,1,2,0.04,0,0,0,2,9,1,1,0.26,0.9,20212022,0.465666666666656,0.465666666666656,0.465666666666656,0.465666666666656,0.534333333333344,-0.534333333333344,-0.205666666666656,-0.434333333333344,1.82,-0.07,0.09645833333333997,-0.8698187500000115,0.9766395833333285,,,3,0.0035835772317784303,0.08197362017703416,0.08197362017703416,,0.03202712344530678,0.0,1,0.03202712344530678
3,2021-10-24,Thomas Novak,away,Nashville Predators,Minnesota Wild,C,11.166666666667,0,0,0,0.0,1,0,0,2,3,0,0,0.14,0.31,20212022,0.412333333333344,0.412333333333344,0.412333333333344,0.412333333333344,-0.412333333333344,0.412333333333344,-0.272333333333344,0.10233333333334399,0.05,-0.01,-0.57020833333334,0.5136812500000114,-0.01652708333332853,,,4,0.08136697827582323,0.07453290226832651,0.07453290226832651,,0.03710236617810683,0.0,1,0.03710236617810683
4,2021-10-26,Thomas Novak,home,Nashville Predators,San Jose Sharks,C,10.05,0,0,0,0.02,0,0,0,2,0,0,0,0.1,0.62,20212022,0.37660000000000005,0.37660000000000005,0.37660000000000005,0.37660000000000005,-0.37660000000000005,0.37660000000000005,-0.27660000000000007,-0.24339999999999995,0.01,0.02,-0.572875,-0.05150874999999988,-0.5943837499999999,,,5,0.07410801841880352,0.02696639507496254,0.02696639507496254,,0.03577085917717583,0.0,1,0.03577085917717583
5,2021-10-30,Thomas Novak,home,Nashville Predators,New York Islanders,C,10.65,0,0,0,0.0,0,0,0,2,4,0,0,0.11,0.16,20212022,0.3958,0.3958,0.3958,0.3958,-0.3958,0.3958,-0.2858,0.23579999999999998,0.0,-0.02,-0.578625,0.7510112499999999,0.15238624999999995,,,6,0.027796202063228744,0.0354035924904846,0.0354035924904846,,0.02855989905102093,0.0,1,0.02855989905102093
6,2021-11-02,Thomas Novak,away,Nashville Predators,Calgary Flames,C,10.05,0,0,0,0.05,0,0,0,1,1,0,0,0.36,0.61,20212022,0.37660000000000005,0.37660000000000005,0.37660000000000005,0.37660000000000005,-0.37660000000000005,0.37660000000000005,-0.01660000000000006,-0.23339999999999994,0.025,0.0,-0.41037500000000005,-0.03450874999999998,-0.41988375,,,7,0.03592616143247795,0.006301392208095152,0.006301392208095152,,0.01856786457067694,0.0,1,0.01856786457067694
7,2021-11-03,Thomas Novak,away,Nashville Predators,Edmonton Oilers,C,12.883333333333,0,0,0,0.0,0,0,1,4,3,0,1,0.3,0.3,20212022,0.467266666666656,0.467266666666656,0.467266666666656,0.467266666666656,-0.467266666666656,-0.5327333333333439,-0.16726666666665602,0.16726666666665602,0.0,0.16,-0.50454166666666,0.1518912499999886,-0.19265041666667138,,,8,0.00785440145575974,-0.005829670002810733,-0.005829670002810733,,0.017823760981435687,0.0,1,0.017823760981435687
8,2021-11-05,Thomas Novak,away,Nashville Predators,Vancouver Canucks,C,10.1,0,0,1,0.13,0,0,0,1,1,0,0,0.67,0.3,20212022,0.3782,0.3782,0.3782,0.3782,-0.3782,0.3782,0.29180000000000006,0.07819999999999999,0.615,0.0,-0.217625,0.49420125,0.89157625,,,9,-0.003798552503925418,0.046552188414068975,0.046552188414068975,,0.04165982598540332,0.0,1,0.04165982598540332
9,2021-11-07,Thomas Novak,away,Nashville Predators,Chicago Blackhawks,C,11.166666666667,0,0,0,0.19,0,0,0,0,3,1,0,0.57,0.41,20212022,0.412333333333344,0.412333333333344,0.412333333333344,0.412333333333344,0.587666666666656,0.412333333333344,0.15766666666665596,0.002333333333344012,0.095,-0.03,0.32354166666666007,0.34368125000001143,0.7322229166666715,,,10,0.04555841730731994,0.08498762725840513,0.08498762725840513,,0.0887186067330247,0.0,1,0.0887186067330247
