Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2009-02-26,Tim Stapleton,away,Toronto Maple Leafs,New York Islanders,C,14.55,0,0,0,0.33,1,0,0,1,0,0,2,0.46,0.25,20082009,0.5206000000000001,0.5206000000000001,0.5206000000000001,0.5206000000000001,-0.5206000000000001,-1.4794,-0.0606,0.2706,0.215,0.01,-0.437875,-0.14360875,-0.35648375,1982-07-19,26.627397260273973,1,0.0,-0.0335091754734897,-0.0335091754734897,-0.0359595136508121,0.004795887460132,0.0024363166589517,1,0.004795887460132
2009-02-28,Tim Stapleton,away,Toronto Maple Leafs,Ottawa Senators,C,16.8,1,0,0,0.43,0,0,0,0,0,1,1,0.76,0.3,20082009,0.5926000000000001,0.5926000000000001,0.5926000000000001,0.5926000000000001,0.4073999999999999,-0.4073999999999999,0.1673999999999998,0.2926000000000001,0.965,0.0,0.3296249999999999,0.2858412500000001,1.58046625,1982-07-19,26.63287671232877,2,-0.0336489662878516,0.1065334390227816,0.1065334390227816,0.1103158202939587,0.0073786515274936,0.0043521320264873,1,0.0073786515274936
2009-03-03,Tim Stapleton,home,Toronto Maple Leafs,New Jersey Devils,C,13.98333333,0,0,0,0.0,2,0,0,0,0,0,1,0.24,0.73,20082009,0.50246666656,0.50246666656,0.50246666656,0.50246666656,-0.50246666656,-0.4975333334399999,-0.26246666656,-0.2275333334399999,0.1,0.0,-0.5640416666000001,-0.5414887501139999,-1.005530416714,1982-07-19,26.64109589041096,3,0.1060548952086268,0.0167915034655815,0.0167915034655815,0.0165033220383008,0.0097495290773952,0.0062532040981009,1,0.0097495290773952
2009-04-11,Tim Stapleton,home,Toronto Maple Leafs,Ottawa Senators,C,15.03333333,0,0,0,0.31,0,0,0,0,4,0,0,0.59,0.89,20082009,0.53606666656,0.53606666656,0.53606666656,0.53606666656,-0.53606666656,0.53606666656,0.0539333334399999,-0.35393333344,0.155,-0.04,-0.3662916666,-0.3400787501139999,-0.5913704167139999,1982-07-19,26.747945205479454,4,0.0170416875919444,-0.0291488921824371,-0.0291488921824371,-0.0290233652486722,0.0118699075417982,0.0081420828212498,1,0.0118699075417982
2010-03-27,Tim Stapleton,away,Atlanta Thrashers,Carolina Hurricanes,C,10.1,0,0,0,0.06,0,0,1,6,3,0,0,0.43,0.74,20092010,0.3782,0.3782,0.3782,0.3782,-0.3782,0.3782,0.0518,-0.3618,0.03,0.18,-0.367625,-0.2537987499999998,-0.4114237499999998,1982-07-19,27.70684931506849,5,-0.031275279180392,-0.0563323681993075,-0.0563323681993075,-0.0663406082020204,0.0137455066249741,0.0100219444912187,1,0.0137455066249741
2010-03-29,Tim Stapleton,home,Atlanta Thrashers,Carolina Hurricanes,C,11.05,0,0,0,0.04,0,0,0,4,1,0,0,0.09,0.26,20092010,0.4086,0.4086,0.4086,0.4086,-0.4086,0.4086,-0.3186,0.1486,0.02,0.03,-0.599125,0.59469125,0.04556625,1982-07-19,27.71232876712329,6,-0.0822580453732353,-0.0494774825942306,-0.0494774825942306,-0.0502056598643427,0.0154758824301874,0.0119949979342023,1,0.0154758824301874
2010-03-30,Tim Stapleton,away,Atlanta Thrashers,Toronto Maple Leafs,C,12.783333333333,0,0,0,0.1,0,0,0,1,3,0,0,0.32,0.54,20092010,0.4640666666666559,0.4640666666666559,0.4640666666666559,0.4640666666666559,-0.4640666666666559,0.4640666666666559,-0.1440666666666559,-0.075933333333344,0.05,-0.02,-0.49004166666666,0.1779712499999884,-0.2820704166666715,1982-07-19,27.715068493150685,7,-0.0670914290102815,-0.064344942152007,-0.064344942152007,-0.0622815443353895,0.0172473860677563,0.0142792690321467,1,0.0172473860677563
2010-04-01,Tim Stapleton,away,Atlanta Thrashers,Washington Capitals,C,12.266666666667,1,0,0,0.14,2,0,0,7,4,1,0,0.74,0.37,20092010,0.447533333333344,0.447533333333344,0.447533333333344,0.447533333333344,0.552466666666656,0.447533333333344,0.292466666666656,0.077533333333344,0.92,0.03,0.40779166666666,0.4493012500000114,1.8070929166666716,1982-07-19,27.72054794520548,8,-0.0899325369020113,0.0497657523803777,0.0497657523803777,0.0469352098186855,0.0190307109291827,0.0167864317796323,1,0.0190307109291827
2010-04-03,Tim Stapleton,away,Atlanta Thrashers,Pittsburgh Penguins,C,12.45,1,0,0,0.35,0,0,1,3,2,0,0,0.22,0.69,20092010,0.4533999999999999,0.4533999999999999,0.4533999999999999,0.4533999999999999,-0.4533999999999999,0.4533999999999999,-0.2333999999999999,-0.2365999999999999,0.925,0.16,-0.545875,-0.0884287499999999,0.45069625,1982-07-19,27.726027397260275,9,0.0928943383392786,0.073168188327373,0.073168188327373,0.0704087984892377,0.0207135545340137,0.019300771503252,1,0.0207135545340137
2010-04-06,Tim Stapleton,home,Atlanta Thrashers,New Jersey Devils,C,12.616666666667,0,0,0,0.0,0,1,0,1,1,0,0,0.5,0.29,20092010,0.458733333333344,0.458733333333344,0.458733333333344,0.458733333333344,-0.458733333333344,0.458733333333344,0.041266666666656,0.168733333333344,0.0,-0.15,-0.37420833333334,0.5972712500000114,0.0730629166666713,1982-07-19,27.734246575342464,10,0.1244561533408945,0.0731622872989198,0.0731622872989198,0.0704450497271598,0.0222065803914303,0.0216423036762486,1,0.0222065803914303
