Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-01-22,Tomas Plihal,home,San Jose Sharks,Chicago Blackhawks,C,11.8,0,0,0,0.04,0,0,0,0,0,0,0,0.05,0.25,20072008,0.4326,0.4326,0.4326,0.4326,-0.4326,0.4326,-0.3826,0.1826,0.02,0.0,-0.639125,0.63734125,0.0182162499999999,1983-03-28,24.83835616438356,4,0.0,0.0179766217944131,0.0179766217944131,0.019375786926428,0.1871073017307384,0.2007248358812073,1,0.1871073017307384
2008-01-24,Tomas Plihal,home,San Jose Sharks,St Louis Blues,C,13.516666666667,0,0,0,0.02,0,0,0,0,0,1,0,0.24,0.4,20072008,0.487533333333344,0.487533333333344,0.487533333333344,0.487533333333344,0.512466666666656,0.487533333333344,-0.2475333333333439,0.0875333333333439,0.01,0.0,0.0702916666666599,0.4410512500000113,0.5213429166666713,1983-03-28,24.843835616438355,5,0.0182162499999999,0.2681226057733407,0.2681226057733407,0.2888024771377216,0.1994669666424876,0.2120994859617615,1,0.1994669666424876
2008-01-29,Tomas Plihal,away,San Jose Sharks,Edmonton Oilers,C,8.5166666666667,0,0,0,0.1,0,0,0,0,1,0,0,0.09,0.27,20072008,0.3275333333333344,0.3275333333333344,0.3275333333333344,0.3275333333333344,-0.3275333333333344,0.3275333333333344,-0.2375333333333344,0.0575333333333343,0.05,-0.01,-0.548458333333334,0.491051250000001,-0.0174070833333329,1983-03-28,24.85753424657534,6,0.2702597065017534,0.1732052812702644,0.1732052812702644,0.1892656988852867,0.2127265054269382,0.2244643471363393,1,0.2127265054269382
2008-01-30,Tomas Plihal,away,San Jose Sharks,Calgary Flames,C,13.083333333333,1,0,0,0.18,1,0,1,0,0,2,0,0.53,0.17,20072008,0.473666666666656,0.473666666666656,0.473666666666656,0.473666666666656,1.526333333333344,0.473666666666656,0.056333333333344,0.303666666666656,0.89,0.15,0.8852083333333399,0.8172312499999885,2.7424395833333284,1983-03-28,24.86027397260274,7,0.1736374624852809,0.81566674723051,0.81566674723051,0.842171111071235,0.2273711958440927,0.2383788460203409,1,0.2273711958440927
2008-02-02,Tomas Plihal,home,San Jose Sharks,Chicago Blackhawks,C,15.883333333333,0,0,0,0.34,0,0,0,0,1,0,0,0.86,0.05,20072008,0.563266666666656,0.563266666666656,0.563266666666656,0.563266666666656,-0.563266666666656,0.563266666666656,0.2967333333333439,0.513266666666656,0.17,-0.01,-0.21454166666666,1.1169912499999886,1.0624495833333285,1983-03-28,24.86849315068493,8,0.8204375974478219,0.8651926761294211,0.8651926761294211,0.9213704618242168,0.2453123607336908,0.256138492248698,1,0.2453123607336908
2008-02-06,Tomas Plihal,home,San Jose Sharks,Colorado Avalanche,C,14.2,0,0,0,0.33,0,0,0,0,0,0,0,1.39,0.96,20072008,0.5094,0.5094,0.5094,0.5094,-0.5094,0.5094,0.8805999999999999,-0.4506,0.165,0.0,0.150375,-0.48757875,-0.17220375,1983-03-28,24.87945205479452,9,0.8693399741777429,0.6910702999463404,0.6910702999463404,0.7151913484899685,0.2684585734286292,0.2801189362267,1,0.2684585734286292
2008-02-08,Tomas Plihal,home,San Jose Sharks,Columbus Blue Jackets,C,12.15,0,0,0,0.0,0,0,0,0,0,0,0,0.13,0.2,20072008,0.4438,0.4438,0.4438,0.4438,-0.4438,0.4438,-0.3138,0.2438,0.0,0.0,-0.596125,0.73431125,0.1381862499999999,1983-03-28,24.88493150684932,10,0.6931428917690865,0.6111978964701507,0.6111978964701507,0.6333356543517323,0.2937195133346051,0.3067592644492352,1,0.2937195133346051
2008-02-09,Tomas Plihal,home,San Jose Sharks,Nashville Predators,C,13.0,0,0,0,0.0,0,1,0,0,1,0,0,0.2,0.16,20072008,0.471,0.471,0.471,0.471,-0.471,0.471,-0.271,0.311,0.0,-0.16,-0.569375,0.83138125,0.1020062499999999,1983-03-28,24.887671232876716,11,0.6125827158971713,0.5465292509244953,0.5465292509244953,0.5595969085580773,0.3177823654864773,0.3321485698965304,1,0.3177823654864773
2008-02-12,Tomas Plihal,home,San Jose Sharks,Calgary Flames,C,14.55,0,0,0,0.27,1,0,1,1,3,0,1,0.37,0.37,20072008,0.5206000000000001,0.5206000000000001,0.5206000000000001,0.5206000000000001,-0.5206000000000001,-0.4793999999999999,-0.1506,0.1506,0.185,0.13,-0.494125,0.08989125,-0.0892337499999999,1983-03-28,24.895890410958906,12,0.5477524400935916,0.4743777933356961,0.4743777933356961,0.4845879805939621,0.3385418403218952,0.3538240961894223,1,0.3385418403218952
2008-02-14,Tomas Plihal,home,San Jose Sharks,Edmonton Oilers,C,10.966666666667,0,0,0,0.05,0,0,0,1,1,0,0,0.34,0.06,20072008,0.405933333333344,0.405933333333344,0.405933333333344,0.405933333333344,-0.405933333333344,0.405933333333344,-0.065933333333344,0.345933333333344,0.025,0.0,-0.44120833333334,0.9318412500000114,0.5156329166666713,1983-03-28,24.9013698630137,13,0.47561865967003,0.4786162631098151,0.4786162631098151,0.5099796359368811,0.3543348392908778,0.3699748575852911,1,0.3543348392908778
