Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-12-19,Trevor Lewis,away,Los Angeles Kings,Buffalo Sabres,C,9.233333333,0,0,0,0.25,1,0,0,0,3,0,0,0.54,0.06,20082009,0.3504666666559999,0.3504666666559999,0.3504666666559999,0.3504666666559999,-0.3504666666559999,0.3504666666559999,0.189533333344,0.2904666666559999,0.175,-0.03,-0.2815416666599999,0.8725612499886,0.7360195833286001,1987-01-08,21.96164383561644,1,0.0,0.0691852275725972,0.0691852275725972,0.0773543444461187,0.2194770909092891,0.2432254472460706,1.1007721922221083,0.2415942785027492
2008-12-20,Trevor Lewis,away,Los Angeles Kings,Detroit Red Wings,C,15.13333333,1,0,0,0.55,0,0,0,0,0,1,1,0.82,0.53,20082009,0.53926666656,0.53926666656,0.53926666656,0.53926666656,0.46073333344,-0.46073333344,0.2807333334399999,0.0092666665599999,1.025,0.0,0.4004583333999999,-0.1621587501139999,1.263299583286,1987-01-08,21.964383561643835,2,0.0694738487985012,0.1727970259570592,0.1727970259570592,0.1896733050330712,0.2194442634888346,0.2429881466770523,1.1004855774185442,0.2414952470166974
2008-12-23,Trevor Lewis,away,Los Angeles Kings,Columbus Blue Jackets,C,11.66666667,0,0,1,0.12,1,0,0,0,0,1,0,0.57,0.24,20082009,0.4283333334399999,0.4283333334399999,0.4283333334399999,0.4283333334399999,0.5716666665600001,0.4283333334399999,0.14166666656,0.1883333334399999,0.6600000000000001,0.0,0.3135416666,0.649781250114,1.6233229167140002,1987-01-08,21.972602739726028,3,0.1726210898379339,0.2898523554157398,0.2898523554157398,0.3154471256020001,0.2194115178170606,0.2427522763783369,1.099629180769721,0.2412713075886153
2008-12-26,Trevor Lewis,home,Los Angeles Kings,Phoenix Coyotes,C,12.08333333,0,0,0,0.19,1,0,0,0,0,0,1,0.5,0.29,20082009,0.44166666656,0.44166666656,0.44166666656,0.44166666656,-0.44166666656,-0.55833333344,0.0583333334399999,0.15166666656,0.145,0.0,-0.3635416666,0.141531249886,-0.0770104167139998,1987-01-08,21.980821917808218,4,0.2886037850383778,0.262139635594031,0.262139635594031,0.2954994738406963,0.2193788609116074,0.2425179330909123,1.098777934906079,0.2410486517545039
2008-12-27,Trevor Lewis,away,Los Angeles Kings,Phoenix Coyotes,C,7.85,0,0,1,0.04,1,0,1,1,0,1,0,0.76,0.13,20082009,0.3061999999999999,0.3061999999999999,0.3061999999999999,0.3061999999999999,0.6938,0.3061999999999999,0.4538,0.1761999999999999,0.6200000000000001,0.16,0.508625,0.70625125,1.99487625,1987-01-08,21.983561643835618,5,0.2613932703632931,0.385354132278866,0.385354132278866,0.4326097076229068,0.2193462991335779,0.2422852036269265,1.0984953262932202,0.2409508844379499
2008-12-29,Trevor Lewis,home,Los Angeles Kings,Columbus Blue Jackets,C,13.61666667,0,0,0,0.13,0,0,0,0,0,0,0,0.41,0.16,20082009,0.49073333344,0.49073333344,0.49073333344,0.49073333344,-0.49073333344,0.49073333344,-0.08073333344,0.33073333344,0.065,0.0,-0.4504583334000001,0.8524712501139999,0.4670129167139998,1987-01-08,21.98904109589041,6,0.3816831092733136,0.3908474513821498,0.3908474513821498,0.4232354209557523,0.2193138382016201,0.2420541651199273,1.0979318131873854,0.2407916400337897
2009-10-03,Trevor Lewis,home,Los Angeles Kings,Phoenix Coyotes,C,10.75,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,20092010,0.399,0.399,0.399,0.399,-0.399,-0.601,-0.399,0.399,0.05,0.0,-0.649375,0.5889312499999999,-0.01044375,1987-01-08,22.75068493150685,7,0.3872398891177065,0.3651967121142817,0.3651967121142817,0.4946493705112791,0.2192814832098034,0.2418248853287055,1.0387006986425482,0.227767829809397
2009-10-06,Trevor Lewis,home,Los Angeles Kings,San Jose Sharks,C,4.8833333333333,0,0,0,0.03,0,0,0,0,0,0,0,0.36,0.19,20092010,0.2112666666666656,0.2112666666666656,0.2112666666666656,0.2112666666666656,-0.2112666666666656,0.2112666666666656,0.1487333333333343,0.0212666666666656,0.015,0.0,-0.307041666666666,0.5027912499999988,0.2107495833333328,1987-01-08,22.75890410958904,8,0.3476037852330978,0.3557793173284074,0.3557793173284074,0.4263192785906119,0.2192492386486107,0.2415974229846115,1.0382407419491626,0.2276334922063226
2009-10-15,Trevor Lewis,away,Los Angeles Kings,Detroit Red Wings,C,9.8,0,0,0,0.01,2,0,0,0,0,0,1,0.21,0.35,20092010,0.3686,0.3686,0.3686,0.3686,-0.3686,-0.6314,-0.1586,0.0186,0.105,0.0,-0.499125,-0.0385587499999999,-0.43268375,1987-01-08,22.78356164383561,9,0.3351353865634595,0.3097564865902215,0.3097564865902215,0.3836620077263186,0.2192171084284282,0.2413718281731196,1.0368808077177212,0.2273020124528119
2009-10-17,Trevor Lewis,away,Los Angeles Kings,Columbus Blue Jackets,C,9.5666666666667,0,0,0,0.0,0,0,0,0,5,0,0,0.09,0.12,20092010,0.3611333333333344,0.3611333333333344,0.3611333333333344,0.3611333333333344,-0.3611333333333344,0.3611333333333344,-0.2711333333333344,0.2411333333333344,0.0,-0.05,-0.5694583333333341,0.7819612500000012,0.162502916666667,1987-01-08,22.78904109589041,10,0.270006127774604,0.3015021520412893,0.3015021520412893,0.3555441553904012,0.2191850959049736,0.2411481427413107,1.0365826363054766,0.2272034645520462
