Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-12-31,Trevor Smith,home,New York Islanders,Florida Panthers,C,10.91666667,0,0,0,0.21,2,0,0,0,0,0,1,0.82,0.39,20082009,0.40433333344,0.40433333344,0.40433333344,0.40433333344,-0.40433333344,-0.59566666656,0.4156666665599999,0.0143333334399999,0.205,0.0,-0.1402083334,-0.068368749886,-0.003577083286,1985-02-08,23.90958904109589,1,0.0,-0.0003362428484155,-0.0003362428484155,-0.0003742711442455,-0.0422123781563927,-0.0429074891942835,1.0018965104922544,-0.0421324734783763
2009-01-02,Trevor Smith,away,New York Islanders,Phoenix Coyotes,C,13.13333333,0,0,0,0.08,0,0,1,0,0,0,0,0.26,0.61,20082009,0.47526666656,0.47526666656,0.47526666656,0.47526666656,-0.47526666656,0.47526666656,-0.21526666656,-0.13473333344,0.04,0.15,-0.5345416666,0.070941249886,-0.273600416714,1985-02-08,23.915068493150685,2,-0.0003376455585968,-0.0240470309758576,-0.0240470309758576,-0.0268060226703541,-0.0325811879650839,-0.0332533045921533,1.001838019807365,-0.0325214129638928
2009-01-03,Trevor Smith,away,New York Islanders,San Jose Sharks,C,11.75,0,0,0,0.05,1,0,0,0,0,0,0,0.35,0.41,20082009,0.431,0.431,0.431,0.431,-0.431,0.431,-0.081,0.021,0.075,0.0,-0.450625,0.36363125,-0.01199375,1985-02-08,23.91780821917808,3,-0.0239889090795711,-0.023074348733729,-0.023074348733729,-0.0234482019969468,-0.0229470966605758,-0.0235912066922865,1.0018091295160478,-0.0229056573597618
2009-01-05,Trevor Smith,away,New York Islanders,Edmonton Oilers,C,10.63333333,0,0,0,0.03,2,0,0,3,1,0,0,0.25,0.33,20082009,0.39526666656,0.39526666656,0.39526666656,0.39526666656,-0.39526666656,0.39526666656,-0.1452666665599999,0.0652666665599999,0.115,0.02,-0.4907916666,0.4614412498859999,0.1056495832859999,1985-02-08,23.92328767123288,4,-0.0230317317019892,-0.0133505758861808,-0.0133505758861808,-0.0145305412880817,-0.0133097475686992,-0.0139187216191423,1.001752058067822,-0.0132864689036637
2009-01-08,Trevor Smith,away,New York Islanders,Calgary Flames,C,10.81666667,1,0,0,0.26,1,0,0,2,2,1,1,0.62,0.48,20082009,0.40113333344,0.40113333344,0.40113333344,0.40113333344,0.59886666656,-0.59886666656,0.2188666665599999,-0.0788666665599999,0.93,0.0,0.3617916665999999,-0.224788749886,1.0670029167139998,1985-02-08,23.931506849315067,5,-0.0134885140662754,0.0634731091018983,0.0634731091018983,0.0671268740860313,-0.0036145562810232,-0.0042165298200746,1.0016682208400172,-0.0036085364453231
2009-04-02,Trevor Smith,home,New York Islanders,Montreal Canadiens,C,14.13333333,0,0,0,0.12,1,0,0,1,0,0,1,0.32,0.75,20082009,0.50726666656,0.50726666656,0.50726666656,0.50726666656,-0.50726666656,-0.49273333344,-0.1872666665599999,-0.24273333344,0.11,0.01,-0.5170416666,-0.5703587501140001,-0.967400416714,1985-02-08,24.16164383561644,6,0.0615087667562142,-0.0058754278816802,-0.0058754278816802,-0.0058542808034381,0.0069051418032563,0.0057741279064606,1.000163160318532,0.0069062684483924
2009-04-12,Trevor Smith,home,New York Islanders,Boston Bruins,C,11.21666667,0,0,0,0.0,0,0,0,0,0,1,2,0.23,1.39,20082009,0.41393333344,0.41393333344,0.41393333344,0.41393333344,0.5860666665600001,-1.58606666656,-0.1839333334399999,-0.97606666656,0.0,0.0,0.1100416666,-2.195608749886,-2.085567083286,1985-02-08,24.18904109589041,7,-0.0160102950599143,-0.1388103844085147,-0.1388103844085147,-0.131214849403168,0.0185089859381193,0.0161030367870867,1.0000896861668176,0.0185106459381198
2012-01-17,Trevor Smith,home,Tampa Bay Lightning,Boston Bruins,C,4.8833333333333,0,0,0,0.05,0,0,0,0,1,1,0,0.45,0.06,20112012,0.2112666666666656,0.2112666666666656,0.2112666666666656,0.2112666666666656,0.7887333333333344,0.2112666666666656,0.2387333333333344,0.1512666666666656,0.025,-0.01,0.374208333333334,0.7237912499999989,1.112999583333333,1985-02-08,26.95616438356164,8,-0.1636031929050341,-0.0624814247433759,-0.0624814247433759,-0.07566460038848,0.030551443125476,0.026505793892608,1.0,0.030551443125476
2012-01-20,Trevor Smith,away,Tampa Bay Lightning,Dallas Stars,C,4.6833333333333,0,0,0,0.1,0,0,0,0,1,0,0,0.17,0.05,20112012,0.2048666666666656,0.2048666666666656,0.2048666666666656,0.2048666666666656,-0.2048666666666656,0.2048666666666656,-0.0348666666666655,0.1548666666666656,0.05,-0.01,-0.421791666666666,0.7339512499999988,0.3521595833333328,1985-02-08,26.964383561643835,9,0.25632167179669,-0.0382787021016104,-0.0382787021016104,-0.041313953824101,0.0423292217684761,0.0367241231289585,1.0,0.0423292217684761
2012-01-21,Trevor Smith,away,Tampa Bay Lightning,Phoenix Coyotes,C,8.4166666666667,0,1,0,0.24,1,0,0,0,0,1,0,0.45,0.56,20112012,0.3243333333333344,0.3243333333333344,0.3243333333333344,0.3243333333333344,0.6756666666666655,0.3243333333333344,0.1256666666666656,-0.2356666666666656,0.87,0.0,0.3035416666666659,-0.0053687499999989,1.1681729166666672,1985-02-08,26.96712328767123,10,0.2801458432020886,0.0293492357717057,0.0293492357717057,0.03091460365392,0.0534146829710318,0.0466182158334516,1.0,0.0534146829710318
2012-01-24,Trevor Smith,home,Tampa Bay Lightning,Columbus Blue Jackets,C,13.65,0,0,1,0.19,1,0,0,0,0,2,0,0.65,0.29,20112012,0.4918,0.4918,0.4918,0.4918,1.5082,0.4918,0.1582,0.2018,0.6950000000000001,0.0,0.948875,0.6326112500000001,2.27648625,1985-02-08,26.975342465753425,11,0.4572183674737735,0.1506675100125999,0.1506675100125999,0.1621845314914875,0.0638859053259008,0.05636342727538,1.0,0.0638859053259008
