Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2017-12-29,Vinni Lettieri,away,New York Rangers,Detroit Red Wings,C,10.71666667,1,0,0,0.39,0,0,0,0,0,1,2,0.58,0.51,20172018,0.39793333344,0.39793333344,0.39793333344,0.39793333344,0.60206666656,-1.60206666656,0.1820666665599999,-0.1120666665599999,0.945,0.0,0.3387916665999998,-0.716708749886,0.567082916714,1995-02-06,22.90958904109589,1,0.0,0.0533053216708693,0.0533053216708693,0.0595399099661241,0.1365274906376912,0.1512526437144331,1.0303855201502168,0.1406759494555213
2018-01-06,Vinni Lettieri,away,New York Rangers,Arizona Coyotes,C,14.36666667,0,0,0,0.51,0,0,0,1,0,0,0,0.61,0.41,20172018,0.51473333344,0.51473333344,0.51473333344,0.51473333344,-0.51473333344,0.51473333344,0.0952666665599999,0.10473333344,0.255,0.01,-0.3404583334000001,0.4531212501140001,0.377662916714,1995-02-06,22.931506849315067,2,0.0535276964151269,0.0814494215900096,0.0814494215900096,0.0928212128879962,0.1315224317932234,0.1450721086024922,1.029331620874833,0.1353801978991184
2018-01-07,Vinni Lettieri,away,New York Rangers,Vegas Golden Knights,C,13.46666667,0,0,1,0.21,0,0,0,0,0,1,0,0.23,0.34,20172018,0.48593333344,0.48593333344,0.48593333344,0.48593333344,0.51406666656,0.48593333344,-0.25593333344,0.1459333334399999,0.655,0.0,0.0650416665999999,0.5413412501139999,1.261382916714,1995-02-06,22.934246575342467,3,0.0818768870474498,0.1766683383230272,0.1766683383230272,0.1862719426627367,0.1260755611642117,0.1386934704062637,1.0292014247811911,0.1297571471802949
2018-01-13,Vinni Lettieri,home,New York Rangers,New York Islanders,C,12.53333333,0,0,0,0.4,0,0,0,1,2,0,2,0.79,0.28,20172018,0.45606666656,0.45606666656,0.45606666656,0.45606666656,-0.45606666656,-1.54393333344,0.33393333344,0.1760666665599999,0.2,-0.01,-0.1912916666,-0.263578750114,-0.264870416714,1995-02-06,22.95068493150685,4,0.176907399197825,0.1433146138834159,0.1433146138834159,0.1575510561063012,0.1201632572527112,0.1321041319846136,1.0284273966574278,0.1235791858302825
2018-01-14,Vinni Lettieri,away,New York Rangers,Pittsburgh Penguins,C,11.45,0,1,0,0.07,0,0,0,0,0,1,2,0.13,0.71,20172018,0.4214,0.4214,0.4214,0.4214,0.5786,-1.5786,-0.2914,-0.2885999999999999,0.735,0.0,0.0428749999999999,-1.03162875,-0.2537537499999999,1995-02-06,22.95342465753425,5,0.143617294344025,0.115079175099121,0.115079175099121,0.1240935354615141,0.114115335034194,0.1255018697607045,1.0282995794681338,0.1173447510265269
2018-01-16,Vinni Lettieri,home,New York Rangers,Philadelphia Flyers,C,13.4,0,0,0,0.05,0,0,0,0,0,0,0,0.2,0.28,20172018,0.4838,0.4838,0.4838,0.4838,-0.4838,0.4838,-0.2838,0.2037999999999999,0.025,0.0,-0.577375,0.6410612499999999,0.0886862499999999,1995-02-06,22.95890410958904,6,0.1157222909972737,0.1133036801460495,0.1133036801460495,0.1209375006506513,0.1082515261197242,0.1190033123472316,1.0280449591974803,0.1112874357528169
2018-01-18,Vinni Lettieri,home,New York Rangers,Buffalo Sabres,C,14.9,0,0,0,0.31,1,0,2,0,0,0,0,0.37,0.74,20172018,0.5318,0.5318,0.5318,0.5318,-0.5318,0.5318,-0.1618,-0.2081999999999999,0.205,0.3,-0.501125,-0.0896387499999999,-0.08576375,1995-02-06,22.964383561643835,7,0.1139425466418647,0.10057918798222,0.10057918798222,0.1127016956731016,0.102173935784626,0.1122207843517869,1.0277916883119746,0.10501352196156
2018-01-20,Vinni Lettieri,away,New York Rangers,Colorado Avalanche,C,12.23333333,0,0,0,0.06,0,0,0,0,0,0,1,0.41,0.6,20172018,0.44646666656,0.44646666656,0.44646666656,0.44646666656,-0.44646666656,-0.55353333344,-0.03646666656,-0.1535333334399999,0.03,0.0,-0.4227916666,-0.3803387501139998,-0.773130416714,1995-02-06,22.96986301369863,8,0.1015638732288473,0.0473048517056016,0.0473048517056016,0.0514671399109904,0.0955486094437591,0.1049002905111896,1.0275397635142107,0.0981799955519519
2018-01-21,Vinni Lettieri,away,New York Rangers,Los Angeles Kings,C,13.43333333,0,0,1,0.44,0,0,0,0,0,0,0,0.1,0.18,20172018,0.48486666656,0.48486666656,0.48486666656,0.48486666656,-0.48486666656,0.48486666656,-0.38486666656,0.30486666656,0.77,0.0,-0.6405416666,0.812201249886,0.941659583286,1995-02-06,22.972602739726028,9,0.050327152386355,0.099508611319717,0.099508611319717,0.1055451905329553,0.0883295082387393,0.0970303905676375,1.0274143048718545,0.0907510003067771
2018-01-23,Vinni Lettieri,away,New York Rangers,Anaheim Ducks,C,12.36666667,0,0,0,0.08,0,0,0,0,2,0,2,0.38,0.37,20172018,0.45073333344,0.45073333344,0.45073333344,0.45073333344,-0.45073333344,-1.54926666656,-0.07073333344,0.08073333344,0.04,-0.02,-0.4442083334,-0.422278749886,-0.8464870832860001,1995-02-06,22.97808219178082,10,0.0997383494651503,0.0464805933967639,0.0464805933967639,0.0497628080528822,0.0805438213298609,0.0886021802306464,1.0271643930554708,0.0827317453506548
